Rotation,Pitch,Elbow,Wrist_Pitch,Wrist_Roll,Jaw
0.000000,0.000000,0.500000,0.000000,0.000000,0.500000
0.004800,0.005760,0.506720,0.007680,0.008640,0.509600
0.009600,0.011520,0.513440,0.015360,0.017280,0.519200
0.014400,0.017280,0.520160,0.023040,0.025920,0.528800
0.019200,0.023040,0.526880,0.030720,0.034560,0.538400
0.024000,0.028800,0.533600,0.038400,0.036800,0.532000
0.028800,0.034560,0.539680,0.033920,0.028160,0.522400
0.033600,0.039680,0.532960,0.026240,0.019520,0.512800
0.038400,0.033920,0.526240,0.018560,0.010880,0.503200
0.036800,0.028160,0.519520,0.010880,0.002240,0.493600
0.032000,0.022400,0.512800,0.003200,-0.006400,0.484000
0.027200,0.016640,0.506080,-0.004480,-0.015040,0.474400
0.022400,0.010880,0.499360,-0.012160,-0.023680,0.464800
0.017600,0.005120,0.492640,-0.019840,-0.032320,0.464800
0.012800,-0.000640,0.485920,-0.027520,-0.039040,0.474400
0.008000,-0.006400,0.479200,-0.035200,-0.030400,0.484000
0.003200,-0.012160,0.472480,-0.037120,-0.021760,0.493600
-0.001600,-0.017920,0.465760,-0.029440,-0.013120,0.503200
-0.006400,-0.023680,0.460960,-0.021760,-0.004480,0.512800
-0.011200,-0.029440,0.467680,-0.014080,0.004160,0.522400
-0.016000,-0.035200,0.474400,-0.006400,0.012800,0.532000
-0.020800,-0.039040,0.481120,0.001280,0.021440,0.538400
-0.025600,-0.033280,0.487840,0.008960,0.030080,0.528800
-0.030400,-0.027520,0.494560,0.016640,0.038720,0.519200
-0.035200,-0.021760,0.501280,0.024320,0.032640,0.509600
-0.040000,-0.016000,0.508000,0.032000,0.024000,0.500000
-0.035200,-0.010240,0.514720,0.039680,0.015360,0.490400
-0.030400,-0.004480,0.521440,0.032640,0.006720,0.480800
-0.025600,0.001280,0.528160,0.024960,-0.001920,0.471200
-0.020800,0.007040,0.534880,0.017280,-0.010560,0.461600
-0.016000,0.012800,0.538400,0.009600,-0.019200,0.468000
-0.011200,0.018560,0.531680,0.001920,-0.027840,0.477600
-0.006400,0.024320,0.524960,-0.005760,-0.036480,0.487200
-0.001600,0.030080,0.518240,-0.013440,-0.034880,0.496800
0.003200,0.035840,0.511520,-0.021120,-0.026240,0.506400
0.008000,0.038400,0.504800,-0.028800,-0.017600,0.516000
0.012800,0.032640,0.498080,-0.036480,-0.008960,0.525600
0.017600,0.026880,0.491360,-0.035840,-0.000320,0.535200
0.022400,0.021120,0.484640,-0.028160,0.008320,0.535200
0.027200,0.015360,0.477920,-0.020480,0.016960,0.525600
0.032000,0.009600,0.471200,-0.012800,0.025600,0.516000
0.036800,0.003840,0.464480,-0.005120,0.034240,0.506400
0.038400,-0.001920,0.462240,0.002560,0.037120,0.496800
0.033600,-0.007680,0.468960,0.010240,0.028480,0.487200
0.028800,-0.013440,0.475680,0.017920,0.019840,0.477600
0.024000,-0.019200,0.482400,0.025600,0.011200,0.468000
0.019200,-0.024960,0.489120,0.033280,0.002560,0.461600
0.014400,-0.030720,0.495840,0.039040,-0.006080,0.471200
0.009600,-0.036480,0.502560,0.031360,-0.014720,0.480800
0.004800,-0.037760,0.509280,0.023680,-0.023360,0.490400
