Rotation,Pitch,Elbow,Wrist_Pitch,Wrist_Roll,Jaw
0.000000,0.129904,0.629904,0.000000,-0.129904,0.370096
0.000943,0.130373,0.629430,-0.000943,-0.130373,0.370570
0.001886,0.130837,0.628950,-0.001886,-0.130837,0.371050
0.002830,0.131296,0.628466,-0.002830,-0.131296,0.371534
0.003775,0.131750,0.627975,-0.003775,-0.131750,0.372025
0.004720,0.132200,0.627479,-0.004720,-0.132200,0.372521
0.005666,0.132644,0.626978,-0.005666,-0.132644,0.373022
0.006612,0.133084,0.626471,-0.006612,-0.133084,0.373529
0.007559,0.133518,0.625959,-0.007559,-0.133518,0.374041
0.008506,0.133948,0.625442,-0.008506,-0.133948,0.374558
0.009453,0.134372,0.624919,-0.009453,-0.134372,0.375081
0.010401,0.134791,0.624391,-0.010401,-0.134791,0.375609
0.011349,0.135206,0.623857,-0.011349,-0.135206,0.376143
0.012297,0.135615,0.623318,-0.012297,-0.135615,0.376682
0.013245,0.136019,0.622774,-0.013245,-0.136019,0.377226
0.014194,0.136418,0.622224,-0.014194,-0.136418,0.377776
0.015142,0.136811,0.621669,-0.015142,-0.136811,0.378331
0.016091,0.137200,0.621109,-0.016091,-0.137200,0.378891
0.017040,0.137583,0.620543,-0.017040,-0.137583,0.379457
0.017988,0.137961,0.619972,-0.017988,-0.137961,0.380028
0.018937,0.138333,0.619396,-0.018937,-0.138333,0.380604
0.019886,0.138700,0.618814,-0.019886,-0.138700,0.381186
0.020834,0.139062,0.618227,-0.020834,-0.139062,0.381773
0.021783,0.139418,0.617635,-0.021783,-0.139418,0.382365
0.022731,0.139769,0.617038,-0.022731,-0.139769,0.382962
0.023679,0.140114,0.616436,-0.023679,-0.140114,0.383564
0.024627,0.140454,0.615828,-0.024627,-0.140454,0.384172
0.025574,0.140789,0.615215,-0.025574,-0.140789,0.384785
0.026521,0.141118,0.614597,-0.026521,-0.141118,0.385403
0.027467,0.141441,0.613974,-0.027467,-0.141441,0.386026
0.028414,0.141759,0.613345,-0.028414,-0.141759,0.386655
0.029359,0.142071,0.612712,-0.029359,-0.142071,0.387288
0.030304,0.142377,0.612073,-0.030304,-0.142377,0.387927
0.031249,0.142678,0.611429,-0.031249,-0.142678,0.388571
0.032193,0.142973,0.610780,-0.032193,-0.142973,0.389220
0.033136,0.143263,0.610126,-0.033136,-0.143263,0.389874
0.034079,0.143546,0.609467,-0.034079,-0.143546,0.390533
0.035021,0.143824,0.608803,-0.035021,-0.143824,0.391197
0.035962,0.144096,0.608134,-0.035962,-0.144096,0.391866
0.036902,0.144363,0.607460,-0.036902,-0.144363,0.392540
0.037842,0.144623,0.606781,-0.037842,-0.144623,0.393219
0.038780,0.144877,0.606097,-0.038780,-0.144877,0.393903
0.039718,0.145126,0.605408,-0.039718,-0.145126,0.394592
0.040655,0.145369,0.604714,-0.040655,-0.145369,0.395286
0.041590,0.145606,0.604015,-0.041590,-0.145606,0.395985
0.042525,0.145837,0.603312,-0.042525,-0.145837,0.396688
0.043458,0.146061,0.602603,-0.043458,-0.146061,0.397397
0.044391,0.146280,0.601890,-0.044391,-0.146280,0.398110
0.045322,0.146493,0.601172,-0.045322,-0.146493,0.398828
0.046252,0.146700,0.600448,-0.046252,-0.146700,0.399552
0.047180,0.146901,0.599721,-0.047180,-0.146901,0.400279
0.048107,0.147095,0.598988,-0.048107,-0.147095,0.401012
0.049033,0.147284,0.598251,-0.049033,-0.147284,0.401749
0.049958,0.147466,0.597509,-0.049958,-0.147466,0.402491
0.050881,0.147643,0.596762,-0.050881,-0.147643,0.403238
0.051802,0.147813,0.596010,-0.051802,-0.147813,0.403990
0.052722,0.147976,0.595254,-0.052722,-0.147976,0.404746
0.053641,0.148134,0.594493,-0.053641,-0.148134,0.405507
0.054557,0.148285,0.593728,-0.054557,-0.148285,0.406272
0.055472,0.148430,0.592958,-0.055472,-0.148430,0.407042
0.056386,0.148569,0.592184,-0.056386,-0.148569,0.407816
0.057297,0.148702,0.591405,-0.057297,-0.148702,0.408595
0.058207,0.148828,0.590621,-0.058207,-0.148828,0.409379
0.059115,0.148948,0.589833,-0.059115,-0.148948,0.410167
0.060021,0.149061,0.589040,-0.060021,-0.149061,0.410960
0.060925,0.149168,0.588243,-0.060925,-0.149168,0.411757
0.061827,0.149269,0.587442,-0.061827,-0.149269,0.412558
0.062727,0.149364,0.586636,-0.062727,-0.149364,0.413364
0.063625,0.149451,0.585826,-0.063625,-0.149451,0.414174
0.064521,0.149533,0.585012,-0.064521,-0.149533,0.414988
0.065415,0.149608,0.584193,-0.065415,-0.149608,0.415807
0.066306,0.149676,0.583370,-0.066306,-0.149676,0.416630
0.067196,0.149738,0.582542,-0.067196,-0.149738,0.417458
0.068083,0.149793,0.581711,-0.068083,-0.149793,0.418289
0.068967,0.149842,0.580875,-0.068967,-0.149842,0.419125
0.069849,0.149885,0.580035,-0.069849,-0.149885,0.419965
0.070729,0.149920,0.579191,-0.070729,-0.149920,0.420809
0.071607,0.149950,0.578343,-0.071607,-0.149950,0.421657
0.072481,0.149972,0.577491,-0.072481,-0.149972,0.422509
0.073354,0.149988,0.576634,-0.073354,-0.149988,0.423366
0.074223,0.149997,0.575774,-0.074223,-0.149997,0.424226
0.075090,0.150000,0.574910,-0.075090,-0.150000,0.425090
