Rotation,Pitch,Elbow,Wrist_Pitch,Wrist_Roll,Jaw
0.000000,-0.129904,0.370096,-0.000000,0.129904,0.629904
0.004712,-0.127484,0.367804,-0.004712,0.127484,0.632196
0.009419,-0.124938,0.365643,-0.009419,0.124938,0.634357
0.014116,-0.122269,0.363615,-0.014116,0.122269,0.636385
0.018800,-0.119479,0.361721,-0.018800,0.119479,0.638279
0.023465,-0.116572,0.359963,-0.023465,0.116572,0.640037
0.028107,-0.113549,0.358344,-0.028107,0.113549,0.641656
0.032721,-0.110415,0.356864,-0.032721,0.110415,0.643136
0.037303,-0.107171,0.355526,-0.037303,0.107171,0.644474
0.041849,-0.103821,0.354330,-0.041849,0.103821,0.645670
0.046353,-0.100370,0.353278,-0.046353,0.100370,0.646722
0.050811,-0.096819,0.352371,-0.050811,0.096819,0.647629
0.055219,-0.093172,0.351609,-0.055219,0.093172,0.648391
0.059572,-0.089434,0.350994,-0.059572,0.089434,0.649006
0.063867,-0.085607,0.350526,-0.063867,0.085607,0.649474
0.068099,-0.081696,0.350206,-0.068099,0.081696,0.649794
0.072263,-0.077704,0.350033,-0.072263,0.077704,0.649967
0.076356,-0.073636,0.350008,-0.076356,0.073636,0.649992
0.080374,-0.069494,0.350132,-0.080374,0.069494,0.649868
0.084313,-0.065285,0.350403,-0.084313,0.065285,0.649597
0.088168,-0.061010,0.350822,-0.088168,0.061010,0.649178
0.091936,-0.056676,0.351388,-0.091936,0.056676,0.648612
0.095614,-0.052286,0.352101,-0.095614,0.052286,0.647899
0.099197,-0.047844,0.352959,-0.099197,0.047844,0.647041
0.102682,-0.043355,0.353963,-0.102682,0.043355,0.646037
0.106066,-0.038823,0.355111,-0.106066,0.038823,0.644889
0.109345,-0.034253,0.356402,-0.109345,0.034253,0.643598
0.112517,-0.029649,0.357835,-0.112517,0.029649,0.642165
0.115577,-0.025015,0.359408,-0.115577,0.025015,0.640592
0.118523,-0.020357,0.361119,-0.118523,0.020357,0.638881
0.121353,-0.015679,0.362968,-0.121353,0.015679,0.637032
0.124062,-0.010986,0.364952,-0.124062,0.010986,0.635048
0.126649,-0.006281,0.367069,-0.126649,0.006281,0.632931
0.129111,-0.001571,0.369318,-0.129111,0.001571,0.630682
0.131446,0.003141,0.371695,-0.131446,-0.003141,0.628305
0.133651,0.007850,0.374199,-0.133651,-0.007850,0.625801
0.135724,0.012552,0.376828,-0.135724,-0.012552,0.623172
0.137663,0.017241,0.379577,-0.137663,-0.017241,0.620423
0.139466,0.021912,0.382446,-0.139466,-0.021912,0.617554
0.141132,0.026563,0.385431,-0.141132,-0.026563,0.614569
0.142658,0.031187,0.388528,-0.142658,-0.031187,0.611472
0.144044,0.035780,0.391736,-0.144044,-0.035780,0.608264
0.145287,0.040338,0.395050,-0.145287,-0.040338,0.604950
0.146388,0.044856,0.398469,-0.146388,-0.044856,0.601531
0.147343,0.049330,0.401987,-0.147343,-0.049330,0.598013
0.148153,0.053755,0.405602,-0.148153,-0.053755,0.594398
0.148817,0.058127,0.409310,-0.148817,-0.058127,0.590690
0.149334,0.062442,0.413108,-0.149334,-0.062442,0.586892
0.149704,0.066695,0.416991,-0.149704,-0.066695,0.583009
0.149926,0.070883,0.420957,-0.149926,-0.070883,0.579043
0.150000,0.075000,0.425000,-0.150000,-0.075000,0.575000
0.149926,0.079043,0.429117,-0.149926,-0.079043,0.570883
0.149704,0.083009,0.433305,-0.149704,-0.083009,0.566695
0.149334,0.086892,0.437558,-0.149334,-0.086892,0.562442
0.148817,0.090690,0.441873,-0.148817,-0.090690,0.558127
0.148153,0.094398,0.446245,-0.148153,-0.094398,0.553755
0.147343,0.098013,0.450670,-0.147343,-0.098013,0.549330
0.146388,0.101531,0.455144,-0.146388,-0.101531,0.544856
0.145287,0.104950,0.459662,-0.145287,-0.104950,0.540338
0.144044,0.108264,0.464220,-0.144044,-0.108264,0.535780
0.142658,0.111472,0.468813,-0.142658,-0.111472,0.531187
0.141132,0.114569,0.473437,-0.141132,-0.114569,0.526563
0.139466,0.117554,0.478088,-0.139466,-0.117554,0.521912
0.137663,0.120423,0.482759,-0.137663,-0.120423,0.517241
0.135724,0.123172,0.487448,-0.135724,-0.123172,0.512552
0.133651,0.125801,0.492150,-0.133651,-0.125801,0.507850
0.131446,0.128305,0.496859,-0.131446,-0.128305,0.503141
0.129111,0.130682,0.501571,-0.129111,-0.130682,0.498429
0.126649,0.132931,0.506281,-0.126649,-0.132931,0.493719
0.124062,0.135048,0.510986,-0.124062,-0.135048,0.489014
0.121353,0.137032,0.515679,-0.121353,-0.137032,0.484321
0.118523,0.138881,0.520357,-0.118523,-0.138881,0.479643
0.115577,0.140592,0.525015,-0.115577,-0.140592,0.474985
0.112517,0.142165,0.529649,-0.112517,-0.142165,0.470351
0.109345,0.143598,0.534253,-0.109345,-0.143598,0.465747
0.106066,0.144889,0.538823,-0.106066,-0.144889,0.461177
0.102682,0.146037,0.543355,-0.102682,-0.146037,0.456645
0.099197,0.147041,0.547844,-0.099197,-0.147041,0.452156
0.095614,0.147899,0.552286,-0.095614,-0.147899,0.447714
0.091936,0.148612,0.556676,-0.091936,-0.148612,0.443324
0.088168,0.149178,0.561010,-0.088168,-0.149178,0.438990
0.084313,0.149597,0.565285,-0.084313,-0.149597,0.434715
