Rotation,Pitch,Elbow,Wrist_Pitch,Wrist_Roll,Jaw
0.000000,0.000000,0.500000,0.000000,0.000000,0.500000
0.000001,0.000000,0.500000,0.000000,0.000000,0.500000
0.000002,0.000002,0.500001,0.000001,0.000001,0.500001
0.000005,0.000004,0.500003,0.000003,0.000003,0.500003
0.000009,0.000007,0.500006,0.000006,0.000005,0.500006
0.000013,0.000011,0.500009,0.000009,0.000007,0.500009
0.000019,0.000015,0.500013,0.000013,0.000010,0.500013
0.000026,0.000021,0.500017,0.000017,0.000014,0.500017
0.000034,0.000027,0.500023,0.000023,0.000018,0.500023
0.000043,0.000035,0.500029,0.000029,0.000023,0.500029
0.000053,0.000043,0.500036,0.000036,0.000028,0.500036
0.000065,0.000052,0.500043,0.000043,0.000034,0.500043
0.000077,0.000061,0.500051,0.000051,0.000041,0.500051
0.000090,0.000072,0.500060,0.000060,0.000048,0.500060
0.000105,0.000084,0.500070,0.000070,0.000056,0.500070
0.000120,0.000096,0.500080,0.000080,0.000064,0.500080
0.000137,0.000109,0.500091,0.000091,0.000073,0.500091
0.000154,0.000123,0.500103,0.000103,0.000082,0.500103
0.000173,0.000138,0.500115,0.000115,0.000092,0.500115
0.000193,0.000154,0.500128,0.000128,0.000103,0.500128
0.000213,0.000171,0.500142,0.000142,0.000114,0.500142
0.000235,0.000188,0.500157,0.000157,0.000125,0.500157
0.000258,0.000207,0.500172,0.000172,0.000138,0.500172
0.000282,0.000226,0.500188,0.000188,0.000150,0.500188
0.000307,0.000246,0.500205,0.000205,0.000164,0.500205
0.000333,0.000267,0.500222,0.000222,0.000178,0.500222
0.000361,0.000288,0.500240,0.000240,0.000192,0.500240
0.000389,0.000311,0.500259,0.000259,0.000207,0.500259
0.000418,0.000335,0.500279,0.000279,0.000223,0.500279
0.000449,0.000359,0.500299,0.000299,0.000239,0.500299
0.000480,0.000384,0.500320,0.000320,0.000256,0.500320
0.000513,0.000410,0.500342,0.000342,0.000273,0.500342
0.000546,0.000437,0.500364,0.000364,0.000291,0.500364
0.000581,0.000465,0.500387,0.000387,0.000310,0.500387
0.000617,0.000493,0.500411,0.000411,0.000329,0.500411
0.000653,0.000523,0.500436,0.000436,0.000348,0.500436
0.000691,0.000553,0.500461,0.000461,0.000369,0.500461
0.000730,0.000584,0.500487,0.000487,0.000389,0.500487
0.000770,0.000616,0.500513,0.000513,0.000411,0.500513
0.000811,0.000649,0.500541,0.000541,0.000433,0.500541
0.000853,0.000683,0.500569,0.000569,0.000455,0.500569
0.000897,0.000717,0.500598,0.000598,0.000478,0.500598
0.000941,0.000753,0.500627,0.000627,0.000502,0.500627
0.000986,0.000789,0.500657,0.000657,0.000526,0.500657
0.001033,0.000826,0.500688,0.000688,0.000551,0.500688
0.001080,0.000864,0.500720,0.000720,0.000576,0.500720
0.001129,0.000903,0.500752,0.000752,0.000602,0.500752
0.001178,0.000943,0.500785,0.000785,0.000628,0.500785
0.001229,0.000983,0.500819,0.000819,0.000655,0.500819
0.001281,0.001024,0.500854,0.000854,0.000683,0.500854
0.001333,0.001067,0.500889,0.000889,0.000711,0.500889
0.001387,0.001110,0.500925,0.000925,0.000740,0.500925
0.001442,0.001154,0.500961,0.000961,0.000769,0.500961
0.001498,0.001199,0.500999,0.000999,0.000799,0.500999
0.001555,0.001244,0.501037,0.001037,0.000829,0.501037
0.001613,0.001291,0.501076,0.001076,0.000860,0.501076
0.001673,0.001338,0.501115,0.001115,0.000892,0.501115
0.001733,0.001386,0.501155,0.001155,0.000924,0.501155
0.001794,0.001435,0.501196,0.001196,0.000957,0.501196
0.001857,0.001485,0.501238,0.001238,0.000990,0.501238
0.001920,0.001536,0.501280,0.001280,0.001024,0.501280
0.001985,0.001588,0.501323,0.001323,0.001058,0.501323
0.002050,0.001640,0.501367,0.001367,0.001093,0.501367
0.002117,0.001693,0.501411,0.001411,0.001129,0.501411
0.002185,0.001748,0.501456,0.001456,0.001165,0.501456
0.002253,0.001803,0.501502,0.001502,0.001202,0.501502
0.002323,0.001859,0.501549,0.001549,0.001239,0.501549
0.002394,0.001915,0.501596,0.001596,0.001277,0.501596
0.002466,0.001973,0.501644,0.001644,0.001315,0.501644
0.002539,0.002031,0.501693,0.001693,0.001354,0.501693
0.002613,0.002091,0.501742,0.001742,0.001394,0.501742
0.002689,0.002151,0.501792,0.001792,0.001434,0.501792
0.002765,0.002212,0.501843,0.001843,0.001475,0.501843
0.002842,0.002274,0.501895,0.001895,0.001516,0.501895
0.002921,0.002336,0.501947,0.001947,0.001558,0.501947
0.003000,0.002400,0.502000,0.002000,0.001600,0.502000
0.003081,0.002464,0.502054,0.002054,0.001643,0.502054
0.003162,0.002530,0.502108,0.002108,0.001686,0.502108
0.003245,0.002596,0.502163,0.002163,0.001731,0.502163
0.003329,0.002663,0.502219,0.002219,0.001775,0.502219
0.003413,0.002731,0.502276,0.002276,0.001820,0.502276
0.003499,0.002799,0.502333,0.002333,0.001866,0.502333
