Rotation,Pitch,Elbow,Wrist_Pitch,Wrist_Roll,Jaw
0.000000,0.000000,0.500000,0.000000,0.000000,0.500000
0.000400,-0.000400,0.500400,-0.000400,0.000400,0.499600
0.000800,-0.000800,0.500800,-0.000800,0.000800,0.499200
0.001200,-0.001200,0.501200,-0.001200,0.001200,0.498800
0.001600,-0.001600,0.501600,-0.001600,0.001600,0.498400
0.002000,-0.002000,0.502000,-0.002000,0.002000,0.498000
0.002400,-0.002400,0.502400,-0.002400,0.002400,0.497600
0.002800,-0.002800,0.502800,-0.002800,0.002800,0.497200
0.003200,-0.003200,0.503200,-0.003200,0.003200,0.496800
0.003600,-0.003600,0.503600,-0.003600,0.003600,0.496400
0.004000,-0.004000,0.504000,-0.004000,0.004000,0.496000
0.004400,-0.004400,0.504400,-0.004400,0.004400,0.495600
0.004800,-0.004800,0.504800,-0.004800,0.004800,0.495200
0.005200,-0.005200,0.505200,-0.005200,0.005200,0.494800
0.005600,-0.005600,0.505600,-0.005600,0.005600,0.494400
0.006000,-0.006000,0.506000,-0.006000,0.006000,0.494000
0.006400,-0.006400,0.506400,-0.006400,0.006400,0.493600
0.006800,-0.006800,0.506800,-0.006800,0.006800,0.493200
0.007200,-0.007200,0.507200,-0.007200,0.007200,0.492800
0.007600,-0.007600,0.507600,-0.007600,0.007600,0.492400
0.008000,-0.008000,0.508000,-0.008000,0.008000,0.492000
0.008400,-0.008400,0.508400,-0.008400,0.008400,0.491600
0.008800,-0.008800,0.508800,-0.008800,0.008800,0.491200
0.009200,-0.009200,0.509200,-0.009200,0.009200,0.490800
0.009600,-0.009600,0.509600,-0.009600,0.009600,0.490400
0.010000,-0.010000,0.510000,-0.010000,0.010000,0.490000
0.010400,-0.010400,0.510400,-0.010400,0.010400,0.489600
0.010800,-0.010800,0.510800,-0.010800,0.010800,0.489200
0.011200,-0.011200,0.511200,-0.011200,0.011200,0.488800
0.011600,-0.011600,0.511600,-0.011600,0.011600,0.488400
0.012000,-0.012000,0.512000,-0.012000,0.012000,0.488000
0.012400,-0.012400,0.512400,-0.012400,0.012400,0.487600
0.012800,-0.012800,0.512800,-0.012800,0.012800,0.487200
0.013200,-0.013200,0.513200,-0.013200,0.013200,0.486800
0.013600,-0.013600,0.513600,-0.013600,0.013600,0.486400
0.014000,-0.014000,0.514000,-0.014000,0.014000,0.486000
0.014400,-0.014400,0.514400,-0.014400,0.014400,0.485600
0.014800,-0.014800,0.514800,-0.014800,0.014800,0.485200
0.015200,-0.015200,0.515200,-0.015200,0.015200,0.484800
0.015600,-0.015600,0.515600,-0.015600,0.015600,0.484400
0.016000,-0.016000,0.516000,-0.016000,0.016000,0.484000
0.016400,-0.016400,0.516400,-0.016400,0.016400,0.483600
0.016800,-0.016800,0.516800,-0.016800,0.016800,0.483200
0.017200,-0.017200,0.517200,-0.017200,0.017200,0.482800
0.017600,-0.017600,0.517600,-0.017600,0.017600,0.482400
0.018000,-0.018000,0.518000,-0.018000,0.018000,0.482000
0.018400,-0.018400,0.518400,-0.018400,0.018400,0.481600
0.018800,-0.018800,0.518800,-0.018800,0.018800,0.481200
0.019200,-0.019200,0.519200,-0.019200,0.019200,0.480800
0.019600,-0.019600,0.519600,-0.019600,0.019600,0.480400
0.020000,-0.020000,0.520000,-0.020000,0.020000,0.480000
0.020400,-0.020400,0.520400,-0.020400,0.020400,0.479600
0.020800,-0.020800,0.520800,-0.020800,0.020800,0.479200
0.021200,-0.021200,0.521200,-0.021200,0.021200,0.478800
0.021600,-0.021600,0.521600,-0.021600,0.021600,0.478400
0.022000,-0.022000,0.522000,-0.022000,0.022000,0.478000
0.022400,-0.022400,0.522400,-0.022400,0.022400,0.477600
0.022800,-0.022800,0.522800,-0.022800,0.022800,0.477200
0.023200,-0.023200,0.523200,-0.023200,0.023200,0.476800
0.023600,-0.023600,0.523600,-0.023600,0.023600,0.476400
0.024000,-0.024000,0.524000,-0.024000,0.024000,0.476000
0.024400,-0.024400,0.524400,-0.024400,0.024400,0.475600
0.024800,-0.024800,0.524800,-0.024800,0.024800,0.475200
0.025200,-0.025200,0.525200,-0.025200,0.025200,0.474800
0.025600,-0.025600,0.525600,-0.025600,0.025600,0.474400
0.026000,-0.026000,0.526000,-0.026000,0.026000,0.474000
0.026400,-0.026400,0.526400,-0.026400,0.026400,0.473600
0.026800,-0.026800,0.526800,-0.026800,0.026800,0.473200
0.027200,-0.027200,0.527200,-0.027200,0.027200,0.472800
0.027600,-0.027600,0.527600,-0.027600,0.027600,0.472400
0.028000,-0.028000,0.528000,-0.028000,0.028000,0.472000
0.028400,-0.028400,0.528400,-0.028400,0.028400,0.471600
0.028800,-0.028800,0.528800,-0.028800,0.028800,0.471200
0.029200,-0.029200,0.529200,-0.029200,0.029200,0.470800
0.029600,-0.029600,0.529600,-0.029600,0.029600,0.470400
0.030000,-0.030000,0.530000,-0.030000,0.030000,0.470000
0.030400,-0.030400,0.530400,-0.030400,0.030400,0.469600
0.030800,-0.030800,0.530800,-0.030800,0.030800,0.469200
0.031200,-0.031200,0.531200,-0.031200,0.031200,0.468800
0.031600,-0.031600,0.531600,-0.031600,0.031600,0.468400
0.032000,-0.032000,0.532000,-0.032000,0.032000,0.468000
0.032400,-0.032400,0.532400,-0.032400,0.032400,0.467600
0.032800,-0.032800,0.532800,-0.032800,0.032800,0.467200
0.033200,-0.033200,0.533200,-0.033200,0.033200,0.466800
0.033600,-0.033600,0.533600,-0.033600,0.033600,0.466400
0.034000,-0.034000,0.534000,-0.034000,0.034000,0.466000
0.034400,-0.034400,0.534400,-0.034400,0.034400,0.465600
0.034800,-0.034800,0.534800,-0.034800,0.034800,0.465200
0.035200,-0.035200,0.535200,-0.035200,0.035200,0.464800
0.035600,-0.035600,0.535600,-0.035600,0.035600,0.464400
0.036000,-0.036000,0.536000,-0.036000,0.036000,0.464000
0.036400,-0.036400,0.536400,-0.036400,0.036400,0.463600
0.036800,-0.036800,0.536800,-0.036800,0.036800,0.463200
0.037200,-0.037200,0.537200,-0.037200,0.037200,0.462800
0.037600,-0.037600,0.537600,-0.037600,0.037600,0.462400
0.038000,-0.038000,0.538000,-0.038000,0.038000,0.462000
0.038400,-0.038400,0.538400,-0.038400,0.038400,0.461600
0.038800,-0.038800,0.538800,-0.038800,0.038800,0.461200
0.039200,-0.039200,0.539200,-0.039200,0.039200,0.460800
0.039600,-0.039600,0.539600,-0.039600,0.039600,0.460400
0.040000,-0.040000,0.540000,-0.040000,0.040000,0.460000
0.040400,-0.040400,0.540400,-0.040400,0.040400,0.459600
0.040800,-0.040800,0.540800,-0.040800,0.040800,0.459200
0.041200,-0.041200,0.541200,-0.041200,0.041200,0.458800
0.041600,-0.041600,0.541600,-0.041600,0.041600,0.458400
0.042000,-0.042000,0.542000,-0.042000,0.042000,0.458000
0.042400,-0.042400,0.542400,-0.042400,0.042400,0.457600
0.042800,-0.042800,0.542800,-0.042800,0.042800,0.457200
0.043200,-0.043200,0.543200,-0.043200,0.043200,0.456800
0.043600,-0.043600,0.543600,-0.043600,0.043600,0.456400
0.044000,-0.044000,0.544000,-0.044000,0.044000,0.456000
0.044400,-0.044400,0.544400,-0.044400,0.044400,0.455600
0.044800,-0.044800,0.544800,-0.044800,0.044800,0.455200
0.045200,-0.045200,0.545200,-0.045200,0.045200,0.454800
0.045600,-0.045600,0.545600,-0.045600,0.045600,0.454400
0.046000,-0.046000,0.546000,-0.046000,0.046000,0.454000
0.046400,-0.046400,0.546400,-0.046400,0.046400,0.453600
0.046800,-0.046800,0.546800,-0.046800,0.046800,0.453200
0.047200,-0.047200,0.547200,-0.047200,0.047200,0.452800
0.047600,-0.047600,0.547600,-0.047600,0.047600,0.452400
0.048000,-0.048000,0.548000,-0.048000,0.048000,0.452000
0.048400,-0.048400,0.548400,-0.048400,0.048400,0.451600
0.048800,-0.048800,0.548800,-0.048800,0.048800,0.451200
0.049200,-0.049200,0.549200,-0.049200,0.049200,0.450800
0.049600,-0.049600,0.549600,-0.049600,0.049600,0.450400
0.050000,-0.050000,0.550000,-0.050000,0.050000,0.450000
0.050400,-0.050400,0.550400,-0.050400,0.050400,0.449600
0.050800,-0.050800,0.550800,-0.050800,0.050800,0.449200
0.051200,-0.051200,0.551200,-0.051200,0.051200,0.448800
0.051600,-0.051600,0.551600,-0.051600,0.051600,0.448400
0.052000,-0.052000,0.552000,-0.052000,0.052000,0.448000
0.052400,-0.052400,0.552400,-0.052400,0.052400,0.447600
0.052800,-0.052800,0.552800,-0.052800,0.052800,0.447200
0.053200,-0.053200,0.553200,-0.053200,0.053200,0.446800
0.053600,-0.053600,0.553600,-0.053600,0.053600,0.446400
0.054000,-0.054000,0.554000,-0.054000,0.054000,0.446000
0.054400,-0.054400,0.554400,-0.054400,0.054400,0.445600
0.054800,-0.054800,0.554800,-0.054800,0.054800,0.445200
0.055200,-0.055200,0.555200,-0.055200,0.055200,0.444800
0.055600,-0.055600,0.555600,-0.055600,0.055600,0.444400
0.056000,-0.056000,0.556000,-0.056000,0.056000,0.444000
0.056400,-0.056400,0.556400,-0.056400,0.056400,0.443600
0.056800,-0.056800,0.556800,-0.056800,0.056800,0.443200
0.057200,-0.057200,0.557200,-0.057200,0.057200,0.442800
0.057600,-0.057600,0.557600,-0.057600,0.057600,0.442400
0.058000,-0.058000,0.558000,-0.058000,0.058000,0.442000
0.058400,-0.058400,0.558400,-0.058400,0.058400,0.441600
0.058800,-0.058800,0.558800,-0.058800,0.058800,0.441200
0.059200,-0.059200,0.559200,-0.059200,0.059200,0.440800
0.059600,-0.059600,0.559600,-0.059600,0.059600,0.440400
0.060000,-0.060000,0.560000,-0.060000,0.060000,0.440000
0.060400,-0.060400,0.560400,-0.060400,0.060400,0.439600
0.060800,-0.060800,0.560800,-0.060800,0.060800,0.439200
0.061200,-0.061200,0.561200,-0.061200,0.061200,0.438800
0.061600,-0.061600,0.561600,-0.061600,0.061600,0.438400
0.062000,-0.062000,0.562000,-0.062000,0.062000,0.438000
0.062400,-0.062400,0.562400,-0.062400,0.062400,0.437600
0.062800,-0.062800,0.562800,-0.062800,0.062800,0.437200
0.063200,-0.063200,0.563200,-0.063200,0.063200,0.436800
0.063600,-0.063600,0.563600,-0.063600,0.063600,0.436400
0.064000,-0.064000,0.564000,-0.064000,0.064000,0.436000
0.064400,-0.064400,0.564400,-0.064400,0.064400,0.435600
0.064800,-0.064800,0.564800,-0.064800,0.064800,0.435200
0.065200,-0.065200,0.565200,-0.065200,0.065200,0.434800
0.065600,-0.065600,0.565600,-0.065600,0.065600,0.434400
0.066000,-0.066000,0.566000,-0.066000,0.066000,0.434000
0.066400,-0.066400,0.566400,-0.066400,0.066400,0.433600
0.066800,-0.066800,0.566800,-0.066800,0.066800,0.433200
0.067200,-0.067200,0.567200,-0.067200,0.067200,0.432800
0.067600,-0.067600,0.567600,-0.067600,0.067600,0.432400
0.068000,-0.068000,0.568000,-0.068000,0.068000,0.432000
0.068400,-0.068400,0.568400,-0.068400,0.068400,0.431600
0.068800,-0.068800,0.568800,-0.068800,0.068800,0.431200
0.069200,-0.069200,0.569200,-0.069200,0.069200,0.430800
0.069600,-0.069600,0.569600,-0.069600,0.069600,0.430400
0.070000,-0.070000,0.570000,-0.070000,0.070000,0.430000
0.070400,-0.070400,0.570400,-0.070400,0.070400,0.429600
0.070800,-0.070800,0.570800,-0.070800,0.070800,0.429200
0.071200,-0.071200,0.571200,-0.071200,0.071200,0.428800
0.071600,-0.071600,0.571600,-0.071600,0.071600,0.428400
0.072000,-0.072000,0.572000,-0.072000,0.072000,0.428000
0.072400,-0.072400,0.572400,-0.072400,0.072400,0.427600
0.072800,-0.072800,0.572800,-0.072800,0.072800,0.427200
