l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
0.11337152,-2.17000008,-1.14154613,-0.55253232,0.06069144,0.00000000,0.00000000,0.02626415,2.17000008,0.81810868,0.36024758,-0.03139691,0.00000000,0.00000000
0.11517932,-2.17000008,-1.13989055,-0.55398059,0.07122637,0.00000000,0.00000000,0.02420943,2.17000008,0.81912702,0.35917416,0.00297323,0.00000000,0.00000000
0.11742353,-2.17000008,-1.13780069,-0.55620044,0.08037828,0.00000000,0.00000000,0.02238786,2.17000008,0.82090449,0.35897854,0.03081848,0.00000000,0.00000000
0.11932982,-2.17000008,-1.13652301,-0.55828786,0.08611290,0.00000000,0.00000000,0.02119226,2.17000008,0.82366246,0.35916349,0.03871989,0.00000000,0.00000000
0.12077696,-2.17000008,-1.13656688,-0.55980837,0.08613402,0.00000000,0.00000000,0.01949716,2.17000008,0.82725847,0.35938519,0.03017917,0.00000000,0.00000000
0.12181145,-2.17000008,-1.13755870,-0.56106901,0.08732951,0.00000000,0.00000000,0.01765017,2.17000008,0.83148736,0.36042801,0.04046239,0.00000000,0.00000000
0.12247245,-2.17000008,-1.13924241,-0.56221235,0.07296062,0.00000000,0.00000000,0.01700130,2.17000008,0.83675742,0.36223105,0.05985243,0.00000000,0.00000000
0.12293976,-2.17000008,-1.14159119,-0.56324720,0.06339446,0.00000000,0.00000000,0.01631591,2.17000008,0.84306294,0.36444995,0.08740696,0.00000000,0.00000000
0.12340692,-2.17000008,-1.14423430,-0.56465685,0.04481713,0.00000000,0.00000000,0.01559934,2.17000008,0.85045487,0.36753386,0.09117763,0.00000000,0.00000000
0.12391751,-2.17000008,-1.14712632,-0.56658340,0.02854464,0.00000000,0.00000000,0.01461138,2.17000008,0.85910523,0.37140048,0.06561085,0.00000000,0.00000000
0.12472770,-2.17000008,-1.15015006,-0.56917000,0.01271193,0.00000000,0.00000000,0.01316023,2.17000008,0.86908269,0.37644392,0.05540607,0.00000000,0.00000000
0.12617408,-2.17000008,-1.15328979,-0.57260364,-0.01099368,0.00000000,0.00000000,0.01079297,2.17000008,0.88060367,0.38275602,0.05821199,0.00000000,0.00000000
0.12833664,-2.17000008,-1.15717411,-0.57661092,-0.04148183,0.00000000,0.00000000,0.00817361,2.17000008,0.89452201,0.38996083,0.09686857,0.00000000,0.00000000
0.13255419,-2.17000008,-1.16185856,-0.58085763,-0.06542327,0.00000000,0.00000000,0.00474537,2.17000008,0.91126430,0.39803109,0.12705910,0.00000000,0.00000000
0.13990369,-2.16994667,-1.16777980,-0.58491272,-0.08860605,0.00000000,0.00000000,0.00041510,2.17000008,0.93116474,0.40773845,0.15266362,0.00000000,0.00000000
0.14092514,-2.16923475,-1.17778432,-0.59360313,-0.10446591,0.00000000,0.00000000,-0.00596652,2.17000008,0.95431757,0.42008731,0.16800404,0.00000000,0.00000000
0.12714173,-2.16813850,-1.19243419,-0.61294657,-0.10483631,0.00000000,0.00000000,-0.01469911,2.17000008,0.98156875,0.43553311,0.19699320,0.00000000,0.00000000
0.13556106,-2.16923475,-1.20673978,-0.62359720,-0.09053596,0.00000000,0.00000000,-0.02670157,2.17000008,1.01446879,0.45320493,0.23111017,0.00000000,0.00000000
0.16763949,-2.16994715,-1.22584927,-0.62476164,-0.07048358,0.00000000,0.00000000,-0.04157632,2.17000008,1.05447841,0.47440606,0.25913167,0.00000000,0.00000000
0.18750757,-2.17000008,-1.25758755,-0.63788337,-0.03582122,0.00000000,0.00000000,-0.05978316,2.17000008,1.10354984,0.49944437,0.29819897,0.00000000,0.00000000
0.20715535,-2.17000008,-1.30368209,-0.65596277,0.00549800,0.00000000,0.00000000,-0.08305149,2.17000008,1.16365564,0.52821946,0.33808652,0.00000000,0.00000000
0.23748635,-2.17000008,-1.36691523,-0.67327160,0.03705871,0.00000000,0.00000000,-0.11344633,2.17000008,1.23650992,0.56162500,0.37103391,0.00000000,0.00000000
