l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-0.17097251,-0.05443142,0.22567618,0.52070230,0.05296447,0.00000000,0.00000000,-1.29068244,1.33203351,-0.11415339,-1.94670153,0.08722739,0.00000000,0.00000000
-0.16377990,-0.05708238,0.22725643,0.52425605,0.05724853,0.00000000,0.00000000,-1.29306078,1.32872140,-0.11519587,-1.94716656,0.09479399,0.00000000,0.00000000
-0.15128322,-0.05904435,0.22964415,0.53195441,0.06224431,0.00000000,0.00000000,-1.29662764,1.32334352,-0.11580762,-1.94701362,0.10252573,0.00000000,0.00000000
-0.13515615,-0.06236844,0.23237984,0.54155880,0.06335110,0.00000000,0.00000000,-1.30025840,1.31666028,-0.11454596,-1.94563949,0.10987239,0.00000000,0.00000000
-0.11632188,-0.06760053,0.23520175,0.55187565,0.06966081,0.00000000,0.00000000,-1.30360651,1.30901039,-0.11118855,-1.94300127,0.11930969,0.00000000,0.00000000
-0.09522156,-0.07323716,0.23792213,0.56305349,0.07402998,0.00000000,0.00000000,-1.30637980,1.30029142,-0.10560278,-1.93954730,0.13041531,0.00000000,0.00000000
-0.07246496,-0.07887502,0.24034895,0.57469147,0.07964455,0.00000000,0.00000000,-1.30873203,1.29071867,-0.09821953,-1.93541086,0.13937677,0.00000000,0.00000000
-0.04866709,-0.08468439,0.24232766,0.58625132,0.08566549,0.00000000,0.00000000,-1.31119084,1.28068972,-0.08995787,-1.93069172,0.15074033,0.00000000,0.00000000
-0.02448802,-0.09102568,0.24370515,0.59716195,0.09216690,0.00000000,0.00000000,-1.31414926,1.27055955,-0.08152056,-1.92560875,0.15937440,0.00000000,0.00000000
-0.00024449,-0.09807587,0.24445224,0.60713989,0.09853329,0.00000000,0.00000000,-1.31764495,1.26026165,-0.07311217,-1.92053878,0.17059821,0.00000000,0.00000000
0.02374561,-0.10600732,0.24453844,0.61600167,0.10409778,0.00000000,0.00000000,-1.32189560,1.25010514,-0.06513987,-1.91545856,0.17770515,0.00000000,0.00000000
0.04769523,-0.11467480,0.24412747,0.62393570,0.11259606,0.00000000,0.00000000,-1.32683158,1.23973703,-0.05764207,-1.91060114,0.18076614,0.00000000,0.00000000
