l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-2.54932261,-0.41003865,-0.08326613,-0.31063706,-0.05525821,0.00000000,0.00000000,-3.00999999,0.67897689,0.47864190,0.14663845,-0.05922183,0.00000000,0.00000000
-2.54987550,-0.41042909,-0.08283016,-0.31050935,-0.06339111,0.00000000,0.00000000,-3.00999999,0.67824328,0.47885907,0.14638877,-0.08001279,0.00000000,0.00000000
-2.55089498,-0.41123760,-0.08200544,-0.31028146,-0.07334794,0.00000000,0.00000000,-3.00999999,0.67717850,0.47928596,0.14601618,-0.10733249,0.00000000,0.00000000
-2.55230570,-0.41247630,-0.08082973,-0.30993947,-0.08885130,0.00000000,0.00000000,-3.00997353,0.67594373,0.47995025,0.14557248,-0.13537274,0.00000000,0.00000000
-2.55401421,-0.41409567,-0.07934296,-0.30947882,-0.10556027,0.00000000,0.00000000,-3.00954151,0.67455840,0.48089454,0.14511408,-0.16910867,0.00000000,0.00000000
-2.55590439,-0.41604123,-0.07759831,-0.30892354,-0.12725034,0.00000000,0.00000000,-3.00778675,0.67305952,0.48216856,0.14473625,-0.19158997,0.00000000,0.00000000
-2.55785346,-0.41830701,-0.07565617,-0.30833358,-0.14903459,0.00000000,0.00000000,-3.00437593,0.67153841,0.48381612,0.14447720,-0.22152628,0.00000000,0.00000000
-2.55975294,-0.42088798,-0.07355351,-0.30777201,-0.15734918,0.00000000,0.00000000,-2.99939227,0.67013693,0.48587140,0.14433636,-0.25414971,0.00000000,0.00000000
-2.56152582,-0.42369941,-0.07129615,-0.30722091,-0.16215727,0.00000000,0.00000000,-2.99292874,0.66902953,0.48835942,0.14434835,-0.29773125,0.00000000,0.00000000
-2.56314731,-0.42656240,-0.06885013,-0.30656579,-0.15797971,0.00000000,0.00000000,-2.98503637,0.66830111,0.49129692,0.14452074,-0.34338871,0.00000000,0.00000000
-2.56462574,-0.42932519,-0.06614666,-0.30572659,-0.16606161,0.00000000,0.00000000,-2.97572708,0.66783446,0.49469846,0.14474654,-0.38104364,0.00000000,0.00000000
-2.56594872,-0.43193102,-0.06311988,-0.30471429,-0.16891411,0.00000000,0.00000000,-2.96499205,0.66748232,0.49858454,0.14484961,-0.43542948,0.00000000,0.00000000
-2.56707311,-0.43439612,-0.05972194,-0.30360258,-0.16463247,0.00000000,0.00000000,-2.95280600,0.66720057,0.50297678,0.14467579,-0.48937491,0.00000000,0.00000000
