l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-2.87000370,-0.53739536,0.09811319,-0.24240048,-0.01980212,0.00000000,0.00000000,-1.55936122,0.92412037,0.18068670,-0.04681541,-0.09696727,0.00000000,0.00000000
-2.86986780,-0.53648186,0.09857333,-0.24210808,-0.01133996,0.00000000,0.00000000,-1.55858696,0.92358625,0.18155564,-0.04670820,-0.11611590,0.00000000,0.00000000
-2.86954927,-0.53543293,0.09939685,-0.24184409,-0.00163353,0.00000000,0.00000000,-1.55705285,0.92260295,0.18322930,-0.04652349,-0.12313176,0.00000000,0.00000000
-2.86896420,-0.53474319,0.10048789,-0.24175139,0.01203732,0.00000000,0.00000000,-1.55470800,0.92135805,0.18569136,-0.04632280,-0.12287997,0.00000000,0.00000000
-2.86803317,-0.53455240,0.10176667,-0.24178737,0.02262558,0.00000000,0.00000000,-1.55149710,0.92007649,0.18892507,-0.04613940,-0.12267979,0.00000000,0.00000000
-2.86671185,-0.53487295,0.10320795,-0.24189828,0.03928725,0.00000000,0.00000000,-1.54738963,0.91879064,0.19292450,-0.04603334,-0.12808032,0.00000000,0.00000000
-2.86495256,-0.53567308,0.10479446,-0.24203938,0.04975103,0.00000000,0.00000000,-1.54237890,0.91762847,0.19769156,-0.04597035,-0.13437931,0.00000000,0.00000000
-2.86273837,-0.53685135,0.10654506,-0.24217044,0.05965888,0.00000000,0.00000000,-1.53644907,0.91658002,0.20322898,-0.04592782,-0.14964077,0.00000000,0.00000000
-2.86006474,-0.53822958,0.10851387,-0.24223755,0.06372073,0.00000000,0.00000000,-1.52957726,0.91549879,0.20953897,-0.04597756,-0.16825709,0.00000000,0.00000000
-2.85691762,-0.53971124,0.11074841,-0.24222162,0.06248776,0.00000000,0.00000000,-1.52176142,0.91426003,0.21662550,-0.04618924,-0.19176379,0.00000000,0.00000000
-2.85326338,-0.54126215,0.11327708,-0.24212143,0.07353976,0.00000000,0.00000000,-1.51302183,0.91283911,0.22449739,-0.04657472,-0.20643479,0.00000000,0.00000000
-2.84907770,-0.54281127,0.11614151,-0.24193367,0.07892475,0.00000000,0.00000000,-1.50337291,0.91121864,0.23317482,-0.04701163,-0.20868818,0.00000000,0.00000000
-2.84434199,-0.54427123,0.11939909,-0.24168380,0.08747087,0.00000000,0.00000000,-1.49281847,0.90937853,0.24268699,-0.04727480,-0.21738937,0.00000000,0.00000000
-2.83898854,-0.54562443,0.12307542,-0.24141940,0.09482583,0.00000000,0.00000000,-1.48140216,0.90743363,0.25306514,-0.04725835,-0.21796292,0.00000000,0.00000000
-2.83292317,-0.54695266,0.12716401,-0.24120079,0.08448866,0.00000000,0.00000000,-1.46920967,0.90554088,0.26434553,-0.04695801,-0.21031356,0.00000000,0.00000000
-2.82603550,-0.54832464,0.13165136,-0.24104787,0.09292171,0.00000000,0.00000000,-1.45633924,0.90384537,0.27656665,-0.04641299,-0.21899335,0.00000000,0.00000000
-2.81819820,-0.54974514,0.13653362,-0.24093430,0.10276736,0.00000000,0.00000000,-1.44289649,0.90246111,0.28976691,-0.04572754,-0.24738000,0.00000000,0.00000000
-2.80926609,-0.55119896,0.14182031,-0.24083331,0.12201387,0.00000000,0.00000000,-1.42899370,0.90146267,0.30398059,-0.04507278,-0.29065153,0.00000000,0.00000000
-2.79909348,-0.55267996,0.14754488,-0.24074046,0.14096674,0.00000000,0.00000000,-1.41473234,0.90086716,0.31923553,-0.04460714,-0.34324500,0.00000000,0.00000000
-2.78755641,-0.55418974,0.15378648,-0.24067660,0.15796970,0.00000000,0.00000000,-1.40018106,0.90057349,0.33555526,-0.04439204,-0.38204214,0.00000000,0.00000000
-2.77454996,-0.55564684,0.16066800,-0.24063084,0.18314444,0.00000000,0.00000000,-1.38535190,0.90037811,0.35295591,-0.04443174,-0.42383149,0.00000000,0.00000000
-2.75997591,-0.55692989,0.16833439,-0.24059394,0.21881481,0.00000000,0.00000000,-1.37020540,0.90004683,0.37144953,-0.04468403,-0.45271978,0.00000000,0.00000000
-2.74372029,-0.55793500,0.17693466,-0.24058798,0.27013221,0.00000000,0.00000000,-1.35466635,0.89942420,0.39104545,-0.04502740,-0.48297516,0.00000000,0.00000000
-2.72564721,-0.55857348,0.18661788,-0.24064983,0.32848522,0.00000000,0.00000000,-1.33864093,0.89842045,0.41175160,-0.04532672,-0.51274401,0.00000000,0.00000000
-2.70558357,-0.55879915,0.19752616,-0.24083163,0.37741110,0.00000000,0.00000000,-1.32203865,0.89696699,0.43357691,-0.04550444,-0.54769576,0.00000000,0.00000000
-2.68329310,-0.55858421,0.20976856,-0.24115756,0.42750579,0.00000000,0.00000000,-1.30480087,0.89511263,0.45652878,-0.04555243,-0.58040410,0.00000000,0.00000000
