l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-2.60645843,-0.45237422,0.14165200,-0.49057105,-0.14302206,0.00000000,0.00000000,-1.66654265,0.77424908,0.12876196,-0.34431145,-0.10621704,0.00000000,0.00000000
-2.60591006,-0.45334390,0.14191845,-0.49093878,-0.15798377,0.00000000,0.00000000,-1.66664386,0.77348125,0.12788536,-0.34475809,-0.11483958,0.00000000,0.00000000
-2.60483503,-0.45472509,0.14241174,-0.49138778,-0.16862200,0.00000000,0.00000000,-1.66676128,0.77223933,0.12624757,-0.34551573,-0.12727968,0.00000000,0.00000000
-2.60320854,-0.45620361,0.14308402,-0.49177873,-0.17666313,0.00000000,0.00000000,-1.66675782,0.77084023,0.12395068,-0.34645113,-0.13682331,0.00000000,0.00000000
-2.60099792,-0.45772114,0.14388376,-0.49213064,-0.18822084,0.00000000,0.00000000,-1.66646802,0.76960278,0.12111904,-0.34743637,-0.14844045,0.00000000,0.00000000
-2.59817433,-0.45926869,0.14479366,-0.49247620,-0.19764441,0.00000000,0.00000000,-1.66573501,0.76873440,0.11786342,-0.34840891,-0.16145675,0.00000000,0.00000000
-2.59471107,-0.46080053,0.14586121,-0.49279666,-0.20979139,0.00000000,0.00000000,-1.66443110,0.76822770,0.11426567,-0.34942469,-0.17635763,0.00000000,0.00000000
-2.59057832,-0.46222660,0.14717485,-0.49304566,-0.22248805,0.00000000,0.00000000,-1.66247666,0.76795131,0.11036176,-0.35061044,-0.19184065,0.00000000,0.00000000
-2.58574128,-0.46340260,0.14879562,-0.49317291,-0.23800950,0.00000000,0.00000000,-1.65986800,0.76785523,0.10611734,-0.35205525,-0.20384490,0.00000000,0.00000000
-2.58015919,-0.46420372,0.15073384,-0.49315232,-0.25725117,0.00000000,0.00000000,-1.65666616,0.76800364,0.10143717,-0.35378465,-0.21601395,0.00000000,0.00000000
-2.57377982,-0.46464941,0.15299216,-0.49301979,-0.28214407,0.00000000,0.00000000,-1.65294230,0.76843125,0.09621407,-0.35582155,-0.22681470,0.00000000,0.00000000
-2.56653428,-0.46486974,0.15558718,-0.49284169,-0.30733302,0.00000000,0.00000000,-1.64874780,0.76911080,0.09035750,-0.35820019,-0.23614918,0.00000000,0.00000000
-2.55834270,-0.46494600,0.15851898,-0.49263340,-0.33246025,0.00000000,0.00000000,-1.64413261,0.77006918,0.08377633,-0.36091530,-0.24214464,0.00000000,0.00000000
-2.54912257,-0.46491301,0.16176672,-0.49236497,-0.35786217,0.00000000,0.00000000,-1.63915098,0.77138430,0.07637303,-0.36393243,-0.24795642,0.00000000,0.00000000
-2.53879452,-0.46489373,0.16533050,-0.49204132,-0.38675147,0.00000000,0.00000000,-1.63382471,0.77304447,0.06807885,-0.36726546,-0.25430048,0.00000000,0.00000000
-2.52728653,-0.46503541,0.16924554,-0.49168187,-0.41472438,0.00000000,0.00000000,-1.62811196,0.77495921,0.05888304,-0.37097672,-0.25967869,0.00000000,0.00000000
-2.51452947,-0.46529648,0.17354167,-0.49120530,-0.44300207,0.00000000,0.00000000,-1.62192118,0.77714729,0.04882112,-0.37508270,-0.26085216,0.00000000,0.00000000
-2.50044417,-0.46548930,0.17821556,-0.49043021,-0.46870109,0.00000000,0.00000000,-1.61513948,0.77976322,0.03795051,-0.37953085,-0.25903076,0.00000000,0.00000000
-2.48494029,-0.46559107,0.18323827,-0.48922884,-0.50138599,0.00000000,0.00000000,-1.60763907,0.78291351,0.02634650,-0.38428006,-0.25382590,0.00000000,0.00000000
-2.46791792,-0.46588501,0.18855618,-0.48761484,-0.53029877,0.00000000,0.00000000,-1.59926546,0.78658599,0.01411607,-0.38933352,-0.24587448,0.00000000,0.00000000
-2.44927669,-0.46675411,0.19408646,-0.48565987,-0.56154931,0.00000000,0.00000000,-1.58982980,0.79078680,0.00140930,-0.39467293,-0.23788878,0.00000000,0.00000000
-2.42890978,-0.46851906,0.19972597,-0.48341826,-0.59235954,0.00000000,0.00000000,-1.57911694,0.79560745,-0.01158554,-0.40022761,-0.23429547,0.00000000,0.00000000
-2.40671730,-0.47154385,0.20535453,-0.48096627,-0.62033987,0.00000000,0.00000000,-1.56691658,0.80110866,-0.02466933,-0.40593708,-0.22605275,0.00000000,0.00000000
-2.38261580,-0.47630271,0.21083139,-0.47842112,-0.64536721,0.00000000,0.00000000,-1.55307043,0.80725235,-0.03767821,-0.41179347,-0.22098073,0.00000000,0.00000000
-2.35656071,-0.48289421,0.21611100,-0.47576988,-0.66658950,0.00000000,0.00000000,-1.53758585,0.81396812,-0.05061224,-0.41787723,-0.21952964,0.00000000,0.00000000
-2.32855058,-0.49063221,0.22136028,-0.47274703,-0.69039387,0.00000000,0.00000000,-1.52069414,0.82120895,-0.06370708,-0.42438000,-0.22176577,0.00000000,0.00000000
-2.29858279,-0.49933901,0.22660965,-0.46927226,-0.70979267,0.00000000,0.00000000,-1.50248694,0.82898694,-0.07703810,-0.43134046,-0.22375736,0.00000000,0.00000000
-2.26666021,-0.50906098,0.23183429,-0.46533403,-0.73238736,0.00000000,0.00000000,-1.48298085,0.83731908,-0.09058803,-0.43872577,-0.23119672,0.00000000,0.00000000
-2.23279905,-0.51971865,0.23702976,-0.46085685,-0.75613976,0.00000000,0.00000000,-1.46218705,0.84622025,-0.10431789,-0.44649088,-0.23573989,0.00000000,0.00000000
-2.19703364,-0.53127354,0.24214388,-0.45575613,-0.77879238,0.00000000,0.00000000,-1.44006073,0.85568130,-0.11810066,-0.45454714,-0.23658077,0.00000000,0.00000000
-2.15941596,-0.54371595,0.24708414,-0.44994405,-0.79420966,0.00000000,0.00000000,-1.41653144,0.86568403,-0.13174887,-0.46275648,-0.24192163,0.00000000,0.00000000
-2.12002921,-0.55707890,0.25170183,-0.44334149,-0.81135952,0.00000000,0.00000000,-1.39152288,0.87624222,-0.14503336,-0.47092381,-0.24564089,0.00000000,0.00000000
-2.07900000,-0.57141811,0.25577614,-0.43586287,-0.83449101,0.00000000,0.00000000,-1.36494732,0.88742310,-0.15766644,-0.47879493,-0.24917813,0.00000000,0.00000000
-2.03649330,-0.58674943,0.25903630,-0.42738193,-0.85719329,0.00000000,0.00000000,-1.33671010,0.89928699,-0.16929950,-0.48611358,-0.25111675,0.00000000,0.00000000
-1.99271381,-0.60304826,0.26119846,-0.41772985,-0.88306886,0.00000000,0.00000000,-1.30674553,0.91178304,-0.17957549,-0.49271408,-0.25711548,0.00000000,0.00000000
-1.94789946,-0.62029308,0.26200551,-0.40673858,-0.90562624,0.00000000,0.00000000,-1.27508020,0.92472899,-0.18823454,-0.49855325,-0.25952730,0.00000000,0.00000000
-1.90231645,-0.63847971,0.26127177,-0.39430615,-0.92921221,0.00000000,0.00000000,-1.24187589,0.93789887,-0.19520475,-0.50365299,-0.26004395,0.00000000,0.00000000
-1.85624230,-0.65760761,0.25891000,-0.38043329,-0.95300144,0.00000000,0.00000000,-1.20740664,0.95109552,-0.20059544,-0.50804633,-0.26899701,0.00000000,0.00000000
-1.80995154,-0.67763484,0.25492701,-0.36518306,-0.97055453,0.00000000,0.00000000,-1.17199063,0.96416903,-0.20461008,-0.51176739,-0.27793607,0.00000000,0.00000000
-1.76370144,-0.69841701,0.24940634,-0.34860599,-0.98477131,0.00000000,0.00000000,-1.13593638,0.97703141,-0.20746517,-0.51483959,-0.28997049,0.00000000,0.00000000
-1.71772516,-0.71970266,0.24249305,-0.33072826,-0.99355930,0.00000000,0.00000000,-1.09952819,0.98965627,-0.20935498,-0.51724613,-0.30323154,0.00000000,0.00000000
-1.67223287,-0.74121976,0.23437113,-0.31160992,-1.00230491,0.00000000,0.00000000,-1.06302309,1.00199068,-0.21042819,-0.51894635,-0.31618950,0.00000000,0.00000000
-1.62741768,-0.76273412,0.22523513,-0.29136431,-1.00946116,0.00000000,0.00000000,-1.02663708,1.01383853,-0.21075162,-0.51994199,-0.32734653,0.00000000,0.00000000
-1.58345592,-0.78401041,0.21527508,-0.27010643,-1.01822865,0.00000000,0.00000000,-0.99053705,1.02484798,-0.21030289,-0.52032053,-0.33287084,0.00000000,0.00000000
-1.54049742,-0.80475587,0.20468195,-0.24791355,-1.02227545,0.00000000,0.00000000,-0.95485556,1.03462517,-0.20902103,-0.52021962,-0.34362537,0.00000000,0.00000000
-1.49864435,-0.82464176,0.19365871,-0.22484970,-1.01615977,0.00000000,0.00000000,-0.91971189,1.04286730,-0.20687672,-0.51974595,-0.35379940,0.00000000,0.00000000
-1.45793533,-0.84338957,0.18242133,-0.20101461,-1.01055944,0.00000000,0.00000000,-0.88521218,1.04943871,-0.20391306,-0.51892495,-0.36602321,0.00000000,0.00000000
-1.41834056,-0.86085862,0.17118861,-0.17657636,-1.00627768,0.00000000,0.00000000,-0.85142952,1.05437613,-0.20024624,-0.51771766,-0.38100016,0.00000000,0.00000000
-1.37976837,-0.87708938,0.16016631,-0.15178813,-1.00011408,0.00000000,0.00000000,-0.81837940,1.05784190,-0.19603407,-0.51608109,-0.40005606,0.00000000,0.00000000
-1.34208035,-0.89228582,0.14953129,-0.12697963,-0.99388433,0.00000000,0.00000000,-0.78600413,1.06005740,-0.19142133,-0.51400411,-0.41711196,0.00000000,0.00000000
-1.30511451,-0.90669882,0.13941756,-0.10248178,-0.99289149,0.00000000,0.00000000,-0.75417358,1.06125867,-0.18647230,-0.51147336,-0.42588109,0.00000000,0.00000000
-1.26871896,-0.92045224,0.12990625,-0.07850732,-0.99012607,0.00000000,0.00000000,-0.72270352,1.06168127,-0.18112029,-0.50840974,-0.43405777,0.00000000,0.00000000
-1.23277473,-0.93348598,0.12102384,-0.05511428,-0.99599320,0.00000000,0.00000000,-0.69136947,1.06154060,-0.17516385,-0.50465220,-0.43982291,0.00000000,0.00000000
-1.19719636,-0.94567782,0.11275011,-0.03228603,-0.99800581,0.00000000,0.00000000,-0.65989757,1.06099200,-0.16829140,-0.49999946,-0.44811830,0.00000000,0.00000000
-1.16190839,-0.95700544,0.10502885,-0.01002474,-0.99810940,0.00000000,0.00000000,-0.62795508,1.06009161,-0.16010314,-0.49425331,-0.45345169,0.00000000,0.00000000
-1.12682056,-0.96759117,0.09777270,0.01162597,-1.00211668,0.00000000,0.00000000,-0.59516597,1.05880868,-0.15012567,-0.48722056,-0.45657608,0.00000000,0.00000000
-1.09182608,-0.97765106,0.09086213,0.03258595,-1.01130319,0.00000000,0.00000000,-0.56113368,1.05712140,-0.13783063,-0.47867534,-0.45871893,0.00000000,0.00000000
-1.05681121,-0.98745608,0.08414496,0.05272407,-1.01932096,0.00000000,0.00000000,-0.52545661,1.05510545,-0.12266040,-0.46833810,-0.47048774,0.00000000,0.00000000
-1.02166533,-0.99732780,0.07743926,0.07186180,-1.02532947,0.00000000,0.00000000,-0.48776007,1.05292642,-0.10406714,-0.45590866,-0.47763941,0.00000000,0.00000000
-0.98627853,-1.00765753,0.07053721,0.08980424,-1.03080630,0.00000000,0.00000000,-0.44774494,1.05083930,-0.08157220,-0.44109043,-0.47843325,0.00000000,0.00000000
-0.95052826,-1.01898062,0.06320804,0.10632548,-1.03962314,0.00000000,0.00000000,-0.40522274,1.04941463,-0.05483574,-0.42349330,-0.48054922,0.00000000,0.00000000
-0.91425598,-1.03209007,0.05520093,0.12109194,-1.04767525,0.00000000,0.00000000,-0.36012903,1.04996002,-0.02369445,-0.40243238,-0.48693773,0.00000000,0.00000000
-0.87725246,-1.04809976,0.04625464,0.13360868,-1.05273390,0.00000000,0.00000000,-0.31253853,1.05475569,0.01186627,-0.37682664,-0.49753153,0.00000000,0.00000000
-0.83927506,-1.06839216,0.03612338,0.14324458,-1.05508292,0.00000000,0.00000000,-0.26270249,1.06667256,0.05176820,-0.34542722,-0.50510442,0.00000000,0.00000000
-0.80009228,-1.09443533,0.02461484,0.14931166,-1.06069088,0.00000000,0.00000000,-0.21112251,1.08830822,0.09584865,-0.30729449,-0.51357085,0.00000000,0.00000000
-0.75952291,-1.12752986,0.01162462,0.15116216,-1.06295836,0.00000000,0.00000000,-0.15864965,1.12126625,0.14381365,-0.26215366,-0.52501631,0.00000000,0.00000000
-0.71746802,-1.16849005,-0.00284328,0.14831644,-1.05813694,0.00000000,0.00000000,-0.10656919,1.16594124,0.19519283,-0.21043648,-0.53014660,0.00000000,0.00000000
-0.67396563,-1.21735716,-0.01867088,0.14059520,-1.05668259,0.00000000,0.00000000,-0.05661632,1.22162557,0.24932437,-0.15313415,-0.53666520,0.00000000,0.00000000
-0.62926400,-1.27344370,-0.03563948,0.12816516,-1.04838264,0.00000000,0.00000000,-0.01085622,1.28687143,0.30536631,-0.09158962,-0.53789759,0.00000000,0.00000000
-0.58385891,-1.33545184,-0.05346784,0.11155785,-1.04604709,0.00000000,0.00000000,0.02857161,1.35990489,0.36233371,-0.02731554,-0.53856522,0.00000000,0.00000000
-0.53837323,-1.40136766,-0.07187297,0.09179460,-1.04711509,0.00000000,0.00000000,0.05978321,1.43905914,0.41916451,0.03816934,-0.54130375,0.00000000,0.00000000
-0.49340308,-1.46834350,-0.09061224,0.07047605,-1.04668057,0.00000000,0.00000000,0.08145026,1.52292454,0.47481474,0.10344459,-0.54378045,0.00000000,0.00000000
-0.44978964,-1.53338075,-0.10947463,0.04935714,-1.04495132,0.00000000,0.00000000,0.09287856,1.60975575,0.52838016,0.16700864,-0.55026329,0.00000000,0.00000000
-0.40907007,-1.59439886,-0.12827680,0.02962970,-1.04453230,0.00000000,0.00000000,0.09401195,1.69670010,0.57923800,0.22703083,-0.55476892,0.00000000,0.00000000
-0.37317672,-1.65035379,-0.14689794,0.01175682,-1.04816496,0.00000000,0.00000000,0.08573455,1.78003442,0.62718415,0.28166229,-0.56369853,0.00000000,0.00000000
-0.34386760,-1.70123637,-0.16528939,-0.00457257,-1.04594088,0.00000000,0.00000000,0.06994325,1.85606825,0.67245716,0.32958329,-0.57422614,0.00000000,0.00000000
-0.32259390,-1.74821138,-0.18345256,-0.02056865,-1.03849244,0.00000000,0.00000000,0.04915577,1.92195725,0.71560359,0.37026510,-0.57617158,0.00000000,0.00000000
-0.31063747,-1.79338944,-0.20142025,-0.03819686,-1.03205955,0.00000000,0.00000000,0.02619281,1.97576523,0.75734293,0.40380120,-0.57950068,0.00000000,0.00000000
-0.30887848,-1.83876300,-0.21924223,-0.05934126,-1.02665591,0.00000000,0.00000000,0.00392996,2.01620460,0.79845947,0.43060830,-0.58052266,0.00000000,0.00000000
-0.31713715,-1.88510621,-0.23694645,-0.08477128,-1.01631212,0.00000000,0.00000000,-0.01569926,2.04289770,0.83948880,0.45111573,-0.58485931,0.00000000,0.00000000
-0.33383378,-1.93235111,-0.25446969,-0.11414053,-1.00814259,0.00000000,0.00000000,-0.03274409,2.05692148,0.88034797,0.46555057,-0.58918810,0.00000000,0.00000000
-0.35656762,-1.98072875,-0.27162173,-0.14684810,-0.99153483,0.00000000,0.00000000,-0.04839687,2.06083441,0.92041558,0.47428676,-0.59357178,0.00000000,0.00000000
-0.38355121,-2.02930450,-0.28820670,-0.18167919,-0.97827566,0.00000000,0.00000000,-0.06312193,2.05818319,0.95893276,0.47848353,-0.59546280,0.00000000,0.00000000
