l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-1.78295600,-0.77117008,-0.81208998,-0.32865781,0.05173467,0.00000000,0.00000000,-1.31594586,0.85380065,0.05156415,-0.43563890,0.01730382,0.00000000,0.00000000
-1.78278577,-0.77099788,-0.81251651,-0.32905409,0.06486049,0.00000000,0.00000000,-1.31504500,0.85456073,0.05163153,-0.43566236,0.01599441,0.00000000,0.00000000
-1.78234947,-0.77088225,-0.81322771,-0.32960352,0.07936255,0.00000000,0.00000000,-1.31343997,0.85580778,0.05158102,-0.43581462,0.01183013,0.00000000,0.00000000
-1.78152692,-0.77100170,-0.81409538,-0.33001214,0.09356937,0.00000000,0.00000000,-1.31128788,0.85734618,0.05120828,-0.43617868,0.01302968,0.00000000,0.00000000
-1.78021896,-0.77147377,-0.81501466,-0.33001471,0.10638502,0.00000000,0.00000000,-1.30870831,0.85905159,0.05035766,-0.43680245,0.01405170,0.00000000,0.00000000
-1.77835739,-0.77239674,-0.81591654,-0.32941630,0.12298878,0.00000000,0.00000000,-1.30576253,0.86083716,0.04894519,-0.43772283,0.01993486,0.00000000,0.00000000
-1.77591348,-0.77381176,-0.81677496,-0.32810634,0.13540360,0.00000000,0.00000000,-1.30244887,0.86267453,0.04696412,-0.43895006,0.02633487,0.00000000,0.00000000
-1.77290499,-0.77563399,-0.81761557,-0.32609224,0.14957808,0.00000000,0.00000000,-1.29869711,0.86464703,0.04449455,-0.44044128,0.03848232,0.00000000,0.00000000
-1.76940143,-0.77765542,-0.81852055,-0.32354754,0.16269056,0.00000000,0.00000000,-1.29435492,0.86692810,0.04172936,-0.44211137,0.05060570,0.00000000,0.00000000
-1.76550162,-0.77975798,-0.81960285,-0.32074678,0.17201288,0.00000000,0.00000000,-1.28923249,0.86956173,0.03891749,-0.44393677,0.06330742,0.00000000,0.00000000
-1.76131535,-0.78194028,-0.82098585,-0.31795472,0.18087582,0.00000000,0.00000000,-1.28316009,0.87245566,0.03628980,-0.44594964,0.07842274,0.00000000,0.00000000
-1.75694060,-0.78418362,-0.82277775,-0.31536007,0.19362128,0.00000000,0.00000000,-1.27603269,0.87557423,0.03398927,-0.44814643,0.09387100,0.00000000,0.00000000
-1.75244105,-0.78642333,-0.82504976,-0.31308731,0.20835243,0.00000000,0.00000000,-1.26781774,0.87898779,0.03205744,-0.45047688,0.10720419,0.00000000,0.00000000
-1.74784446,-0.78865761,-0.82783467,-0.31122676,0.22178406,0.00000000,0.00000000,-1.25853431,0.88271880,0.03046463,-0.45292193,0.11771756,0.00000000,0.00000000
-1.74314725,-0.79099935,-0.83113402,-0.30981991,0.23591283,0.00000000,0.00000000,-1.24824679,0.88667071,0.02911794,-0.45551828,0.13109441,0.00000000,0.00000000
-1.73831308,-0.79358888,-0.83491665,-0.30882397,0.25324377,0.00000000,0.00000000,-1.23706758,0.89075291,0.02785127,-0.45829344,0.13941751,0.00000000,0.00000000
-1.73327124,-0.79652590,-0.83911657,-0.30812016,0.26895615,0.00000000,0.00000000,-1.22513282,0.89496845,0.02645485,-0.46123606,0.14729768,0.00000000,0.00000000
-1.72792196,-0.79988581,-0.84363979,-0.30754164,0.28356493,0.00000000,0.00000000,-1.21257734,0.89938021,0.02471209,-0.46432695,0.15342799,0.00000000,0.00000000
-1.72216666,-0.80371863,-0.84839350,-0.30691704,0.30030206,0.00000000,0.00000000,-1.19951594,0.90408343,0.02243069,-0.46754950,0.15782575,0.00000000,0.00000000
-1.71595347,-0.80804127,-0.85332751,-0.30614313,0.31937468,0.00000000,0.00000000,-1.18601179,0.90914100,0.01950322,-0.47089297,0.16249950,0.00000000,0.00000000
-1.70926940,-0.81282771,-0.85842508,-0.30516881,0.33690664,0.00000000,0.00000000,-1.17207444,0.91456330,0.01591834,-0.47434986,0.16607670,0.00000000,0.00000000
-1.70212364,-0.81801426,-0.86368608,-0.30395746,0.35758165,0.00000000,0.00000000,-1.15767181,0.92030060,0.01174745,-0.47792995,0.17097427,0.00000000,0.00000000
-1.69455266,-0.82350224,-0.86913109,-0.30250362,0.37757936,0.00000000,0.00000000,-1.14274645,0.92627567,0.00711906,-0.48164815,0.17607623,0.00000000,0.00000000
-1.68663156,-0.82914972,-0.87480968,-0.30087596,0.39853936,0.00000000,0.00000000,-1.12723172,0.93243134,0.00219585,-0.48549733,0.18171975,0.00000000,0.00000000
-1.67846990,-0.83479577,-0.88079387,-0.29921970,0.42091283,0.00000000,0.00000000,-1.11106205,0.93871617,-0.00284125,-0.48945665,0.19090137,0.00000000,0.00000000
-1.67017365,-0.84031194,-0.88714987,-0.29768923,0.44105527,0.00000000,0.00000000,-1.09418905,0.94503605,-0.00782085,-0.49351555,0.19646786,0.00000000,0.00000000
-1.66180980,-0.84561813,-0.89391112,-0.29637671,0.46234453,0.00000000,0.00000000,-1.07659853,0.95128059,-0.01261917,-0.49765891,0.20075737,0.00000000,0.00000000
-1.65339434,-0.85065824,-0.90107524,-0.29529986,0.48266089,0.00000000,0.00000000,-1.05831134,0.95738328,-0.01717162,-0.50184655,0.20658310,0.00000000,0.00000000
-1.64491618,-0.85537142,-0.90862274,-0.29443160,0.49672541,0.00000000,0.00000000,-1.03936863,0.96333486,-0.02145371,-0.50602406,0.21357448,0.00000000,0.00000000
-1.63636374,-0.85968029,-0.91653973,-0.29372248,0.51187128,0.00000000,0.00000000,-1.01982582,0.96916986,-0.02546866,-0.51012737,0.22388421,0.00000000,0.00000000
-1.62773788,-0.86350942,-0.92482495,-0.29312438,0.53172034,0.00000000,0.00000000,-0.99975604,0.97495848,-0.02925308,-0.51405865,0.22668329,0.00000000,0.00000000
-1.61904728,-0.86682850,-0.93348122,-0.29263440,0.55119127,0.00000000,0.00000000,-0.97925061,0.98077077,-0.03287387,-0.51769823,0.23045696,0.00000000,0.00000000
-1.61029911,-0.86968410,-0.94250774,-0.29232749,0.57042098,0.00000000,0.00000000,-0.95840442,0.98661065,-0.03640724,-0.52098078,0.22820562,0.00000000,0.00000000
-1.60149693,-0.87218016,-0.95190024,-0.29233500,0.59063786,0.00000000,0.00000000,-0.93730342,0.99237841,-0.03992155,-0.52395767,0.22600856,0.00000000,0.00000000
-1.59263861,-0.87443060,-0.96165317,-0.29278111,0.60578912,0.00000000,0.00000000,-0.91602522,0.99790269,-0.04347930,-0.52676344,0.21688066,0.00000000,0.00000000
-1.58370328,-0.87652475,-0.97175258,-0.29373488,0.62439644,0.00000000,0.00000000,-0.89464575,1.00300777,-0.04713956,-0.52953053,0.20729151,0.00000000,0.00000000
-1.57464206,-0.87849146,-0.98217142,-0.29520008,0.64395440,0.00000000,0.00000000,-0.87323499,1.00759900,-0.05094849,-0.53232855,0.19014239,0.00000000,0.00000000
-1.56537950,-0.88027865,-0.99287146,-0.29713026,0.65924513,0.00000000,0.00000000,-0.85184652,1.01171255,-0.05492770,-0.53515953,0.17617370,0.00000000,0.00000000
-1.55582118,-0.88178384,-1.00380981,-0.29943857,0.67925131,0.00000000,0.00000000,-0.83051658,1.01545548,-0.05907348,-0.53798795,0.16647871,0.00000000,0.00000000
-1.54585886,-0.88291258,-1.01493979,-0.30199686,0.69808662,0.00000000,0.00000000,-0.80927551,1.01891863,-0.06337141,-0.54075730,0.15654929,0.00000000,0.00000000
-1.53537738,-0.88360208,-1.02621138,-0.30465621,0.71305996,0.00000000,0.00000000,-0.78815794,1.02217150,-0.06781350,-0.54338586,0.14804606,0.00000000,0.00000000
-1.52427483,-0.88380194,-1.03758144,-0.30730572,0.72420216,0.00000000,0.00000000,-0.76719892,1.02528727,-0.07239359,-0.54578394,0.13478430,0.00000000,0.00000000
-1.51247370,-0.88345766,-1.04902112,-0.30991507,0.73842525,0.00000000,0.00000000,-0.74641860,1.02830064,-0.07708417,-0.54790795,0.12456108,0.00000000,0.00000000
-1.49990988,-0.88252044,-1.06050873,-0.31251389,0.75292230,0.00000000,0.00000000,-0.72581410,1.03117537,-0.08183020,-0.54978931,0.11028999,0.00000000,0.00000000
-1.48651481,-0.88094330,-1.07202291,-0.31515741,0.76323736,0.00000000,0.00000000,-0.70536470,1.03388238,-0.08657280,-0.55148685,0.10493663,0.00000000,0.00000000
-1.47222185,-0.87867039,-1.08354449,-0.31793249,0.77411240,0.00000000,0.00000000,-0.68504602,1.03645241,-0.09127089,-0.55304569,0.10019631,0.00000000,0.00000000
-1.45696306,-0.87567312,-1.09505403,-0.32095644,0.78629780,0.00000000,0.00000000,-0.66483635,1.03887784,-0.09589905,-0.55453748,0.09850543,0.00000000,0.00000000
-1.44063342,-0.87201571,-1.10650766,-0.32431737,0.80045843,0.00000000,0.00000000,-0.64471024,1.04103863,-0.10043823,-0.55609727,0.09437375,0.00000000,0.00000000
-1.42305946,-0.86786842,-1.11781800,-0.32801738,0.81290871,0.00000000,0.00000000,-0.62461960,1.04283810,-0.10487028,-0.55786276,0.08410532,0.00000000,0.00000000
-1.40402353,-0.86344129,-1.12887204,-0.33199301,0.82154536,0.00000000,0.00000000,-0.60447627,1.04436648,-0.10916176,-0.55989987,0.07937840,0.00000000,0.00000000
-1.38330388,-0.85892159,-1.13955688,-0.33616120,0.83133608,0.00000000,0.00000000,-0.58415586,1.04584646,-0.11324281,-0.56223381,0.07475498,0.00000000,0.00000000
-1.36067283,-0.85449219,-1.14975429,-0.34042177,0.83619905,0.00000000,0.00000000,-0.56352109,1.04747248,-0.11701111,-0.56492168,0.07116672,0.00000000,0.00000000
-1.33586359,-0.85040218,-1.15931165,-0.34465620,0.84428239,0.00000000,0.00000000,-0.54243600,1.04940569,-0.12035342,-0.56804585,0.06636409,0.00000000,0.00000000
-1.30856955,-0.84700841,-1.16803598,-0.34876487,0.85450792,0.00000000,0.00000000,-0.52074939,1.05187762,-0.12314188,-0.57165265,0.06090043,0.00000000,0.00000000
-1.27846491,-0.84478939,-1.17570782,-0.35268524,0.86491084,0.00000000,0.00000000,-0.49826959,1.05524409,-0.12521301,-0.57572931,0.05750057,0.00000000,0.00000000
-1.24519145,-0.84444660,-1.18206835,-0.35636616,0.86471617,0.00000000,0.00000000,-0.47477239,1.06000853,-0.12639748,-0.58019555,0.05140029,0.00000000,0.00000000
-1.20831537,-0.84702879,-1.18679094,-0.35974064,0.85933453,0.00000000,0.00000000,-0.45003614,1.06692421,-0.12658176,-0.58483917,0.04926382,0.00000000,0.00000000
-1.16735148,-0.85382283,-1.18950486,-0.36271188,0.86588013,0.00000000,0.00000000,-0.42383099,1.07706821,-0.12566079,-0.58921391,0.05164031,0.00000000,0.00000000
-1.12174010,-0.86661053,-1.18977690,-0.36518413,0.87084210,0.00000000,0.00000000,-0.39584476,1.09215009,-0.12348180,-0.59238058,0.05382235,0.00000000,0.00000000
-1.07088864,-0.88768357,-1.18714178,-0.36693171,0.86740708,0.00000000,0.00000000,-0.36559996,1.11467087,-0.11970329,-0.59264374,0.06152913,0.00000000,0.00000000
-1.01458573,-0.91843772,-1.18137515,-0.36766300,0.85848075,0.00000000,0.00000000,-0.33245236,1.14607227,-0.11355940,-0.58827204,0.06833374,0.00000000,0.00000000
-0.95300019,-0.95924157,-1.17248988,-0.36696610,0.85109097,0.00000000,0.00000000,-0.29592130,1.18705392,-0.10411331,-0.57757038,0.07555891,0.00000000,0.00000000
-0.88658190,-1.00980794,-1.16065574,-0.36457109,0.84564590,0.00000000,0.00000000,-0.25600648,1.23802114,-0.09050235,-0.55916238,0.08399354,0.00000000,0.00000000
-0.81612104,-1.06944978,-1.14616978,-0.36072904,0.84110832,0.00000000,0.00000000,-0.21324164,1.29866576,-0.07208209,-0.53251266,0.09248077,0.00000000,0.00000000
-0.74285054,-1.13716269,-1.12945056,-0.35622802,0.83737588,0.00000000,0.00000000,-0.16861139,1.36787069,-0.04853145,-0.49798381,0.10191943,0.00000000,0.00000000
-0.66848910,-1.21156526,-1.11103559,-0.35211262,0.82491946,0.00000000,0.00000000,-0.12344889,1.44397795,-0.01986044,-0.45657587,0.11220642,0.00000000,0.00000000
-0.59516305,-1.29088843,-1.09155142,-0.34938505,0.81705999,0.00000000,0.00000000,-0.07932960,1.52497029,0.01363434,-0.40969476,0.12121180,0.00000000,0.00000000
-0.52518028,-1.37314451,-1.07164073,-0.34882823,0.81002092,0.00000000,0.00000000,-0.03795410,1.60857654,0.05142734,-0.35901493,0.12394609,0.00000000,0.00000000
-0.46073934,-1.45643222,-1.05187559,-0.35095990,0.80494869,0.00000000,0.00000000,-0.00102037,1.69242465,0.09282735,-0.30635718,0.12017362,0.00000000,0.00000000
-0.40365529,-1.53916061,-1.03270280,-0.35602063,0.80260789,0.00000000,0.00000000,0.02994248,1.77418971,0.13703389,-0.25353691,0.11451057,0.00000000,0.00000000
-0.35504690,-1.62008762,-1.01442194,-0.36388189,0.80145550,0.00000000,0.00000000,0.05381644,1.85163462,0.18318413,-0.20223735,0.11574279,0.00000000,0.00000000
-0.31501773,-1.69818842,-0.99718493,-0.37388358,0.79717010,0.00000000,0.00000000,0.07019435,1.92257667,0.23040469,-0.15393789,0.11458556,0.00000000,0.00000000
-0.28256103,-1.77223682,-0.98106772,-0.38468513,0.78878212,0.00000000,0.00000000,0.07955296,1.98499990,0.27788937,-0.10979258,0.11724733,0.00000000,0.00000000
-0.25712818,-1.84098899,-0.96625155,-0.39547935,0.77974737,0.00000000,0.00000000,0.08300579,2.03734016,0.32499227,-0.07048295,0.12031990,0.00000000,0.00000000
-0.24041416,-1.90437388,-0.95303595,-0.40802830,0.76775301,0.00000000,0.00000000,0.08177602,2.07855153,0.37127486,-0.03628788,0.11984956,0.00000000,0.00000000
-0.23235203,-1.96218860,-0.94145697,-0.42363888,0.75871485,0.00000000,0.00000000,0.07715210,2.10800409,0.41647753,-0.00722213,0.11931550,0.00000000,0.00000000
-0.23268054,-2.01427126,-0.93148106,-0.44304413,0.75191295,0.00000000,0.00000000,0.07081589,2.12565398,0.46047279,0.01706482,0.12035421,0.00000000,0.00000000
-0.24064046,-2.05971885,-0.92311859,-0.46576804,0.74328119,0.00000000,0.00000000,0.06457587,2.13241434,0.50322413,0.03741183,0.12503085,0.00000000,0.00000000
-0.25475302,-2.09733629,-0.91631323,-0.49050117,0.73576623,0.00000000,0.00000000,0.05964310,2.13025236,0.54472965,0.05500592,0.12363824,0.00000000,0.00000000
-0.27351210,-2.12635183,-0.91094071,-0.51612025,0.72300255,0.00000000,0.00000000,0.05658098,2.12190461,0.58497310,0.07118928,0.11692526,0.00000000,0.00000000
-0.29601839,-2.14791155,-0.90653926,-0.54245222,0.71447128,0.00000000,0.00000000,0.05574723,2.11037493,0.62390953,0.08731435,0.10926174,0.00000000,0.00000000
-0.31985140,-2.16383505,-0.90219003,-0.56780678,0.70356041,0.00000000,0.00000000,0.05746910,2.09828067,0.66147286,0.10449509,0.10346465,0.00000000,0.00000000
-0.34101638,-2.16937685,-0.89896667,-0.58534616,0.68958127,0.00000000,0.00000000,0.06179080,2.08745313,0.69757324,0.12335736,0.09735766,0.00000000,0.00000000
-0.35945949,-2.16998029,-0.89741385,-0.59301788,0.67213202,0.00000000,0.00000000,0.06775733,2.07868910,0.73207450,0.14367396,0.09699425,0.00000000,0.00000000
-0.37456614,-2.16999006,-0.89759690,-0.58976448,0.65755284,0.00000000,0.00000000,0.07412401,2.07232881,0.76481372,0.16483928,0.09972826,0.00000000,0.00000000
-0.38536072,-2.16968274,-0.89921516,-0.57533604,0.64995170,0.00000000,0.00000000,0.08021308,2.06861091,0.79564905,0.18633178,0.09937835,0.00000000,0.00000000
-0.38907695,-2.16689372,-0.90098667,-0.55043322,0.63376749,0.00000000,0.00000000,0.08573472,2.06760216,0.82446992,0.20767535,0.09405100,0.00000000,0.00000000
-0.38196120,-2.15979052,-0.90075874,-0.51778036,0.61386067,0.00000000,0.00000000,0.09038289,2.06900048,0.85119915,0.22828405,0.08935510,0.00000000,0.00000000
-0.36459601,-2.15409040,-0.89677334,-0.48402086,0.59880376,0.00000000,0.00000000,0.09349128,2.07208157,0.87578177,0.24734968,0.08620080,0.00000000,0.00000000
-0.33972120,-2.15210056,-0.88924992,-0.45364398,0.58955228,0.00000000,0.00000000,0.09459735,2.07625818,0.89819086,0.26430553,0.08838155,0.00000000,0.00000000
-0.30912280,-2.15375853,-0.87879592,-0.42843890,0.58196938,0.00000000,0.00000000,0.09392276,2.08113766,0.91847360,0.27900290,0.08846197,0.00000000,0.00000000
-0.27512196,-2.15856743,-0.86610281,-0.40945247,0.58024597,0.00000000,0.00000000,0.09222199,2.08606744,0.93679845,0.29140007,0.08665220,0.00000000,0.00000000
-0.24160928,-2.16465449,-0.85229307,-0.39687949,0.58052367,0.00000000,0.00000000,0.09066988,2.09021187,0.95344359,0.30150425,0.08333339,0.00000000,0.00000000
-0.21134816,-2.16880465,-0.83869594,-0.38808462,0.57727283,0.00000000,0.00000000,0.09073321,2.09301901,0.96872401,0.30949664,0.07480701,0.00000000,0.00000000
-0.18269204,-2.16992974,-0.82602322,-0.37782997,0.57909024,0.00000000,0.00000000,0.09351026,2.09421158,0.98291987,0.31547865,0.06636448,0.00000000,0.00000000
-0.15371746,-2.17000008,-0.81438100,-0.36306542,0.58256257,0.00000000,0.00000000,0.09928033,2.09393191,0.99619353,0.31943569,0.05405496,0.00000000,0.00000000
-0.12400766,-2.17000008,-0.80357158,-0.34364179,0.58654588,0.00000000,0.00000000,0.10722221,2.09343982,1.00842953,0.32147968,0.04251637,0.00000000,0.00000000
-0.09394614,-2.16999030,-0.79337436,-0.32053682,0.59256107,0.00000000,0.00000000,0.11586881,2.09490538,1.01929224,0.32206318,0.03467586,0.00000000,0.00000000
-0.06554553,-2.16979957,-0.78377730,-0.29564199,0.59974527,0.00000000,0.00000000,0.12476395,2.09980321,1.02864563,0.32234949,0.02909834,0.00000000,0.00000000
-0.04150248,-2.16863585,-0.77485543,-0.27125522,0.60672945,0.00000000,0.00000000,0.13496649,2.10668159,1.03696048,0.32373780,0.02236003,0.00000000,0.00000000
-0.02264625,-2.16563082,-0.76649892,-0.24884519,0.61186910,0.00000000,0.00000000,0.14540909,2.11286855,1.04464793,0.32597119,0.01855746,0.00000000,0.00000000
-0.00830468,-2.16153646,-0.75854051,-0.22894551,0.62079930,0.00000000,0.00000000,0.15342289,2.11840820,1.05147815,0.32845023,0.01221174,0.00000000,0.00000000
0.00233889,-2.15725589,-0.75090599,-0.21171345,0.63563281,0.00000000,0.00000000,0.15804507,2.12390637,1.05729878,0.33139995,-0.00005572,0.00000000,0.00000000
0.00984020,-2.15321732,-0.74360538,-0.19721170,0.64834607,0.00000000,0.00000000,0.15940815,2.12947726,1.06214595,0.33536619,-0.00842820,0.00000000,0.00000000
0.01447237,-2.14966536,-0.73668599,-0.18549033,0.66073126,0.00000000,0.00000000,0.15763110,2.13515806,1.06603634,0.34078276,-0.01972010,0.00000000,0.00000000
0.01627592,-2.14681911,-0.73020017,-0.17659216,0.67266774,0.00000000,0.00000000,0.15290418,2.14085007,1.06896007,0.34797087,-0.03467260,0.00000000,0.00000000
0.01519077,-2.14501786,-0.72418231,-0.17058557,0.68344748,0.00000000,0.00000000,0.14609587,2.14635539,1.07093596,0.35741359,-0.04867817,0.00000000,0.00000000
0.01111700,-2.14492536,-0.71863461,-0.16770424,0.69283020,0.00000000,0.00000000,0.13859132,2.15197539,1.07190979,0.36973172,-0.05885188,0.00000000,0.00000000
0.00360968,-2.14696074,-0.71358955,-0.16825694,0.70263124,0.00000000,0.00000000,0.13057704,2.15853834,1.07156360,0.38477948,-0.07006658,0.00000000,0.00000000
-0.00869481,-2.15072632,-0.70918804,-0.17265424,0.71455318,0.00000000,0.00000000,0.12167677,2.16517687,1.06982982,0.40130144,-0.08526959,0.00000000,0.00000000
-0.02655021,-2.15594792,-0.70548993,-0.18114607,0.72163820,0.00000000,0.00000000,0.11125117,2.16901302,1.06724393,0.41670635,-0.09880764,0.00000000,0.00000000
-0.04855430,-2.16188192,-0.70238447,-0.19252770,0.73401916,0.00000000,0.00000000,0.10019875,2.16994405,1.06442094,0.42963782,-0.11451443,0.00000000,0.00000000
-0.07402708,-2.16653156,-0.69991797,-0.20488627,0.74798357,0.00000000,0.00000000,0.09168050,2.17000008,1.06163156,0.44131172,-0.13462654,0.00000000,0.00000000
-0.10324659,-2.16743541,-0.69834918,-0.21609546,0.76881504,0.00000000,0.00000000,0.08659678,2.17000008,1.05900371,0.45196736,-0.15144871,0.00000000,0.00000000
-0.13576728,-2.16325974,-0.69781750,-0.22443806,0.78192157,0.00000000,0.00000000,0.08373504,2.16999769,1.05668509,0.46070474,-0.17315908,0.00000000,0.00000000
-0.17014520,-2.15669084,-0.69788134,-0.23093632,0.80026805,0.00000000,0.00000000,0.08168980,2.16996694,1.05437219,0.46756563,-0.19266896,0.00000000,0.00000000
-0.20635267,-2.15065742,-0.69818103,-0.23787849,0.81856132,0.00000000,0.00000000,0.07950988,2.16991949,1.05119264,0.47390389,-0.21455236,0.00000000,0.00000000
-0.24347520,-2.14591050,-0.69848531,-0.24569033,0.83685148,0.00000000,0.00000000,0.07504714,2.16996717,1.04629242,0.47958434,-0.23569101,0.00000000,0.00000000
-0.28031069,-2.14315724,-0.69853967,-0.25430870,0.85526162,0.00000000,0.00000000,0.06631888,2.16999769,1.03956926,0.48275056,-0.25658888,0.00000000,0.00000000
-0.31583825,-2.14262033,-0.69814748,-0.26324463,0.86982572,0.00000000,0.00000000,0.05499075,2.17000008,1.03156924,0.48308644,-0.27667695,0.00000000,0.00000000
-0.34827018,-2.14443374,-0.69702995,-0.27156663,0.87579399,0.00000000,0.00000000,0.04493178,2.17000008,1.02279854,0.48228797,-0.30171725,0.00000000,0.00000000
-0.37441334,-2.14862275,-0.69476610,-0.27800748,0.87660569,0.00000000,0.00000000,0.03856661,2.17000008,1.01304352,0.48256621,-0.32348779,0.00000000,0.00000000
-0.39096573,-2.15172791,-0.69130337,-0.27984735,0.87992400,0.00000000,0.00000000,0.03544362,2.17000008,1.00229967,0.48381454,-0.34165937,0.00000000,0.00000000
-0.39826447,-2.15248322,-0.68684602,-0.27693862,0.88809633,0.00000000,0.00000000,0.03428023,2.17000008,0.99041271,0.48525950,-0.36109489,0.00000000,0.00000000
-0.39738199,-2.15274596,-0.68136698,-0.27090162,0.89977026,0.00000000,0.00000000,0.03404461,2.17000008,0.97707868,0.48612836,-0.37909865,0.00000000,0.00000000
-0.38892007,-2.15321612,-0.67489237,-0.26264057,0.90849411,0.00000000,0.00000000,0.03419197,2.17000008,0.96221137,0.48549896,-0.39620742,0.00000000,0.00000000
