l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-2.28202844,-0.44343361,-0.22387464,-0.60575074,-0.14693077,0.00000000,0.00000000,-1.46116793,0.84173262,0.26664338,-0.58887422,-0.05406549,0.00000000,0.00000000
-2.28200793,-0.44385323,-0.22384587,-0.60573965,-0.17265734,0.00000000,0.00000000,-1.46138656,0.84128720,0.26616621,-0.58900857,-0.06201064,0.00000000,0.00000000
-2.28197670,-0.44456616,-0.22393748,-0.60574758,-0.19539537,0.00000000,0.00000000,-1.46165264,0.84076625,0.26540896,-0.58916384,-0.07111331,0.00000000,0.00000000
-2.28194880,-0.44549865,-0.22422922,-0.60579461,-0.21860860,0.00000000,0.00000000,-1.46187568,0.84038645,0.26445597,-0.58926237,-0.08247732,0.00000000,0.00000000
-2.28194785,-0.44657588,-0.22468494,-0.60585213,-0.23865543,0.00000000,0.00000000,-1.46205497,0.84015191,0.26328874,-0.58929968,-0.09274176,0.00000000,0.00000000
-2.28198886,-0.44772628,-0.22518913,-0.60587645,-0.25730652,0.00000000,0.00000000,-1.46223199,0.83991903,0.26183972,-0.58935082,-0.10116834,0.00000000,0.00000000
-2.28206205,-0.44891164,-0.22556300,-0.60583735,-0.27222404,0.00000000,0.00000000,-1.46247768,0.83943880,0.26000410,-0.58955210,-0.11003770,0.00000000,0.00000000
-2.28212118,-0.45001373,-0.22560321,-0.60565567,-0.28401011,0.00000000,0.00000000,-1.46284676,0.83853334,0.25768614,-0.59000945,-0.12302218,0.00000000,0.00000000
-2.28209400,-0.45083293,-0.22514798,-0.60520005,-0.29107705,0.00000000,0.00000000,-1.46334243,0.83719814,0.25483695,-0.59075087,-0.13730587,0.00000000,0.00000000
-2.28191423,-0.45127571,-0.22416539,-0.60439384,-0.29533893,0.00000000,0.00000000,-1.46391332,0.83551884,0.25145856,-0.59177268,-0.15551391,0.00000000,0.00000000
-2.28155565,-0.45133808,-0.22277582,-0.60324049,-0.29970288,0.00000000,0.00000000,-1.46446276,0.83367187,0.24759491,-0.59304297,-0.16988279,0.00000000,0.00000000
-2.28099489,-0.45112583,-0.22118334,-0.60186046,-0.30320179,0.00000000,0.00000000,-1.46485424,0.83189750,0.24332631,-0.59451932,-0.18233603,0.00000000,0.00000000
-2.28018475,-0.45090741,-0.21961649,-0.60049361,-0.30672365,0.00000000,0.00000000,-1.46494496,0.83042991,0.23873594,-0.59616989,-0.19483127,0.00000000,0.00000000
-2.27907681,-0.45094606,-0.21828024,-0.59933329,-0.31136143,0.00000000,0.00000000,-1.46462381,0.82947451,0.23387249,-0.59795445,-0.20787896,0.00000000,0.00000000
-2.27765560,-0.45134184,-0.21730810,-0.59840810,-0.31392610,0.00000000,0.00000000,-1.46382022,0.82917035,0.22874421,-0.59983069,-0.21973467,0.00000000,0.00000000
-2.27592826,-0.45212451,-0.21676925,-0.59768647,-0.32158235,0.00000000,0.00000000,-1.46249890,0.82955611,0.22332600,-0.60178632,-0.22794829,0.00000000,0.00000000
-2.27389669,-0.45339420,-0.21668169,-0.59718883,-0.32208553,0.00000000,0.00000000,-1.46065652,0.83054501,0.21756624,-0.60386848,-0.23085079,0.00000000,0.00000000
-2.27155876,-0.45529985,-0.21699779,-0.59695429,-0.32142779,0.00000000,0.00000000,-1.45833087,0.83191466,0.21137273,-0.60619968,-0.23381950,0.00000000,0.00000000
-2.26892042,-0.45783341,-0.21763819,-0.59693772,-0.32279861,0.00000000,0.00000000,-1.45557714,0.83350980,0.20463446,-0.60887361,-0.24028660,0.00000000,0.00000000
-2.26599383,-0.46064284,-0.21850260,-0.59691346,-0.31871828,0.00000000,0.00000000,-1.45241618,0.83541989,0.19727685,-0.61185968,-0.24342524,0.00000000,0.00000000
-2.26277375,-0.46341500,-0.21948439,-0.59666574,-0.30843908,0.00000000,0.00000000,-1.44881856,0.83773988,0.18928365,-0.61511934,-0.24559994,0.00000000,0.00000000
-2.25924134,-0.46598244,-0.22051318,-0.59606826,-0.29570016,0.00000000,0.00000000,-1.44470417,0.84054589,0.18070073,-0.61862409,-0.24138440,0.00000000,0.00000000
-2.25536442,-0.46832067,-0.22157587,-0.59513402,-0.27478766,0.00000000,0.00000000,-1.43996346,0.84394521,0.17161265,-0.62233567,-0.24095969,0.00000000,0.00000000
-2.25109363,-0.47052824,-0.22268116,-0.59396213,-0.25931334,0.00000000,0.00000000,-1.43450046,0.84801596,0.16209662,-0.62623346,-0.24198560,0.00000000,0.00000000
-2.24638247,-0.47273272,-0.22383633,-0.59262168,-0.24821128,0.00000000,0.00000000,-1.42824292,0.85275638,0.15221383,-0.63033903,-0.24167261,0.00000000,0.00000000
-2.24120092,-0.47508204,-0.22506119,-0.59116203,-0.24129476,0.00000000,0.00000000,-1.42110634,0.85808396,0.14205226,-0.63471985,-0.24597520,0.00000000,0.00000000
-2.23551989,-0.47773322,-0.22636905,-0.58963716,-0.22898775,0.00000000,0.00000000,-1.41299963,0.86386234,0.13172080,-0.63946831,-0.25149706,0.00000000,0.00000000
-2.22931647,-0.48078817,-0.22775111,-0.58806676,-0.22159007,0.00000000,0.00000000,-1.40386283,0.86993045,0.12130223,-0.64467090,-0.25562373,0.00000000,0.00000000
-2.22256756,-0.48424017,-0.22916441,-0.58639741,-0.21517406,0.00000000,0.00000000,-1.39367473,0.87613529,0.11084042,-0.65038335,-0.25195998,0.00000000,0.00000000
-2.21523499,-0.48796627,-0.23052880,-0.58449161,-0.20114860,0.00000000,0.00000000,-1.38244951,0.88238841,0.10033997,-0.65660000,-0.23997115,0.00000000,0.00000000
-2.20725393,-0.49184573,-0.23174958,-0.58219504,-0.18700451,0.00000000,0.00000000,-1.37022746,0.88865024,0.08977486,-0.66327488,-0.23156090,0.00000000,0.00000000
-2.19853497,-0.49586794,-0.23277007,-0.57941663,-0.17764221,0.00000000,0.00000000,-1.35705507,0.89490962,0.07911409,-0.67033601,-0.22144377,0.00000000,0.00000000
-2.18899298,-0.50010526,-0.23362780,-0.57612211,-0.15887669,0.00000000,0.00000000,-1.34296584,0.90122080,0.06834538,-0.67767066,-0.20865941,0.00000000,0.00000000
-2.17854023,-0.50463659,-0.23442835,-0.57229644,-0.14374381,0.00000000,0.00000000,-1.32797170,0.90772635,0.05748849,-0.68513000,-0.19288124,0.00000000,0.00000000
-2.16705704,-0.50959766,-0.23527214,-0.56795621,-0.12935032,0.00000000,0.00000000,-1.31206489,0.91455340,0.04659813,-0.69258976,-0.18378396,0.00000000,0.00000000
-2.15440035,-0.51521099,-0.23624884,-0.56314421,-0.11808026,0.00000000,0.00000000,-1.29522443,0.92173773,0.03576339,-0.69997287,-0.17358635,0.00000000,0.00000000
-2.14042139,-0.52167022,-0.23744671,-0.55786055,-0.11462542,0.00000000,0.00000000,-1.27741301,0.92929208,0.02511814,-0.70719814,-0.16216232,0.00000000,0.00000000
-2.12496018,-0.52903789,-0.23892257,-0.55201221,-0.11624743,0.00000000,0.00000000,-1.25861061,0.93729788,0.01479238,-0.71411824,-0.14906229,0.00000000,0.00000000
-2.10785699,-0.53727943,-0.24069779,-0.54545945,-0.11960429,0.00000000,0.00000000,-1.23884213,0.94587088,0.00487473,-0.72055733,-0.13501804,0.00000000,0.00000000
-2.08898115,-0.54639250,-0.24281190,-0.53811789,-0.12225112,0.00000000,0.00000000,-1.21815050,0.95505524,-0.00454883,-0.72639865,-0.12341188,0.00000000,0.00000000
-2.06824994,-0.55644709,-0.24538992,-0.53001124,-0.12884621,0.00000000,0.00000000,-1.19656885,0.96483755,-0.01334680,-0.73156279,-0.11657503,0.00000000,0.00000000
-2.04564071,-0.56751621,-0.24864320,-0.52124482,-0.13832492,0.00000000,0.00000000,-1.17411828,0.97518325,-0.02132830,-0.73596525,-0.10745531,0.00000000,0.00000000
-2.02118063,-0.57961142,-0.25280243,-0.51193690,-0.13869280,0.00000000,0.00000000,-1.15084469,0.98601878,-0.02830062,-0.73953259,-0.09323741,0.00000000,0.00000000
-1.99493241,-0.59271353,-0.25808567,-0.50222498,-0.13974531,0.00000000,0.00000000,-1.12683618,0.99720007,-0.03409668,-0.74223095,-0.08131355,0.00000000,0.00000000
-1.96698475,-0.60674119,-0.26468420,-0.49224031,-0.13416649,0.00000000,0.00000000,-1.10221982,1.00856161,-0.03857672,-0.74403739,-0.07613122,0.00000000,0.00000000
-1.93746638,-0.62156820,-0.27277726,-0.48211932,-0.13693228,0.00000000,0.00000000,-1.07716882,1.01990199,-0.04164460,-0.74494529,-0.07665838,0.00000000,0.00000000
-1.90655398,-0.63706106,-0.28253314,-0.47201222,-0.13652664,0.00000000,0.00000000,-1.05191803,1.03097510,-0.04329217,-0.74497443,-0.07873068,0.00000000,0.00000000
-1.87446606,-0.65305871,-0.29410449,-0.46206248,-0.13412550,0.00000000,0.00000000,-1.02676332,1.04153657,-0.04361599,-0.74414676,-0.07750168,0.00000000,0.00000000
