l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-2.39317489,-0.55987877,-0.12096199,-0.47701055,0.17282169,0.00000000,0.00000000,-1.69450152,0.66575760,0.27439252,-0.40837267,0.02156598,0.00000000,0.00000000
-2.39288044,-0.55956417,-0.12115900,-0.47681779,0.18970990,0.00000000,0.00000000,-1.69489765,0.66502595,0.27356496,-0.40878338,0.03302715,0.00000000,0.00000000
-2.39226627,-0.55940741,-0.12174266,-0.47662568,0.20626074,0.00000000,0.00000000,-1.69509065,0.66428864,0.27235043,-0.40940955,0.04819922,0.00000000,0.00000000
-2.39127755,-0.55971181,-0.12284234,-0.47654933,0.21945417,0.00000000,0.00000000,-1.69460177,0.66407877,0.27106541,-0.41015044,0.06574062,0.00000000,0.00000000
-2.38989282,-0.56045657,-0.12448752,-0.47659388,0.23638886,0.00000000,0.00000000,-1.69322431,0.66465241,0.26984146,-0.41095841,0.08584812,0.00000000,0.00000000
-2.38815045,-0.56145185,-0.12666444,-0.47670650,0.25438499,0.00000000,0.00000000,-1.69098878,0.66597921,0.26864856,-0.41183785,0.10746374,0.00000000,0.00000000
-2.38610291,-0.56251913,-0.12934016,-0.47682992,0.27124581,0.00000000,0.00000000,-1.68803251,0.66791642,0.26738456,-0.41280916,0.13037741,0.00000000,0.00000000
-2.38377070,-0.56354916,-0.13248236,-0.47693801,0.28648189,0.00000000,0.00000000,-1.68448675,0.67043608,0.26595512,-0.41383499,0.15415396,0.00000000,0.00000000
-2.38115358,-0.56445229,-0.13605903,-0.47699964,0.29913363,0.00000000,0.00000000,-1.68047261,0.67357570,0.26427358,-0.41483811,0.17314185,0.00000000,0.00000000
-2.37825084,-0.56514251,-0.14003685,-0.47694114,0.30997208,0.00000000,0.00000000,-1.67613530,0.67731249,0.26223454,-0.41574299,0.19175750,0.00000000,0.00000000
-2.37507463,-0.56558311,-0.14439389,-0.47669905,0.31936985,0.00000000,0.00000000,-1.67164648,0.68152726,0.25971046,-0.41651085,0.21016611,0.00000000,0.00000000
-2.37163901,-0.56581956,-0.14912181,-0.47627407,0.32977879,0.00000000,0.00000000,-1.66714013,0.68607932,0.25659767,-0.41716167,0.22731492,0.00000000,0.00000000
-2.36794019,-0.56599402,-0.15420020,-0.47573206,0.33903840,0.00000000,0.00000000,-1.66267252,0.69083005,0.25284442,-0.41777989,0.24675792,0.00000000,0.00000000
-2.36396599,-0.56625110,-0.15956977,-0.47517177,0.35075301,0.00000000,0.00000000,-1.65828693,0.69558293,0.24840470,-0.41851196,0.27057904,0.00000000,0.00000000
-2.35971212,-0.56663275,-0.16512664,-0.47466087,0.35826340,0.00000000,0.00000000,-1.65408325,0.70004028,0.24318491,-0.41954347,0.29188159,0.00000000,0.00000000
-2.35519338,-0.56705385,-0.17074738,-0.47417909,0.36526874,0.00000000,0.00000000,-1.65020525,0.70384961,0.23705074,-0.42106530,0.31515554,0.00000000,0.00000000
-2.35043097,-0.56736070,-0.17631197,-0.47362840,0.36529055,0.00000000,0.00000000,-1.64677203,0.70669812,0.22987750,-0.42324626,0.34000576,0.00000000,0.00000000
-2.34542704,-0.56739551,-0.18171999,-0.47287437,0.36452267,0.00000000,0.00000000,-1.64381552,0.70845902,0.22159730,-0.42614824,0.36886534,0.00000000,0.00000000
-2.34018087,-0.56708056,-0.18693995,-0.47180903,0.36492726,0.00000000,0.00000000,-1.64125443,0.70918620,0.21222042,-0.42972991,0.39224404,0.00000000,0.00000000
-2.33469605,-0.56644994,-0.19204128,-0.47040975,0.36899835,0.00000000,0.00000000,-1.63889444,0.70908844,0.20183703,-0.43389380,0.41307577,0.00000000,0.00000000
-2.32893968,-0.56554234,-0.19716758,-0.46873012,0.37248686,0.00000000,0.00000000,-1.63647044,0.70863593,0.19058912,-0.43844038,0.44122404,0.00000000,0.00000000
-2.32283545,-0.56447625,-0.20248137,-0.46688399,0.37116665,0.00000000,0.00000000,-1.63371122,0.70836973,0.17862146,-0.44316727,0.47116852,0.00000000,0.00000000
-2.31628323,-0.56353551,-0.20810844,-0.46501651,0.36561427,0.00000000,0.00000000,-1.63038516,0.70858383,0.16604608,-0.44803947,0.50798273,0.00000000,0.00000000
-2.30915284,-0.56305826,-0.21410625,-0.46326634,0.35563615,0.00000000,0.00000000,-1.62629282,0.70936573,0.15295021,-0.45314032,0.54831284,0.00000000,0.00000000
-2.30130005,-0.56324393,-0.22049531,-0.46170133,0.34336680,0.00000000,0.00000000,-1.62123370,0.71085429,0.13942543,-0.45849672,0.59060818,0.00000000,0.00000000
-2.29263115,-0.56406099,-0.22730574,-0.46025372,0.32622471,0.00000000,0.00000000,-1.61506116,0.71322584,0.12552725,-0.46408030,0.62959164,0.00000000,0.00000000
-2.28311992,-0.56543034,-0.23457114,-0.45878255,0.30433357,0.00000000,0.00000000,-1.60774004,0.71644545,0.11122768,-0.46994582,0.66179943,0.00000000,0.00000000
-2.27275872,-0.56730688,-0.24228710,-0.45717725,0.28788885,0.00000000,0.00000000,-1.59932578,0.72027266,0.09643106,-0.47624433,0.68993819,0.00000000,0.00000000
-2.26152515,-0.56951690,-0.25039706,-0.45535675,0.27318898,0.00000000,0.00000000,-1.58994091,0.72450697,0.08099193,-0.48310995,0.71431613,0.00000000,0.00000000
-2.24937510,-0.57183599,-0.25884017,-0.45324108,0.26264280,0.00000000,0.00000000,-1.57969952,0.72909963,0.06477328,-0.49059242,0.73632491,0.00000000,0.00000000
-2.23624945,-0.57419205,-0.26759505,-0.45075458,0.25588745,0.00000000,0.00000000,-1.56862140,0.73406059,0.04771716,-0.49871027,0.76587319,0.00000000,0.00000000
-2.22207499,-0.57665801,-0.27667156,-0.44784492,0.25370562,0.00000000,0.00000000,-1.55662656,0.73939192,0.02985230,-0.50749147,0.79177612,0.00000000,0.00000000
-2.20675492,-0.57934332,-0.28609139,-0.44448832,0.25334567,0.00000000,0.00000000,-1.54355693,0.74520195,0.01128113,-0.51688915,0.81829768,0.00000000,0.00000000
-2.19017458,-0.58237255,-0.29588491,-0.44068417,0.24728912,0.00000000,0.00000000,-1.52921033,0.75170600,-0.00784562,-0.52677089,0.84263295,0.00000000,0.00000000
