l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-3.00999999,-0.37160289,0.21888500,-0.59901243,0.01916672,0.00000000,0.00000000,-0.87094724,1.02387953,-0.01148752,-0.59771156,-0.04262440,0.00000000,0.00000000
-3.00999999,-0.37298650,0.21883103,-0.59979951,0.00888713,0.00000000,0.00000000,-0.87101203,1.02309823,-0.01214801,-0.59793562,-0.05619590,0.00000000,0.00000000
-3.00999999,-0.37521890,0.21862315,-0.60100156,-0.00102304,0.00000000,0.00000000,-0.87105697,1.02204108,-0.01327125,-0.59815764,-0.07286042,0.00000000,0.00000000
-3.00999999,-0.37768781,0.21819392,-0.60219783,-0.01429558,0.00000000,0.00000000,-0.87097967,1.02120221,-0.01466971,-0.59816146,-0.08773682,0.00000000,0.00000000
-3.00999999,-0.37981352,0.21753912,-0.60300857,-0.03023366,0.00000000,0.00000000,-0.87071002,1.02079141,-0.01620332,-0.59784967,-0.09961792,0.00000000,0.00000000
-3.00999999,-0.38134477,0.21666868,-0.60325378,-0.05063961,0.00000000,0.00000000,-0.87021756,1.02077651,-0.01776017,-0.59716642,-0.11096499,0.00000000,0.00000000
-3.00999999,-0.38240734,0.21564384,-0.60302275,-0.06941620,0.00000000,0.00000000,-0.86951327,1.02086413,-0.01927952,-0.59615523,-0.11800665,0.00000000,0.00000000
-3.00999999,-0.38313949,0.21452859,-0.60243201,-0.08600464,0.00000000,0.00000000,-0.86861938,1.02080131,-0.02072851,-0.59487236,-0.12477181,0.00000000,0.00000000
-3.00999999,-0.38338423,0.21333764,-0.60140789,-0.10595869,0.00000000,0.00000000,-0.86753392,1.02055645,-0.02207031,-0.59335190,-0.13360675,0.00000000,0.00000000
-3.00999999,-0.38295016,0.21204853,-0.59983927,-0.12702601,0.00000000,0.00000000,-0.86624926,1.02019930,-0.02326705,-0.59158152,-0.14721377,0.00000000,0.00000000
-3.00999999,-0.38186067,0.21062785,-0.59774226,-0.15000810,0.00000000,0.00000000,-0.86477292,1.01977718,-0.02429404,-0.58951914,-0.15858635,0.00000000,0.00000000
-3.00999999,-0.38038561,0.20906736,-0.59532142,-0.17302212,0.00000000,0.00000000,-0.86313206,1.01923096,-0.02516574,-0.58717620,-0.17299697,0.00000000,0.00000000
-3.00999999,-0.37904266,0.20737672,-0.59295082,-0.19872932,0.00000000,0.00000000,-0.86136180,1.01841533,-0.02589925,-0.58460146,-0.18848772,0.00000000,0.00000000
-3.00998139,-0.37825954,0.20566577,-0.59095824,-0.22634791,0.00000000,0.00000000,-0.85949290,1.01710773,-0.02652275,-0.58194286,-0.20109612,0.00000000,0.00000000
-3.00967169,-0.37806278,0.20411609,-0.58941579,-0.25018385,0.00000000,0.00000000,-0.85752892,1.01517618,-0.02706582,-0.57939559,-0.21131632,0.00000000,0.00000000
-3.00834250,-0.37832236,0.20285709,-0.58826756,-0.27612415,0.00000000,0.00000000,-0.85545874,1.01260626,-0.02755034,-0.57710677,-0.22218190,0.00000000,0.00000000
-3.00561166,-0.37901607,0.20191009,-0.58750737,-0.30027506,0.00000000,0.00000000,-0.85326332,1.00949454,-0.02800210,-0.57516009,-0.23517333,0.00000000,0.00000000
-3.00163507,-0.37998176,0.20131309,-0.58706301,-0.32779899,0.00000000,0.00000000,-0.85095114,1.00604177,-0.02852795,-0.57356513,-0.24129991,0.00000000,0.00000000
-2.99660921,-0.38087565,0.20115587,-0.58674014,-0.35941654,0.00000000,0.00000000,-0.84855282,1.00254130,-0.02928261,-0.57224828,-0.24991538,0.00000000,0.00000000
-2.99063253,-0.38148889,0.20147558,-0.58636993,-0.39282122,0.00000000,0.00000000,-0.84608519,0.99919748,-0.03033285,-0.57111758,-0.25768903,0.00000000,0.00000000
-2.98374796,-0.38186887,0.20224181,-0.58590078,-0.41715145,0.00000000,0.00000000,-0.84355819,0.99596554,-0.03163691,-0.57009798,-0.26133955,0.00000000,0.00000000
-2.97595763,-0.38212141,0.20338495,-0.58531940,-0.43846112,0.00000000,0.00000000,-0.84095371,0.99275267,-0.03307516,-0.56912166,-0.26555949,0.00000000,0.00000000
