l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-2.49409604,-0.47045669,-0.04006894,-0.49538398,0.05154480,0.00000000,0.00000000,-0.94014031,1.12941825,-0.02482557,-0.56926960,-0.03448837,0.00000000,0.00000000
-2.49572301,-0.46883327,-0.03730610,-0.49490470,0.05184738,0.00000000,0.00000000,-0.93966460,1.12738144,-0.02905557,-0.57092839,-0.03973434,0.00000000,0.00000000
-2.49850678,-0.46655557,-0.03271028,-0.49437934,0.05023245,0.00000000,0.00000000,-0.93884897,1.12388217,-0.03621241,-0.57361317,-0.04223648,0.00000000,0.00000000
-2.50192761,-0.46424049,-0.02722162,-0.49406168,0.04840746,0.00000000,0.00000000,-0.93782556,1.11981368,-0.04495662,-0.57654876,-0.04397529,0.00000000,0.00000000
-2.50549412,-0.46240476,-0.02179950,-0.49408686,0.04428771,0.00000000,0.00000000,-0.93671334,1.11588991,-0.05396980,-0.57918966,-0.04614883,0.00000000,0.00000000
-2.50876808,-0.46148783,-0.01729824,-0.49449572,0.04354125,0.00000000,0.00000000,-0.93560177,1.11240828,-0.06201947,-0.58133054,-0.04837359,0.00000000,0.00000000
-2.51135850,-0.46169400,-0.01438352,-0.49520075,0.04406128,0.00000000,0.00000000,-0.93454629,1.10956073,-0.06806308,-0.58285338,-0.05073494,0.00000000,0.00000000
-2.51304770,-0.46297261,-0.01344046,-0.49608296,0.04254333,0.00000000,0.00000000,-0.93356991,1.10746121,-0.07149782,-0.58370203,-0.05405616,0.00000000,0.00000000
-2.51378679,-0.46504176,-0.01450919,-0.49701315,0.04022192,0.00000000,0.00000000,-0.93269622,1.10616720,-0.07224579,-0.58387774,-0.05668395,0.00000000,0.00000000
-2.51365161,-0.46747082,-0.01732963,-0.49786201,0.03822343,0.00000000,0.00000000,-0.93195993,1.10576463,-0.07068412,-0.58338314,-0.05979228,0.00000000,0.00000000
-2.51283407,-0.46973553,-0.02145155,-0.49850070,0.03403057,0.00000000,0.00000000,-0.93139350,1.10630465,-0.06749479,-0.58226711,-0.06470143,0.00000000,0.00000000
-2.51160836,-0.47134113,-0.02635821,-0.49879956,0.02891859,0.00000000,0.00000000,-0.93099737,1.10769296,-0.06347815,-0.58067334,-0.06348550,0.00000000,0.00000000
-2.51020503,-0.47209916,-0.03159112,-0.49871448,0.02318002,0.00000000,0.00000000,-0.93072534,1.10966039,-0.05926955,-0.57881230,-0.05927730,0.00000000,0.00000000
-2.50876498,-0.47202799,-0.03686565,-0.49829987,0.02011426,0.00000000,0.00000000,-0.93052101,1.11193073,-0.05520153,-0.57684147,-0.06066148,0.00000000,0.00000000
-2.50735831,-0.47138074,-0.04207665,-0.49774048,0.01710457,0.00000000,0.00000000,-0.93033987,1.11417055,-0.05134533,-0.57494032,-0.07074531,0.00000000,0.00000000
-2.50598073,-0.47066656,-0.04721037,-0.49730811,0.01884802,0.00000000,0.00000000,-0.93012297,1.11593902,-0.04756632,-0.57334977,-0.07634833,0.00000000,0.00000000
-2.50459862,-0.47031721,-0.05229674,-0.49717817,0.01647851,0.00000000,0.00000000,-0.92981821,1.11697483,-0.04369882,-0.57218879,-0.08277473,0.00000000,0.00000000
-2.50318766,-0.47048378,-0.05737082,-0.49736544,0.01138957,0.00000000,0.00000000,-0.92943037,1.11736548,-0.03972117,-0.57135719,-0.08590714,0.00000000,0.00000000
-2.50171947,-0.47117192,-0.06242708,-0.49784133,0.00765167,0.00000000,0.00000000,-0.92898726,1.11731744,-0.03568476,-0.57068276,-0.09230956,0.00000000,0.00000000
-2.50019026,-0.47241578,-0.06743344,-0.49861339,0.00017730,0.00000000,0.00000000,-0.92849493,1.11690080,-0.03164750,-0.57010633,-0.09703465,0.00000000,0.00000000
-2.49865055,-0.47424921,-0.07236453,-0.49971545,-0.00662289,0.00000000,0.00000000,-0.92793953,1.11608565,-0.02769928,-0.56966436,-0.10681613,0.00000000,0.00000000
-2.49717498,-0.47664657,-0.07719046,-0.50115961,-0.01385471,0.00000000,0.00000000,-0.92731059,1.11486125,-0.02397269,-0.56938720,-0.11290715,0.00000000,0.00000000
-2.49579501,-0.47943974,-0.08180184,-0.50282973,-0.02047171,0.00000000,0.00000000,-0.92661196,1.11332142,-0.02064525,-0.56923699,-0.11414097,0.00000000,0.00000000
-2.49454474,-0.48220676,-0.08602382,-0.50443846,-0.03195068,0.00000000,0.00000000,-0.92584687,1.11166406,-0.01793831,-0.56911767,-0.11239249,0.00000000,0.00000000
-2.49345565,-0.48438901,-0.08964963,-0.50561541,-0.04060920,0.00000000,0.00000000,-0.92500299,1.11006141,-0.01604382,-0.56895691,-0.11165131,0.00000000,0.00000000
-2.49250937,-0.48561698,-0.09255648,-0.50611037,-0.05133682,0.00000000,0.00000000,-0.92404950,1.10856175,-0.01495735,-0.56873417,-0.11133736,0.00000000,0.00000000
-2.49165845,-0.48592791,-0.09481018,-0.50594705,-0.06180049,0.00000000,0.00000000,-0.92295659,1.10705817,-0.01443441,-0.56849176,-0.11167598,0.00000000,0.00000000
