l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-2.59566784,-0.43052554,0.05629531,-0.58865255,-0.04176743,0.00000000,0.00000000,-1.84965909,0.62984234,0.32532439,-0.30733544,-0.06287968,0.00000000,0.00000000
-2.59567571,-0.42962739,0.05673627,-0.58890080,-0.04587648,0.00000000,0.00000000,-1.85003841,0.62937552,0.32507935,-0.30721861,-0.06047478,0.00000000,0.00000000
-2.59552526,-0.42831653,0.05730310,-0.58919466,-0.04983491,0.00000000,0.00000000,-1.85051847,0.62886977,0.32474536,-0.30704671,-0.06289910,0.00000000,0.00000000
-2.59518313,-0.42703187,0.05796301,-0.58962566,-0.05135230,0.00000000,0.00000000,-1.85086191,0.62838620,0.32444337,-0.30691853,-0.06591266,0.00000000,0.00000000
-2.59465218,-0.42594373,0.05875636,-0.59026253,-0.05013013,0.00000000,0.00000000,-1.85092318,0.62789232,0.32424307,-0.30690938,-0.06535882,0.00000000,0.00000000
-2.59390736,-0.42495802,0.05967173,-0.59101999,-0.05304950,0.00000000,0.00000000,-1.85065281,0.62747324,0.32416648,-0.30699968,-0.06796093,0.00000000,0.00000000
-2.59292221,-0.42396438,0.06067418,-0.59180284,-0.05275083,0.00000000,0.00000000,-1.85004663,0.62725711,0.32421187,-0.30712080,-0.06985121,0.00000000,0.00000000
-2.59169006,-0.42296910,0.06172162,-0.59258056,-0.05558117,0.00000000,0.00000000,-1.84909964,0.62729651,0.32437465,-0.30724907,-0.07392354,0.00000000,0.00000000
-2.59023213,-0.42200330,0.06280402,-0.59335399,-0.05714516,0.00000000,0.00000000,-1.84782088,0.62747729,0.32463843,-0.30745077,-0.07748099,0.00000000,0.00000000
-2.58857393,-0.42101359,0.06395629,-0.59409106,-0.05612357,0.00000000,0.00000000,-1.84625328,0.62761140,0.32496607,-0.30780888,-0.07880139,0.00000000,0.00000000
