l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-1.81092799,-0.73522574,-0.47245321,-0.20870927,-0.08427817,0.00000000,0.00000000,-0.86589539,0.97137713,0.05687325,-0.49413309,-0.14731406,0.00000000,0.00000000
-1.81045079,-0.73630202,-0.47223687,-0.20877807,-0.10160097,0.00000000,0.00000000,-0.86560231,0.97083110,0.05726643,-0.49432009,-0.16920829,0.00000000,0.00000000
-1.80953288,-0.73818040,-0.47180396,-0.20878179,-0.11435607,0.00000000,0.00000000,-0.86504740,0.96992689,0.05801772,-0.49463958,-0.18577957,0.00000000,0.00000000
-1.80819976,-0.74056739,-0.47115928,-0.20858322,-0.12498835,0.00000000,0.00000000,-0.86423683,0.96892059,0.05912551,-0.49505982,-0.19720736,0.00000000,0.00000000
-1.80648780,-0.74320906,-0.47031876,-0.20807827,-0.13766536,0.00000000,0.00000000,-0.86318707,0.96801078,0.06057933,-0.49553517,-0.21216244,0.00000000,0.00000000
-1.80443716,-0.74587709,-0.46929997,-0.20716646,-0.14660437,0.00000000,0.00000000,-0.86193573,0.96737337,0.06233984,-0.49598402,-0.22618471,0.00000000,0.00000000
-1.80208755,-0.74836242,-0.46812013,-0.20574901,-0.15691125,0.00000000,0.00000000,-0.86053687,0.96717417,0.06434302,-0.49633524,-0.23942955,0.00000000,0.00000000
-1.79947829,-0.75052482,-0.46679848,-0.20376638,-0.16302128,0.00000000,0.00000000,-0.85904491,0.96746796,0.06653163,-0.49659190,-0.24965014,0.00000000,0.00000000
-1.79664898,-0.75232244,-0.46536306,-0.20122877,-0.16934879,0.00000000,0.00000000,-0.85751247,0.96814871,0.06887232,-0.49683300,-0.25842103,0.00000000,0.00000000
-1.79364514,-0.75379503,-0.46385631,-0.19822095,-0.17328821,0.00000000,0.00000000,-0.85601276,0.96898347,0.07133546,-0.49715656,-0.26496768,0.00000000,0.00000000
-1.79052019,-0.75501591,-0.46233854,-0.19488846,-0.17843179,0.00000000,0.00000000,-0.85466617,0.96965504,0.07385992,-0.49763498,-0.27314728,0.00000000,0.00000000
-1.78734016,-0.75600576,-0.46088928,-0.19139983,-0.18273295,0.00000000,0.00000000,-0.85365510,0.96986222,0.07632351,-0.49831223,-0.28577185,0.00000000,0.00000000
-1.78417683,-0.75671768,-0.45959979,-0.18792321,-0.18432073,0.00000000,0.00000000,-0.85324967,0.96956623,0.07854928,-0.49921110,-0.29699892,0.00000000,0.00000000
-1.78110242,-0.75700760,-0.45856521,-0.18459059,-0.18644682,0.00000000,0.00000000,-0.85363883,0.96875340,0.08033474,-0.50033391,-0.30462259,0.00000000,0.00000000
-1.77816892,-0.75664669,-0.45785743,-0.18142876,-0.18857189,0.00000000,0.00000000,-0.85467446,0.96717191,0.08153202,-0.50172281,-0.31398097,0.00000000,0.00000000
-1.77533436,-0.75600159,-0.45743179,-0.17850526,-0.19608882,0.00000000,0.00000000,-0.85626918,0.96542561,0.08226595,-0.50342250,-0.32285258,0.00000000,0.00000000
-1.77255428,-0.75537187,-0.45724332,-0.17583300,-0.20769101,0.00000000,0.00000000,-0.85808426,0.96384251,0.08268066,-0.50533944,-0.33542395,0.00000000,0.00000000
-1.76979911,-0.75498843,-0.45726761,-0.17343174,-0.21421644,0.00000000,0.00000000,-0.85980695,0.96255416,0.08288933,-0.50717735,-0.34684548,0.00000000,0.00000000
-1.76705337,-0.75496238,-0.45749527,-0.17130087,-0.22130987,0.00000000,0.00000000,-0.86126643,0.96168941,0.08298792,-0.50860763,-0.35422143,0.00000000,0.00000000
-1.76431572,-0.75529522,-0.45793322,-0.16944277,-0.22677478,0.00000000,0.00000000,-0.86237150,0.96125066,0.08306747,-0.50941169,-0.35536328,0.00000000,0.00000000
-1.76159966,-0.75593090,-0.45860431,-0.16789806,-0.23604444,0.00000000,0.00000000,-0.86308032,0.96113408,0.08321619,-0.50953102,-0.35758451,0.00000000,0.00000000
-1.75892842,-0.75675642,-0.45954347,-0.16673353,-0.24506377,0.00000000,0.00000000,-0.86340147,0.96118081,0.08350091,-0.50903398,-0.35717502,0.00000000,0.00000000
-1.75632846,-0.75763315,-0.46078700,-0.16601853,-0.25293213,0.00000000,0.00000000,-0.86339074,0.96121013,0.08395201,-0.50803995,-0.34593776,0.00000000,0.00000000
-1.75381911,-0.75845367,-0.46236023,-0.16581349,-0.26303366,0.00000000,0.00000000,-0.86312842,0.96104497,0.08456603,-0.50665981,-0.33969414,0.00000000,0.00000000
-1.75140929,-0.75916868,-0.46427536,-0.16617523,-0.27579886,0.00000000,0.00000000,-0.86269528,0.96051097,0.08532152,-0.50498158,-0.33526322,0.00000000,0.00000000
-1.74910235,-0.75976300,-0.46653911,-0.16716930,-0.28408995,0.00000000,0.00000000,-0.86217290,0.95940840,0.08618984,-0.50308824,-0.32446739,0.00000000,0.00000000
-1.74689865,-0.76023096,-0.46915650,-0.16887243,-0.28998041,0.00000000,0.00000000,-0.86164600,0.95751327,0.08713539,-0.50107926,-0.31033555,0.00000000,0.00000000
-1.74478734,-0.76057756,-0.47211930,-0.17134263,-0.29876947,0.00000000,0.00000000,-0.86118209,0.95466572,0.08811203,-0.49907041,-0.29702026,0.00000000,0.00000000
-1.74273157,-0.76081115,-0.47538567,-0.17455584,-0.30298248,0.00000000,0.00000000,-0.86080426,0.95090830,0.08905750,-0.49716574,-0.28168768,0.00000000,0.00000000
-1.74065900,-0.76094300,-0.47886479,-0.17835894,-0.29746583,0.00000000,0.00000000,-0.86047816,0.94654727,0.08989355,-0.49542326,-0.25166595,0.00000000,0.00000000
-1.73845887,-0.76100427,-0.48241648,-0.18247934,-0.30108982,0.00000000,0.00000000,-0.86011666,0.94208044,0.09054035,-0.49384865,-0.21975259,0.00000000,0.00000000
-1.73599815,-0.76105744,-0.48587286,-0.18659556,-0.30167544,0.00000000,0.00000000,-0.85961032,0.93801832,0.09093143,-0.49241918,-0.18735524,0.00000000,0.00000000
