l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-1.05257392,-1.05935621,0.28218761,0.39043635,0.00524712,0.00000000,0.00000000,-0.79495358,1.04057717,0.11918161,-0.52475601,-0.03949352,0.00000000,0.00000000
-1.05178082,-1.06016135,0.28159046,0.38963667,0.00427108,0.00000000,0.00000000,-0.79437643,1.04251575,0.11944280,-0.52523863,-0.04979379,0.00000000,0.00000000
-1.05024302,-1.06177831,0.28055680,0.38822097,0.00377980,0.00000000,0.00000000,-0.79333097,1.04609013,0.11985220,-0.52612299,-0.06274591,0.00000000,0.00000000
-1.04795623,-1.06431794,0.27922541,0.38631117,0.00137253,0.00000000,0.00000000,-0.79183418,1.05119121,0.12035228,-0.52719265,-0.07446039,0.00000000,0.00000000
-1.04497778,-1.06753719,0.27780038,0.38421297,-0.00326159,0.00000000,0.00000000,-0.78999591,1.05733228,0.12092293,-0.52820814,-0.08535253,0.00000000,0.00000000
-1.04140568,-1.07088995,0.27650854,0.38238564,-0.00189986,0.00000000,0.00000000,-0.78803366,1.06378782,0.12155241,-0.52897739,-0.09830572,0.00000000,0.00000000
-1.03733253,-1.07394087,0.27556673,0.38119689,-0.00395908,0.00000000,0.00000000,-0.78611153,1.06989586,0.12225555,-0.52931821,-0.11119626,0.00000000,0.00000000
-1.03284812,-1.07637262,0.27516747,0.38090703,-0.00771009,0.00000000,0.00000000,-0.78433549,1.07507420,0.12305964,-0.52911532,-0.12613320,0.00000000,0.00000000
-1.02802539,-1.07820177,0.27548417,0.38157365,-0.01063751,0.00000000,0.00000000,-0.78277302,1.07864463,0.12394334,-0.52841961,-0.13773739,0.00000000,0.00000000
-1.02290738,-1.07953250,0.27660134,0.38315618,-0.00974359,0.00000000,0.00000000,-0.78151166,1.08016217,0.12480926,-0.52736795,-0.15217254,0.00000000,0.00000000
-1.01749468,-1.08046639,0.27846834,0.38553718,-0.00830562,0.00000000,0.00000000,-0.78059810,1.07974219,0.12553798,-0.52610821,-0.16062728,0.00000000,0.00000000
-1.01177025,-1.08122134,0.28099367,0.38851351,-0.00678695,0.00000000,0.00000000,-0.77996397,1.07773995,0.12606043,-0.52477288,-0.16682206,0.00000000,0.00000000
-1.00573456,-1.08187127,0.28409079,0.39195839,-0.00475119,0.00000000,0.00000000,-0.77947301,1.07462990,0.12638293,-0.52340466,-0.17100646,0.00000000,0.00000000
-0.99938369,-1.08263993,0.28766689,0.39566863,-0.00322778,0.00000000,0.00000000,-0.77894956,1.07099259,0.12649873,-0.52199697,-0.17639355,0.00000000,0.00000000
-0.99272734,-1.08367193,0.29165417,0.39949709,-0.00465427,0.00000000,0.00000000,-0.77829438,1.06725967,0.12637229,-0.52058887,-0.18007040,0.00000000,0.00000000
-0.98578191,-1.08470404,0.29596069,0.40349653,-0.01125883,0.00000000,0.00000000,-0.77756047,1.06390369,0.12595576,-0.51918441,-0.18206096,0.00000000,0.00000000
-0.97855043,-1.08535159,0.30043089,0.40772372,-0.01895050,0.00000000,0.00000000,-0.77685887,1.06132376,0.12525634,-0.51775056,-0.18598974,0.00000000,0.00000000
-0.97101921,-1.08561063,0.30491793,0.41201138,-0.02236774,0.00000000,0.00000000,-0.77613860,1.05959201,0.12440221,-0.51633716,-0.19617584,0.00000000,0.00000000
-0.96317762,-1.08577728,0.30934733,0.41611466,-0.02795721,0.00000000,0.00000000,-0.77526402,1.05850780,0.12354177,-0.51497751,-0.20872027,0.00000000,0.00000000
-0.95503360,-1.08600497,0.31368169,0.41995731,-0.02757587,0.00000000,0.00000000,-0.77424955,1.05796099,0.12275099,-0.51362276,-0.21751426,0.00000000,0.00000000
-0.94658470,-1.08622062,0.31782269,0.42362010,-0.03110389,0.00000000,0.00000000,-0.77319616,1.05780172,0.12205552,-0.51224947,-0.22168618,0.00000000,0.00000000
-0.93781698,-1.08620036,0.32160431,0.42720038,-0.03315965,0.00000000,0.00000000,-0.77224427,1.05750978,0.12144956,-0.51089567,-0.22789429,0.00000000,0.00000000
-0.92871350,-1.08578467,0.32485345,0.43070066,-0.03586019,0.00000000,0.00000000,-0.77152592,1.05680799,0.12094101,-0.50966728,-0.23527946,0.00000000,0.00000000
-0.91923398,-1.08507299,0.32740942,0.43398803,-0.03745063,0.00000000,0.00000000,-0.77104706,1.05560589,0.12054768,-0.50868428,-0.23623900,0.00000000,0.00000000
-0.90931952,-1.08440959,0.32914260,0.43686694,-0.03609720,0.00000000,0.00000000,-0.77076435,1.05397367,0.12023487,-0.50798333,-0.23929882,0.00000000,0.00000000
-0.89894456,-1.08383489,0.32992956,0.43933383,-0.03317665,0.00000000,0.00000000,-0.77075028,1.05220592,0.11991051,-0.50748312,-0.24700528,0.00000000,0.00000000
-0.88814151,-1.08306694,0.32970202,0.44155666,-0.03526400,0.00000000,0.00000000,-0.77113420,1.05039299,0.11949313,-0.50705290,-0.25524616,0.00000000,0.00000000
-0.87696975,-1.08186841,0.32849202,0.44372287,-0.03657140,0.00000000,0.00000000,-0.77196920,1.04824173,0.11896003,-0.50663769,-0.25838059,0.00000000,0.00000000
-0.86545861,-1.08043778,0.32638735,0.44582880,-0.03759430,0.00000000,0.00000000,-0.77303773,1.04590631,0.11839371,-0.50624698,-0.25506774,0.00000000,0.00000000
-0.85363644,-1.07920742,0.32353103,0.44775543,-0.03226829,0.00000000,0.00000000,-0.77403629,1.04376245,0.11788660,-0.50585520,-0.25447798,0.00000000,0.00000000
-0.84155047,-1.07845020,0.32009175,0.44943285,-0.02670476,0.00000000,0.00000000,-0.77481872,1.04203176,0.11740924,-0.50537223,-0.25674382,0.00000000,0.00000000
-0.82924628,-1.07839537,0.31625906,0.45082408,-0.02052872,0.00000000,0.00000000,-0.77531290,1.04082513,0.11688504,-0.50472909,-0.25941104,0.00000000,0.00000000
-0.81678116,-1.07919204,0.31221011,0.45193002,-0.01709136,0.00000000,0.00000000,-0.77543557,1.04023516,0.11624993,-0.50395477,-0.26078621,0.00000000,0.00000000
-0.80421346,-1.08073664,0.30806097,0.45278552,-0.01198266,0.00000000,0.00000000,-0.77518457,1.04017580,0.11542642,-0.50313634,-0.26918465,0.00000000,0.00000000
-0.79162067,-1.08268487,0.30391032,0.45352447,-0.00246180,0.00000000,0.00000000,-0.77461487,1.04041517,0.11433822,-0.50235659,-0.27523568,0.00000000,0.00000000
-0.77911991,-1.08447778,0.29986194,0.45444366,-0.00158121,0.00000000,0.00000000,-0.77381194,1.04062319,0.11294638,-0.50168443,-0.28024498,0.00000000,0.00000000
-0.76681155,-1.08577669,0.29603779,0.45575866,-0.00193761,0.00000000,0.00000000,-0.77274454,1.04050493,0.11128870,-0.50114942,-0.28581622,0.00000000,0.00000000
-0.75474429,-1.08651280,0.29251376,0.45749965,-0.00265814,0.00000000,0.00000000,-0.77131939,1.03998196,0.10940462,-0.50074708,-0.29013136,0.00000000,0.00000000
-0.74293220,-1.08670688,0.28926688,0.45960581,-0.00660145,0.00000000,0.00000000,-0.76951301,1.03917372,0.10726569,-0.50043863,-0.30168116,0.00000000,0.00000000
-0.73137593,-1.08638430,0.28622904,0.46200827,-0.01523506,0.00000000,0.00000000,-0.76735151,1.03815961,0.10482772,-0.50016898,-0.30999410,0.00000000,0.00000000
-0.72006172,-1.08581126,0.28337321,0.46456820,-0.03012576,0.00000000,0.00000000,-0.76475161,1.03686762,0.10211369,-0.49989322,-0.32091525,0.00000000,0.00000000
-0.70896590,-1.08534980,0.28066763,0.46714768,-0.04334129,0.00000000,0.00000000,-0.76159108,1.03534770,0.09916288,-0.49956214,-0.33446825,0.00000000,0.00000000
-0.69806802,-1.08510327,0.27801898,0.46972841,-0.05697739,0.00000000,0.00000000,-0.75780863,1.03368890,0.09596864,-0.49915281,-0.35409024,0.00000000,0.00000000
-0.68735182,-1.08501112,0.27529523,0.47234508,-0.06537307,0.00000000,0.00000000,-0.75346208,1.03204715,0.09249293,-0.49865720,-0.37494984,0.00000000,0.00000000
-0.67679924,-1.08505714,0.27240166,0.47503245,-0.07436053,0.00000000,0.00000000,-0.74858397,1.03054023,0.08870925,-0.49807292,-0.39715740,0.00000000,0.00000000
