l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-0.74970442,-1.13105893,0.19895492,0.39631128,0.01588623,0.00000000,0.00000000,-1.73981404,0.81216633,0.13541898,-0.20007503,0.00457822,0.00000000,0.00000000
-0.74941784,-1.13134956,0.19889317,0.39630827,0.00999682,0.00000000,0.00000000,-1.73982573,0.81228387,0.13528351,-0.19992548,0.01230114,0.00000000,0.00000000
-0.74887067,-1.13193071,0.19879763,0.39628178,0.00332337,0.00000000,0.00000000,-1.73985410,0.81249338,0.13501212,-0.19964607,0.02481014,0.00000000,0.00000000
-0.74808347,-1.13281059,0.19870168,0.39620829,-0.00334975,0.00000000,0.00000000,-1.73990428,0.81274140,0.13459353,-0.19927107,0.03764060,0.00000000,0.00000000
-0.74710637,-1.13393724,0.19867469,0.39611864,-0.01233623,0.00000000,0.00000000,-1.73996937,0.81287909,0.13402933,-0.19889747,0.04827857,0.00000000,0.00000000
-0.74601781,-1.13513088,0.19880435,0.39612231,-0.01924109,0.00000000,0.00000000,-1.74002361,0.81279856,0.13334048,-0.19860737,0.05383306,0.00000000,0.00000000
-0.74488980,-1.13619781,0.19916549,0.39631402,-0.02936036,0.00000000,0.00000000,-1.74002981,0.81247526,0.13255547,-0.19845346,0.05750266,0.00000000,0.00000000
-0.74377501,-1.13699567,0.19982484,0.39676049,-0.03763281,0.00000000,0.00000000,-1.73994482,0.81188828,0.13170445,-0.19850914,0.05908907,0.00000000,0.00000000
-0.74270076,-1.13743877,0.20082894,0.39749315,-0.04537017,0.00000000,0.00000000,-1.73972023,0.81104720,0.13081741,-0.19882344,0.06088773,0.00000000,0.00000000
-0.74166870,-1.13747358,0.20218372,0.39851007,-0.05500888,0.00000000,0.00000000,-1.73930848,0.81006473,0.12991610,-0.19936247,0.06177271,0.00000000,0.00000000
-0.74066287,-1.13708270,0.20386891,0.39980012,-0.06562247,0.00000000,0.00000000,-1.73866796,0.80908877,0.12900895,-0.20006581,0.06383061,0.00000000,0.00000000
-0.73964405,-1.13637221,0.20585154,0.40132549,-0.07777087,0.00000000,0.00000000,-1.73776567,0.80818594,0.12809117,-0.20090945,0.07055824,0.00000000,0.00000000
-0.73853767,-1.13554752,0.20807192,0.40300131,-0.09168565,0.00000000,0.00000000,-1.73657632,0.80741417,0.12714538,-0.20188285,0.07487201,0.00000000,0.00000000
-0.73725897,-1.13481259,0.21045588,0.40472323,-0.10512219,0.00000000,0.00000000,-1.73508203,0.80687463,0.12614474,-0.20295078,0.07922322,0.00000000,0.00000000
-0.73573947,-1.13434672,0.21292996,0.40638831,-0.11721548,0.00000000,0.00000000,-1.73328054,0.80665118,0.12504224,-0.20408757,0.08271768,0.00000000,0.00000000
-0.73392487,-1.13427925,0.21541479,0.40788060,-0.13059752,0.00000000,0.00000000,-1.73118472,0.80682236,0.12377343,-0.20528655,0.08849790,0.00000000,0.00000000
-0.73178369,-1.13470149,0.21786080,0.40911010,-0.14235392,0.00000000,0.00000000,-1.72879589,0.80739880,0.12228801,-0.20656535,0.09630558,0.00000000,0.00000000
-0.72931552,-1.13569605,0.22027889,0.41001502,-0.15745206,0.00000000,0.00000000,-1.72609067,0.80829209,0.12056372,-0.20797464,0.10412599,0.00000000,0.00000000
-0.72656238,-1.13717806,0.22272758,0.41064510,-0.16785125,0.00000000,0.00000000,-1.72301686,0.80941868,0.11861247,-0.20957616,0.11571212,0.00000000,0.00000000
-0.72359765,-1.13888383,0.22528942,0.41115591,-0.18309945,0.00000000,0.00000000,-1.71949887,0.81079119,0.11647104,-0.21139447,0.13129961,0.00000000,0.00000000
-0.72051203,-1.14054751,0.22807221,0.41167745,-0.19597144,0.00000000,0.00000000,-1.71545660,0.81241524,0.11418187,-0.21344104,0.15437321,0.00000000,0.00000000
-0.71738237,-1.14198720,0.23117606,0.41226858,-0.20741507,0.00000000,0.00000000,-1.71081352,0.81428379,0.11178293,-0.21572064,0.17676322,0.00000000,0.00000000
-0.71426225,-1.14297998,0.23465283,0.41301399,-0.21352372,0.00000000,0.00000000,-1.70550048,0.81648880,0.10930329,-0.21819790,0.19883031,0.00000000,0.00000000
-0.71118873,-1.14329135,0.23850575,0.41400298,-0.21802974,0.00000000,0.00000000,-1.69946730,0.81916624,0.10675076,-0.22082774,0.22388430,0.00000000,0.00000000
-0.70818108,-1.14291406,0.24272336,0.41522112,-0.21743232,0.00000000,0.00000000,-1.69268799,0.82227236,0.10410625,-0.22365482,0.24595019,0.00000000,0.00000000
-0.70524228,-1.14200020,0.24729638,0.41657269,-0.21527281,0.00000000,0.00000000,-1.68514752,0.82563335,0.10133886,-0.22677937,0.26354462,0.00000000,0.00000000
-0.70236546,-1.14065182,0.25220993,0.41796792,-0.20362382,0.00000000,0.00000000,-1.67683077,0.82912040,0.09841803,-0.23028053,0.27530879,0.00000000,0.00000000
-0.69950134,-1.13913381,0.25741908,0.41932517,-0.19873358,0.00000000,0.00000000,-1.66773403,0.83269066,0.09529331,-0.23421352,0.28828427,0.00000000,0.00000000
-0.69652468,-1.13814151,0.26283431,0.42053211,-0.19706430,0.00000000,0.00000000,-1.65787971,0.83639687,0.09187310,-0.23856786,0.30415323,0.00000000,0.00000000
-0.69341183,-1.13781822,0.26844126,0.42163095,-0.19111115,0.00000000,0.00000000,-1.64723885,0.84026897,0.08813731,-0.24334708,0.31389996,0.00000000,0.00000000
-0.69021422,-1.13802230,0.27427694,0.42267790,-0.18614124,0.00000000,0.00000000,-1.63575435,0.84428114,0.08410840,-0.24858506,0.32325965,0.00000000,0.00000000
-0.68700665,-1.13856947,0.28037053,0.42374557,-0.17844251,0.00000000,0.00000000,-1.62336254,0.84837544,0.07982075,-0.25432345,0.32792619,0.00000000,0.00000000
-0.68385583,-1.13926244,0.28673339,0.42492265,-0.16999269,0.00000000,0.00000000,-1.61000311,0.85252333,0.07530507,-0.26060614,0.33406192,0.00000000,0.00000000
-0.68081754,-1.13995433,0.29339027,0.42627853,-0.16175075,0.00000000,0.00000000,-1.59562063,0.85669351,0.07058660,-0.26749203,0.33629742,0.00000000,0.00000000
-0.67795962,-1.14046228,0.30036616,0.42789873,-0.15220337,0.00000000,0.00000000,-1.58015394,0.86084068,0.06570172,-0.27503192,0.34005928,0.00000000,0.00000000
-0.67533886,-1.14059365,0.30763915,0.42985797,-0.14177848,0.00000000,0.00000000,-1.56354702,0.86500263,0.06067998,-0.28320253,0.34774354,0.00000000,0.00000000
-0.67295754,-1.14029586,0.31511876,0.43214121,-0.13111542,0.00000000,0.00000000,-1.54576945,0.86937201,0.05550523,-0.29187578,0.35749707,0.00000000,0.00000000
-0.67078543,-1.13969982,0.32267892,0.43465510,-0.12502646,0.00000000,0.00000000,-1.52682304,0.87415248,0.05011072,-0.30090484,0.37048745,0.00000000,0.00000000
-0.66880250,-1.13901794,0.33019933,0.43731168,-0.12108799,0.00000000,0.00000000,-1.50671971,0.87945247,0.04442152,-0.31019023,0.38658378,0.00000000,0.00000000
-0.66697776,-1.13846982,0.33758709,0.44002941,-0.11731289,0.00000000,0.00000000,-1.48546410,0.88534582,0.03839069,-0.31965959,0.40561974,0.00000000,0.00000000
-0.66525042,-1.13830447,0.34477678,0.44268537,-0.11062939,0.00000000,0.00000000,-1.46305251,0.89188057,0.03200394,-0.32928398,0.42536166,0.00000000,0.00000000
-0.66356844,-1.13877463,0.35170063,0.44518444,-0.09593977,0.00000000,0.00000000,-1.43947721,0.89906764,0.02527890,-0.33906066,0.44021997,0.00000000,0.00000000
-0.66193426,-1.14008629,0.35829580,0.44745070,-0.07862630,0.00000000,0.00000000,-1.41473126,0.90679961,0.01825923,-0.34903848,0.45850599,0.00000000,0.00000000
-0.66036069,-1.14233160,0.36454219,0.44940504,-0.06227474,0.00000000,0.00000000,-1.38880289,0.91496110,0.01102934,-0.35926303,0.47896370,0.00000000,0.00000000
-0.65883350,-1.14544225,0.37045169,0.45102936,-0.04513391,0.00000000,0.00000000,-1.36167932,0.92358041,0.00371488,-0.36964071,0.50363791,0.00000000,0.00000000
-0.65737736,-1.14918375,0.37604988,0.45238993,-0.02635338,0.00000000,0.00000000,-1.33335364,0.93268222,-0.00352325,-0.38000622,0.53004467,0.00000000,0.00000000
-0.65605479,-1.15322220,0.38139293,0.45363832,-0.00442137,0.00000000,0.00000000,-1.30382955,0.94217974,-0.01049731,-0.39024130,0.55139130,0.00000000,0.00000000
-0.65494883,-1.15711164,0.38656959,0.45500898,0.02017880,0.00000000,0.00000000,-1.27312148,0.95184708,-0.01699059,-0.40033138,0.56965369,0.00000000,0.00000000
-0.65413839,-1.16036344,0.39163914,0.45671669,0.04762316,0.00000000,0.00000000,-1.24126613,0.96143520,-0.02280418,-0.41031089,0.58590168,0.00000000,0.00000000
-0.65363765,-1.16272581,0.39662075,0.45881400,0.07409045,0.00000000,0.00000000,-1.20834112,0.97077149,-0.02782856,-0.42019227,0.59930724,0.00000000,0.00000000
-0.65341115,-1.16422617,0.40152898,0.46126258,0.09942492,0.00000000,0.00000000,-1.17446184,0.97968531,-0.03206366,-0.42998818,0.60926163,0.00000000,0.00000000
-0.65337497,-1.16506147,0.40635487,0.46398461,0.12604614,0.00000000,0.00000000,-1.13977396,0.98813963,-0.03561348,-0.43963030,0.62218183,0.00000000,0.00000000
-0.65342027,-1.16555083,0.41105774,0.46684062,0.15138949,0.00000000,0.00000000,-1.10444045,0.99622488,-0.03865680,-0.44897538,0.63268971,0.00000000,0.00000000
-0.65344417,-1.16606510,0.41556737,0.46963277,0.17387767,0.00000000,0.00000000,-1.06862366,1.00405097,-0.04138462,-0.45787758,0.63640159,0.00000000,0.00000000
-0.65334201,-1.16689491,0.41978800,0.47218704,0.19770832,0.00000000,0.00000000,-1.03247416,1.01179886,-0.04395168,-0.46617767,0.63687944,0.00000000,0.00000000
-0.65300512,-1.16814375,0.42362311,0.47443306,0.22594973,0.00000000,0.00000000,-0.99612975,1.01970613,-0.04643753,-0.47370890,0.63696760,0.00000000,0.00000000
-0.65245980,-1.16965425,0.42698276,0.47648513,0.24813820,0.00000000,0.00000000,-0.95971853,1.02767789,-0.04883446,-0.48046646,0.64452606,0.00000000,0.00000000
-0.65181243,-1.17120254,0.42981672,0.47858086,0.27447557,0.00000000,0.00000000,-0.92337471,1.03532922,-0.05109987,-0.48656648,0.65061742,0.00000000,0.00000000
-0.65105742,-1.17277372,0.43213016,0.48086837,0.30023128,0.00000000,0.00000000,-0.88723844,1.04236126,-0.05319670,-0.49206373,0.65470314,0.00000000,0.00000000
-0.65009516,-1.17453945,0.43394533,0.48329264,0.32778400,0.00000000,0.00000000,-0.85144907,1.04863811,-0.05511200,-0.49694028,0.66376197,0.00000000,0.00000000
