l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-2.45733404,-0.52455658,-0.35048440,-0.39581031,-0.00394991,0.00000000,0.00000000,-1.44092739,0.77660048,0.08726402,-0.24189097,0.07780573,0.00000000,0.00000000
-2.45676208,-0.52486563,-0.35000700,-0.39575225,-0.01390260,0.00000000,0.00000000,-1.44013786,0.77676284,0.08759729,-0.24221584,0.09080885,0.00000000,0.00000000
-2.45569205,-0.52538800,-0.34896678,-0.39553782,-0.02636427,0.00000000,0.00000000,-1.43875670,0.77676207,0.08810259,-0.24293321,0.10899411,0.00000000,0.00000000
-2.45413280,-0.52608907,-0.34730139,-0.39506012,-0.03992711,0.00000000,0.00000000,-1.43690038,0.77644128,0.08866325,-0.24406722,0.12814589,0.00000000,0.00000000
-2.45206690,-0.52689683,-0.34502533,-0.39427659,-0.05533656,0.00000000,0.00000000,-1.43461812,0.77591908,0.08922078,-0.24555869,0.14790373,0.00000000,0.00000000
-2.44944596,-0.52773118,-0.34220937,-0.39320979,-0.07377870,0.00000000,0.00000000,-1.43188834,0.77550077,0.08977599,-0.24729218,0.17133982,0.00000000,0.00000000
-2.44621730,-0.52856094,-0.33895391,-0.39190644,-0.09340315,0.00000000,0.00000000,-1.42865288,0.77549827,0.09036074,-0.24914624,0.19281289,0.00000000,0.00000000
-2.44234776,-0.52940971,-0.33534655,-0.39042044,-0.11375663,0.00000000,0.00000000,-1.42484689,0.77606547,0.09101300,-0.25107285,0.20987660,0.00000000,0.00000000
-2.43782592,-0.53026605,-0.33140516,-0.38874575,-0.13605148,0.00000000,0.00000000,-1.42044139,0.77716380,0.09173946,-0.25312075,0.22246727,0.00000000,0.00000000
-2.43264890,-0.53110301,-0.32705176,-0.38676935,-0.15965633,0.00000000,0.00000000,-1.41547024,0.77856612,0.09249000,-0.25542533,0.23671141,0.00000000,0.00000000
-2.42682242,-0.53187388,-0.32217720,-0.38431090,-0.18307884,0.00000000,0.00000000,-1.41001070,0.78001010,0.09317175,-0.25813109,0.24620694,0.00000000,0.00000000
-2.42035508,-0.53245413,-0.31669667,-0.38115838,-0.20489895,0.00000000,0.00000000,-1.40416229,0.78135550,0.09366702,-0.26129204,0.25607729,0.00000000,0.00000000
-2.41323900,-0.53267586,-0.31057146,-0.37712887,-0.22703433,0.00000000,0.00000000,-1.39800978,0.78264976,0.09386425,-0.26483670,0.26812083,0.00000000,0.00000000
-2.40541291,-0.53259468,-0.30382091,-0.37221363,-0.24869995,0.00000000,0.00000000,-1.39157379,0.78401840,0.09370786,-0.26867160,0.28478587,0.00000000,0.00000000
-2.39676857,-0.53254133,-0.29651546,-0.36659092,-0.26683265,0.00000000,0.00000000,-1.38479817,0.78555614,0.09321170,-0.27274755,0.30114889,0.00000000,0.00000000
-2.38719654,-0.53280360,-0.28874877,-0.36042285,-0.28724763,0.00000000,0.00000000,-1.37759280,0.78736264,0.09242060,-0.27703470,0.32054973,0.00000000,0.00000000
-2.37659431,-0.53357577,-0.28060755,-0.35378706,-0.30455282,0.00000000,0.00000000,-1.36985850,0.78951472,0.09138726,-0.28153262,0.33824122,0.00000000,0.00000000
-2.36486483,-0.53501171,-0.27217200,-0.34673354,-0.32221460,0.00000000,0.00000000,-1.36148167,0.79209596,0.09018075,-0.28623664,0.35579064,0.00000000,0.00000000
-2.35193014,-0.53720576,-0.26351082,-0.33927912,-0.34047794,0.00000000,0.00000000,-1.35234976,0.79519564,0.08887221,-0.29113573,0.37272540,0.00000000,0.00000000
-2.33772397,-0.54027534,-0.25467908,-0.33141911,-0.36242491,0.00000000,0.00000000,-1.34236491,0.79884362,0.08752315,-0.29624075,0.38914004,0.00000000,0.00000000
-2.32218838,-0.54434592,-0.24571967,-0.32313761,-0.38499999,0.00000000,0.00000000,-1.33145761,0.80301100,0.08617236,-0.30157954,0.41307244,0.00000000,0.00000000
-2.30528259,-0.54943961,-0.23664409,-0.31437165,-0.40265396,0.00000000,0.00000000,-1.31960762,0.80765063,0.08481163,-0.30718192,0.43226248,0.00000000,0.00000000
-2.28698063,-0.55549365,-0.22744446,-0.30500561,-0.41613442,0.00000000,0.00000000,-1.30683184,0.81274641,0.08339664,-0.31304768,0.45506543,0.00000000,0.00000000
-2.26725721,-0.56250089,-0.21812029,-0.29495654,-0.43431064,0.00000000,0.00000000,-1.29315424,0.81829315,0.08187857,-0.31914568,0.47590980,0.00000000,0.00000000
-2.24609065,-0.57047564,-0.20867912,-0.28418675,-0.46164632,0.00000000,0.00000000,-1.27859604,0.82427722,0.08021529,-0.32545888,0.49316636,0.00000000,0.00000000
-2.22345924,-0.57944113,-0.19914185,-0.27270380,-0.48656851,0.00000000,0.00000000,-1.26315284,0.83064723,0.07839941,-0.33202061,0.50801951,0.00000000,0.00000000
-2.19933701,-0.58952051,-0.18954636,-0.26061559,-0.50734431,0.00000000,0.00000000,-1.24679208,0.83728743,0.07646517,-0.33891037,0.52455896,0.00000000,0.00000000
-2.17370462,-0.60086608,-0.17994013,-0.24810115,-0.52362072,0.00000000,0.00000000,-1.22947347,0.84408873,0.07446400,-0.34621200,0.54438126,0.00000000,0.00000000
-2.14656067,-0.61350226,-0.17039743,-0.23527706,-0.53942329,0.00000000,0.00000000,-1.21115196,0.85111195,0.07246159,-0.35391366,0.56337047,0.00000000,0.00000000
-2.11792564,-0.62732071,-0.16101156,-0.22216593,-0.55082297,0.00000000,0.00000000,-1.19177520,0.85855806,0.07054557,-0.36189491,0.57961047,0.00000000,0.00000000
-2.08784580,-0.64211488,-0.15186574,-0.20872986,-0.56142622,0.00000000,0.00000000,-1.17128718,0.86663711,0.06882833,-0.37000188,0.59416032,0.00000000,0.00000000
-2.05639625,-0.65766776,-0.14301503,-0.19490594,-0.57469678,0.00000000,0.00000000,-1.14965284,0.87550253,0.06741861,-0.37810478,0.60966724,0.00000000,0.00000000
-2.02367759,-0.67383713,-0.13447455,-0.18066344,-0.58559096,0.00000000,0.00000000,-1.12688279,0.88520449,0.06638815,-0.38611090,0.61681843,0.00000000,0.00000000
-1.98981047,-0.69051832,-0.12624089,-0.16600090,-0.59646505,0.00000000,0.00000000,-1.10300851,0.89568889,0.06581393,-0.39396685,0.62264794,0.00000000,0.00000000
-1.95493364,-0.70758969,-0.11830652,-0.15093057,-0.60358030,0.00000000,0.00000000,-1.07806849,0.90687853,0.06580149,-0.40163532,0.63419372,0.00000000,0.00000000
-1.91920245,-0.72482449,-0.11065166,-0.13542813,-0.60866970,0.00000000,0.00000000,-1.05212355,0.91878450,0.06645733,-0.40904385,0.64337772,0.00000000,0.00000000
-1.88278151,-0.74206501,-0.10322726,-0.11950429,-0.61413211,0.00000000,0.00000000,-1.02528596,0.93129498,0.06783466,-0.41617176,0.65757847,0.00000000,0.00000000
