l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-1.61693752,-0.82008618,0.36339948,-0.19589853,-0.07223148,0.00000000,0.00000000,-1.15151477,0.92953873,0.13246386,-0.39908007,0.09772405,0.00000000,0.00000000
-1.61511207,-0.82106286,0.36315039,-0.19512407,-0.08237516,0.00000000,0.00000000,-1.15040362,0.92970967,0.13270825,-0.39945811,0.10784181,0.00000000,0.00000000
-1.61157775,-0.82277864,0.36267447,-0.19352497,-0.09527625,0.00000000,0.00000000,-1.14824688,0.93033272,0.13316809,-0.40008301,0.12155578,0.00000000,0.00000000
-1.60635459,-0.82526648,0.36196607,-0.19112445,-0.10951833,0.00000000,0.00000000,-1.14505959,0.93155199,0.13379641,-0.40091202,0.13786381,0.00000000,0.00000000
-1.59951460,-0.82860541,0.36099494,-0.18792994,-0.12688693,0.00000000,0.00000000,-1.14086163,0.93335015,0.13457429,-0.40194294,0.15203115,0.00000000,0.00000000
-1.59116387,-0.83281678,0.35971618,-0.18387720,-0.14168611,0.00000000,0.00000000,-1.13566148,0.93566781,0.13552870,-0.40317333,0.16537526,0.00000000,0.00000000
-1.58143473,-0.83804917,0.35807875,-0.17897029,-0.15478751,0.00000000,0.00000000,-1.12947893,0.93829530,0.13668528,-0.40466598,0.17939068,0.00000000,0.00000000
-1.57046711,-0.84442526,0.35604203,-0.17321776,-0.16953017,0.00000000,0.00000000,-1.12234569,0.94104403,0.13805024,-0.40648586,0.19710065,0.00000000,0.00000000
-1.55839026,-0.85192871,0.35359159,-0.16659749,-0.18252605,0.00000000,0.00000000,-1.11430299,0.94390672,0.13959672,-0.40862289,0.21454926,0.00000000,0.00000000
-1.54534268,-0.86048591,0.35072610,-0.15907057,-0.19747217,0.00000000,0.00000000,-1.10539711,0.94692153,0.14128682,-0.41103476,0.23017776,0.00000000,0.00000000
-1.53148305,-0.86998892,0.34744993,-0.15057875,-0.20880525,0.00000000,0.00000000,-1.09566903,0.95010394,0.14310366,-0.41367310,0.24209636,0.00000000,0.00000000
-1.51698911,-0.88030624,0.34377354,-0.14105988,-0.22463423,0.00000000,0.00000000,-1.08515477,0.95345587,0.14505136,-0.41649374,0.24986476,0.00000000,0.00000000
-1.50202894,-0.89124453,0.33972806,-0.13045318,-0.24554667,0.00000000,0.00000000,-1.07389176,0.95701534,0.14713465,-0.41944730,0.25553942,0.00000000,0.00000000
-1.48674309,-0.90265816,0.33536935,-0.11876006,-0.26568279,0.00000000,0.00000000,-1.06192994,0.96075684,0.14934076,-0.42251402,0.26235673,0.00000000,0.00000000
-1.47125328,-0.91449833,0.33076817,-0.10605892,-0.28896502,0.00000000,0.00000000,-1.04933083,0.96456826,0.15164474,-0.42569619,0.27453965,0.00000000,0.00000000
-1.45565283,-0.92671013,0.32600883,-0.09247224,-0.30875459,0.00000000,0.00000000,-1.03615582,0.96840364,0.15401946,-0.42894116,0.28492931,0.00000000,0.00000000
-1.44000316,-0.93918312,0.32118535,-0.07814007,-0.32796043,0.00000000,0.00000000,-1.02246130,0.97231424,0.15644546,-0.43216252,0.29741791,0.00000000,0.00000000
-1.42437232,-0.95177060,0.31638777,-0.06316224,-0.34759375,0.00000000,0.00000000,-1.00830674,0.97633410,0.15891132,-0.43527812,0.31201395,0.00000000,0.00000000
-1.40884292,-0.96432692,0.31169957,-0.04759837,-0.37301117,0.00000000,0.00000000,-0.99376160,0.98041356,0.16140871,-0.43822601,0.32661241,0.00000000,0.00000000
-1.39349794,-0.97677433,0.30719846,-0.03154714,-0.39879906,0.00000000,0.00000000,-0.97890991,0.98442584,0.16391647,-0.44097438,0.33898488,0.00000000,0.00000000
-1.37840796,-0.98912954,0.30295753,-0.01517344,-0.42286456,0.00000000,0.00000000,-0.96385306,0.98820543,0.16637367,-0.44352713,0.34987471,0.00000000,0.00000000
-1.36363363,-1.00140214,0.29904422,0.00137640,-0.44742438,0.00000000,0.00000000,-0.94869953,0.99165148,0.16867803,-0.44590300,0.35819176,0.00000000,0.00000000
-1.34923947,-1.01343668,0.29551917,0.01806317,-0.46925399,0.00000000,0.00000000,-0.93354452,0.99481255,0.17074151,-0.44807580,0.36220032,0.00000000,0.00000000
-1.33531654,-1.02503300,0.29243624,0.03490842,-0.49180305,0.00000000,0.00000000,-0.91847628,0.99769682,0.17249757,-0.45002866,0.36724353,0.00000000,0.00000000
-1.32194173,-1.03613365,0.28984103,0.05186448,-0.50967187,0.00000000,0.00000000,-0.90359318,1.00021338,0.17385244,-0.45179170,0.37102711,0.00000000,0.00000000
-1.30911958,-1.04680490,0.28776339,0.06877254,-0.52504367,0.00000000,0.00000000,-0.88898736,1.00234354,0.17468379,-0.45339555,0.36655653,0.00000000,0.00000000
-1.29680562,-1.05718982,0.28621522,0.08541235,-0.53450030,0.00000000,0.00000000,-0.87473255,1.00412023,0.17486678,-0.45489505,0.36513945,0.00000000,0.00000000
-1.28493416,-1.06740642,0.28518978,0.10157797,-0.53910464,0.00000000,0.00000000,-0.86087698,1.00562453,0.17430916,-0.45635343,0.35783985,0.00000000,0.00000000
-1.27341080,-1.07742620,0.28465676,0.11712317,-0.54383576,0.00000000,0.00000000,-0.84743088,1.00708520,0.17299029,-0.45775610,0.35346150,0.00000000,0.00000000
-1.26211774,-1.08712304,0.28456065,0.13196015,-0.55458915,0.00000000,0.00000000,-0.83437639,1.00876689,0.17097482,-0.45895565,0.34487474,0.00000000,0.00000000
-1.25093448,-1.09633267,0.28482655,0.14607525,-0.56307435,0.00000000,0.00000000,-0.82167113,1.01084173,0.16840202,-0.45979336,0.33068597,0.00000000,0.00000000
-1.23982871,-1.10485649,0.28539610,0.15955758,-0.57511044,0.00000000,0.00000000,-0.80931026,1.01320326,0.16541182,-0.46024272,0.32207671,0.00000000,0.00000000
-1.22889185,-1.11254191,0.28625405,0.17254531,-0.58049375,0.00000000,0.00000000,-0.79734176,1.01544988,0.16208598,-0.46043286,0.31153542,0.00000000,0.00000000
-1.21828353,-1.11931598,0.28741685,0.18515415,-0.58521181,0.00000000,0.00000000,-0.78583932,1.01697183,0.15846623,-0.46057960,0.30256346,0.00000000,0.00000000
-1.20814669,-1.12516654,0.28889841,0.19745186,-0.58964431,0.00000000,0.00000000,-0.77485830,1.01717985,0.15458800,-0.46082330,0.29614562,0.00000000,0.00000000
-1.19851577,-1.13013327,0.29066473,0.20943813,-0.59824669,0.00000000,0.00000000,-0.76436764,1.01588476,0.15049703,-0.46113050,0.29006860,0.00000000,0.00000000
-1.18930948,-1.13427436,0.29262459,0.22104385,-0.60711330,0.00000000,0.00000000,-0.75428528,1.01336253,0.14621036,-0.46139556,0.28408858,0.00000000,0.00000000
-1.18040407,-1.13765550,0.29465839,0.23218186,-0.61333501,0.00000000,0.00000000,-0.74452001,1.01009417,0.14171280,-0.46161631,0.27211905,0.00000000,0.00000000
-1.17168629,-1.14029145,0.29664251,0.24280912,-0.62143421,0.00000000,0.00000000,-0.73500764,1.00651860,0.13697600,-0.46187556,0.25736260,0.00000000,0.00000000
-1.16302192,-1.14232206,0.29844221,0.25281623,-0.62418950,0.00000000,0.00000000,-0.72568160,1.00307178,0.13194883,-0.46226478,0.24156767,0.00000000,0.00000000
-1.15426350,-1.14405394,0.29991707,0.26200381,-0.63034123,0.00000000,0.00000000,-0.71644980,1.00021541,0.12657557,-0.46286243,0.22780770,0.00000000,0.00000000
-1.14527452,-1.14586854,0.30093563,0.27014929,-0.62823910,0.00000000,0.00000000,-0.70719498,0.99842930,0.12082303,-0.46367803,0.21982759,0.00000000,0.00000000
-1.13595259,-1.14803922,0.30138630,0.27710670,-0.62183517,0.00000000,0.00000000,-0.69780517,0.99809861,0.11471403,-0.46463072,0.21256055,0.00000000,0.00000000
-1.12624395,-1.15058315,0.30117837,0.28286216,-0.61847693,0.00000000,0.00000000,-0.68821031,0.99931854,0.10835802,-0.46557391,0.20456080,0.00000000,0.00000000
-1.11615574,-1.15325749,0.30024654,0.28753990,-0.61553562,0.00000000,0.00000000,-0.67841023,1.00176430,0.10192407,-0.46637449,0.19243322,0.00000000,0.00000000
-1.10575604,-1.15558720,0.29855964,0.29141405,-0.61868310,0.00000000,0.00000000,-0.66847342,1.00476170,0.09560613,-0.46696508,0.18499731,0.00000000,0.00000000
-1.09514070,-1.15703821,0.29611090,0.29481867,-0.62273335,0.00000000,0.00000000,-0.65851176,1.00752187,0.08956412,-0.46737713,0.17597708,0.00000000,0.00000000
-1.08443248,-1.15717590,0.29292226,0.29805967,-0.62699360,0.00000000,0.00000000,-0.64862186,1.00932109,0.08390559,-0.46775478,0.16736527,0.00000000,0.00000000
-1.07371628,-1.15591002,0.28901404,0.30125079,-0.62664616,0.00000000,0.00000000,-0.63879251,1.00980890,0.07869720,-0.46821904,0.15835334,0.00000000,0.00000000
-1.06301200,-1.15344048,0.28437153,0.30430400,-0.62872255,0.00000000,0.00000000,-0.62892991,1.00906277,0.07396501,-0.46875229,0.14844970,0.00000000,0.00000000
-1.05232203,-1.15004647,0.27896264,0.30705595,-0.62392491,0.00000000,0.00000000,-0.61893594,1.00731611,0.06969492,-0.46926421,0.13709469,0.00000000,0.00000000
-1.04166853,-1.14602840,0.27276570,0.30935937,-0.62298274,0.00000000,0.00000000,-0.60873234,1.00479102,0.06583750,-0.46962208,0.13221572,0.00000000,0.00000000
-1.03106403,-1.14186144,0.26576623,0.31099916,-0.62579626,0.00000000,0.00000000,-0.59818143,1.00180435,0.06235912,-0.46968248,0.12370271,0.00000000,0.00000000
-1.02050817,-1.13795578,0.25793168,0.31178856,-0.63085926,0.00000000,0.00000000,-0.58711016,0.99871916,0.05928737,-0.46931091,0.11795466,0.00000000,0.00000000
-1.00999737,-1.13427794,0.24918653,0.31174389,-0.63853955,0.00000000,0.00000000,-0.57541329,0.99576312,0.05670959,-0.46841982,0.11088876,0.00000000,0.00000000
-0.99952030,-1.13052440,0.23942819,0.31100702,-0.64636958,0.00000000,0.00000000,-0.56303954,0.99293071,0.05475637,-0.46699157,0.10797592,0.00000000,0.00000000
-0.98905396,-1.12643766,0.22855090,0.30970195,-0.65800977,0.00000000,0.00000000,-0.54990888,0.99006552,0.05361066,-0.46508136,0.09965464,0.00000000,0.00000000
-0.97854912,-1.12189364,0.21643354,0.30788109,-0.66672939,0.00000000,0.00000000,-0.53587216,0.98710001,0.05351375,-0.46274936,0.09588271,0.00000000,0.00000000
-0.96793741,-1.11700284,0.20296030,0.30545399,-0.67857903,0.00000000,0.00000000,-0.52071691,0.98401332,0.05474807,-0.45996666,0.09180868,0.00000000,0.00000000
-0.95713830,-1.11194479,0.18801372,0.30226910,-0.68317300,0.00000000,0.00000000,-0.50423521,0.98086095,0.05759765,-0.45659965,0.09181178,0.00000000,0.00000000
-0.94603705,-1.10701442,0.17145178,0.29810479,-0.69060946,0.00000000,0.00000000,-0.48620522,0.97794384,0.06236196,-0.45247227,0.09496495,0.00000000,0.00000000
-0.93452030,-1.10275340,0.15314889,0.29261267,-0.69945997,0.00000000,0.00000000,-0.46634787,0.97564626,0.06938099,-0.44735560,0.09121784,0.00000000,0.00000000
-0.92244142,-1.09973955,0.13296840,0.28544581,-0.71096313,0.00000000,0.00000000,-0.44440773,0.97457743,0.07899216,-0.44087988,0.08544364,0.00000000,0.00000000
-0.90955818,-1.09877908,0.11074924,0.27611503,-0.72152030,0.00000000,0.00000000,-0.42016098,0.97572207,0.09152726,-0.43249691,0.07740000,0.00000000,0.00000000
