l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-1.24436200,-0.54708463,-1.05191350,-0.53769517,0.13101925,0.00000000,0.00000000,-0.51102841,0.71172917,0.21224631,-0.26486737,0.00740610,0.00000000,0.00000000
-1.24483883,-0.55158556,-1.05181479,-0.53851902,0.14240283,0.00000000,0.00000000,-0.51212889,0.71163630,0.21160930,-0.26527321,0.00302651,0.00000000,0.00000000
-1.24592185,-0.55895346,-1.05176413,-0.53994852,0.15280400,0.00000000,0.00000000,-0.51404613,0.71159166,0.21046521,-0.26615837,-0.00323849,0.00000000,0.00000000
-1.24782383,-0.56826597,-1.05190420,-0.54174197,0.16307458,0.00000000,0.00000000,-0.51650274,0.71226156,0.20892154,-0.26765212,-0.01543616,0.00000000,0.00000000
-1.25068641,-0.57811385,-1.05235171,-0.54362625,0.17587353,0.00000000,0.00000000,-0.51931471,0.71353817,0.20703056,-0.26978615,-0.02622955,0.00000000,0.00000000
-1.25452316,-0.58779263,-1.05310059,-0.54538900,0.18550047,0.00000000,0.00000000,-0.52240622,0.71439755,0.20483965,-0.27244815,-0.03561078,0.00000000,0.00000000
-1.25929773,-0.59762740,-1.05403948,-0.54682398,0.19431192,0.00000000,0.00000000,-0.52569765,0.71470445,0.20242116,-0.27551338,-0.04103377,0.00000000,0.00000000
-1.26494288,-0.60781336,-1.05507231,-0.54776424,0.19556737,0.00000000,0.00000000,-0.52910817,0.71467882,0.19984043,-0.27892673,-0.05060077,0.00000000,0.00000000
-1.27135861,-0.61857480,-1.05608785,-0.54803091,0.19258703,0.00000000,0.00000000,-0.53258950,0.71466893,0.19716646,-0.28264573,-0.05947318,0.00000000,0.00000000
-1.27841616,-0.63003725,-1.05696809,-0.54744744,0.19287187,0.00000000,0.00000000,-0.53605479,0.71477860,0.19448121,-0.28653967,-0.06856319,0.00000000,0.00000000
-1.28593016,-0.64235741,-1.05757284,-0.54592896,0.19225371,0.00000000,0.00000000,-0.53943968,0.71479255,0.19183834,-0.29049155,-0.07822368,0.00000000,0.00000000
-1.29375100,-0.65504766,-1.05784953,-0.54340708,0.19085923,0.00000000,0.00000000,-0.54267883,0.71472049,0.18926705,-0.29449067,-0.08470083,0.00000000,0.00000000
-1.30176306,-0.66766959,-1.05780315,-0.53985876,0.19017498,0.00000000,0.00000000,-0.54569507,0.71475238,0.18681771,-0.29849771,-0.09142240,0.00000000,0.00000000
-1.30985427,-0.67988157,-1.05746257,-0.53536308,0.18835822,0.00000000,0.00000000,-0.54839540,0.71492642,0.18455942,-0.30241960,-0.10002226,0.00000000,0.00000000
-1.31795943,-0.69158095,-1.05690873,-0.53006470,0.18305998,0.00000000,0.00000000,-0.55072230,0.71502846,0.18254389,-0.30622217,-0.10415705,0.00000000,0.00000000
-1.32598329,-0.70270437,-1.05619347,-0.52415329,0.17798275,0.00000000,0.00000000,-0.55264866,0.71476269,0.18079370,-0.30993286,-0.11120433,0.00000000,0.00000000
-1.33382249,-0.71323323,-1.05534518,-0.51777679,0.17060116,0.00000000,0.00000000,-0.55416828,0.71417361,0.17933002,-0.31349865,-0.12555775,0.00000000,0.00000000
-1.34143269,-0.72289932,-1.05443263,-0.51096791,0.15633641,0.00000000,0.00000000,-0.55525225,0.71335620,0.17817833,-0.31692082,-0.13769089,0.00000000,0.00000000
-1.34874415,-0.73194557,-1.05348706,-0.50381875,0.14185937,0.00000000,0.00000000,-0.55595553,0.71225214,0.17731836,-0.32026830,-0.15021411,0.00000000,0.00000000
-1.35564733,-0.74058408,-1.05249333,-0.49637002,0.13118923,0.00000000,0.00000000,-0.55634487,0.71091235,0.17672242,-0.32351953,-0.16728082,0.00000000,0.00000000
-1.36202788,-0.74873394,-1.05142593,-0.48860851,0.11882648,0.00000000,0.00000000,-0.55649787,0.70952398,0.17634037,-0.32662252,-0.18408592,0.00000000,0.00000000
-1.36777174,-0.75653744,-1.05024934,-0.48059985,0.10228499,0.00000000,0.00000000,-0.55654764,0.70825529,0.17608596,-0.32955444,-0.20560756,0.00000000,0.00000000
-1.37280273,-0.76435107,-1.04895520,-0.47242376,0.08348731,0.00000000,0.00000000,-0.55666053,0.70733237,0.17586017,-0.33225787,-0.22042759,0.00000000,0.00000000
-1.37706852,-0.77232337,-1.04755020,-0.46419057,0.06584675,0.00000000,0.00000000,-0.55692655,0.70691419,0.17561111,-0.33461910,-0.23860492,0.00000000,0.00000000
-1.38060176,-0.78035313,-1.04612303,-0.45611206,0.05103542,0.00000000,0.00000000,-0.55734938,0.70680451,0.17533840,-0.33663422,-0.25730088,0.00000000,0.00000000
-1.38347471,-0.78835070,-1.04478180,-0.44839540,0.03479555,0.00000000,0.00000000,-0.55790973,0.70677537,0.17506234,-0.33832532,-0.26978472,0.00000000,0.00000000
-1.38584352,-0.79591298,-1.04369450,-0.44123062,0.02551761,0.00000000,0.00000000,-0.55855256,0.70690465,0.17481893,-0.33972022,-0.27642938,0.00000000,0.00000000
-1.38789606,-0.80285156,-1.04304123,-0.43485618,0.02045815,0.00000000,0.00000000,-0.55924833,0.70704180,0.17463011,-0.34086719,-0.27806777,0.00000000,0.00000000
-1.38978684,-0.80892110,-1.04295850,-0.42940256,0.00514764,0.00000000,0.00000000,-0.55996275,0.70699573,0.17451252,-0.34185264,-0.27987313,0.00000000,0.00000000
-1.39160252,-0.81389248,-1.04351628,-0.42490435,-0.01036016,0.00000000,0.00000000,-0.56072295,0.70681012,0.17443074,-0.34280214,-0.28106070,0.00000000,0.00000000
-1.39340842,-0.81765437,-1.04476368,-0.42145693,-0.02524061,0.00000000,0.00000000,-0.56152022,0.70653272,0.17438421,-0.34377870,-0.28084606,0.00000000,0.00000000
-1.39523828,-0.82022351,-1.04672098,-0.41913202,-0.04061849,0.00000000,0.00000000,-0.56231487,0.70610267,0.17440334,-0.34481767,-0.27878603,0.00000000,0.00000000
-1.39711726,-0.82166141,-1.04942036,-0.41779107,-0.05767245,0.00000000,0.00000000,-0.56311548,0.70556611,0.17448285,-0.34592503,-0.26960123,0.00000000,0.00000000
-1.39901721,-0.82199097,-1.05286205,-0.41722658,-0.07906961,0.00000000,0.00000000,-0.56393754,0.70498890,0.17460364,-0.34709853,-0.26407692,0.00000000,0.00000000
-1.40080965,-0.82120770,-1.05695629,-0.41729560,-0.09878657,0.00000000,0.00000000,-0.56477445,0.70443606,0.17475529,-0.34830308,-0.25997740,0.00000000,0.00000000
-1.40223038,-0.81946772,-1.06148660,-0.41796827,-0.11845498,0.00000000,0.00000000,-0.56562179,0.70404446,0.17493081,-0.34943950,-0.26368186,0.00000000,0.00000000
-1.40314436,-0.81722331,-1.06639493,-0.41901228,-0.12671147,0.00000000,0.00000000,-0.56657171,0.70404583,0.17506818,-0.35041457,-0.26566377,0.00000000,0.00000000
-1.40340090,-0.81481957,-1.07160127,-0.42014003,-0.13330944,0.00000000,0.00000000,-0.56770289,0.70463771,0.17510913,-0.35116184,-0.26572660,0.00000000,0.00000000
-1.40275192,-0.81276739,-1.07691908,-0.42103305,-0.14727482,0.00000000,0.00000000,-0.56910616,0.70587951,0.17498735,-0.35164914,-0.26745903,0.00000000,0.00000000
-1.40098953,-0.81133372,-1.08219445,-0.42142519,-0.16087504,0.00000000,0.00000000,-0.57081366,0.70785546,0.17467192,-0.35185894,-0.26659298,0.00000000,0.00000000
-1.39800096,-0.81074703,-1.08735096,-0.42121378,-0.17045005,0.00000000,0.00000000,-0.57284993,0.71048355,0.17413363,-0.35183808,-0.27170673,0.00000000,0.00000000
-1.39387023,-0.81083840,-1.09249699,-0.42039174,-0.18379074,0.00000000,0.00000000,-0.57517809,0.71364009,0.17337991,-0.35164243,-0.27983791,0.00000000,0.00000000
-1.38870597,-0.81123221,-1.09776282,-0.41904417,-0.19598442,0.00000000,0.00000000,-0.57772005,0.71724939,0.17244005,-0.35135424,-0.29012254,0.00000000,0.00000000
-1.38260984,-0.81155413,-1.10327351,-0.41726920,-0.20703873,0.00000000,0.00000000,-0.58037817,0.72116512,0.17135990,-0.35108516,-0.30762815,0.00000000,0.00000000
-1.37572169,-0.81153357,-1.10918844,-0.41531315,-0.22213505,0.00000000,0.00000000,-0.58301890,0.72521824,0.17022967,-0.35096473,-0.31570867,0.00000000,0.00000000
