l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-2.35796261,-0.40900788,0.10587987,-0.60264367,-0.03302335,0.00000000,0.00000000,-1.68331838,1.10350490,0.29305434,-0.39563778,0.05985452,0.00000000,0.00000000
-2.35842848,-0.40824398,0.10659052,-0.60279179,-0.05072611,0.00000000,0.00000000,-1.68115604,1.10173476,0.29252255,-0.39510620,0.06163357,0.00000000,0.00000000
-2.35923481,-0.40660840,0.10737795,-0.60271388,-0.06416990,0.00000000,0.00000000,-1.67742360,1.09929836,0.29158530,-0.39428216,0.07198284,0.00000000,0.00000000
-2.36034584,-0.40473425,0.10780133,-0.60256344,-0.07619260,0.00000000,0.00000000,-1.67270911,1.09681499,0.29038590,-0.39339590,0.08971634,0.00000000,0.00000000
-2.36173081,-0.40303665,0.10759526,-0.60244048,-0.09240175,0.00000000,0.00000000,-1.66751087,1.09474969,0.28907326,-0.39259928,0.11079195,0.00000000,0.00000000
-2.36335158,-0.40162739,0.10662359,-0.60230076,-0.11374188,0.00000000,0.00000000,-1.66222298,1.09345973,0.28776303,-0.39197865,0.13334505,0.00000000,0.00000000
-2.36518049,-0.40055087,0.10487723,-0.60209733,-0.14151484,0.00000000,0.00000000,-1.65715516,1.09309244,0.28654867,-0.39156389,0.15340222,0.00000000,0.00000000
-2.36720610,-0.39991495,0.10249025,-0.60187507,-0.16492300,0.00000000,0.00000000,-1.65251398,1.09350371,0.28550810,-0.39135560,0.16574866,0.00000000,0.00000000
-2.36943007,-0.39974546,0.09975059,-0.60169178,-0.17796750,0.00000000,0.00000000,-1.64835894,1.09431183,0.28467003,-0.39135745,0.17115556,0.00000000,0.00000000
-2.37184572,-0.39985463,0.09690832,-0.60150039,-0.18748374,0.00000000,0.00000000,-1.64467132,1.09527838,0.28400749,-0.39154109,0.17879002,0.00000000,0.00000000
-2.37443733,-0.40013918,0.09414316,-0.60131198,-0.19957146,0.00000000,0.00000000,-1.64144087,1.09626126,0.28347015,-0.39186421,0.18029055,0.00000000,0.00000000
-2.37719369,-0.40056649,0.09161005,-0.60117924,-0.21328922,0.00000000,0.00000000,-1.63863742,1.09711432,0.28301138,-0.39228830,0.18150379,0.00000000,0.00000000
-2.38011575,-0.40108061,0.08942892,-0.60112405,-0.22791812,0.00000000,0.00000000,-1.63620245,1.09770548,0.28259075,-0.39279464,0.17024502,0.00000000,0.00000000
-2.38320827,-0.40157220,0.08764701,-0.60109591,-0.23860367,0.00000000,0.00000000,-1.63408625,1.09799707,0.28216970,-0.39337507,0.15564169,0.00000000,0.00000000
-2.38646626,-0.40189764,0.08623573,-0.60097224,-0.25486660,0.00000000,0.00000000,-1.63226390,1.09808517,0.28171453,-0.39401272,0.14110664,0.00000000,0.00000000
-2.38987708,-0.40195289,0.08510570,-0.60062301,-0.26314971,0.00000000,0.00000000,-1.63074017,1.09816432,0.28121024,-0.39467251,0.12930749,0.00000000,0.00000000
