l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-0.84044403,-1.10627770,0.39380097,0.22883207,0.06069763,0.00000000,0.00000000,-1.81005645,0.58991629,-0.53140533,0.16642801,0.04123472,0.00000000,0.00000000
-0.84068221,-1.10540366,0.39383358,0.22886306,0.06032975,0.00000000,0.00000000,-1.80925035,0.59031218,-0.53143841,0.16645585,0.05807387,0.00000000,0.00000000
-0.84113723,-1.10381150,0.39390159,0.22890985,0.05904786,0.00000000,0.00000000,-1.80768847,0.59097332,-0.53150821,0.16647322,0.07722498,0.00000000,0.00000000
-0.84177434,-1.10173476,0.39400434,0.22894478,0.06182732,0.00000000,0.00000000,-1.80538332,0.59170848,-0.53161663,0.16638920,0.09999663,0.00000000,0.00000000
-0.84252709,-1.09942412,0.39412665,0.22894791,0.06136106,0.00000000,0.00000000,-1.80235589,0.59239423,-0.53175223,0.16613021,0.12606519,0.00000000,0.00000000
-0.84331393,-1.09703088,0.39424324,0.22890353,0.05852654,0.00000000,0.00000000,-1.79861987,0.59308028,-0.53188741,0.16571350,0.15218285,0.00000000,0.00000000
-0.84405547,-1.09462178,0.39433062,0.22878799,0.05987391,0.00000000,0.00000000,-1.79417908,0.59391314,-0.53198528,0.16521300,0.17952453,0.00000000,0.00000000
-0.84468651,-1.09220386,0.39437187,0.22860636,0.06397613,0.00000000,0.00000000,-1.78902900,0.59502953,-0.53200567,0.16467838,0.20775752,0.00000000,0.00000000
-0.84516233,-1.08972788,0.39435285,0.22843324,0.06854139,0.00000000,0.00000000,-1.78316140,0.59652638,-0.53190750,0.16411585,0.23566300,0.00000000,0.00000000
-0.84545487,-1.08715701,0.39426035,0.22836939,0.07502745,0.00000000,0.00000000,-1.77657080,0.59844053,-0.53164810,0.16352478,0.26320097,0.00000000,0.00000000
-0.84553587,-1.08457482,0.39408496,0.22845104,0.07922754,0.00000000,0.00000000,-1.76926994,0.60071403,-0.53118157,0.16290697,0.29240784,0.00000000,0.00000000
-0.84536755,-1.08218253,0.39382416,0.22862667,0.08301809,0.00000000,0.00000000,-1.76128602,0.60321426,-0.53045797,0.16223802,0.32246467,0.00000000,0.00000000
-0.84490532,-1.08020389,0.39348319,0.22880197,0.08859407,0.00000000,0.00000000,-1.75264668,0.60580689,-0.52942270,0.16145997,0.34952751,0.00000000,0.00000000
-0.84410328,-1.07887685,0.39307532,0.22885460,0.09905729,0.00000000,0.00000000,-1.74337494,0.60835749,-0.52801806,0.16050224,0.38073400,0.00000000,0.00000000
-0.84292024,-1.07851148,0.39262182,0.22862008,0.11624438,0.00000000,0.00000000,-1.73350692,0.61065316,-0.52618539,0.15928960,0.40992829,0.00000000,0.00000000
-0.84134245,-1.07940912,0.39215475,0.22794716,0.12980095,0.00000000,0.00000000,-1.72309625,0.61240572,-0.52386755,0.15774332,0.44250506,0.00000000,0.00000000
-0.83941370,-1.08161247,0.39171901,0.22682376,0.14466496,0.00000000,0.00000000,-1.71218753,0.61340970,-0.52100992,0.15581134,0.47843343,0.00000000,0.00000000
-0.83724111,-1.08477652,0.39137033,0.22543138,0.15517926,0.00000000,0.00000000,-1.70079017,0.61368454,-0.51756167,0.15350251,0.51468730,0.00000000,0.00000000
-0.83495808,-1.08831763,0.39116305,0.22405590,0.16292396,0.00000000,0.00000000,-1.68888617,0.61345267,-0.51347643,0.15086927,0.55366868,0.00000000,0.00000000
-0.83268023,-1.09164643,0.39113408,0.22296216,0.17191346,0.00000000,0.00000000,-1.67645288,0.61301452,-0.50871420,0.14796142,0.59585196,0.00000000,0.00000000
-0.83048534,-1.09428430,0.39129543,0.22233260,0.18229567,0.00000000,0.00000000,-1.66347444,0.61265129,-0.50324535,0.14481011,0.63908303,0.00000000,0.00000000
-0.82841754,-1.09589374,0.39163935,0.22225681,0.19356459,0.00000000,0.00000000,-1.64993823,0.61258578,-0.49705249,0.14144783,0.68312389,0.00000000,0.00000000
-0.82649410,-1.09633195,0.39215043,0.22272854,0.19775133,0.00000000,0.00000000,-1.63583672,0.61294866,-0.49012813,0.13791250,0.72175640,0.00000000,0.00000000
-0.82470953,-1.09567940,0.39281580,0.22367285,0.20515378,0.00000000,0.00000000,-1.62117267,0.61375636,-0.48246962,0.13422753,0.75413436,0.00000000,0.00000000
-0.82304251,-1.09418416,0.39363003,0.22499678,0.21449879,0.00000000,0.00000000,-1.60595715,0.61493075,-0.47407535,0.13038808,0.78156507,0.00000000,0.00000000
-0.82145715,-1.09217823,0.39459270,0.22660498,0.22304717,0.00000000,0.00000000,-1.59020138,0.61634463,-0.46494365,0.12636136,0.81052089,0.00000000,0.00000000
-0.81990033,-1.09000897,0.39569938,0.22837925,0.23121388,0.00000000,0.00000000,-1.57391274,0.61787933,-0.45507306,0.12209019,0.83896810,0.00000000,0.00000000
-0.81830376,-1.08798051,0.39693484,0.23018576,0.24452436,0.00000000,0.00000000,-1.55709004,0.61947650,-0.44446442,0.11750349,0.86959356,0.00000000,0.00000000
-0.81659830,-1.08631647,0.39827672,0.23192228,0.25946251,0.00000000,0.00000000,-1.53972638,0.62115008,-0.43312278,0.11253610,0.90256953,0.00000000,0.00000000
-0.81473106,-1.08517039,0.39970636,0.23354569,0.27735195,0.00000000,0.00000000,-1.52181661,0.62294269,-0.42105812,0.10714072,0.93478531,0.00000000,0.00000000
-0.81267774,-1.08465481,0.40121448,0.23505455,0.29193667,0.00000000,0.00000000,-1.50336277,0.62487829,-0.40828484,0.10128441,0.96508455,0.00000000,0.00000000
-0.81044197,-1.08482134,0.40279624,0.23647025,0.30679011,0.00000000,0.00000000,-1.48437297,0.62696952,-0.39482307,0.09494994,0.99160349,0.00000000,0.00000000
-0.80804729,-1.08561933,0.40444556,0.23783596,0.32433033,0.00000000,0.00000000,-1.46485269,0.62925726,-0.38070112,0.08814644,1.01366842,0.00000000,0.00000000
-0.80552560,-1.08692765,0.40615565,0.23919773,0.34319022,0.00000000,0.00000000,-1.44480729,0.63181919,-0.36595541,0.08090466,1.03143668,0.00000000,0.00000000
-0.80290937,-1.08863366,0.40792498,0.24056986,0.36372200,0.00000000,0.00000000,-1.42424548,0.63474232,-0.35062894,0.07325251,1.05097926,0.00000000,0.00000000
-0.80023760,-1.09065831,0.40975955,0.24193968,0.38863623,0.00000000,0.00000000,-1.40317833,0.63809621,-0.33477169,0.06520503,1.07631779,0.00000000,0.00000000
-0.79756784,-1.09290791,0.41167140,0.24331799,0.40926722,0.00000000,0.00000000,-1.38161111,0.64192587,-0.31844243,0.05678425,1.10363817,0.00000000,0.00000000
-0.79497713,-1.09524441,0.41367567,0.24476270,0.42699102,0.00000000,0.00000000,-1.35953772,0.64625287,-0.30170920,0.04803285,1.12968421,0.00000000,0.00000000
-0.79254764,-1.09753954,0.41579071,0.24633545,0.44757202,0.00000000,0.00000000,-1.33694577,0.65106523,-0.28464630,0.03899252,1.15445423,0.00000000,0.00000000
-0.79035264,-1.09974253,0.41804129,0.24805123,0.46844202,0.00000000,0.00000000,-1.31382048,0.65631020,-0.26733071,0.02967396,1.17705798,0.00000000,0.00000000
-0.78845191,-1.10186672,0.42045638,0.24989030,0.49281311,0.00000000,0.00000000,-1.29014814,0.66192299,-0.24984105,0.02006706,1.19928849,0.00000000,0.00000000
-0.78689158,-1.10392678,0.42305955,0.25184643,0.51575524,0.00000000,0.00000000,-1.26591516,0.66786659,-0.23225683,0.01017626,1.22708344,0.00000000,0.00000000
-0.78570163,-1.10593247,0.42585975,0.25393832,0.53485912,0.00000000,0.00000000,-1.24111044,0.67413545,-0.21465813,0.00004017,1.25776279,0.00000000,0.00000000
-0.78489387,-1.10794199,0.42885113,0.25618547,0.55146885,0.00000000,0.00000000,-1.21572518,0.68070853,-0.19712447,-0.01028155,1.27942765,0.00000000,0.00000000
-0.78446472,-1.11006916,0.43201599,0.25860372,0.55587369,0.00000000,0.00000000,-1.18975115,0.68752360,-0.17973374,-0.02072539,1.30522740,0.00000000,0.00000000
-0.78440017,-1.11241555,0.43532267,0.26121655,0.56319404,0.00000000,0.00000000,-1.16317844,0.69452065,-0.16256078,-0.03122578,1.32679296,0.00000000,0.00000000
-0.78467321,-1.11503851,0.43872631,0.26403186,0.56969631,0.00000000,0.00000000,-1.13599682,0.70169741,-0.14567643,-0.04171164,1.34739172,0.00000000,0.00000000
-0.78524452,-1.11799586,0.44217950,0.26700005,0.58380133,0.00000000,0.00000000,-1.10819471,0.70908105,-0.12914653,-0.05211832,1.36984849,0.00000000,0.00000000
-0.78607589,-1.12136960,0.44564462,0.27002746,0.59159380,0.00000000,0.00000000,-1.07975912,0.71665037,-0.11303003,-0.06239920,1.38816416,0.00000000,0.00000000
