l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-2.21699500,-0.59422320,-0.04092269,-0.23545900,-0.05645462,0.00000000,0.00000000,-0.69406563,0.68125206,0.02198062,-0.08194038,-0.11295196,0.00000000,0.00000000
-2.21705961,-0.59475130,-0.04033219,-0.23557931,-0.05635815,0.00000000,0.00000000,-0.69433725,0.68134779,0.02186081,-0.08166608,-0.12992901,0.00000000,0.00000000
-2.21718121,-0.59572136,-0.03918081,-0.23579727,-0.05807814,0.00000000,0.00000000,-0.69482714,0.68133378,0.02163935,-0.08124291,-0.14592825,0.00000000,0.00000000
-2.21732688,-0.59691650,-0.03750769,-0.23603790,-0.05457108,0.00000000,0.00000000,-0.69545943,0.68103260,0.02132716,-0.08082179,-0.16639684,0.00000000,0.00000000
-2.21743941,-0.59817582,-0.03540737,-0.23627836,-0.05498018,0.00000000,0.00000000,-0.69613016,0.68021351,0.02093398,-0.08051725,-0.19149238,0.00000000,0.00000000
-2.21745229,-0.59943300,-0.03301043,-0.23654826,-0.05753673,0.00000000,0.00000000,-0.69671923,0.67863017,0.02047052,-0.08035143,-0.21858506,0.00000000,0.00000000
-2.21729898,-0.60062504,-0.03046012,-0.23686199,-0.06246132,0.00000000,0.00000000,-0.69710368,0.67613554,0.01994969,-0.08024501,-0.25404888,0.00000000,0.00000000
-2.21692324,-0.60163021,-0.02788976,-0.23717305,-0.06779335,0.00000000,0.00000000,-0.69717282,0.67273414,0.01938459,-0.08005080,-0.29017648,0.00000000,0.00000000
-2.21627903,-0.60225600,-0.02541169,-0.23736425,-0.07224681,0.00000000,0.00000000,-0.69683802,0.66857231,0.01878642,-0.07961492,-0.32721025,0.00000000,0.00000000
-2.21532750,-0.60228962,-0.02311859,-0.23728187,-0.08019626,0.00000000,0.00000000,-0.69603336,0.66388333,0.01816466,-0.07883199,-0.36147687,0.00000000,0.00000000
-2.21402740,-0.60158283,-0.02109522,-0.23680136,-0.08394141,0.00000000,0.00000000,-0.69470495,0.65890604,0.01752843,-0.07766166,-0.39887744,0.00000000,0.00000000
-2.21232271,-0.60010821,-0.01943701,-0.23588502,-0.08721647,0.00000000,0.00000000,-0.69279385,0.65380913,0.01688707,-0.07610876,-0.43345660,0.00000000,0.00000000
-2.21013665,-0.59796494,-0.01826579,-0.23460759,-0.09442387,0.00000000,0.00000000,-0.69021821,0.64864254,0.01625067,-0.07420745,-0.46825692,0.00000000,0.00000000
-2.20737076,-0.59535730,-0.01772562,-0.23314494,-0.10182362,0.00000000,0.00000000,-0.68686903,0.64332652,0.01563134,-0.07203188,-0.50473982,0.00000000,0.00000000
-2.20392132,-0.59254301,-0.01795065,-0.23171553,-0.11679294,0.00000000,0.00000000,-0.68263000,0.63770241,0.01504323,-0.06970280,-0.53693122,0.00000000,0.00000000
-2.19970179,-0.58973449,-0.01902078,-0.23048264,-0.13070093,0.00000000,0.00000000,-0.67741477,0.63164502,0.01449959,-0.06735849,-0.57322526,0.00000000,0.00000000
