l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-1.45491028,-0.67913944,-0.82391047,-0.26719016,-0.09613036,0.00000000,0.00000000,-0.60883611,0.57103556,-0.03997114,0.02238776,-0.04869095,0.00000000,0.00000000
-1.45480132,-0.67981088,-0.82370365,-0.26682934,-0.10340113,0.00000000,0.00000000,-0.60891819,0.57120657,-0.03975929,0.02251646,-0.05855531,0.00000000,0.00000000
-1.45460582,-0.68083566,-0.82336777,-0.26616549,-0.10954732,0.00000000,0.00000000,-0.60901535,0.57150376,-0.03935111,0.02274793,-0.06711986,0.00000000,0.00000000
-1.45433199,-0.68188685,-0.82298589,-0.26528785,-0.11503508,0.00000000,0.00000000,-0.60905075,0.57186371,-0.03874908,0.02303480,-0.07396851,0.00000000,0.00000000
-1.45396745,-0.68276697,-0.82261539,-0.26431841,-0.12201287,0.00000000,0.00000000,-0.60897404,0.57222939,-0.03795538,0.02331746,-0.07864895,0.00000000,0.00000000
-1.45348358,-0.68346673,-0.82227361,-0.26336947,-0.12626737,0.00000000,0.00000000,-0.60877812,0.57257986,-0.03696966,0.02355999,-0.08732178,0.00000000,0.00000000
-1.45285356,-0.68407452,-0.82196176,-0.26252133,-0.12653761,0.00000000,0.00000000,-0.60848171,0.57290888,-0.03578950,0.02374950,-0.09436911,0.00000000,0.00000000
-1.45206344,-0.68464303,-0.82168955,-0.26182723,-0.12926412,0.00000000,0.00000000,-0.60809809,0.57320589,-0.03441212,0.02386937,-0.10051954,0.00000000,0.00000000
-1.45111322,-0.68509901,-0.82148051,-0.26132047,-0.13217106,0.00000000,0.00000000,-0.60761219,0.57347077,-0.03283612,0.02389276,-0.11006248,0.00000000,0.00000000
-1.45001090,-0.68525922,-0.82136482,-0.26101801,-0.13521349,0.00000000,0.00000000,-0.60698140,0.57372892,-0.03106183,0.02380446,-0.11953545,0.00000000,0.00000000
-1.44876456,-0.68494260,-0.82136685,-0.26091501,-0.13854116,0.00000000,0.00000000,-0.60616171,0.57401657,-0.02908999,0.02361325,-0.12844048,0.00000000,0.00000000
-1.44737422,-0.68409753,-0.82148826,-0.26097673,-0.14287917,0.00000000,0.00000000,-0.60513401,0.57434297,-0.02692024,0.02333104,-0.13715172,0.00000000,0.00000000
-1.44582641,-0.68283826,-0.82169694,-0.26114064,-0.14649171,0.00000000,0.00000000,-0.60391307,0.57470846,-0.02455041,0.02296098,-0.14131416,0.00000000,0.00000000
-1.44410002,-0.68138272,-0.82193351,-0.26132765,-0.14902379,0.00000000,0.00000000,-0.60253918,0.57515359,-0.02197651,0.02250956,-0.14541522,0.00000000,0.00000000
-1.44217718,-0.67996734,-0.82213455,-0.26145792,-0.15218250,0.00000000,0.00000000,-0.60106450,0.57577646,-0.01919322,0.02199971,-0.15236664,0.00000000,0.00000000
-1.44004822,-0.67879415,-0.82225144,-0.26147005,-0.15690519,0.00000000,0.00000000,-0.59953886,0.57669014,-0.01619492,0.02145940,-0.15988518,0.00000000,0.00000000
-1.43770492,-0.67800874,-0.82225662,-0.26133943,-0.16239648,0.00000000,0.00000000,-0.59799325,0.57796627,-0.01297706,0.02089913,-0.16642395,0.00000000,0.00000000
-1.43513644,-0.67768353,-0.82214248,-0.26108265,-0.17063598,0.00000000,0.00000000,-0.59642977,0.57961291,-0.00953690,0.02030766,-0.16933879,0.00000000,0.00000000
-1.43232882,-0.67780226,-0.82192367,-0.26074687,-0.17927451,0.00000000,0.00000000,-0.59481972,0.58157754,-0.00587338,0.01966696,-0.16975583,0.00000000,0.00000000
-1.42926991,-0.67825288,-0.82163972,-0.26039746,-0.18323685,0.00000000,0.00000000,-0.59310853,0.58376890,-0.00198674,0.01897142,-0.17338739,0.00000000,0.00000000
-1.42595303,-0.67885101,-0.82134378,-0.26010340,-0.18428259,0.00000000,0.00000000,-0.59122002,0.58606660,0.00212175,0.01822478,-0.18154134,0.00000000,0.00000000
-1.42237449,-0.67939639,-0.82108450,-0.25993061,-0.18514372,0.00000000,0.00000000,-0.58907330,0.58838278,0.00645058,0.01744447,-0.19023317,0.00000000,0.00000000
-1.41852629,-0.67974633,-0.82089031,-0.25993308,-0.19018261,0.00000000,0.00000000,-0.58660275,0.59068763,0.01099899,0.01664967,-0.20246303,0.00000000,0.00000000
-1.41439223,-0.67984855,-0.82076544,-0.26014906,-0.19366516,0.00000000,0.00000000,-0.58376789,0.59299946,0.01576745,0.01585227,-0.21111755,0.00000000,0.00000000
-1.40994620,-0.67970508,-0.82069510,-0.26060131,-0.19051495,0.00000000,0.00000000,-0.58054143,0.59535509,0.02075686,0.01506232,-0.22514592,0.00000000,0.00000000
-1.40515959,-0.67930442,-0.82065785,-0.26129609,-0.19150136,0.00000000,0.00000000,-0.57688606,0.59776831,0.02596749,0.01430468,-0.23679167,0.00000000,0.00000000
-1.40000725,-0.67859387,-0.82064009,-0.26223394,-0.19048981,0.00000000,0.00000000,-0.57274848,0.60020953,0.03139873,0.01363334,-0.24737310,0.00000000,0.00000000
