l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-1.65733933,-0.60781789,-0.38133439,-0.35411310,0.07182563,0.00000000,0.00000000,-0.63039052,0.64362293,-0.05624960,-0.12933810,-0.05736934,0.00000000,0.00000000
-1.65728855,-0.60768420,-0.38129038,-0.35391858,0.08715283,0.00000000,0.00000000,-0.63024652,0.64311451,-0.05615875,-0.12947173,-0.06112957,0.00000000,0.00000000
-1.65719211,-0.60744011,-0.38121608,-0.35355392,0.10462962,0.00000000,0.00000000,-0.62999374,0.64225584,-0.05598893,-0.12969649,-0.06813946,0.00000000,0.00000000
-1.65704811,-0.60717165,-0.38112378,-0.35305324,0.12444252,0.00000000,0.00000000,-0.62968659,0.64119691,-0.05575488,-0.12997378,-0.07409977,0.00000000,0.00000000
-1.65685344,-0.60701787,-0.38102248,-0.35245949,0.14158629,0.00000000,0.00000000,-0.62939495,0.64005792,-0.05547652,-0.13027769,-0.07969801,0.00000000,0.00000000
-1.65660489,-0.60708714,-0.38091668,-0.35179457,0.15961118,0.00000000,0.00000000,-0.62917608,0.63894272,-0.05516924,-0.13058339,-0.08478113,0.00000000,0.00000000
-1.65629852,-0.60740989,-0.38080800,-0.35105300,0.17701432,0.00000000,0.00000000,-0.62905717,0.63796419,-0.05483774,-0.13084596,-0.09090026,0.00000000,0.00000000
-1.65592384,-0.60796177,-0.38070035,-0.35022160,0.19719942,0.00000000,0.00000000,-0.62903631,0.63722539,-0.05447762,-0.13100657,-0.10063031,0.00000000,0.00000000
-1.65546238,-0.60871047,-0.38060579,-0.34930137,0.21742070,0.00000000,0.00000000,-0.62909526,0.63678390,-0.05408097,-0.13102359,-0.10356031,0.00000000,0.00000000
-1.65489221,-0.60963899,-0.38054436,-0.34830886,0.23869495,0.00000000,0.00000000,-0.62920845,0.63663769,-0.05363929,-0.13089615,-0.10766453,0.00000000,0.00000000
-1.65419102,-0.61074466,-0.38053954,-0.34726176,0.26261714,0.00000000,0.00000000,-0.62934583,0.63673609,-0.05314286,-0.13066389,-0.11594526,0.00000000,0.00000000
-1.65333915,-0.61203158,-0.38061419,-0.34616575,0.28621382,0.00000000,0.00000000,-0.62947798,0.63700646,-0.05258168,-0.13038637,-0.11939415,0.00000000,0.00000000
-1.65232277,-0.61350459,-0.38078943,-0.34501365,0.31143659,0.00000000,0.00000000,-0.62958509,0.63739651,-0.05194975,-0.13011366,-0.12593862,0.00000000,0.00000000
-1.65113318,-0.61516052,-0.38108411,-0.34379765,0.33621061,0.00000000,0.00000000,-0.62966037,0.63790077,-0.05124757,-0.12986836,-0.12871532,0.00000000,0.00000000
-1.64976311,-0.61698216,-0.38151652,-0.34252355,0.35980794,0.00000000,0.00000000,-0.62969893,0.63853323,-0.05047793,-0.12965533,-0.13215719,0.00000000,0.00000000
-1.64820135,-0.61894399,-0.38210666,-0.34121183,0.37918591,0.00000000,0.00000000,-0.62968415,0.63927585,-0.04964009,-0.12948400,-0.13155152,0.00000000,0.00000000
