l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-1.51467669,-0.86230397,-0.01860436,-0.12039910,0.15825245,0.00000000,0.00000000,-1.00399601,0.66655254,-0.10309437,-0.03515666,-0.04882501,0.00000000,0.00000000
-1.51476192,-0.86282194,-0.01887701,-0.12055539,0.18834779,0.00000000,0.00000000,-1.00358188,0.66589057,-0.10284720,-0.03525855,-0.06270799,0.00000000,0.00000000
-1.51490808,-0.86334020,-0.01939398,-0.12063477,0.21877609,0.00000000,0.00000000,-1.00275183,0.66496688,-0.10236749,-0.03536688,-0.07468375,0.00000000,0.00000000
-1.51508737,-0.86352515,-0.02013919,-0.12048385,0.24630354,0.00000000,0.00000000,-1.00148880,0.66403240,-0.10165334,-0.03542321,-0.08517989,0.00000000,0.00000000
-1.51526356,-0.86328888,-0.02109268,-0.12005643,0.27410784,0.00000000,0.00000000,-0.99979877,0.66317499,-0.10070399,-0.03539678,-0.09522443,0.00000000,0.00000000
-1.51539373,-0.86268288,-0.02223233,-0.11937286,0.30430380,0.00000000,0.00000000,-0.99770337,0.66238868,-0.09951910,-0.03528297,-0.10467868,0.00000000,0.00000000
-1.51542449,-0.86183250,-0.02353255,-0.11849781,0.33388734,0.00000000,0.00000000,-0.99524099,0.66164422,-0.09809872,-0.03512676,-0.11324639,0.00000000,0.00000000
-1.51529169,-0.86086422,-0.02496333,-0.11750145,0.36778563,0.00000000,0.00000000,-0.99246538,0.66099143,-0.09644347,-0.03500604,-0.12222600,0.00000000,0.00000000
-1.51492631,-0.85987186,-0.02649256,-0.11642953,0.39814827,0.00000000,0.00000000,-0.98943925,0.66058171,-0.09455431,-0.03499232,-0.12871586,0.00000000,0.00000000
-1.51426828,-0.85897511,-0.02809207,-0.11532033,0.43096289,0.00000000,0.00000000,-0.98622018,0.66052639,-0.09243220,-0.03512944,-0.13207205,0.00000000,0.00000000
-1.51327837,-0.85836279,-0.02974268,-0.11423085,0.46610305,0.00000000,0.00000000,-0.98284525,0.66076940,-0.09007747,-0.03542788,-0.13933583,0.00000000,0.00000000
-1.51193833,-0.85820097,-0.03143398,-0.11320883,0.50362933,0.00000000,0.00000000,-0.97932601,0.66116619,-0.08748966,-0.03587110,-0.14383687,0.00000000,0.00000000
-1.51024461,-0.85851806,-0.03316030,-0.11224872,0.54035658,0.00000000,0.00000000,-0.97565180,0.66163194,-0.08466726,-0.03644071,-0.14755560,0.00000000,0.00000000
-1.50819886,-0.85922116,-0.03491660,-0.11129762,0.58154774,0.00000000,0.00000000,-0.97179842,0.66215599,-0.08160809,-0.03713902,-0.15417448,0.00000000,0.00000000
-1.50580478,-0.86019224,-0.03669694,-0.11029419,0.62065578,0.00000000,0.00000000,-0.96773857,0.66273940,-0.07831044,-0.03797754,-0.16048841,0.00000000,0.00000000
-1.50306654,-0.86133510,-0.03849442,-0.10919067,0.65630424,0.00000000,0.00000000,-0.96345007,0.66338378,-0.07477408,-0.03895921,-0.16686077,0.00000000,0.00000000
-1.49998605,-0.86258787,-0.04029987,-0.10795923,0.68384844,0.00000000,0.00000000,-0.95892125,0.66410786,-0.07100092,-0.04007467,-0.17122386,0.00000000,0.00000000
-1.49655747,-0.86394483,-0.04210031,-0.10660059,0.71310073,0.00000000,0.00000000,-0.95415336,0.66494334,-0.06699511,-0.04130249,-0.17710614,0.00000000,0.00000000
-1.49276936,-0.86546999,-0.04387914,-0.10514849,0.73838735,0.00000000,0.00000000,-0.94915992,0.66591638,-0.06276261,-0.04260911,-0.18615502,0.00000000,0.00000000
-1.48861277,-0.86725396,-0.04562017,-0.10364722,0.75964499,0.00000000,0.00000000,-0.94395697,0.66704565,-0.05831048,-0.04396192,-0.18653259,0.00000000,0.00000000
-1.48408902,-0.86937302,-0.04731104,-0.10213665,0.78143758,0.00000000,0.00000000,-0.93855560,0.66833872,-0.05364623,-0.04534179,-0.18150865,0.00000000,0.00000000
-1.47921503,-0.87186921,-0.04894470,-0.10064702,0.80629212,0.00000000,0.00000000,-0.93295610,0.66979456,-0.04877745,-0.04674734,-0.17588519,0.00000000,0.00000000
-1.47402465,-0.87473017,-0.05051948,-0.09918641,0.82727689,0.00000000,0.00000000,-0.92714566,0.67141557,-0.04371116,-0.04818523,-0.16821527,0.00000000,0.00000000
-1.46856570,-0.87785941,-0.05203800,-0.09771810,0.84548664,0.00000000,0.00000000,-0.92109299,0.67321539,-0.03845264,-0.04965214,-0.15320812,0.00000000,0.00000000
-1.46288991,-0.88112509,-0.05350250,-0.09618237,0.85973412,0.00000000,0.00000000,-0.91475660,0.67519754,-0.03300620,-0.05112874,-0.13766985,0.00000000,0.00000000
-1.45704079,-0.88442987,-0.05491049,-0.09454166,0.87617713,0.00000000,0.00000000,-0.90809870,0.67735171,-0.02737699,-0.05259147,-0.11875507,0.00000000,0.00000000
-1.45105100,-0.88770074,-0.05625469,-0.09277719,0.88753521,0.00000000,0.00000000,-0.90108567,0.67966503,-0.02157103,-0.05402477,-0.09686354,0.00000000,0.00000000
