l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-1.36525941,-0.89164507,-0.01783618,-0.07617240,0.03687945,0.00000000,0.00000000,-0.84117109,0.65540648,-0.21031711,-0.03031799,-0.01866981,0.00000000,0.00000000
-1.36520982,-0.89218336,-0.01792754,-0.07629304,0.03920201,0.00000000,0.00000000,-0.84123707,0.65522850,-0.21028662,-0.03024328,-0.03367049,0.00000000,0.00000000
-1.36512899,-0.89301479,-0.01810843,-0.07643676,0.04130010,0.00000000,0.00000000,-0.84135056,0.65504515,-0.21022594,-0.03007988,-0.05027182,0.00000000,0.00000000
-1.36504781,-0.89395595,-0.01838722,-0.07652133,0.04007679,0.00000000,0.00000000,-0.84149379,0.65494460,-0.21013159,-0.02984376,-0.06804724,0.00000000,0.00000000
-1.36500847,-0.89489383,-0.01877477,-0.07649360,0.03904372,0.00000000,0.00000000,-0.84164453,0.65491229,-0.20999800,-0.02957054,-0.08220509,0.00000000,0.00000000
-1.36504519,-0.89575046,-0.01927957,-0.07632823,0.03813228,0.00000000,0.00000000,-0.84177607,0.65491182,-0.20981807,-0.02928714,-0.09381484,0.00000000,0.00000000
-1.36517167,-0.89646190,-0.01990375,-0.07602236,0.03805770,0.00000000,0.00000000,-0.84186018,0.65492702,-0.20958395,-0.02900295,-0.10381337,0.00000000,0.00000000
-1.36538744,-0.89698094,-0.02064506,-0.07558144,0.03772348,0.00000000,0.00000000,-0.84186769,0.65493041,-0.20928746,-0.02871651,-0.11369551,0.00000000,0.00000000
-1.36568475,-0.89729667,-0.02149965,-0.07501569,0.03882487,0.00000000,0.00000000,-0.84177613,0.65486962,-0.20892093,-0.02843709,-0.12053587,0.00000000,0.00000000
-1.36604631,-0.89744860,-0.02246119,-0.07434863,0.03765778,0.00000000,0.00000000,-0.84158069,0.65470868,-0.20847814,-0.02819729,-0.13024034,0.00000000,0.00000000
-1.36644018,-0.89752144,-0.02351973,-0.07361738,0.03295891,0.00000000,0.00000000,-0.84129465,0.65445274,-0.20795423,-0.02803194,-0.13555840,0.00000000,0.00000000
-1.36682272,-0.89762497,-0.02466222,-0.07286750,0.02973913,0.00000000,0.00000000,-0.84094054,0.65414071,-0.20734456,-0.02794765,-0.14037125,0.00000000,0.00000000
-1.36714339,-0.89785874,-0.02587343,-0.07214491,0.02613019,0.00000000,0.00000000,-0.84054077,0.65384066,-0.20664419,-0.02792013,-0.14898756,0.00000000,0.00000000
-1.36734998,-0.89826965,-0.02713761,-0.07146955,0.02244449,0.00000000,0.00000000,-0.84010953,0.65364385,-0.20584704,-0.02791212,-0.16353308,0.00000000,0.00000000
-1.36740065,-0.89885205,-0.02844183,-0.07082822,0.01345807,0.00000000,0.00000000,-0.83964849,0.65362269,-0.20494558,-0.02789846,-0.17627770,0.00000000,0.00000000
-1.36727333,-0.89957809,-0.02977898,-0.07019679,0.00623038,0.00000000,0.00000000,-0.83914691,0.65378773,-0.20393078,-0.02788075,-0.18741199,0.00000000,0.00000000
-1.36696982,-0.90041453,-0.03114858,-0.06955694,-0.00872980,0.00000000,0.00000000,-0.83858138,0.65407842,-0.20279229,-0.02788371,-0.20079176,0.00000000,0.00000000
-1.36650836,-0.90131378,-0.03255463,-0.06889015,-0.02693528,0.00000000,0.00000000,-0.83791804,0.65439373,-0.20151846,-0.02794519,-0.21681808,0.00000000,0.00000000
-1.36590838,-0.90220654,-0.03400186,-0.06817158,-0.04894914,0.00000000,0.00000000,-0.83711904,0.65463561,-0.20009702,-0.02810478,-0.22662611,0.00000000,0.00000000
-1.36517835,-0.90301561,-0.03549223,-0.06737699,-0.06824352,0.00000000,0.00000000,-0.83615196,0.65475786,-0.19851625,-0.02838365,-0.24417904,0.00000000,0.00000000
-1.36430860,-0.90369797,-0.03702365,-0.06650200,-0.08554588,0.00000000,0.00000000,-0.83500290,0.65478826,-0.19676620,-0.02877515,-0.25859922,0.00000000,0.00000000
-1.36327958,-0.90426725,-0.03859175,-0.06557006,-0.09368642,0.00000000,0.00000000,-0.83367759,0.65480262,-0.19483884,-0.02925558,-0.27277178,0.00000000,0.00000000
