l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-2.48552084,-0.30000356,0.13093342,-0.66125119,0.00844861,0.00000000,0.00000000,-2.12210274,0.39194578,-0.74688441,0.47070074,-0.02101204,0.00000000,0.00000000
-2.48529720,-0.29988092,0.13126203,-0.66112316,0.00732241,0.00000000,0.00000000,-2.12222290,0.39179218,-0.74701375,0.47062919,-0.02230519,0.00000000,0.00000000
-2.48484898,-0.29963660,0.13182969,-0.66086704,0.00541574,0.00000000,0.00000000,-2.12241793,0.39162418,-0.74723423,0.47051951,-0.02349698,0.00000000,0.00000000
-2.48415852,-0.29929277,0.13253927,-0.66048986,0.00501608,0.00000000,0.00000000,-2.12263751,0.39159906,-0.74749982,0.47041446,-0.02389860,0.00000000,0.00000000
-2.48320985,-0.29894578,0.13329946,-0.66003269,0.00723520,0.00000000,0.00000000,-2.12284422,0.39182806,-0.74777013,0.47034961,-0.02386582,0.00000000,0.00000000
-2.48199129,-0.29875833,0.13404004,-0.65956634,0.01174985,0.00000000,0.00000000,-2.12300777,0.39237592,-0.74801791,0.47034633,-0.01978366,0.00000000,0.00000000
-2.48049402,-0.29883072,0.13474596,-0.65912819,0.01871975,0.00000000,0.00000000,-2.12312078,0.39323846,-0.74823296,0.47039255,-0.01958585,0.00000000,0.00000000
-2.47872138,-0.29913443,0.13546114,-0.65869576,0.02196732,0.00000000,0.00000000,-2.12319803,0.39434952,-0.74841464,0.47045740,-0.02285132,0.00000000,0.00000000
-2.47668362,-0.29961920,0.13625066,-0.65824831,0.02543458,0.00000000,0.00000000,-2.12324381,0.39562333,-0.74856400,0.47052842,-0.02326510,0.00000000,0.00000000
-2.47440481,-0.30028015,0.13719271,-0.65781003,0.03167694,0.00000000,0.00000000,-2.12325048,0.39694110,-0.74868685,0.47060126,-0.02510375,0.00000000,0.00000000
-2.47191930,-0.30109742,0.13838066,-0.65741611,0.03422940,0.00000000,0.00000000,-2.12322807,0.39813834,-0.74879926,0.47064087,-0.02683281,0.00000000,0.00000000
-2.46925163,-0.30198684,0.13989268,-0.65706092,0.03666330,0.00000000,0.00000000,-2.12321353,0.39908218,-0.74892294,0.47060472,-0.02718437,0.00000000,0.00000000
-2.46640587,-0.30288211,0.14175427,-0.65671974,0.04093079,0.00000000,0.00000000,-2.12322235,0.39975941,-0.74906695,0.47051010,-0.02868076,0.00000000,0.00000000
-2.46337533,-0.30376738,0.14395384,-0.65638107,0.04286476,0.00000000,0.00000000,-2.12324476,0.40021989,-0.74923038,0.47040981,-0.03462052,0.00000000,0.00000000
-2.46015477,-0.30465657,0.14646624,-0.65605015,0.04371041,0.00000000,0.00000000,-2.12326741,0.40051371,-0.74941081,0.47034115,-0.04431387,0.00000000,0.00000000
-2.45673847,-0.30556214,0.14925697,-0.65572941,0.04567705,0.00000000,0.00000000,-2.12329721,0.40066943,-0.74960744,0.47029287,-0.05328988,0.00000000,0.00000000
-2.45311904,-0.30648029,0.15229939,-0.65540785,0.04676106,0.00000000,0.00000000,-2.12337184,0.40066728,-0.74981576,0.47023141,-0.06336743,0.00000000,0.00000000
-2.44928408,-0.30737031,0.15556872,-0.65504861,0.04515835,0.00000000,0.00000000,-2.12352967,0.40048909,-0.75000948,0.47013387,-0.07683983,0.00000000,0.00000000
-2.44521189,-0.30819494,0.15902080,-0.65460384,0.04527609,0.00000000,0.00000000,-2.12379193,0.40017191,-0.75014508,0.46999028,-0.09218329,0.00000000,0.00000000
-2.44086671,-0.30897817,0.16256931,-0.65403688,0.04816889,0.00000000,0.00000000,-2.12416625,0.39983270,-0.75018531,0.46980119,-0.10525046,0.00000000,0.00000000
-2.43620300,-0.30981058,0.16609006,-0.65333289,0.05246467,0.00000000,0.00000000,-2.12465048,0.39964378,-0.75011200,0.46958289,-0.11458302,0.00000000,0.00000000
-2.43117905,-0.31080252,0.16946626,-0.65249825,0.05878032,0.00000000,0.00000000,-2.12523174,0.39975753,-0.74992126,0.46936324,-0.11825245,0.00000000,0.00000000
-2.42576814,-0.31203261,0.17263755,-0.65155017,0.06615995,0.00000000,0.00000000,-2.12589145,0.40024304,-0.74961674,0.46916395,-0.12497538,0.00000000,0.00000000
