l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-0.43986475,-1.21824241,0.15910113,0.59088939,0.11838885,0.00000000,0.00000000,-1.81771278,0.68029290,-0.38514331,0.34720749,0.12680550,0.00000000,0.00000000
-0.43944788,-1.21717608,0.15951495,0.59056997,0.13160063,0.00000000,0.00000000,-1.81761849,0.68085748,-0.38501057,0.34748486,0.13622665,0.00000000,0.00000000
-0.43882653,-1.21519327,0.16022934,0.59000957,0.14539994,0.00000000,0.00000000,-1.81747711,0.68170244,-0.38481560,0.34796348,0.14282835,0.00000000,0.00000000
-0.43824309,-1.21259010,0.16111422,0.58926117,0.15939677,0.00000000,0.00000000,-1.81734300,0.68243217,-0.38463241,0.34855375,0.15219508,0.00000000,0.00000000
-0.43787935,-1.20958889,0.16204178,0.58833784,0.17425106,0.00000000,0.00000000,-1.81725323,0.68282986,-0.38451892,0.34924045,0.15909697,0.00000000,0.00000000
-0.43784514,-1.20624089,0.16289474,0.58723527,0.18876253,0.00000000,0.00000000,-1.81721556,0.68296009,-0.38450396,0.35007805,0.16461417,0.00000000,0.00000000
-0.43823469,-1.20287716,0.16351090,0.58600307,0.19846022,0.00000000,0.00000000,-1.81722379,0.68275964,-0.38458794,0.35097271,0.16657946,0.00000000,0.00000000
-0.43909636,-1.20030451,0.16369773,0.58478868,0.20766671,0.00000000,0.00000000,-1.81727266,0.68185693,-0.38475397,0.35163188,0.16858771,0.00000000,0.00000000
-0.44046354,-1.19902575,0.16338778,0.58374232,0.21889287,0.00000000,0.00000000,-1.81733549,0.68017244,-0.38497725,0.35192814,0.17325331,0.00000000,0.00000000
-0.44219398,-1.19889879,0.16269262,0.58297926,0.23400256,0.00000000,0.00000000,-1.81735206,0.67802399,-0.38521293,0.35193145,0.17843829,0.00000000,0.00000000
-0.44396633,-1.19958687,0.16185571,0.58258861,0.25036526,0.00000000,0.00000000,-1.81723475,0.67591882,-0.38538712,0.35179037,0.18128975,0.00000000,0.00000000
-0.44548449,-1.20097506,0.16113387,0.58262557,0.27236661,0.00000000,0.00000000,-1.81690466,0.67422175,-0.38543165,0.35161757,0.18546425,0.00000000,0.00000000
-0.44665524,-1.20286906,0.16070165,0.58308768,0.29695302,0.00000000,0.00000000,-1.81632280,0.67308033,-0.38533932,0.35150692,0.19282651,0.00000000,0.00000000
-0.44766805,-1.20489168,0.16056946,0.58388382,0.32259896,0.00000000,0.00000000,-1.81551719,0.67231059,-0.38521400,0.35148323,0.20111400,0.00000000,0.00000000
-0.44879708,-1.20668566,0.16066454,0.58490974,0.34744978,0.00000000,0.00000000,-1.81453598,0.67163271,-0.38518751,0.35150963,0.21213435,0.00000000,0.00000000
-0.45018017,-1.20815873,0.16094488,0.58612788,0.37252417,0.00000000,0.00000000,-1.81339705,0.67089748,-0.38532436,0.35152519,0.22152472,0.00000000,0.00000000
-0.45179093,-1.20929146,0.16141723,0.58754492,0.40095651,0.00000000,0.00000000,-1.81208742,0.67010748,-0.38562718,0.35148475,0.23213464,0.00000000,0.00000000
-0.45355001,-1.20987785,0.16210973,0.58913064,0.42499450,0.00000000,0.00000000,-1.81058395,0.66936064,-0.38607740,0.35137019,0.24039182,0.00000000,0.00000000
-0.45541382,-1.20976484,0.16302948,0.59080392,0.44864234,0.00000000,0.00000000,-1.80886936,0.66866636,-0.38666102,0.35112193,0.25054887,0.00000000,0.00000000
-0.45734131,-1.20907331,0.16415407,0.59251529,0.47345623,0.00000000,0.00000000,-1.80692005,0.66797465,-0.38734663,0.35063690,0.26294962,0.00000000,0.00000000
-0.45925257,-1.20808673,0.16543567,0.59427130,0.49651366,0.00000000,0.00000000,-1.80469775,0.66727543,-0.38807535,0.34982759,0.27043957,0.00000000,0.00000000
-0.46108145,-1.20714509,0.16679122,0.59607339,0.52216077,0.00000000,0.00000000,-1.80215931,0.66660464,-0.38878709,0.34866092,0.27168107,0.00000000,0.00000000
-0.46282649,-1.20641613,0.16812447,0.59788406,0.54877454,0.00000000,0.00000000,-1.79927647,0.66603529,-0.38946795,0.34718695,0.27375734,0.00000000,0.00000000
-0.46450618,-1.20582461,0.16937737,0.59966546,0.57778853,0.00000000,0.00000000,-1.79603183,0.66571337,-0.39014167,0.34552813,0.27857271,0.00000000,0.00000000
-0.46608976,-1.20518732,0.17054847,0.60141844,0.60112071,0.00000000,0.00000000,-1.79240847,0.66585541,-0.39083189,0.34383357,0.28208512,0.00000000,0.00000000
-0.46752536,-1.20435166,0.17166774,0.60315925,0.62246239,0.00000000,0.00000000,-1.78839898,0.66661644,-0.39156321,0.34220400,0.28968170,0.00000000,0.00000000
-0.46880609,-1.20327604,0.17276974,0.60486358,0.64201152,0.00000000,0.00000000,-1.78401971,0.66795957,-0.39238301,0.34063768,0.30031589,0.00000000,0.00000000
-0.46995562,-1.20205057,0.17388815,0.60646236,0.66163963,0.00000000,0.00000000,-1.77930582,0.66969395,-0.39335570,0.33905581,0.31024045,0.00000000,0.00000000
-0.47096816,-1.20084524,0.17505705,0.60788751,0.68668574,0.00000000,0.00000000,-1.77429116,0.67162740,-0.39453578,0.33738038,0.32032949,0.00000000,0.00000000
-0.47180766,-1.19984388,0.17630558,0.60908276,0.71008044,0.00000000,0.00000000,-1.76900291,0.67362034,-0.39596167,0.33556780,0.32674581,0.00000000,0.00000000
-0.47244337,-1.19910145,0.17764063,0.61000311,0.73379546,0.00000000,0.00000000,-1.76346362,0.67564684,-0.39766884,0.33364594,0.33219188,0.00000000,0.00000000
-0.47286415,-1.19858885,0.17904988,0.61060196,0.75945187,0.00000000,0.00000000,-1.75769067,0.67774659,-0.39969316,0.33168033,0.33825853,0.00000000,0.00000000
-0.47305587,-1.19830787,0.18051392,0.61085373,0.78317034,0.00000000,0.00000000,-1.75169122,0.67996079,-0.40205553,0.32972741,0.34856090,0.00000000,0.00000000
-0.47300017,-1.19831526,0.18200536,0.61078209,0.80853426,0.00000000,0.00000000,-1.74546278,0.68229425,-0.40475529,0.32781735,0.35876703,0.00000000,0.00000000
-0.47271436,-1.19865119,0.18348223,0.61044264,0.82341534,0.00000000,0.00000000,-1.73900282,0.68469459,-0.40778950,0.32596886,0.36572140,0.00000000,0.00000000
-0.47227177,-1.19925785,0.18489493,0.60988021,0.83491015,0.00000000,0.00000000,-1.73231876,0.68708616,-0.41117445,0.32423171,0.37083745,0.00000000,0.00000000
-0.47176921,-1.19996417,0.18621249,0.60911858,0.84565550,0.00000000,0.00000000,-1.72542429,0.68942446,-0.41494733,0.32270998,0.37909350,0.00000000,0.00000000
-0.47128540,-1.20054114,0.18744212,0.60818166,0.85568953,0.00000000,0.00000000,-1.71833456,0.69168878,-0.41915128,0.32152584,0.39010742,0.00000000,0.00000000
-0.47087100,-1.20080197,0.18862009,0.60710591,0.86425054,0.00000000,0.00000000,-1.71105683,0.69382143,-0.42381248,0.32075155,0.40261894,0.00000000,0.00000000
-0.47055864,-1.20068192,0.18978284,0.60592389,0.87553167,0.00000000,0.00000000,-1.70357943,0.69570315,-0.42892003,0.32037544,0.41647443,0.00000000,0.00000000
-0.47036925,-1.20022297,0.19094442,0.60464728,0.89750659,0.00000000,0.00000000,-1.69586611,0.69720107,-0.43442059,0.32032326,0.43261278,0.00000000,0.00000000
-0.47030479,-1.19947529,0.19209324,0.60327113,0.92320973,0.00000000,0.00000000,-1.68785632,0.69823962,-0.44022885,0.32049185,0.45141396,0.00000000,0.00000000
-0.47033325,-1.19845188,0.19320412,0.60179079,0.94605350,0.00000000,0.00000000,-1.67946935,0.69882149,-0.44623515,0.32076216,0.46859136,0.00000000,0.00000000
-0.47037768,-1.19721353,0.19425081,0.60021228,0.96516836,0.00000000,0.00000000,-1.67060077,0.69899678,-0.45230171,0.32100493,0.48412541,0.00000000,0.00000000
-0.47034049,-1.19595623,0.19520603,0.59855247,0.97995871,0.00000000,0.00000000,-1.66112852,0.69880879,-0.45826867,0.32109809,0.50506753,0.00000000,0.00000000
-0.47016314,-1.19494128,0.19603018,0.59683001,0.98774308,0.00000000,0.00000000,-1.65092838,0.69825053,-0.46398330,0.32093966,0.52914667,0.00000000,0.00000000
