l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-0.47327781,-1.20181859,0.25802490,0.60247290,-0.11114497,0.00000000,0.00000000,-1.41234767,0.92118639,-0.59556556,0.22397302,-0.15190077,0.00000000,0.00000000
-0.47391620,-1.20127666,0.25947496,0.60233504,-0.12445174,0.00000000,0.00000000,-1.41176748,0.91944665,-0.59536302,0.22268924,-0.17135632,0.00000000,0.00000000
-0.47443202,-1.20064390,0.26217097,0.60202706,-0.13676482,0.00000000,0.00000000,-1.41059887,0.91722673,-0.59491014,0.22066903,-0.19254521,0.00000000,0.00000000
-0.47450462,-1.20008123,0.26575384,0.60156703,-0.15233055,0.00000000,0.00000000,-1.40889227,0.91538304,-0.59420758,0.21831852,-0.21269467,0.00000000,0.00000000
-0.47432142,-1.19952607,0.26966184,0.60104144,-0.16422920,0.00000000,0.00000000,-1.40681159,0.91416693,-0.59333384,0.21586914,-0.22961652,0.00000000,0.00000000
-0.47417897,-1.19888949,0.27333537,0.60051590,-0.17378372,0.00000000,0.00000000,-1.40452993,0.91359872,-0.59237999,0.21345864,-0.24455689,0.00000000,0.00000000
-0.47423342,-1.19810319,0.27635026,0.59997511,-0.18337755,0.00000000,0.00000000,-1.40216255,0.91379589,-0.59140390,0.21122226,-0.25649792,0.00000000,0.00000000
-0.47453263,-1.19707644,0.27844265,0.59936655,-0.19396125,0.00000000,0.00000000,-1.39978004,0.91492468,-0.59043658,0.20929541,-0.27121606,0.00000000,0.00000000
-0.47513482,-1.19571066,0.27948403,0.59867811,-0.20709576,0.00000000,0.00000000,-1.39743459,0.91699642,-0.58950156,0.20774807,-0.28877169,0.00000000,0.00000000
-0.47609425,-1.19411469,0.27945617,0.59795094,-0.21773560,0.00000000,0.00000000,-1.39514041,0.91984183,-0.58860683,0.20654555,-0.30278346,0.00000000,0.00000000
-0.47738731,-1.19268072,0.27843431,0.59725845,-0.22729506,0.00000000,0.00000000,-1.39287019,0.92323869,-0.58774078,0.20559402,-0.32006374,0.00000000,0.00000000
-0.47889936,-1.19190001,0.27657020,0.59670049,-0.23946328,0.00000000,0.00000000,-1.39058602,0.92698091,-0.58688438,0.20479684,-0.33766121,0.00000000,0.00000000
-0.48046377,-1.19207847,0.27407911,0.59639466,-0.24820785,0.00000000,0.00000000,-1.38824296,0.93092543,-0.58601379,0.20407477,-0.35856727,0.00000000,0.00000000
-0.48199275,-1.19321609,0.27120873,0.59641904,-0.25388560,0.00000000,0.00000000,-1.38575518,0.93502951,-0.58508450,0.20334941,-0.37634498,0.00000000,0.00000000
-0.48333538,-1.19550622,0.26819152,0.59673846,-0.25660384,0.00000000,0.00000000,-1.38301027,0.93926024,-0.58404160,0.20252289,-0.39834863,0.00000000,0.00000000
-0.48416248,-1.19923532,0.26520792,0.59722644,-0.25580814,0.00000000,0.00000000,-1.37996960,0.94344264,-0.58286774,0.20149854,-0.42689726,0.00000000,0.00000000
-0.48446804,-1.20397139,0.26238641,0.59777391,-0.25490126,0.00000000,0.00000000,-1.37671435,0.94726968,-0.58160067,0.20021456,-0.45552629,0.00000000,0.00000000
-0.48441648,-1.20897698,0.25982460,0.59834576,-0.25231785,0.00000000,0.00000000,-1.37339020,0.95045525,-0.58030283,0.19865775,-0.48194528,0.00000000,0.00000000
-0.48409420,-1.21368897,0.25760061,0.59894842,-0.24767178,0.00000000,0.00000000,-1.37013209,0.95284510,-0.57902771,0.19685966,-0.50471032,0.00000000,0.00000000
-0.48354504,-1.21771336,0.25577739,0.59957826,-0.24460912,0.00000000,0.00000000,-1.36705959,0.95438218,-0.57781917,0.19488560,-0.52552366,0.00000000,0.00000000
-0.48282295,-1.22059453,0.25441265,0.60021150,-0.24443284,0.00000000,0.00000000,-1.36429429,0.95507038,-0.57672042,0.19283746,-0.54516810,0.00000000,0.00000000
-0.48194009,-1.22199118,0.25355414,0.60081911,-0.24048230,0.00000000,0.00000000,-1.36193097,0.95499384,-0.57576245,0.19083916,-0.56444991,0.00000000,0.00000000
-0.48085946,-1.22183990,0.25321022,0.60136473,-0.23096633,0.00000000,0.00000000,-1.36000073,0.95430088,-0.57495064,0.18900202,-0.58411884,0.00000000,0.00000000
-0.47955129,-1.22028601,0.25332907,0.60179830,-0.21889690,0.00000000,0.00000000,-1.35848212,0.95314354,-0.57427067,0.18740164,-0.60318631,0.00000000,0.00000000
-0.47800741,-1.21760070,0.25380859,0.60206485,-0.20596194,0.00000000,0.00000000,-1.35732913,0.95164347,-0.57370055,0.18606895,-0.61623734,0.00000000,0.00000000
-0.47620910,-1.21412504,0.25452229,0.60211712,-0.19510794,0.00000000,0.00000000,-1.35648084,0.94993311,-0.57321209,0.18500304,-0.62631756,0.00000000,0.00000000
-0.47410876,-1.21025884,0.25534207,0.60191464,-0.18029769,0.00000000,0.00000000,-1.35586083,0.94817525,-0.57276982,0.18418774,-0.63125259,0.00000000,0.00000000
-0.47166118,-1.20637393,0.25614560,0.60142142,-0.16313253,0.00000000,0.00000000,-1.35540009,0.94651389,-0.57234043,0.18361060,-0.63712919,0.00000000,0.00000000
-0.46885237,-1.20271587,0.25681695,0.60063368,-0.14617817,0.00000000,0.00000000,-1.35507178,0.94502610,-0.57190686,0.18328369,-0.64052308,0.00000000,0.00000000
-0.46569562,-1.19939554,0.25724369,0.59960783,-0.12571372,0.00000000,0.00000000,-1.35489166,0.94371891,-0.57146841,0.18323481,-0.64394414,0.00000000,0.00000000
-0.46217588,-1.19657707,0.25732827,0.59845924,-0.11024638,0.00000000,0.00000000,-1.35488522,0.94259250,-0.57102650,0.18349467,-0.65078539,0.00000000,0.00000000
-0.45822728,-1.19451809,0.25700027,0.59730750,-0.09009482,0.00000000,0.00000000,-1.35507083,0.94169188,-0.57057649,0.18409839,-0.65363324,0.00000000,0.00000000
-0.45377964,-1.19344366,0.25621134,0.59624428,-0.07045293,0.00000000,0.00000000,-1.35546982,0.94109142,-0.57011151,0.18509261,-0.65287679,0.00000000,0.00000000
-0.44898638,-1.19333053,0.25490847,0.59535992,-0.05076650,0.00000000,0.00000000,-1.35609400,0.94074285,-0.56962323,0.18645924,-0.65108478,0.00000000,0.00000000
-0.44424528,-1.19385803,0.25303757,0.59472734,-0.03300721,0.00000000,0.00000000,-1.35693359,0.94041318,-0.56909925,0.18808436,-0.64636081,0.00000000,0.00000000
-0.43969077,-1.19497108,0.25060189,0.59432912,-0.01317167,0.00000000,0.00000000,-1.35798073,0.93987912,-0.56852561,0.18987280,-0.63555539,0.00000000,0.00000000
-0.43534550,-1.19648969,0.24767917,0.59408975,0.00928186,0.00000000,0.00000000,-1.35921693,0.93904513,-0.56787896,0.19178073,-0.62447447,0.00000000,0.00000000
-0.43118477,-1.19805336,0.24440283,0.59396976,0.03680578,0.00000000,0.00000000,-1.36060858,0.93799841,-0.56712240,0.19382624,-0.61309785,0.00000000,0.00000000
-0.42711273,-1.19952130,0.24091238,0.59399211,0.05892823,0.00000000,0.00000000,-1.36211288,0.93683869,-0.56621444,0.19601735,-0.60175568,0.00000000,0.00000000
-0.42306784,-1.20088935,0.23732534,0.59420097,0.07809097,0.00000000,0.00000000,-1.36368370,0.93551308,-0.56511676,0.19828779,-0.59595728,0.00000000,0.00000000
-0.41905883,-1.20202982,0.23373678,0.59461051,0.09596360,0.00000000,0.00000000,-1.36528075,0.93389744,-0.56379479,0.20054641,-0.59470522,0.00000000,0.00000000
-0.41510171,-1.20280671,0.23021181,0.59517372,0.11187363,0.00000000,0.00000000,-1.36685944,0.93194240,-0.56220913,0.20273159,-0.59130728,0.00000000,0.00000000
-0.41117793,-1.20323992,0.22677530,0.59578395,0.13354857,0.00000000,0.00000000,-1.36836386,0.92971528,-0.56031132,0.20481658,-0.58812028,0.00000000,0.00000000
-0.40728343,-1.20350087,0.22340684,0.59631252,0.15371801,0.00000000,0.00000000,-1.36973488,0.92727172,-0.55805105,0.20676140,-0.58773696,0.00000000,0.00000000
-0.40347210,-1.20370650,0.22006586,0.59669888,0.17343715,0.00000000,0.00000000,-1.37092543,0.92455834,-0.55538690,0.20849515,-0.58282310,0.00000000,0.00000000
-0.39978626,-1.20385730,0.21672721,0.59697294,0.19394724,0.00000000,0.00000000,-1.37189555,0.92153096,-0.55227989,0.20996724,-0.57753575,0.00000000,0.00000000
-0.39617670,-1.20388365,0.21340299,0.59719694,0.21158049,0.00000000,0.00000000,-1.37259543,0.91831863,-0.54868048,0.21119310,-0.56828928,0.00000000,0.00000000
-0.39251447,-1.20374417,0.21013808,0.59739321,0.22655934,0.00000000,0.00000000,-1.37296033,0.91516554,-0.54452759,0.21221091,-0.55935878,0.00000000,0.00000000
-0.38870496,-1.20342958,0.20697530,0.59755087,0.23622483,0.00000000,0.00000000,-1.37292826,0.91220558,-0.53976506,0.21299866,-0.54218042,0.00000000,0.00000000
-0.38474911,-1.20291519,0.20392658,0.59767324,0.23977315,0.00000000,0.00000000,-1.37245286,0.90939403,-0.53434837,0.21346873,-0.51471186,0.00000000,0.00000000
-0.38067681,-1.20217967,0.20098038,0.59777617,0.24248150,0.00000000,0.00000000,-1.37149096,0.90666622,-0.52823400,0.21353757,-0.48665071,0.00000000,0.00000000
-0.37648448,-1.20120013,0.19812375,0.59786409,0.24337688,0.00000000,0.00000000,-1.36999297,0.90405470,-0.52137119,0.21316777,-0.46680933,0.00000000,0.00000000
-0.37212738,-1.19998121,0.19536124,0.59791189,0.23721121,0.00000000,0.00000000,-1.36790502,0.90164608,-0.51370466,0.21234846,-0.45527270,0.00000000,0.00000000
-0.36757335,-1.19854009,0.19269407,0.59789705,0.23576255,0.00000000,0.00000000,-1.36517906,0.89946747,-0.50518268,0.21104984,-0.44524395,0.00000000,0.00000000
-0.36284205,-1.19689989,0.19007605,0.59783930,0.23188008,0.00000000,0.00000000,-1.36176932,0.89747536,-0.49575669,0.20920762,-0.43643320,0.00000000,0.00000000
-0.35796493,-1.19515336,0.18742706,0.59779727,0.22164693,0.00000000,0.00000000,-1.35759580,0.89563447,-0.48535940,0.20672196,-0.42929205,0.00000000,0.00000000
-0.35296541,-1.19340968,0.18469408,0.59784186,0.21022168,0.00000000,0.00000000,-1.35253012,0.89391470,-0.47389832,0.20344450,-0.41900820,0.00000000,0.00000000
-0.34785166,-1.19176829,0.18187197,0.59801739,0.19604407,0.00000000,0.00000000,-1.34641504,0.89228112,-0.46126628,0.19919530,-0.41455948,0.00000000,0.00000000
-0.34258610,-1.19031274,0.17898841,0.59830809,0.18249233,0.00000000,0.00000000,-1.33908844,0.89077920,-0.44735318,0.19382396,-0.41164982,0.00000000,0.00000000
-0.33703619,-1.18917108,0.17607526,0.59860545,0.16783954,0.00000000,0.00000000,-1.33039916,0.88963556,-0.43205252,0.18727319,-0.41541222,0.00000000,0.00000000
-0.33105233,-1.18843269,0.17313495,0.59879166,0.15019339,0.00000000,0.00000000,-1.32019997,0.88917845,-0.41526097,0.17954716,-0.41824773,0.00000000,0.00000000
-0.32463127,-1.18804681,0.17010802,0.59887099,0.13129224,0.00000000,0.00000000,-1.30832422,0.88954669,-0.39687547,0.17055891,-0.42100278,0.00000000,0.00000000
-0.31787857,-1.18797016,0.16689700,0.59887975,0.11509477,0.00000000,0.00000000,-1.29459083,0.89075130,-0.37679622,0.16015296,-0.42157206,0.00000000,0.00000000
-0.31087896,-1.18821406,0.16341175,0.59879684,0.09837025,0.00000000,0.00000000,-1.27882850,0.89282912,-0.35493907,0.14819276,-0.42187577,0.00000000,0.00000000
-0.30371979,-1.18862915,0.15954673,0.59861273,0.08151362,0.00000000,0.00000000,-1.26089621,0.89585775,-0.33124861,0.13458839,-0.41658303,0.00000000,0.00000000
-0.29643941,-1.18906415,0.15525885,0.59835118,0.06691968,0.00000000,0.00000000,-1.24068797,0.89986479,-0.30570439,0.11927457,-0.41769302,0.00000000,0.00000000
-0.28897986,-1.18940663,0.15062749,0.59803414,0.05167282,0.00000000,0.00000000,-1.21812987,0.90483975,-0.27832150,0.10222068,-0.41776440,0.00000000,0.00000000
-0.28122213,-1.18954778,0.14581035,0.59760511,0.03429519,0.00000000,0.00000000,-1.19317412,0.91082108,-0.24914904,0.08345414,-0.42176998,0.00000000,0.00000000
-0.27311805,-1.18936360,0.14093833,0.59701765,0.01563995,0.00000000,0.00000000,-1.16579771,0.91779518,-0.21827264,0.06301223,-0.42810777,0.00000000,0.00000000
-0.26479423,-1.18880057,0.13604462,0.59636301,-0.00698970,0.00000000,0.00000000,-1.13599885,0.92552811,-0.18581624,0.04088126,-0.43742797,0.00000000,0.00000000
-0.25648752,-1.18792140,0.13109875,0.59582508,-0.03240303,0.00000000,0.00000000,-1.10379875,0.93362147,-0.15194336,0.01703342,-0.44557413,0.00000000,0.00000000
-0.24838926,-1.18682861,0.12609456,0.59553820,-0.05661974,0.00000000,0.00000000,-1.06925595,0.94173664,-0.11685920,-0.00847904,-0.45586312,0.00000000,0.00000000
-0.24056900,-1.18561530,0.12109306,0.59553164,-0.07757432,0.00000000,0.00000000,-1.03247678,0.94971526,-0.08081087,-0.03548821,-0.46647564,0.00000000,0.00000000
-0.23300076,-1.18440640,0.11620977,0.59576166,-0.09414015,0.00000000,0.00000000,-0.99361563,0.95753425,-0.04408396,-0.06374101,-0.47408500,0.00000000,0.00000000
-0.22562936,-1.18333197,0.11156487,0.59617764,-0.10699567,0.00000000,0.00000000,-0.95286775,0.96523637,-0.00699731,-0.09292739,-0.47760266,0.00000000,0.00000000
