l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-0.66785604,-1.18075144,0.24627608,0.61243242,0.14646845,0.00000000,0.00000000,-1.76657772,0.73362315,-0.39345819,0.26414022,0.13981541,0.00000000,0.00000000
-0.66754013,-1.18141639,0.24647202,0.61267936,0.16171713,0.00000000,0.00000000,-1.76669550,0.73319501,-0.39411986,0.26441291,0.15380242,0.00000000,0.00000000
-0.66693264,-1.18251419,0.24677098,0.61316055,0.17987569,0.00000000,0.00000000,-1.76686084,0.73266673,-0.39532003,0.26495731,0.16910954,0.00000000,0.00000000
-0.66603816,-1.18384087,0.24709721,0.61385065,0.19816245,0.00000000,0.00000000,-1.76700091,0.73232377,-0.39696407,0.26576418,0.18493024,0.00000000,0.00000000
-0.66486633,-1.18523169,0.24743041,0.61470389,0.21603899,0.00000000,0.00000000,-1.76706386,0.73230582,-0.39897910,0.26679805,0.19858333,0.00000000,0.00000000
-0.66342932,-1.18657231,0.24780510,0.61568111,0.23502553,0.00000000,0.00000000,-1.76702130,0.73263526,-0.40132272,0.26802182,0.21425915,0.00000000,0.00000000
-0.66174066,-1.18777978,0.24828209,0.61676735,0.25232646,0.00000000,0.00000000,-1.76686227,0.73329711,-0.40397194,0.26941460,0.22852522,0.00000000,0.00000000
-0.65981388,-1.18877733,0.24892974,0.61799836,0.26968017,0.00000000,0.00000000,-1.76658976,0.73426878,-0.40692124,0.27097332,0.24237555,0.00000000,0.00000000
-0.65766257,-1.18948865,0.24983166,0.61944562,0.28519055,0.00000000,0.00000000,-1.76621985,0.73548925,-0.41017962,0.27268243,0.25638679,0.00000000,0.00000000
-0.65529621,-1.18988156,0.25108847,0.62118053,0.30181587,0.00000000,0.00000000,-1.76577926,0.73682100,-0.41376472,0.27448124,0.26989037,0.00000000,0.00000000
-0.65271294,-1.19002926,0.25279972,0.62323236,0.32163265,0.00000000,0.00000000,-1.76529455,0.73805285,-0.41769126,0.27625251,0.28285688,0.00000000,0.00000000
-0.64989990,-1.19008160,0.25503257,0.62558508,0.34189510,0.00000000,0.00000000,-1.76478136,0.73899138,-0.42196125,0.27787989,0.29348856,0.00000000,0.00000000
-0.64684057,-1.19017780,0.25780061,0.62820572,0.36154899,0.00000000,0.00000000,-1.76423669,0.73954439,-0.42655838,0.27929899,0.30256903,0.00000000,0.00000000
-0.64351600,-1.19043863,0.26104689,0.63103908,0.38263127,0.00000000,0.00000000,-1.76363134,0.73972613,-0.43143919,0.28047928,0.31735286,0.00000000,0.00000000
-0.63990092,-1.19100523,0.26463363,0.63398904,0.40251794,0.00000000,0.00000000,-1.76290834,0.73963994,-0.43652999,0.28140086,0.32489339,0.00000000,0.00000000
-0.63596737,-1.19202101,0.26837063,0.63695711,0.42362735,0.00000000,0.00000000,-1.76199377,0.73944938,-0.44174021,0.28206038,0.33219934,0.00000000,0.00000000
-0.63169038,-1.19358814,0.27204502,0.63988763,0.44345421,0.00000000,0.00000000,-1.76080787,0.73935109,-0.44697499,0.28247470,0.34112668,0.00000000,0.00000000
-0.62705117,-1.19575095,0.27544415,0.64277738,0.45949247,0.00000000,0.00000000,-1.75927043,0.73954314,-0.45213997,0.28265661,0.34692800,0.00000000,0.00000000
-0.62203169,-1.19852948,0.27836347,0.64562887,0.47452262,0.00000000,0.00000000,-1.75730538,0.74020916,-0.45714274,0.28259116,0.35566196,0.00000000,0.00000000
-0.61661512,-1.20194125,0.28064021,0.64840442,0.49276656,0.00000000,0.00000000,-1.75485027,0.74150229,-0.46190578,0.28224665,0.36011451,0.00000000,0.00000000
-0.61079323,-1.20596099,0.28219238,0.65103918,0.51350218,0.00000000,0.00000000,-1.75186515,0.74355167,-0.46637574,0.28162315,0.36161792,0.00000000,0.00000000
-0.60457492,-1.21048903,0.28304061,0.65350688,0.53464609,0.00000000,0.00000000,-1.74833310,0.74643135,-0.47052571,0.28076619,0.35959253,0.00000000,0.00000000
-0.59798884,-1.21533883,0.28329480,0.65586722,0.55294216,0.00000000,0.00000000,-1.74426603,0.75013822,-0.47435656,0.27974644,0.35193437,0.00000000,0.00000000
-0.59108227,-1.22024834,0.28313059,0.65825927,0.56813020,0.00000000,0.00000000,-1.73970985,0.75459063,-0.47790357,0.27863914,0.34619808,0.00000000,0.00000000
-0.58391607,-1.22491062,0.28275973,0.66085291,0.57715201,0.00000000,0.00000000,-1.73474216,0.75965637,-0.48123124,0.27751473,0.34373549,0.00000000,0.00000000
-0.57655275,-1.22904074,0.28239527,0.66378736,0.57948339,0.00000000,0.00000000,-1.72945452,0.76517242,-0.48440939,0.27641958,0.34435090,0.00000000,0.00000000
-0.56904161,-1.23246229,0.28222045,0.66712302,0.58394587,0.00000000,0.00000000,-1.72393143,0.77094549,-0.48748881,0.27535498,0.34299532,0.00000000,0.00000000
-0.56141168,-1.23513615,0.28236440,0.67083365,0.59068596,0.00000000,0.00000000,-1.71823967,0.77678782,-0.49049354,0.27429482,0.34370372,0.00000000,0.00000000
-0.55367684,-1.23711121,0.28289348,0.67484170,0.59295052,0.00000000,0.00000000,-1.71243000,0.78256810,-0.49342772,0.27322492,0.34064001,0.00000000,0.00000000
-0.54584461,-1.23850107,0.28384280,0.67904848,0.59305298,0.00000000,0.00000000,-1.70654607,0.78815073,-0.49628836,0.27212214,0.33665890,0.00000000,0.00000000
-0.53792244,-1.23945832,0.28522161,0.68334848,0.58694851,0.00000000,0.00000000,-1.70061886,0.79337621,-0.49906164,0.27093145,0.33137149,0.00000000,0.00000000
-0.52992469,-1.24011075,0.28700852,0.68762755,0.57777780,0.00000000,0.00000000,-1.69466066,0.79811370,-0.50172108,0.26959145,0.32604593,0.00000000,0.00000000
-0.52187955,-1.24053013,0.28915459,0.69175887,0.56644613,0.00000000,0.00000000,-1.68867528,0.80228782,-0.50423628,0.26806301,0.32409111,0.00000000,0.00000000
-0.51383114,-1.24075055,0.29158032,0.69562185,0.55729091,0.00000000,0.00000000,-1.68266380,0.80587012,-0.50658047,0.26632616,0.32431737,0.00000000,0.00000000
-0.50582790,-1.24085772,0.29417777,0.69911236,0.54702276,0.00000000,0.00000000,-1.67662454,0.80883932,-0.50872934,0.26435062,0.32661954,0.00000000,0.00000000
-0.49790668,-1.24104989,0.29682195,0.70212954,0.53894967,0.00000000,0.00000000,-1.67054880,0.81118900,-0.51065612,0.26210523,0.33256882,0.00000000,0.00000000
-0.49009824,-1.24154651,0.29938221,0.70457536,0.52523822,0.00000000,0.00000000,-1.66442156,0.81299150,-0.51233137,0.25961176,0.33982736,0.00000000,0.00000000
-0.48245916,-1.24242425,0.30172515,0.70639873,0.51037157,0.00000000,0.00000000,-1.65823269,0.81440115,-0.51373047,0.25695485,0.34313533,0.00000000,0.00000000
-0.47508717,-1.24358749,0.30372036,0.70765185,0.49540392,0.00000000,0.00000000,-1.65198398,0.81555390,-0.51483989,0.25421625,0.34891957,0.00000000,0.00000000
-0.46808890,-1.24487722,0.30526376,0.70848858,0.47656614,0.00000000,0.00000000,-1.64569044,0.81650019,-0.51565719,0.25143147,0.35571289,0.00000000,0.00000000
-0.46154416,-1.24612904,0.30630618,0.70908821,0.46220273,0.00000000,0.00000000,-1.63938105,0.81724524,-0.51619107,0.24863172,0.36263970,0.00000000,0.00000000
-0.45551592,-1.24714088,0.30685553,0.70957094,0.44754151,0.00000000,0.00000000,-1.63310158,0.81780487,-0.51646191,0.24589470,0.37288985,0.00000000,0.00000000
-0.45004961,-1.24772477,0.30696172,0.70998138,0.43134114,0.00000000,0.00000000,-1.62690127,0.81823820,-0.51649219,0.24333915,0.38182434,0.00000000,0.00000000
-0.44506127,-1.24780500,0.30670005,0.71031243,0.41627809,0.00000000,0.00000000,-1.62081289,0.81867719,-0.51628834,0.24109372,0.39135334,0.00000000,0.00000000
-0.44035649,-1.24723864,0.30613369,0.71054357,0.39664701,0.00000000,0.00000000,-1.61483967,0.81924194,-0.51583230,0.23922712,0.40110397,0.00000000,0.00000000
