l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-1.15391088,-1.91390359,-0.98368627,-0.71931869,0.02118029,0.00000000,0.00000000,-1.82185972,-0.26470000,0.66587222,-0.66636276,-0.01971002,0.00000000,0.00000000
-1.15429389,-1.91342974,-0.98397136,-0.71825051,0.02482220,0.00000000,0.00000000,-1.82210088,-0.26460046,0.66582847,-0.66570812,-0.02544507,0.00000000,0.00000000
-1.15507603,-1.91309547,-0.98432583,-0.71677077,0.02983280,0.00000000,0.00000000,-1.82189655,-0.26496512,0.66585416,-0.66521710,-0.02618908,0.00000000,0.00000000
-1.15614212,-1.91286969,-0.98472202,-0.71491677,0.03254639,0.00000000,0.00000000,-1.82147419,-0.26556459,0.66592872,-0.66472626,-0.02655333,0.00000000,0.00000000
-1.15724051,-1.91301179,-0.98502123,-0.71270066,0.03817283,0.00000000,0.00000000,-1.82110190,-0.26644135,0.66595703,-0.66402078,-0.02877709,0.00000000,0.00000000
-1.15823710,-1.91360188,-0.98516500,-0.71012431,0.04145902,0.00000000,0.00000000,-1.82107735,-0.26761585,0.66582412,-0.66287875,-0.03188688,0.00000000,0.00000000
-1.15897286,-1.91447926,-0.98512876,-0.70717180,0.04208195,0.00000000,0.00000000,-1.82111144,-0.26874596,0.66569614,-0.66137886,-0.04227387,0.00000000,0.00000000
-1.15941811,-1.91563356,-0.98486990,-0.70387489,0.04107703,0.00000000,0.00000000,-1.82100618,-0.26985294,0.66562611,-0.65969920,-0.05469186,0.00000000,0.00000000
-1.15970361,-1.91716814,-0.98433375,-0.70029008,0.03042183,0.00000000,0.00000000,-1.82096303,-0.27104944,0.66549706,-0.65767974,-0.06702872,0.00000000,0.00000000
-1.15995753,-1.91928375,-0.98344725,-0.69647002,0.01896177,0.00000000,0.00000000,-1.82111120,-0.27264684,0.66517609,-0.65529966,-0.08048727,0.00000000,0.00000000
-1.16043663,-1.92185509,-0.98232520,-0.69249773,0.00668331,0.00000000,0.00000000,-1.82142544,-0.27460450,0.66467786,-0.65262532,-0.09829935,0.00000000,0.00000000
-1.16130078,-1.92462015,-0.98108113,-0.68856966,-0.01005877,0.00000000,0.00000000,-1.82193732,-0.27644840,0.66410297,-0.64958417,-0.11760801,0.00000000,0.00000000
-1.16245055,-1.92748642,-0.97968924,-0.68496168,-0.02728648,0.00000000,0.00000000,-1.82266712,-0.27795777,0.66350251,-0.64630896,-0.13193767,0.00000000,0.00000000
-1.16380680,-1.93020642,-0.97817826,-0.68168563,-0.04915811,0.00000000,0.00000000,-1.82350898,-0.27919766,0.66289306,-0.64312088,-0.14438158,0.00000000,0.00000000
-1.16524816,-1.93267441,-0.97653884,-0.67867202,-0.07530259,0.00000000,0.00000000,-1.82408643,-0.28055403,0.66232991,-0.64066017,-0.15543656,0.00000000,0.00000000
-1.16673887,-1.93485451,-0.97476447,-0.67592639,-0.09995545,0.00000000,0.00000000,-1.82456958,-0.28208029,0.66175866,-0.63890803,-0.16239318,0.00000000,0.00000000
-1.16825998,-1.93675470,-0.97281724,-0.67345506,-0.11829145,0.00000000,0.00000000,-1.82518399,-0.28342864,0.66116244,-0.63743633,-0.16789539,0.00000000,0.00000000
-1.16980052,-1.93845081,-0.97066134,-0.67125356,-0.13474649,0.00000000,0.00000000,-1.82585549,-0.28450924,0.66057599,-0.63616502,-0.17716883,0.00000000,0.00000000
-1.17136157,-1.94006288,-0.96826929,-0.66933769,-0.14801398,0.00000000,0.00000000,-1.82654774,-0.28540215,0.65999353,-0.63508677,-0.18319324,0.00000000,0.00000000
-1.17301428,-1.94155526,-0.96566153,-0.66771048,-0.15656984,0.00000000,0.00000000,-1.82742465,-0.28601697,0.65936941,-0.63402611,-0.18721952,0.00000000,0.00000000
-1.17476428,-1.94276476,-0.96287668,-0.66636014,-0.16034400,0.00000000,0.00000000,-1.82830429,-0.28631452,0.65876013,-0.63317066,-0.20314901,0.00000000,0.00000000
-1.17652631,-1.94356501,-0.95992678,-0.66522574,-0.16548194,0.00000000,0.00000000,-1.82893097,-0.28630555,0.65824419,-0.63276339,-0.22263496,0.00000000,0.00000000
-1.17827582,-1.94393134,-0.95680147,-0.66422409,-0.17187098,0.00000000,0.00000000,-1.82927287,-0.28591916,0.65784431,-0.63273990,-0.23804694,0.00000000,0.00000000
-1.18003261,-1.94396615,-0.95345610,-0.66331816,-0.17509940,0.00000000,0.00000000,-1.82951605,-0.28524795,0.65748036,-0.63292259,-0.25074154,0.00000000,0.00000000
-1.18187535,-1.94371712,-0.94988811,-0.66247863,-0.17884645,0.00000000,0.00000000,-1.82974267,-0.28443137,0.65709615,-0.63325924,-0.25927186,0.00000000,0.00000000
-1.18389463,-1.94312310,-0.94613588,-0.66162014,-0.18347999,0.00000000,0.00000000,-1.82996333,-0.28340739,0.65670109,-0.63365138,-0.26382613,0.00000000,0.00000000
-1.18605018,-1.94229925,-0.94214934,-0.66064471,-0.19402778,0.00000000,0.00000000,-1.83009970,-0.28234437,0.65627599,-0.63412350,-0.27324167,0.00000000,0.00000000
-1.18826306,-1.94142056,-0.93784517,-0.65944970,-0.20464565,0.00000000,0.00000000,-1.83009720,-0.28143677,0.65578967,-0.63468856,-0.28488702,0.00000000,0.00000000
-1.19063997,-1.94046092,-0.93324804,-0.65799379,-0.21653685,0.00000000,0.00000000,-1.83011234,-0.28047836,0.65522921,-0.63507760,-0.29164892,0.00000000,0.00000000
-1.19328105,-1.93955147,-0.92834735,-0.65644205,-0.22301462,0.00000000,0.00000000,-1.83028197,-0.27936661,0.65456951,-0.63512975,-0.29435372,0.00000000,0.00000000
-1.19615984,-1.93880296,-0.92310423,-0.65488195,-0.21780439,0.00000000,0.00000000,-1.83052182,-0.27809054,0.65383518,-0.63493145,-0.28893217,0.00000000,0.00000000
-1.19907200,-1.93833220,-0.91739041,-0.65326554,-0.21179621,0.00000000,0.00000000,-1.83091593,-0.27683893,0.65295452,-0.63457251,-0.28692666,0.00000000,0.00000000
-1.20196176,-1.93809247,-0.91116792,-0.65167028,-0.20064971,0.00000000,0.00000000,-1.83133042,-0.27555168,0.65198660,-0.63422453,-0.28713775,0.00000000,0.00000000
-1.20484388,-1.93798923,-0.90443259,-0.65013522,-0.18674436,0.00000000,0.00000000,-1.83177221,-0.27425954,0.65092409,-0.63405514,-0.28801355,0.00000000,0.00000000
-1.20768774,-1.93799996,-0.89713877,-0.64867568,-0.17118898,0.00000000,0.00000000,-1.83239079,-0.27304733,0.64969927,-0.63416547,-0.28707746,0.00000000,0.00000000
-1.21052742,-1.93791163,-0.88929719,-0.64731508,-0.15356889,0.00000000,0.00000000,-1.83308756,-0.27157378,0.64841282,-0.63468128,-0.28662643,0.00000000,0.00000000
-1.21349227,-1.93765628,-0.88091654,-0.64620739,-0.13032834,0.00000000,0.00000000,-1.83401060,-0.26992708,0.64699632,-0.63580960,-0.29282063,0.00000000,0.00000000
-1.21669793,-1.93714225,-0.87201118,-0.64553791,-0.10199597,0.00000000,0.00000000,-1.83541632,-0.26815236,0.64534885,-0.63768375,-0.30118078,0.00000000,0.00000000
-1.21990061,-1.93603587,-0.86255795,-0.64541513,-0.07282072,0.00000000,0.00000000,-1.83725131,-0.26632175,0.64347517,-0.64084220,-0.30163479,0.00000000,0.00000000
-1.22267723,-1.93364298,-0.85255802,-0.64571559,-0.04711770,0.00000000,0.00000000,-1.83913112,-0.26464942,0.64145970,-0.64634395,-0.30348250,0.00000000,0.00000000
-1.22472775,-1.92886794,-0.84211928,-0.64618111,-0.02387523,0.00000000,0.00000000,-1.84059000,-0.26192281,0.63969225,-0.65457755,-0.30866691,0.00000000,0.00000000
-1.22613430,-1.92041707,-0.83145612,-0.64661032,-0.01102387,0.00000000,0.00000000,-1.84201896,-0.25570995,0.63850254,-0.66451699,-0.31013748,0.00000000,0.00000000
-1.22740924,-1.90730071,-0.82077217,-0.64684540,-0.00150359,0.00000000,0.00000000,-1.84459770,-0.24374847,0.63784599,-0.67402387,-0.31028634,0.00000000,0.00000000
-1.22872233,-1.88978267,-0.80983275,-0.64655668,0.00709219,0.00000000,0.00000000,-1.84852839,-0.22577082,0.63750190,-0.68166721,-0.31940508,0.00000000,0.00000000
-1.23006094,-1.86811912,-0.79842687,-0.64479762,0.01642931,0.00000000,0.00000000,-1.85337639,-0.20179787,0.63736379,-0.68637031,-0.32429090,0.00000000,0.00000000
