l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-1.30470276,-2.00274777,-0.58570725,-0.80910593,0.14512703,0.00000000,0.00000000,-1.95430911,-0.56695670,0.76204371,-0.83212054,0.09022833,0.00000000,0.00000000
-1.30358624,-2.00439835,-0.58305144,-0.80993474,0.16144463,0.00000000,0.00000000,-1.95319307,-0.56838387,0.76178616,-0.83282131,0.09859660,0.00000000,0.00000000
-1.30127621,-2.00738573,-0.57844061,-0.81133729,0.17448381,0.00000000,0.00000000,-1.95120263,-0.57099169,0.76137078,-0.83401620,0.10784639,0.00000000,0.00000000
-1.29981339,-2.00927758,-0.57433301,-0.81247056,0.18643811,0.00000000,0.00000000,-1.94982231,-0.57237643,0.76099879,-0.83440155,0.11146573,0.00000000,0.00000000
-1.29925752,-2.00999045,-0.57127166,-0.81318295,0.19804959,0.00000000,0.00000000,-1.94919074,-0.57254124,0.76068932,-0.83405131,0.11840838,0.00000000,0.00000000
-1.29886317,-2.01027608,-0.56886840,-0.81363642,0.21152034,0.00000000,0.00000000,-1.94894135,-0.57234359,0.76043659,-0.83343369,0.12183463,0.00000000,0.00000000
-1.29833293,-2.01040936,-0.56686217,-0.81394714,0.22693525,0.00000000,0.00000000,-1.94883561,-0.57212156,0.76018518,-0.83271742,0.12303776,0.00000000,0.00000000
-1.29762316,-2.01051760,-0.56514382,-0.81418896,0.24173477,0.00000000,0.00000000,-1.94879735,-0.57196730,0.75992584,-0.83201289,0.12421472,0.00000000,0.00000000
-1.29688358,-2.01052141,-0.56369936,-0.81439364,0.25405079,0.00000000,0.00000000,-1.94882345,-0.57172322,0.75966698,-0.83132339,0.12243213,0.00000000,0.00000000
-1.29624641,-2.01034832,-0.56249470,-0.81459087,0.26507235,0.00000000,0.00000000,-1.94892085,-0.57141477,0.75941664,-0.83060122,0.12176674,0.00000000,0.00000000
-1.29579282,-2.01006269,-0.56149620,-0.81484079,0.27575192,0.00000000,0.00000000,-1.94906390,-0.57124740,0.75917596,-0.82987487,0.11688941,0.00000000,0.00000000
-1.29548550,-2.00974822,-0.56062335,-0.81518120,0.28757104,0.00000000,0.00000000,-1.94911897,-0.57136303,0.75899100,-0.82924849,0.11585154,0.00000000,0.00000000
-1.29525220,-2.00946736,-0.55976546,-0.81560546,0.29623622,0.00000000,0.00000000,-1.94906127,-0.57175756,0.75888890,-0.82878143,0.11180800,0.00000000,0.00000000
-1.29506183,-2.00931263,-0.55888069,-0.81608444,0.30515489,0.00000000,0.00000000,-1.94900954,-0.57235646,0.75884032,-0.82841796,0.10597375,0.00000000,0.00000000
-1.29501629,-2.00924277,-0.55801266,-0.81660801,0.31138006,0.00000000,0.00000000,-1.94897616,-0.57293874,0.75879645,-0.82808834,0.09550732,0.00000000,0.00000000
-1.29513180,-2.00915575,-0.55720353,-0.81715226,0.31214583,0.00000000,0.00000000,-1.94882858,-0.57341808,0.75876230,-0.82781011,0.08748767,0.00000000,0.00000000
-1.29534304,-2.00893927,-0.55648661,-0.81765592,0.31078586,0.00000000,0.00000000,-1.94856691,-0.57373816,0.75871873,-0.82754850,0.07842994,0.00000000,0.00000000
-1.29559529,-2.00856900,-0.55587178,-0.81810671,0.30930343,0.00000000,0.00000000,-1.94827509,-0.57389444,0.75865740,-0.82724893,0.06921685,0.00000000,0.00000000
