l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-0.05530746,-2.16366291,-0.71451861,-0.24402632,-0.02369435,0.00000000,0.00000000,-0.02560906,2.16487980,0.83478367,0.26062953,-0.05207523,0.00000000,0.00000000
-0.05645591,-2.16422462,-0.71503311,-0.24643296,-0.02918661,0.00000000,0.00000000,-0.02938252,2.16605234,0.83375901,0.26552880,-0.04987282,0.00000000,0.00000000
-0.05879830,-2.16569042,-0.71601194,-0.25102589,-0.03654489,0.00000000,0.00000000,-0.03446010,2.16879988,0.83238238,0.27372262,-0.04611595,0.00000000,0.00000000
-0.06285052,-2.16615367,-0.71768290,-0.25662538,-0.04014163,0.00000000,0.00000000,-0.03740843,2.16992235,0.83245623,0.28050029,-0.04635291,0.00000000,0.00000000
-0.06717356,-2.16669011,-0.71969914,-0.26278916,-0.04148555,0.00000000,0.00000000,-0.03727372,2.17000008,0.83412671,0.28567389,-0.04682725,0.00000000,0.00000000
-0.07094852,-2.16712689,-0.72196120,-0.26867437,-0.04284503,0.00000000,0.00000000,-0.03426087,2.16999269,0.83718085,0.28981042,-0.04580266,0.00000000,0.00000000
-0.07425847,-2.16686511,-0.72459012,-0.27357960,-0.04494230,0.00000000,0.00000000,-0.02824938,2.16987991,0.84158975,0.29328713,-0.04678284,0.00000000,0.00000000
-0.07694754,-2.16642141,-0.72759694,-0.27740300,-0.04198474,0.00000000,0.00000000,-0.01971161,2.16950536,0.84693253,0.29729924,-0.04527529,0.00000000,0.00000000
-0.07949819,-2.16520572,-0.73122269,-0.27997553,-0.04069482,0.00000000,0.00000000,-0.01005934,2.16893959,0.85239035,0.30350772,-0.04396634,0.00000000,0.00000000
-0.08257620,-2.16361547,-0.73549443,-0.28230563,-0.04348514,0.00000000,0.00000000,-0.00012402,2.16838527,0.85748780,0.31269357,-0.04135975,0.00000000,0.00000000
-0.08603293,-2.16115427,-0.74031639,-0.28465319,-0.04646650,0.00000000,0.00000000,0.00948790,2.16831923,0.86191887,0.32481253,-0.03894219,0.00000000,0.00000000
-0.08922014,-2.15869021,-0.74542582,-0.28734958,-0.04773301,0.00000000,0.00000000,0.01866594,2.16840649,0.86560661,0.33917359,-0.03661206,0.00000000,0.00000000
-0.09193356,-2.15653038,-0.75074190,-0.29026473,-0.05168195,0.00000000,0.00000000,0.02697223,2.16884708,0.86835206,0.35507199,-0.03440016,0.00000000,0.00000000
-0.09417368,-2.15389442,-0.75635344,-0.29273784,-0.05166688,0.00000000,0.00000000,0.03312359,2.16903424,0.86996979,0.37095156,-0.03102044,0.00000000,0.00000000
-0.09589260,-2.15065837,-0.76226127,-0.29460141,-0.04812218,0.00000000,0.00000000,0.03679545,2.16904449,0.87030333,0.38636839,-0.02408241,0.00000000,0.00000000
-0.09708412,-2.14782739,-0.76834112,-0.29646048,-0.04056743,0.00000000,0.00000000,0.03829305,2.16966391,0.86923337,0.40171003,-0.01502018,0.00000000,0.00000000
-0.09802659,-2.14522028,-0.77465904,-0.29854926,-0.03476590,0.00000000,0.00000000,0.03786402,2.16997528,0.86708862,0.41631466,-0.00338532,0.00000000,0.00000000
-0.09886283,-2.14287639,-0.78123683,-0.30134842,-0.02966405,0.00000000,0.00000000,0.03554324,2.17000008,0.86421525,0.42945683,0.00652421,0.00000000,0.00000000
-0.09948254,-2.14029574,-0.78811097,-0.30492136,-0.02823512,0.00000000,0.00000000,0.03159788,2.17000008,0.86114591,0.44029462,0.01605931,0.00000000,0.00000000
-0.09917745,-2.13744879,-0.79515696,-0.30882004,-0.02151718,0.00000000,0.00000000,0.02626278,2.17000008,0.85826743,0.44820943,0.02599414,0.00000000,0.00000000
-0.09719143,-2.13523483,-0.80211478,-0.31298926,-0.01770303,0.00000000,0.00000000,0.02071847,2.17000008,0.85609162,0.45336938,0.03886645,0.00000000,0.00000000
-0.09323903,-2.13347292,-0.80894226,-0.31707743,-0.01775395,0.00000000,0.00000000,0.01668156,2.17000008,0.85546088,0.45602423,0.04202620,0.00000000,0.00000000
