l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
0.27286267,-2.01232886,-1.42670441,-1.67714918,0.09352467,0.00000000,0.00000000,-0.37382358,2.01418471,1.18863988,1.08442843,0.00075234,0.00000000,0.00000000
0.25932214,-2.01042295,-1.43074358,-1.69818342,0.10829876,0.00000000,0.00000000,-0.40197358,2.00878334,1.17719364,1.07722676,-0.00972388,0.00000000,0.00000000
0.24154350,-2.00958943,-1.42784429,-1.72853947,0.12579161,0.00000000,0.00000000,-0.43594897,1.99923837,1.15859258,1.06701410,-0.01635914,0.00000000,0.00000000
0.22642766,-2.01021624,-1.41425860,-1.75832093,0.14547086,0.00000000,0.00000000,-0.46739435,1.98331249,1.13450325,1.05259585,-0.02498941,0.00000000,0.00000000
0.21532635,-2.01228881,-1.39162779,-1.78390300,0.15652907,0.00000000,0.00000000,-0.49255919,1.95970023,1.10588920,1.03229547,-0.03678173,0.00000000,0.00000000
0.20935974,-2.01602554,-1.36298454,-1.80286062,0.16976790,0.00000000,0.00000000,-0.51061267,1.92772555,1.07350051,1.00444996,-0.04607489,0.00000000,0.00000000
0.21107222,-2.02059436,-1.33170080,-1.81166422,0.18168874,0.00000000,0.00000000,-0.52656579,1.88610685,1.03670859,0.96586502,-0.04751007,0.00000000,0.00000000
0.22173564,-2.02436566,-1.30135274,-1.80779922,0.19252299,0.00000000,0.00000000,-0.54757679,1.83210039,0.99472344,0.91285962,-0.05225113,0.00000000,0.00000000
0.23945065,-2.02629805,-1.27537560,-1.79152405,0.20613268,0.00000000,0.00000000,-0.58039707,1.76114917,0.94747573,0.84212101,-0.05637870,0.00000000,0.00000000
0.26126403,-2.02672243,-1.25554395,-1.76454639,0.21421108,0.00000000,0.00000000,-0.63142979,1.66748333,0.89539516,0.75095046,-0.06202367,0.00000000,0.00000000
0.28928426,-2.02511716,-1.24221432,-1.72507679,0.22020109,0.00000000,0.00000000,-0.70699322,1.54725289,0.83845872,0.63801646,-0.06492900,0.00000000,0.00000000
0.32433575,-2.01897264,-1.23850763,-1.67526531,0.22955887,0.00000000,0.00000000,-0.81122917,1.40043402,0.77650392,0.50357151,-0.06965709,0.00000000,0.00000000
0.35956374,-2.00777864,-1.24694753,-1.63221669,0.24122685,0.00000000,0.00000000,-0.94431049,1.23057556,0.70981520,0.34929335,-0.07863101,0.00000000,0.00000000
0.39725992,-1.99201190,-1.26349235,-1.60585713,0.25654435,0.00000000,0.00000000,-1.10161757,1.04380941,0.63942504,0.17856182,-0.08717062,0.00000000,0.00000000
0.43641999,-1.97378266,-1.28593814,-1.60017228,0.27081409,0.00000000,0.00000000,-1.27484226,0.84843910,0.56725281,-0.00334487,-0.09338181,0.00000000,0.00000000
0.47399303,-1.95449865,-1.31529939,-1.61152685,0.27714476,0.00000000,0.00000000,-1.45380223,0.65390462,0.49603796,-0.18987288,-0.11320722,0.00000000,0.00000000
