l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
0.01822189,-2.17000008,-1.24346268,-0.47519740,-0.03459736,0.00000000,0.00000000,-0.21221669,2.17000008,1.38920498,0.55009389,0.04765650,0.00000000,0.00000000
0.05028588,-2.16987443,-1.24957216,-0.44751918,-0.05667700,0.00000000,0.00000000,-0.20740460,2.17000008,1.39629424,0.56122297,0.05595935,0.00000000,0.00000000
0.08870877,-2.16786957,-1.26272225,-0.41114646,-0.07611181,0.00000000,0.00000000,-0.19978417,2.17000008,1.40809798,0.58026516,0.06959783,0.00000000,0.00000000
0.12109878,-2.16055989,-1.27974498,-0.37812638,-0.10449468,0.00000000,0.00000000,-0.18751337,2.17000008,1.42064691,0.60818517,0.08613066,0.00000000,0.00000000
0.14562185,-2.15097904,-1.29629421,-0.35339844,-0.11791336,0.00000000,0.00000000,-0.17067428,2.17000008,1.43047321,0.64494342,0.10284442,0.00000000,0.00000000
0.16532636,-2.14512348,-1.31017768,-0.33695844,-0.13661423,0.00000000,0.00000000,-0.15265462,2.16996861,1.43670475,0.68639004,0.12627111,0.00000000,0.00000000
0.18359128,-2.14101243,-1.32173777,-0.32660583,-0.16139498,0.00000000,0.00000000,-0.13406298,2.16954923,1.44220388,0.72841847,0.14695324,0.00000000,0.00000000
0.20146433,-2.13924623,-1.33079648,-0.32113090,-0.18584901,0.00000000,0.00000000,-0.11504189,2.16890335,1.44622052,0.77024293,0.17005761,0.00000000,0.00000000
0.21911968,-2.14203334,-1.33677113,-0.31956407,-0.21330488,0.00000000,0.00000000,-0.09766845,2.16954947,1.44391251,0.81202370,0.18045020,0.00000000,0.00000000
0.23961626,-2.14709044,-1.33977044,-0.31851959,-0.23582210,0.00000000,0.00000000,-0.08116104,2.16996884,1.43704927,0.85168248,0.19738452,0.00000000,0.00000000
0.26233757,-2.15388489,-1.33968055,-0.31726766,-0.25949070,0.00000000,0.00000000,-0.06650989,2.17000008,1.42806089,0.88410538,0.20361139,0.00000000,0.00000000
0.28164786,-2.16068029,-1.33677995,-0.31802294,-0.28032970,0.00000000,0.00000000,-0.05388024,2.17000008,1.41802740,0.90697992,0.21215495,0.00000000,0.00000000
0.29479295,-2.16601372,-1.33118546,-0.32163098,-0.28209227,0.00000000,0.00000000,-0.04117333,2.17000008,1.40844345,0.92170841,0.23231857,0.00000000,0.00000000
0.30381694,-2.16912508,-1.32287014,-0.32715955,-0.28433657,0.00000000,0.00000000,-0.02981632,2.17000008,1.39933062,0.92836577,0.24870558,0.00000000,0.00000000
0.31103972,-2.16994858,-1.31256235,-0.33323398,-0.29584980,0.00000000,0.00000000,-0.02208619,2.17000008,1.39192927,0.92550141,0.26300213,0.00000000,0.00000000
0.31774613,-2.17000008,-1.30149961,-0.33864987,-0.29332128,0.00000000,0.00000000,-0.02021839,2.17000008,1.38739026,0.91137570,0.27123919,0.00000000,0.00000000
0.32222506,-2.17000008,-1.29102707,-0.34410992,-0.30799374,0.00000000,0.00000000,-0.02217149,2.17000008,1.38506854,0.88871235,0.27916074,0.00000000,0.00000000
0.32274106,-2.17000008,-1.28268588,-0.35029340,-0.33170843,0.00000000,0.00000000,-0.02788283,2.17000008,1.38429904,0.85766727,0.28050792,0.00000000,0.00000000
0.31814682,-2.17000008,-1.27807140,-0.35746622,-0.35099134,0.00000000,0.00000000,-0.03790709,2.16998911,1.38362122,0.81825101,0.28062290,0.00000000,0.00000000
0.30783308,-2.17000008,-1.27836609,-0.36599261,-0.37724063,0.00000000,0.00000000,-0.05351679,2.16984296,1.38067579,0.77146471,0.28052104,0.00000000,0.00000000
0.29235265,-2.17000008,-1.28406465,-0.37602347,-0.39500010,0.00000000,0.00000000,-0.07471419,2.16961765,1.37395942,0.72035366,0.29618445,0.00000000,0.00000000
0.27171233,-2.17000008,-1.29469228,-0.38859046,-0.41952562,0.00000000,0.00000000,-0.09921812,2.16984296,1.36413121,0.66840804,0.32098463,0.00000000,0.00000000
0.24543250,-2.16996002,-1.31009996,-0.40411875,-0.44386962,0.00000000,0.00000000,-0.12123987,2.16998911,1.35730433,0.61690277,0.35233524,0.00000000,0.00000000
0.21326031,-2.16929245,-1.32846975,-0.42383474,-0.46641153,0.00000000,0.00000000,-0.14069764,2.17000008,1.35325778,0.56636149,0.38034084,0.00000000,0.00000000
0.17602706,-2.16645122,-1.34664488,-0.44955981,-0.49907038,0.00000000,0.00000000,-0.16098414,2.17000008,1.34858274,0.51847827,0.40016454,0.00000000,0.00000000
0.13470176,-2.16129494,-1.36186516,-0.48296544,-0.52969694,0.00000000,0.00000000,-0.18349715,2.17000008,1.34089804,0.47662792,0.41340801,0.00000000,0.00000000
0.09089730,-2.15622401,-1.37275410,-0.52386051,-0.56610006,0.00000000,0.00000000,-0.20845443,2.17000008,1.32986045,0.44285625,0.41621587,0.00000000,0.00000000
0.04664835,-2.15350056,-1.37842369,-0.57038182,-0.60728866,0.00000000,0.00000000,-0.23569712,2.17000008,1.31667686,0.41700619,0.41498992,0.00000000,0.00000000
0.00462206,-2.15474200,-1.37798929,-0.61923248,-0.65632629,0.00000000,0.00000000,-0.26430312,2.17000008,1.30339372,0.39764801,0.40333399,0.00000000,0.00000000
-0.03260695,-2.15959716,-1.37135577,-0.66674972,-0.68654484,0.00000000,0.00000000,-0.29184651,2.17000008,1.29255891,0.38289061,0.38296989,0.00000000,0.00000000
-0.06496723,-2.16492701,-1.35995424,-0.71099538,-0.69939059,0.00000000,0.00000000,-0.31510529,2.17000008,1.28597474,0.37114906,0.35635084,0.00000000,0.00000000
-0.09173225,-2.16847706,-1.34487367,-0.75046790,-0.69613546,0.00000000,0.00000000,-0.33165562,2.17000008,1.28401923,0.36164349,0.32548073,0.00000000,0.00000000
-0.11152326,-2.16977620,-1.32685423,-0.78361595,-0.69304478,0.00000000,0.00000000,-0.34094170,2.17000008,1.28619719,0.35389450,0.29048464,0.00000000,0.00000000
-0.12424804,-2.16998959,-1.30772877,-0.80930430,-0.69574136,0.00000000,0.00000000,-0.34404802,2.17000008,1.29153633,0.34740126,0.24106242,0.00000000,0.00000000
-0.12948249,-2.17000008,-1.28919101,-0.82602346,-0.71033835,0.00000000,0.00000000,-0.34245345,2.17000008,1.29907274,0.34169266,0.18893898,0.00000000,0.00000000
-0.12687482,-2.17000008,-1.27225924,-0.83267242,-0.73939294,0.00000000,0.00000000,-0.33717921,2.17000008,1.30754697,0.33722651,0.13187967,0.00000000,0.00000000
-0.11688140,-2.17000008,-1.25742233,-0.82898068,-0.76773506,0.00000000,0.00000000,-0.32964286,2.17000008,1.31552005,0.33480775,0.08377034,0.00000000,0.00000000
-0.09963276,-2.17000008,-1.24479365,-0.81396449,-0.78900176,0.00000000,0.00000000,-0.32077739,2.17000008,1.32215214,0.33501080,0.03439470,0.00000000,0.00000000
-0.07595161,-2.17000008,-1.23444808,-0.78710133,-0.81133407,0.00000000,0.00000000,-0.30567983,2.17000008,1.32747281,0.34132773,-0.00475820,0.00000000,0.00000000
-0.04723860,-2.17000008,-1.22668386,-0.74900120,-0.82426882,0.00000000,0.00000000,-0.28077462,2.17000008,1.33207250,0.35690495,-0.03621116,0.00000000,0.00000000
-0.01540744,-2.17000008,-1.22204065,-0.70228148,-0.83195871,0.00000000,0.00000000,-0.25451893,2.17000008,1.33697569,0.37674737,-0.06085695,0.00000000,0.00000000
0.01872050,-2.17000008,-1.22119951,-0.64991820,-0.84463960,0.00000000,0.00000000,-0.23098035,2.17000008,1.34278595,0.39866024,-0.07750172,0.00000000,0.00000000
0.04887426,-2.17000008,-1.22587550,-0.59763896,-0.87178904,0.00000000,0.00000000,-0.20812528,2.17000008,1.34989250,0.42402264,-0.08734319,0.00000000,0.00000000
0.06743987,-2.17000008,-1.23727524,-0.55169910,-0.91685778,0.00000000,0.00000000,-0.18386094,2.17000008,1.35877430,0.45362833,-0.09318579,0.00000000,0.00000000
0.09422999,-2.16998029,-1.25099576,-0.50440216,-0.95572871,0.00000000,0.00000000,-0.15601239,2.17000008,1.37080050,0.48712087,-0.10674459,0.00000000,0.00000000
0.12845023,-2.16965413,-1.26587093,-0.45843059,-0.98692089,0.00000000,0.00000000,-0.12415482,2.16999125,1.38623297,0.52369958,-0.10665870,0.00000000,0.00000000
0.15554322,-2.16835833,-1.28139257,-0.42402607,-1.00824893,0.00000000,0.00000000,-0.09030491,2.16981840,1.40197206,0.56368518,-0.11138294,0.00000000,0.00000000
0.17878675,-2.16669106,-1.29364562,-0.40117377,-1.02013648,0.00000000,0.00000000,-0.05698446,2.16885829,1.41432238,0.60740340,-0.11035866,0.00000000,0.00000000
0.20255136,-2.16685963,-1.30133390,-0.38641602,-1.02665293,0.00000000,0.00000000,-0.02623647,2.16744852,1.42050254,0.65430123,-0.09952603,0.00000000,0.00000000
0.22665182,-2.16865110,-1.30470204,-0.37775892,-1.04672444,0.00000000,0.00000000,0.00083360,2.16803932,1.41894662,0.70297861,-0.08746422,0.00000000,0.00000000
0.25199503,-2.16975832,-1.30445492,-0.37225983,-1.06408465,0.00000000,0.00000000,0.02409953,2.16947222,1.41094923,0.75096744,-0.08233327,0.00000000,0.00000000
0.27769879,-2.16998744,-1.30168784,-0.36813489,-1.08705938,0.00000000,0.00000000,0.04306727,2.16996717,1.39979100,0.79398513,-0.07622828,0.00000000,0.00000000
0.29924083,-2.17000008,-1.29721606,-0.36667392,-1.10226798,0.00000000,0.00000000,0.05835874,2.17000008,1.38812304,0.82967705,-0.06438573,0.00000000,0.00000000
0.31447038,-2.17000008,-1.29142070,-0.36835852,-1.11637282,0.00000000,0.00000000,0.07095662,2.17000008,1.37690341,0.85772324,-0.05609117,0.00000000,0.00000000
0.32422969,-2.17000008,-1.28454292,-0.37202120,-1.12360740,0.00000000,0.00000000,0.08061334,2.17000008,1.36662745,0.87708426,-0.04976234,0.00000000,0.00000000
0.33014107,-2.17000008,-1.27715433,-0.37594491,-1.12110686,0.00000000,0.00000000,0.08607685,2.17000008,1.35786724,0.88616955,-0.04506172,0.00000000,0.00000000
0.33343661,-2.17000008,-1.26929855,-0.37936324,-1.13687921,0.00000000,0.00000000,0.08678955,2.17000008,1.35105407,0.88439566,-0.05575695,0.00000000,0.00000000
0.33709380,-2.17000008,-1.26066077,-0.38076192,-1.14504933,0.00000000,0.00000000,0.08262597,2.17000008,1.34747696,0.87084472,-0.07161815,0.00000000,0.00000000
0.34122962,-2.17000008,-1.25118947,-0.38050491,-1.14583325,0.00000000,0.00000000,0.07315949,2.17000008,1.34735012,0.84465206,-0.08276457,0.00000000,0.00000000
0.34065959,-2.17000008,-1.24189043,-0.38194859,-1.13779211,0.00000000,0.00000000,0.05753179,2.17000008,1.34870136,0.80568880,-0.09796417,0.00000000,0.00000000
0.33186558,-2.17000008,-1.23523867,-0.38666257,-1.13757002,0.00000000,0.00000000,0.03611200,2.17000008,1.35016811,0.75549448,-0.12826873,0.00000000,0.00000000
0.31605518,-2.17000008,-1.23366249,-0.39390308,-1.12865257,0.00000000,0.00000000,0.01060480,2.17000008,1.35154629,0.69811916,-0.14632358,0.00000000,0.00000000
0.29440251,-2.17000008,-1.23864114,-0.40356380,-1.11314714,0.00000000,0.00000000,-0.01795792,2.17000008,1.35304332,0.63825798,-0.14994346,0.00000000,0.00000000
0.26588869,-2.17000008,-1.25044441,-0.41651070,-1.09943974,0.00000000,0.00000000,-0.04989237,2.17000008,1.35413492,0.57855135,-0.15877718,0.00000000,0.00000000
0.22943757,-2.16987514,-1.26707578,-0.43462759,-1.08676350,0.00000000,0.00000000,-0.08319936,2.16999054,1.35384130,0.52202314,-0.16320521,0.00000000,0.00000000
0.18587478,-2.16810060,-1.28463745,-0.46009281,-1.06413996,0.00000000,0.00000000,-0.11470821,2.16986585,1.35123706,0.47277018,-0.16676950,0.00000000,0.00000000
0.13830659,-2.16399956,-1.30060780,-0.49293020,-1.03314018,0.00000000,0.00000000,-0.14484206,2.16967344,1.34523749,0.43294299,-0.15843402,0.00000000,0.00000000
0.08936228,-2.16215563,-1.31191015,-0.53346616,-0.99664140,0.00000000,0.00000000,-0.17590415,2.16986585,1.33423913,0.40303344,-0.16184355,0.00000000,0.00000000
0.04078563,-2.16011620,-1.31857562,-0.57905596,-0.95544076,0.00000000,0.00000000,-0.20852675,2.16999102,1.31891847,0.38235053,-0.15491219,0.00000000,0.00000000
-0.00477781,-2.15972257,-1.31957972,-0.62633622,-0.91347724,0.00000000,0.00000000,-0.24286577,2.17000008,1.30056286,0.36956942,-0.15219627,0.00000000,0.00000000
-0.04455762,-2.16312933,-1.31398797,-0.67217350,-0.86688203,0.00000000,0.00000000,-0.27803257,2.17000008,1.28166819,0.36255535,-0.15248758,0.00000000,0.00000000
-0.07755615,-2.16726637,-1.30299544,-0.71288162,-0.82361311,0.00000000,0.00000000,-0.30984873,2.17000008,1.26618397,0.35895064,-0.15000990,0.00000000,0.00000000
-0.10476292,-2.16946697,-1.28860652,-0.74669617,-0.76666206,0.00000000,0.00000000,-0.33324108,2.17000008,1.25729978,0.35725611,-0.13293414,0.00000000,0.00000000
-0.12649567,-2.16997051,-1.27268231,-0.77272922,-0.71145099,0.00000000,0.00000000,-0.34593669,2.17000008,1.25591266,0.35667029,-0.11152577,0.00000000,0.00000000
-0.14188150,-2.17000008,-1.25648308,-0.78994668,-0.64110577,0.00000000,0.00000000,-0.34948191,2.17000008,1.26126623,0.35608822,-0.08879701,0.00000000,0.00000000
-0.15074860,-2.17000008,-1.24151373,-0.79767513,-0.56735271,0.00000000,0.00000000,-0.34699166,2.17000008,1.27178514,0.35481399,-0.04674798,0.00000000,0.00000000
-0.15272151,-2.17000008,-1.22861826,-0.79528922,-0.49544248,0.00000000,0.00000000,-0.33977857,2.17000008,1.28536773,0.35425371,-0.01920625,0.00000000,0.00000000
-0.14676380,-2.17000008,-1.21814501,-0.78176403,-0.44541726,0.00000000,0.00000000,-0.32862571,2.17000008,1.29966736,0.35667968,0.01993546,0.00000000,0.00000000
-0.13454774,-2.17000008,-1.21102417,-0.75815910,-0.41459563,0.00000000,0.00000000,-0.31514260,2.17000008,1.31293273,0.36308327,0.04890547,0.00000000,0.00000000
-0.11550007,-2.17000008,-1.20676851,-0.72381788,-0.40366006,0.00000000,0.00000000,-0.29890129,2.17000008,1.32470322,0.37337646,0.08884665,0.00000000,0.00000000
-0.08917405,-2.17000008,-1.20512629,-0.67879701,-0.38630134,0.00000000,0.00000000,-0.27940887,2.17000008,1.33497250,0.38793129,0.14529243,0.00000000,0.00000000
-0.05723402,-2.17000008,-1.20560682,-0.62695080,-0.37930134,0.00000000,0.00000000,-0.25823721,2.17000008,1.34432566,0.40661466,0.20811798,0.00000000,0.00000000
-0.02051952,-2.17000008,-1.20886052,-0.57118809,-0.37775528,0.00000000,0.00000000,-0.23717639,2.17000008,1.35481727,0.42853969,0.24355038,0.00000000,0.00000000
0.01849700,-2.17000008,-1.21767378,-0.51357621,-0.38095281,0.00000000,0.00000000,-0.21560079,2.17000008,1.36810660,0.45466846,0.26835042,0.00000000,0.00000000
0.05413998,-2.16977811,-1.23318708,-0.45975015,-0.38629305,0.00000000,0.00000000,-0.19141026,2.17000008,1.38483548,0.48691490,0.27398708,0.00000000,0.00000000
0.08480558,-2.16638446,-1.25071573,-0.41754141,-0.39509791,0.00000000,0.00000000,-0.16370934,2.17000008,1.40457320,0.52534539,0.27015182,0.00000000,0.00000000
0.11299200,-2.15568161,-1.26744723,-0.38704112,-0.40840921,0.00000000,0.00000000,-0.13384676,2.17000008,1.42638230,0.56786007,0.25286946,0.00000000,0.00000000
0.14202370,-2.14495969,-1.28065848,-0.36602119,-0.44312683,0.00000000,0.00000000,-0.10247041,2.17000008,1.44651985,0.61396676,0.22230929,0.00000000,0.00000000
0.17291296,-2.14100575,-1.28883147,-0.35284895,-0.47104469,0.00000000,0.00000000,-0.06991280,2.17000008,1.46103716,0.66325265,0.19530503,0.00000000,0.00000000
0.20552568,-2.14204764,-1.29240084,-0.34470317,-0.48700389,0.00000000,0.00000000,-0.03712917,2.17000008,1.46913862,0.71273541,0.14868727,0.00000000,0.00000000
0.24116623,-2.14625716,-1.29159367,-0.33836129,-0.49412182,0.00000000,0.00000000,-0.00666904,2.17000008,1.47074640,0.75789630,0.09959524,0.00000000,0.00000000
0.28116491,-2.15273857,-1.28641224,-0.33166477,-0.50103801,0.00000000,0.00000000,0.01888996,2.17000008,1.46683967,0.79468656,0.05213590,0.00000000,0.00000000
0.32216176,-2.15958905,-1.27728963,-0.32551682,-0.51178569,0.00000000,0.00000000,0.04006315,2.17000008,1.45989656,0.82112134,-0.01499483,0.00000000,0.00000000
0.35689086,-2.16548634,-1.26474237,-0.32370123,-0.51913524,0.00000000,0.00000000,0.06086414,2.17000008,1.45248711,0.83758408,-0.08325705,0.00000000,0.00000000
0.38363099,-2.16901708,-1.24922764,-0.32687905,-0.52009165,0.00000000,0.00000000,0.08178255,2.17000008,1.44646716,0.84347206,-0.11790401,0.00000000,0.00000000
0.40357628,-2.16994286,-1.23181379,-0.33384603,-0.53361154,0.00000000,0.00000000,0.09638028,2.17000008,1.44105697,0.83725721,-0.14485653,0.00000000,0.00000000
0.41822815,-2.17000008,-1.21424651,-0.34270382,-0.54984772,0.00000000,0.00000000,0.10358332,2.17000008,1.43532908,0.82198006,-0.16266052,0.00000000,0.00000000
0.42862278,-2.17000008,-1.19825757,-0.35178912,-0.55363894,0.00000000,0.00000000,0.10361733,2.17000008,1.42942393,0.80011982,-0.18722482,0.00000000,0.00000000
0.43436250,-2.17000008,-1.18504190,-0.36066228,-0.55518270,0.00000000,0.00000000,0.09605350,2.17000008,1.42351747,0.77191156,-0.20702426,0.00000000,0.00000000
0.43369523,-2.17000008,-1.17568314,-0.36975068,-0.54134768,0.00000000,0.00000000,0.08101523,2.17000008,1.41663218,0.73730606,-0.22524324,0.00000000,0.00000000
0.42433545,-2.17000008,-1.17173505,-0.37954313,-0.52829719,0.00000000,0.00000000,0.06023525,2.17000008,1.40707695,0.69785339,-0.23718122,0.00000000,0.00000000
0.40627718,-2.17000008,-1.17467272,-0.38954267,-0.51711643,0.00000000,0.00000000,0.03552797,2.17000008,1.39445615,0.65560442,-0.23521788,0.00000000,0.00000000
0.38095132,-2.17000008,-1.18521380,-0.39931947,-0.50517040,0.00000000,0.00000000,0.00740095,2.16996002,1.37936103,0.61206412,-0.22356549,0.00000000,0.00000000
