l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-0.21912502,-2.17000008,-0.67995524,-0.31937996,-0.02759157,0.00000000,0.00000000,0.22179891,2.17000008,0.72932494,0.23234348,-0.01130713,0.00000000,0.00000000
-0.21833466,-2.17000008,-0.67923760,-0.31410909,-0.03950823,0.00000000,0.00000000,0.21880437,2.17000008,0.72976422,0.22657934,-0.02299789,0.00000000,0.00000000
-0.21660742,-2.16995192,-0.67767185,-0.30447915,-0.03524610,0.00000000,0.00000000,0.21240900,2.17000008,0.73038119,0.21629874,-0.03901461,0.00000000,0.00000000
-0.21245798,-2.16922235,-0.67514819,-0.28946814,-0.02794925,0.00000000,0.00000000,0.20106263,2.17000008,0.73104572,0.20102055,-0.05935444,0.00000000,0.00000000
-0.20642699,-2.16692853,-0.67145067,-0.27066323,-0.03021935,0.00000000,0.00000000,0.18628246,2.17000008,0.73186642,0.18196109,-0.08714017,0.00000000,0.00000000
-0.19952500,-2.16387320,-0.66612983,-0.25131297,-0.02424752,0.00000000,0.00000000,0.17127244,2.17000008,0.73301715,0.16237745,-0.11520703,0.00000000,0.00000000
-0.19118930,-2.16018724,-0.65885961,-0.23260026,-0.02924280,0.00000000,0.00000000,0.15759002,2.17000008,0.73467714,0.14405091,-0.14783511,0.00000000,0.00000000
-0.18123819,-2.15709448,-0.64931995,-0.21589345,-0.02577290,0.00000000,0.00000000,0.14561504,2.17000008,0.73682201,0.12838581,-0.18433739,0.00000000,0.00000000
-0.16997217,-2.15474010,-0.63740236,-0.20182745,-0.01675626,0.00000000,0.00000000,0.13582335,2.17000008,0.73943150,0.11630189,-0.23758039,0.00000000,0.00000000
-0.15791918,-2.15298676,-0.62312371,-0.19040288,0.01150585,0.00000000,0.00000000,0.12853526,2.17000008,0.74249452,0.10801772,-0.28568742,0.00000000,0.00000000
-0.14577177,-2.15178490,-0.60652679,-0.18140900,0.03411898,0.00000000,0.00000000,0.12377285,2.17000008,0.74596870,0.10328927,-0.30842707,0.00000000,0.00000000
-0.13429350,-2.15096736,-0.58766532,-0.17452110,0.05665858,0.00000000,0.00000000,0.12145113,2.17000008,0.74979472,0.10169421,-0.31752515,0.00000000,0.00000000
