l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-0.83975261,-0.70936519,-0.16287008,-1.77053058,0.05195767,0.00000000,0.00000000,-0.53741443,1.78241396,-1.03542328,-1.89735687,0.03250423,0.00000000,0.00000000
-0.83448315,-0.71011049,-0.16817753,-1.77017379,0.06191329,0.00000000,0.00000000,-0.53837228,1.78304088,-1.03300714,-1.89736533,0.04811231,0.00000000,0.00000000
-0.82446927,-0.71209860,-0.17875333,-1.76965988,0.07187583,0.00000000,0.00000000,-0.54068488,1.78464317,-1.02967083,-1.89786243,0.06257306,0.00000000,0.00000000
-0.80966991,-0.71559948,-0.19472124,-1.76857209,0.07699195,0.00000000,0.00000000,-0.54421693,1.78712559,-1.02535272,-1.89886808,0.07425589,0.00000000,0.00000000
-0.78987509,-0.72106558,-0.21603613,-1.76633203,0.08962391,0.00000000,0.00000000,-0.54884952,1.79041159,-1.01988935,-1.90003657,0.09024345,0.00000000,0.00000000
-0.76473695,-0.72945863,-0.24255447,-1.76241851,0.09540986,0.00000000,0.00000000,-0.55424291,1.79428113,-1.01322293,-1.90127015,0.11001385,0.00000000,0.00000000
-0.73435241,-0.74187297,-0.27460369,-1.75565994,0.11241388,0.00000000,0.00000000,-0.56003189,1.79854012,-1.00603592,-1.90280914,0.12829226,0.00000000,0.00000000
-0.69931847,-0.75898707,-0.31298667,-1.74483514,0.13622649,0.00000000,0.00000000,-0.56596655,1.80306518,-0.99908644,-1.90482974,0.13991201,0.00000000,0.00000000
-0.65983009,-0.78120494,-0.35801038,-1.72966444,0.14866070,0.00000000,0.00000000,-0.57171011,1.80760026,-0.99215239,-1.90722072,0.14903733,0.00000000,0.00000000
-0.61603016,-0.80893552,-0.40980873,-1.71067882,0.13829786,0.00000000,0.00000000,-0.57737011,1.81219530,-0.98528510,-1.90960920,0.15565823,0.00000000,0.00000000
-0.56826895,-0.84246331,-0.46856150,-1.68865991,0.12805729,0.00000000,0.00000000,-0.58305573,1.81687748,-0.97861117,-1.91173625,0.18178253,0.00000000,0.00000000
-0.51709497,-0.88189518,-0.53442848,-1.66449773,0.12846728,0.00000000,0.00000000,-0.58860970,1.82141042,-0.97207266,-1.91358197,0.22639531,0.00000000,0.00000000
-0.46313253,-0.92724240,-0.60736722,-1.63929427,0.14272159,0.00000000,0.00000000,-0.59390152,1.82577002,-0.96580410,-1.91507041,0.27551669,0.00000000,0.00000000
-0.40710562,-0.97833449,-0.68709481,-1.61429346,0.14933793,0.00000000,0.00000000,-0.59862548,1.82978380,-0.95985061,-1.91630673,0.31430435,0.00000000,0.00000000
