l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
0.08266623,-2.12607503,-0.99933839,-1.52663970,-0.08407977,0.00000000,0.00000000,-0.27239606,2.16687894,1.41267765,1.26460457,-0.03459185,0.00000000,0.00000000
0.08074716,-2.13168526,-0.99281961,-1.52012122,-0.10600530,0.00000000,0.00000000,-0.25528502,2.16900921,1.40195596,1.28255272,-0.04565931,0.00000000,0.00000000
0.07727411,-2.13935566,-0.98381871,-1.50514865,-0.12452310,0.00000000,0.00000000,-0.23071681,2.16992092,1.38495910,1.30079675,-0.04883439,0.00000000,0.00000000
0.07191607,-2.14715362,-0.97541183,-1.48051834,-0.15439428,0.00000000,0.00000000,-0.20531012,2.16999912,1.36612582,1.30736482,-0.04256996,0.00000000,0.00000000
0.06443519,-2.15403199,-0.96953595,-1.44574940,-0.18232030,0.00000000,0.00000000,-0.18163761,2.17000008,1.34910429,1.29721725,-0.03328796,0.00000000,0.00000000
0.05508458,-2.15959215,-0.96651024,-1.40071106,-0.21153864,0.00000000,0.00000000,-0.15873094,2.17000008,1.33571613,1.27008402,-0.02270063,0.00000000,0.00000000
0.04428864,-2.16406155,-0.96529222,-1.34605956,-0.23946153,0.00000000,0.00000000,-0.13405773,2.17000008,1.32644856,1.22782612,-0.01272425,0.00000000,0.00000000
0.03197173,-2.16756248,-0.96512645,-1.28391898,-0.26294827,0.00000000,0.00000000,-0.10889902,2.17000008,1.32055652,1.17148888,-0.00928653,0.00000000,0.00000000
0.01817374,-2.16949296,-0.96675867,-1.21720839,-0.27721965,0.00000000,0.00000000,-0.08737045,2.17000008,1.31638503,1.10393500,-0.00892317,0.00000000,0.00000000
0.00476231,-2.16997099,-0.97093457,-1.14733946,-0.29082823,0.00000000,0.00000000,-0.07000773,2.17000008,1.31396604,1.02996814,-0.01080909,0.00000000,0.00000000
-0.00606590,-2.17000008,-0.97808367,-1.07432115,-0.30438191,0.00000000,0.00000000,-0.05685140,2.17000008,1.31394243,0.95262760,-0.01064618,0.00000000,0.00000000
-0.01323660,-2.17000008,-0.98876923,-0.99802327,-0.31249332,0.00000000,0.00000000,-0.04795206,2.17000008,1.31697857,0.87364143,-0.00823033,0.00000000,0.00000000
-0.01678539,-2.17000008,-1.00362003,-0.91885889,-0.32998571,0.00000000,0.00000000,-0.04282793,2.17000008,1.32350028,0.79442590,-0.01373126,0.00000000,0.00000000
-0.01709267,-2.17000008,-1.02325082,-0.83783710,-0.34504515,0.00000000,0.00000000,-0.04493229,2.17000008,1.33294499,0.71456432,-0.01380299,0.00000000,0.00000000
-0.01407588,-2.17000008,-1.04784262,-0.75634271,-0.36486417,0.00000000,0.00000000,-0.05756931,2.17000008,1.34384501,0.63495159,-0.02619524,0.00000000,0.00000000
-0.00763963,-2.17000008,-1.07592213,-0.67676890,-0.37942767,0.00000000,0.00000000,-0.06805953,2.16998672,1.35528505,0.56496292,-0.05304923,0.00000000,0.00000000
0.00205599,-2.17000008,-1.10506654,-0.60214829,-0.38990009,0.00000000,0.00000000,-0.07897900,2.16977835,1.36466193,0.50307363,-0.08030067,0.00000000,0.00000000
0.01459594,-2.17000008,-1.13307357,-0.53523254,-0.40123862,0.00000000,0.00000000,-0.09380991,2.16904497,1.36941564,0.44778550,-0.11545003,0.00000000,0.00000000
0.02943577,-2.17000008,-1.15817666,-0.47806031,-0.41070583,0.00000000,0.00000000,-0.11139648,2.16831589,1.36828673,0.40036047,-0.15115766,0.00000000,0.00000000
0.04595541,-2.17000008,-1.17918956,-0.43170884,-0.42066136,0.00000000,0.00000000,-0.12974989,2.16866636,1.36124027,0.36199081,-0.18512359,0.00000000,0.00000000
0.06333452,-2.17000008,-1.19566059,-0.39629102,-0.43574089,0.00000000,0.00000000,-0.14727744,2.16961813,1.34901083,0.33323079,-0.21607202,0.00000000,0.00000000
0.08063608,-2.17000008,-1.20774508,-0.37113133,-0.44596484,0.00000000,0.00000000,-0.16312510,2.16997576,1.33282578,0.31374747,-0.23268697,0.00000000,0.00000000
0.09707345,-2.17000008,-1.21587121,-0.35497794,-0.44585931,0.00000000,0.00000000,-0.17689502,2.17000008,1.31420839,0.30245018,-0.24753173,0.00000000,0.00000000
0.11214063,-2.17000008,-1.22044599,-0.34623945,-0.43886465,0.00000000,0.00000000,-0.18836559,2.17000008,1.29457879,0.29795578,-0.26290318,0.00000000,0.00000000
0.12547225,-2.17000008,-1.22175920,-0.34329429,-0.42496821,0.00000000,0.00000000,-0.19731143,2.17000008,1.27511907,0.29893062,-0.25912857,0.00000000,0.00000000
0.13658074,-2.17000008,-1.22007132,-0.34482819,-0.40430918,0.00000000,0.00000000,-0.20332296,2.17000008,1.25693214,0.30417612,-0.25429451,0.00000000,0.00000000
0.14481319,-2.17000008,-1.21575677,-0.34992325,-0.37783843,0.00000000,0.00000000,-0.20583771,2.17000008,1.24112475,0.31263158,-0.24455337,0.00000000,0.00000000
0.14960703,-2.17000008,-1.20935059,-0.35789403,-0.34500909,0.00000000,0.00000000,-0.20444378,2.17000008,1.22870040,0.32339495,-0.23108795,0.00000000,0.00000000
0.15067667,-2.17000008,-1.20155334,-0.36809096,-0.32488593,0.00000000,0.00000000,-0.19911569,2.17000008,1.22041261,0.33578655,-0.22816890,0.00000000,0.00000000
0.14800167,-2.17000008,-1.19319320,-0.37982517,-0.30841872,0.00000000,0.00000000,-0.19022372,2.17000008,1.21670163,0.34939644,-0.21719430,0.00000000,0.00000000
0.14178152,-2.17000008,-1.18507814,-0.39241579,-0.30160570,0.00000000,0.00000000,-0.17843135,2.17000008,1.21769392,0.36407441,-0.21343870,0.00000000,0.00000000
0.13244264,-2.17000008,-1.17777717,-0.40529272,-0.29692450,0.00000000,0.00000000,-0.16445459,2.17000008,1.22322333,0.37996638,-0.20845175,0.00000000,0.00000000
0.12062592,-2.17000008,-1.17151785,-0.41803578,-0.29079148,0.00000000,0.00000000,-0.14842066,2.17000008,1.23285210,0.39783165,-0.20410192,0.00000000,0.00000000
0.10707366,-2.17000008,-1.16630149,-0.43029073,-0.27791083,0.00000000,0.00000000,-0.12971827,2.17000008,1.24582636,0.41917285,-0.21461190,0.00000000,0.00000000
0.09245097,-2.17000008,-1.16204214,-0.44172111,-0.27579364,0.00000000,0.00000000,-0.10974332,2.17000008,1.26086187,0.44432232,-0.22451472,0.00000000,0.00000000
0.07723494,-2.17000008,-1.15853298,-0.45207813,-0.27012107,0.00000000,0.00000000,-0.09264322,2.17000008,1.27633882,0.47096476,-0.23127373,0.00000000,0.00000000
0.06175470,-2.17000008,-1.15565717,-0.46102813,-0.26669553,0.00000000,0.00000000,-0.08404922,2.17000008,1.29073191,0.49492723,-0.25166336,0.00000000,0.00000000
0.04628731,-2.17000008,-1.15356719,-0.46802831,-0.28134638,0.00000000,0.00000000,-0.08845408,2.17000008,1.30262828,0.51316506,-0.27346697,0.00000000,0.00000000
0.03120019,-2.17000008,-1.15197694,-0.47286096,-0.31042960,0.00000000,0.00000000,-0.08909117,2.17000008,1.31284523,0.53479981,-0.28272191,0.00000000,0.00000000
0.01698685,-2.17000008,-1.15021873,-0.47566301,-0.36005214,0.00000000,0.00000000,-0.08593606,2.17000008,1.32246077,0.55588233,-0.29297325,0.00000000,0.00000000
0.00357633,-2.17000008,-1.14824903,-0.47669783,-0.39934748,0.00000000,0.00000000,-0.08431613,2.17000008,1.33058178,0.57061970,-0.30091399,0.00000000,0.00000000
-0.00913247,-2.17000008,-1.14618623,-0.47652227,-0.43548793,0.00000000,0.00000000,-0.08540244,2.17000008,1.33666897,0.57738167,-0.31096923,0.00000000,0.00000000
-0.02087496,-2.17000008,-1.14404058,-0.47586048,-0.46638069,0.00000000,0.00000000,-0.08849639,2.17000008,1.34083807,0.57629395,-0.31757021,0.00000000,0.00000000
-0.03102241,-2.17000008,-1.14172256,-0.47537079,-0.50040585,0.00000000,0.00000000,-0.08810880,2.17000008,1.34381723,0.57036644,-0.31057054,0.00000000,0.00000000
-0.03887121,-2.17000008,-1.13927555,-0.47549695,-0.52260607,0.00000000,0.00000000,-0.08084458,2.17000008,1.34663963,0.56089419,-0.30317619,0.00000000,0.00000000
-0.04385063,-2.17000008,-1.13698590,-0.47650942,-0.55505311,0.00000000,0.00000000,-0.08305024,2.17000008,1.34936535,0.53925180,-0.28455946,0.00000000,0.00000000
-0.04552841,-2.17000008,-1.13527834,-0.47861457,-0.59032059,0.00000000,0.00000000,-0.08881642,2.17000008,1.35355020,0.51139826,-0.26675671,0.00000000,0.00000000
-0.04371231,-2.17000008,-1.13498533,-0.48169696,-0.63377512,0.00000000,0.00000000,-0.09448174,2.17000008,1.36001480,0.48173898,-0.24505128,0.00000000,0.00000000
-0.03857725,-2.17000008,-1.13685822,-0.48567113,-0.67908865,0.00000000,0.00000000,-0.10214780,2.17000008,1.36899698,0.45046625,-0.21967196,0.00000000,0.00000000
-0.03072151,-2.17000008,-1.14156711,-0.49040082,-0.71674603,0.00000000,0.00000000,-0.11353782,2.17000008,1.38066995,0.41763839,-0.20665410,0.00000000,0.00000000
-0.02097905,-2.17000008,-1.14981771,-0.49544588,-0.74081469,0.00000000,0.00000000,-0.12936875,2.17000008,1.39490867,0.38405707,-0.21365489,0.00000000,0.00000000
-0.00984501,-2.17000008,-1.16178989,-0.50019008,-0.73692906,0.00000000,0.00000000,-0.14673711,2.17000008,1.41104317,0.35272264,-0.21769311,0.00000000,0.00000000
0.00265269,-2.17000008,-1.17684150,-0.50406760,-0.74186504,0.00000000,0.00000000,-0.16312724,2.17000008,1.42776668,0.32581908,-0.22582825,0.00000000,0.00000000
0.01620580,-2.17000008,-1.19419920,-0.50678438,-0.75447726,0.00000000,0.00000000,-0.17862786,2.16997433,1.44362354,0.30365589,-0.22908416,0.00000000,0.00000000
0.02991761,-2.17000008,-1.21322179,-0.50852156,-0.76783520,0.00000000,0.00000000,-0.19293998,2.16955471,1.45749748,0.28668129,-0.22207808,0.00000000,0.00000000
0.04297420,-2.17000008,-1.23326516,-0.50962490,-0.77420950,0.00000000,0.00000000,-0.20496197,2.16784024,1.46871185,0.27572563,-0.23001848,0.00000000,0.00000000
0.05498664,-2.17000008,-1.25365150,-0.51047736,-0.78571057,0.00000000,0.00000000,-0.21397790,2.16462111,1.47697723,0.27135408,-0.23647678,0.00000000,0.00000000
0.06576410,-2.17000008,-1.27368093,-0.51161003,-0.79455429,0.00000000,0.00000000,-0.22007316,2.16036344,1.48222423,0.27374116,-0.24820158,0.00000000,0.00000000
0.07531140,-2.16999888,-1.29254353,-0.51346433,-0.79086912,0.00000000,0.00000000,-0.22396211,2.15534258,1.48441660,0.28286079,-0.26166743,0.00000000,0.00000000
0.08428937,-2.16995406,-1.30911863,-0.51585609,-0.78802824,0.00000000,0.00000000,-0.22665617,2.14985442,1.48342848,0.29872721,-0.27971825,0.00000000,0.00000000
0.09357397,-2.16947508,-1.32195401,-0.51826948,-0.77525759,0.00000000,0.00000000,-0.22901016,2.14432216,1.47905064,0.32170042,-0.29338831,0.00000000,0.00000000
0.10218392,-2.16811132,-1.32974315,-0.52124983,-0.76730239,0.00000000,0.00000000,-0.23129165,2.13885355,1.47109497,0.35278744,-0.29267418,0.00000000,0.00000000
0.10749172,-2.16687679,-1.33169901,-0.52627379,-0.76323098,0.00000000,0.00000000,-0.23366611,2.13271713,1.45951378,0.39342296,-0.28615460,0.00000000,0.00000000
0.10847911,-2.16676593,-1.32731533,-0.53387213,-0.75602871,0.00000000,0.00000000,-0.23713353,2.12449694,1.44438434,0.44501063,-0.28287405,0.00000000,0.00000000
0.10649501,-2.16790819,-1.31625521,-0.54323804,-0.74442029,0.00000000,0.00000000,-0.24362901,2.11236930,1.42588735,0.50889623,-0.27365434,0.00000000,0.00000000
0.10388511,-2.16937971,-1.29852879,-0.55294919,-0.73174781,0.00000000,0.00000000,-0.25572345,2.09372807,1.40449345,0.58640844,-0.27017817,0.00000000,0.00000000
0.10286034,-2.16993856,-1.27486002,-0.56136674,-0.71272165,0.00000000,0.00000000,-0.27673867,2.06405640,1.38150096,0.67839569,-0.26636958,0.00000000,0.00000000
0.10448839,-2.16999817,-1.24701107,-0.56705910,-0.68877703,0.00000000,0.00000000,-0.31123239,2.01540852,1.35995591,0.78410387,-0.25320220,0.00000000,0.00000000
0.10776198,-2.17000008,-1.21742296,-0.56970030,-0.67641521,0.00000000,0.00000000,-0.36546060,1.93592048,1.34539235,0.89946812,-0.24402305,0.00000000,0.00000000
0.10946756,-2.17000008,-1.18846440,-0.57052445,-0.65700340,0.00000000,0.00000000,-0.44696146,1.81266797,1.34489715,1.01586437,-0.23317151,0.00000000,0.00000000
0.10593228,-2.17000008,-1.16204488,-0.57121521,-0.65694505,0.00000000,0.00000000,-0.56191629,1.63763738,1.36393607,1.12149847,-0.23090896,0.00000000,0.00000000
0.09580579,-2.17000008,-1.13953567,-0.57224268,-0.64183837,0.00000000,0.00000000,-0.71181625,1.41174197,1.40347910,1.20467532,-0.23253469,0.00000000,0.00000000
0.08097364,-2.17000008,-1.12145877,-0.57280922,-0.63297045,0.00000000,0.00000000,-0.89212573,1.14458990,1.45940614,1.25595999,-0.22229688,0.00000000,0.00000000
0.06470569,-2.17000008,-1.10754430,-0.57211012,-0.62632489,0.00000000,0.00000000,-1.09272218,0.85221446,1.52351749,1.26917434,-0.21362276,0.00000000,0.00000000
0.04928978,-2.17000008,-1.09741569,-0.57003593,-0.61116451,0.00000000,0.00000000,-1.29966784,0.55432189,1.58520925,1.24206579,-0.20137076,0.00000000,0.00000000
0.03552399,-2.17000008,-1.09102488,-0.56644380,-0.60707939,0.00000000,0.00000000,-1.49802649,0.27126068,1.63353932,1.17660737,-0.19756688,0.00000000,0.00000000
0.02341098,-2.17000008,-1.08844650,-0.56080639,-0.60969585,0.00000000,0.00000000,-1.67504120,0.02100168,1.65929639,1.07873905,-0.18480532,0.00000000,0.00000000
0.01273230,-2.17000008,-1.08966923,-0.55258495,-0.59117073,0.00000000,0.00000000,-1.82285178,-0.18349434,1.65667939,0.95775157,-0.17078941,0.00000000,0.00000000
0.00323266,-2.17000008,-1.09432566,-0.54178518,-0.57142866,0.00000000,0.00000000,-1.93998969,-0.33642653,1.62445045,0.82538700,-0.16467486,0.00000000,0.00000000
-0.00557335,-2.17000008,-1.10133374,-0.52931583,-0.56044674,0.00000000,0.00000000,-2.03073192,-0.44032121,1.56616712,0.69390452,-0.16427536,0.00000000,0.00000000
-0.01441621,-2.16998887,-1.10898268,-0.51651067,-0.54860437,0.00000000,0.00000000,-2.10213757,-0.50447744,1.48855460,0.57289833,-0.16330600,0.00000000,0.00000000
-0.02385877,-2.16980839,-1.11558461,-0.50425237,-0.54233086,0.00000000,0.00000000,-2.16084456,-0.54057920,1.39858758,0.46712676,-0.15878215,0.00000000,0.00000000
-0.03407338,-2.16909266,-1.11985588,-0.49282670,-0.51144022,0.00000000,0.00000000,-2.21181107,-0.55884665,1.30158818,0.37714830,-0.14461124,0.00000000,0.00000000
-0.04476213,-2.16795301,-1.12086296,-0.48221391,-0.48588493,0.00000000,0.00000000,-2.25848627,-0.56659472,1.20098126,0.30128604,-0.12460098,0.00000000,0.00000000
-0.05538433,-2.16703773,-1.11797762,-0.47239867,-0.45802557,0.00000000,0.00000000,-2.30308366,-0.56836760,1.09877801,0.23710850,-0.11365786,0.00000000,0.00000000
-0.06550832,-2.16661406,-1.11089802,-0.46350253,-0.42709792,0.00000000,0.00000000,-2.34664083,-0.56660128,0.99611455,0.18213290,-0.10561662,0.00000000,0.00000000
-0.07496572,-2.16659212,-1.09962225,-0.45574683,-0.40465498,0.00000000,0.00000000,-2.38913012,-0.56233251,0.89366126,0.13413955,-0.10807605,0.00000000,0.00000000
-0.08382792,-2.16676831,-1.08438861,-0.44937402,-0.38528627,0.00000000,0.00000000,-2.42977238,-0.55573457,0.79187751,0.09136147,-0.10771897,0.00000000,0.00000000
-0.09228112,-2.16690540,-1.06559086,-0.44451851,-0.36302468,0.00000000,0.00000000,-2.46749640,-0.54652309,0.69114006,0.05257667,-0.11776274,0.00000000,0.00000000
-0.10051039,-2.16680789,-1.04365230,-0.44103584,-0.35148793,0.00000000,0.00000000,-2.50139022,-0.53454912,0.59179080,0.01697256,-0.12225704,0.00000000,0.00000000
-0.10856400,-2.16641331,-1.01887178,-0.43838015,-0.34551984,0.00000000,0.00000000,-2.53089762,-0.52049714,0.49413511,-0.01623646,-0.13177407,0.00000000,0.00000000
-0.11617278,-2.16580677,-0.99134618,-0.43564028,-0.33246168,0.00000000,0.00000000,-2.55567169,-0.50598347,0.39843139,-0.04807543,-0.14496396,0.00000000,0.00000000
-0.12322879,-2.16533661,-0.96110195,-0.43223649,-0.31875905,0.00000000,0.00000000,-2.57540655,-0.49281886,0.30490401,-0.07964739,-0.15438263,0.00000000,0.00000000
-0.13085827,-2.16591263,-0.92828763,-0.42941186,-0.30257839,0.00000000,0.00000000,-2.59003663,-0.48202860,0.21375628,-0.11170261,-0.16003864,0.00000000,0.00000000
-0.14037658,-2.16783500,-0.89314717,-0.43011856,-0.28563735,0.00000000,0.00000000,-2.60019398,-0.47306281,0.12514350,-0.14423530,-0.16468203,0.00000000,0.00000000
-0.15013842,-2.16949272,-0.85589743,-0.43579656,-0.26594323,0.00000000,0.00000000,-2.60712790,-0.46419108,0.03913096,-0.17673576,-0.17570966,0.00000000,0.00000000
-0.15691900,-2.16997004,-0.81720132,-0.44521582,-0.22995377,0.00000000,0.00000000,-2.61178255,-0.45407599,-0.04427994,-0.20904161,-0.18671180,0.00000000,0.00000000
-0.16223645,-2.17000008,-0.77880287,-0.45748290,-0.19983672,0.00000000,0.00000000,-2.61394572,-0.44237429,-0.12504324,-0.24157836,-0.20221053,0.00000000,0.00000000
-0.16876984,-2.17000008,-0.74248940,-0.47189215,-0.17294651,0.00000000,0.00000000,-2.61235666,-0.42943925,-0.20300685,-0.27508080,-0.20444040,0.00000000,0.00000000
-0.17773291,-2.17000008,-0.70945257,-0.48752511,-0.14172418,0.00000000,0.00000000,-2.60550451,-0.41583997,-0.27796212,-0.31031710,-0.20001630,0.00000000,0.00000000
-0.18952678,-2.17000008,-0.68034726,-0.50368381,-0.10282076,0.00000000,0.00000000,-2.59224844,-0.40192077,-0.34973502,-0.34793264,-0.18780398,0.00000000,0.00000000
-0.20412317,-2.17000008,-0.65541250,-0.51996517,-0.06643218,0.00000000,0.00000000,-2.57192612,-0.38760746,-0.41824493,-0.38841450,-0.17938569,0.00000000,0.00000000
