l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-2.95095062,0.09688837,0.58342963,-0.56900519,0.00529780,0.00000000,0.00000000,-3.00999999,0.02511274,0.14644758,0.29093400,0.02927458,0.00000000,0.00000000
-2.95021367,0.09694537,0.58340019,-0.56825763,0.00497987,0.00000000,0.00000000,-3.00999999,0.02554596,0.14584495,0.29141748,0.03086597,0.00000000,0.00000000
-2.94915199,0.09697154,0.58354408,-0.56695771,0.02359939,0.00000000,0.00000000,-3.00999999,0.02602066,0.14478017,0.29214323,0.03253210,0.00000000,0.00000000
-2.94860959,0.09695607,0.58422053,-0.56548673,0.04151840,0.00000000,0.00000000,-3.00999999,0.02614161,0.14337100,0.29285756,0.04301490,0.00000000,0.00000000
-2.94939470,0.09695252,0.58572590,-0.56431013,0.04238311,0.00000000,0.00000000,-3.00999999,0.02569629,0.14176020,0.29339716,0.05252030,0.00000000,0.00000000
-2.95162439,0.09701896,0.58805728,-0.56364363,0.04610656,0.00000000,0.00000000,-3.00999999,0.02468215,0.14017989,0.29373547,0.06568793,0.00000000,0.00000000
-2.95488095,0.09715766,0.59097582,-0.56345516,0.06836637,0.00000000,0.00000000,-3.00999999,0.02321746,0.13893789,0.29392228,0.07677385,0.00000000,0.00000000
-2.95861769,0.09732001,0.59415638,-0.56359667,0.08713261,0.00000000,0.00000000,-3.00999999,0.02141543,0.13837439,0.29397994,0.07120996,0.00000000,0.00000000
-2.96231937,0.09739767,0.59725428,-0.56388563,0.09636123,0.00000000,0.00000000,-3.00999999,0.01936995,0.13883880,0.29388458,0.08015138,0.00000000,0.00000000
-2.96559811,0.09724910,0.60000443,-0.56420034,0.09313031,0.00000000,0.00000000,-3.00999999,0.01721811,0.14064224,0.29361171,0.08567490,0.00000000,0.00000000
-2.96825457,0.09689692,0.60232556,-0.56446826,0.06474306,0.00000000,0.00000000,-3.00999999,0.01507095,0.14401621,0.29312256,0.10061419,0.00000000,0.00000000
-2.97020364,0.09641799,0.60423493,-0.56465596,0.02078279,0.00000000,0.00000000,-3.00999999,0.01307542,0.14912847,0.29241231,0.10141315,0.00000000,0.00000000
-2.97140455,0.09581662,0.60574967,-0.56475157,-0.00432596,0.00000000,0.00000000,-3.00999999,0.01145576,0.15611991,0.29154322,0.11397174,0.00000000,0.00000000
-2.97193098,0.09503902,0.60691160,-0.56478775,-0.02553678,0.00000000,0.00000000,-3.00999999,0.01041783,0.16510682,0.29054472,0.15405032,0.00000000,0.00000000
-2.97199321,0.09412841,0.60783440,-0.56480759,-0.04762616,0.00000000,0.00000000,-3.00999999,0.00999791,0.17620775,0.28928408,0.16547655,0.00000000,0.00000000
-2.97179866,0.09318149,0.60862851,-0.56484550,-0.07179289,0.00000000,0.00000000,-3.00999999,0.01020964,0.18963069,0.28757745,0.18575026,0.00000000,0.00000000
-2.97145915,0.09221169,0.60933650,-0.56497407,-0.10114902,0.00000000,0.00000000,-3.00999999,0.01115644,0.20569430,0.28529733,0.19510174,0.00000000,0.00000000
-2.97107720,0.09118440,0.61002171,-0.56535465,-0.12089653,0.00000000,0.00000000,-3.00999999,0.01296661,0.22476278,0.28234494,0.20379813,0.00000000,0.00000000
-2.97081995,0.09030667,0.61091983,-0.56614417,-0.14168109,0.00000000,0.00000000,-3.00999999,0.01555841,0.24719325,0.27853745,0.21218170,0.00000000,0.00000000
-2.97087002,0.08998787,0.61241138,-0.56746906,-0.14962332,0.00000000,0.00000000,-3.00998640,0.01867676,0.27334720,0.27362531,0.23488013,0.00000000,0.00000000
-2.97121215,0.09049554,0.61477441,-0.56945860,-0.15569960,0.00000000,0.00000000,-3.00975800,0.02217145,0.30363777,0.26741120,0.25529411,0.00000000,0.00000000
-2.97158241,0.09184887,0.61805761,-0.57226086,-0.17763560,0.00000000,0.00000000,-3.00875998,0.02609519,0.33852881,0.25976104,0.23381269,0.00000000,0.00000000
-2.97172618,0.09397601,0.62224638,-0.57610303,-0.18458295,0.00000000,0.00000000,-3.00673914,0.03053380,0.37845543,0.25050688,0.23769586,0.00000000,0.00000000
-2.97144198,0.09684741,0.62738454,-0.58126551,-0.18517895,0.00000000,0.00000000,-3.00408435,0.03537348,0.42377201,0.23940682,0.24085614,0.00000000,0.00000000
-2.97060847,0.10041721,0.63359648,-0.58812988,-0.18460256,0.00000000,0.00000000,-3.00134826,0.04049437,0.47471619,0.22627112,0.25710937,0.00000000,0.00000000
-2.96910334,0.10477219,0.64110136,-0.59707481,-0.18465093,0.00000000,0.00000000,-2.99910188,0.04575928,0.53141630,0.21097986,0.26829070,0.00000000,0.00000000
-2.96694207,0.11035518,0.65033418,-0.60848194,-0.17875659,0.00000000,0.00000000,-2.99784851,0.05074823,0.59387589,0.19324315,0.27160776,0.00000000,0.00000000
-2.96413398,0.11821239,0.66193807,-0.62259573,-0.16098726,0.00000000,0.00000000,-2.99806523,0.05479695,0.66195732,0.17262422,0.23995982,0.00000000,0.00000000
-2.96013761,0.13080013,0.67673224,-0.63881332,-0.15757810,0.00000000,0.00000000,-3.00011539,0.05746929,0.73532999,0.14886419,0.18991104,0.00000000,0.00000000
-2.95373058,0.15152043,0.69552141,-0.65528631,-0.13698716,0.00000000,0.00000000,-3.00367403,0.05878062,0.81340629,0.12185990,0.15428327,0.00000000,0.00000000
-2.94505310,0.17861715,0.71801382,-0.67265952,-0.14811864,0.00000000,0.00000000,-3.00729895,0.05889168,0.89537179,0.09128273,0.11454360,0.00000000,0.00000000
-2.93599534,0.20483533,0.74262565,-0.69651955,-0.16471469,0.00000000,0.00000000,-3.00943041,0.05765796,0.98030466,0.05639884,0.07235224,0.00000000,0.00000000
-2.92662668,0.22851451,0.76835275,-0.72998643,-0.18458420,0.00000000,0.00000000,-3.00996709,0.05353664,1.06720757,0.01457567,0.03956677,0.00000000,0.00000000
