l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
0.10290083,-2.17000008,-1.23218524,-0.54879332,0.03738445,0.00000000,0.00000000,-0.06388487,2.17000008,1.18398845,0.48082238,0.14247927,0.00000000,0.00000000
0.10296615,-2.17000008,-1.23294675,-0.54875737,0.04679357,0.00000000,0.00000000,-0.06374550,2.17000008,1.18528390,0.48073116,0.16733877,0.00000000,0.00000000
0.10304944,-2.17000008,-1.23462749,-0.54856688,0.05796454,0.00000000,0.00000000,-0.06357092,2.17000008,1.18786085,0.48042849,0.19354939,0.00000000,0.00000000
0.10319707,-2.17000008,-1.23733342,-0.54817683,0.07168105,0.00000000,0.00000000,-0.06349844,2.17000008,1.19175124,0.47980604,0.22375114,0.00000000,0.00000000
0.10344292,-2.17000008,-1.24117780,-0.54754376,0.08575386,0.00000000,0.00000000,-0.06353420,2.17000008,1.19690740,0.47887042,0.25326851,0.00000000,0.00000000
0.10377486,-2.17000008,-1.24635124,-0.54655123,0.09903729,0.00000000,0.00000000,-0.06358613,2.17000008,1.20318127,0.47772747,0.27909437,0.00000000,0.00000000
0.10420898,-2.17000008,-1.25276005,-0.54527009,0.10134914,0.00000000,0.00000000,-0.06361151,2.17000008,1.21036005,0.47647926,0.30149156,0.00000000,0.00000000
0.10470098,-2.17000008,-1.26003754,-0.54406327,0.10122291,0.00000000,0.00000000,-0.06369563,2.17000008,1.21814823,0.47520822,0.31443620,0.00000000,0.00000000
0.10514919,-2.17000008,-1.26784086,-0.54332960,0.08921087,0.00000000,0.00000000,-0.06399424,2.17000008,1.22615218,0.47402707,0.31606686,0.00000000,0.00000000
0.10556969,-2.17000008,-1.27574992,-0.54330117,0.07724736,0.00000000,0.00000000,-0.06468362,2.17000008,1.23399687,0.47302568,0.31119904,0.00000000,0.00000000
0.10606905,-2.17000008,-1.28329325,-0.54393685,0.06950448,0.00000000,0.00000000,-0.06576218,2.17000008,1.24136603,0.47233990,0.30839002,0.00000000,0.00000000
0.10676533,-2.17000008,-1.29024136,-0.54497349,0.05642299,0.00000000,0.00000000,-0.06716217,2.17000008,1.24811864,0.47199577,0.29921305,0.00000000,0.00000000
0.10772943,-2.17000008,-1.29653382,-0.54623955,0.02928179,0.00000000,0.00000000,-0.06882760,2.17000008,1.25431025,0.47187442,0.28867659,0.00000000,0.00000000
0.10904191,-2.17000008,-1.30204880,-0.54777896,-0.00436232,0.00000000,0.00000000,-0.07067898,2.17000008,1.26005578,0.47185022,0.27181309,0.00000000,0.00000000
0.11080240,-2.17000008,-1.30664396,-0.54968923,-0.03753783,0.00000000,0.00000000,-0.07263107,2.17000008,1.26542759,0.47186249,0.26233357,0.00000000,0.00000000
0.11304315,-2.17000008,-1.31031573,-0.55196768,-0.06857397,0.00000000,0.00000000,-0.07461460,2.17000008,1.27043581,0.47191867,0.24946088,0.00000000,0.00000000
0.11569820,-2.17000008,-1.31325471,-0.55448496,-0.10935247,0.00000000,0.00000000,-0.07659950,2.17000008,1.27504742,0.47206986,0.23494059,0.00000000,0.00000000
0.11867178,-2.17000008,-1.31578958,-0.55703938,-0.14604297,0.00000000,0.00000000,-0.07860453,2.17000008,1.27921593,0.47238255,0.22964504,0.00000000,0.00000000
0.12189963,-2.17000008,-1.31831145,-0.55941492,-0.16799535,0.00000000,0.00000000,-0.08064324,2.17000008,1.28296041,0.47289455,0.22213775,0.00000000,0.00000000
0.12533253,-2.17000008,-1.32123935,-0.56140661,-0.18302298,0.00000000,0.00000000,-0.08266126,2.17000008,1.28643322,0.47357625,0.20653442,0.00000000,0.00000000
0.12887520,-2.17000008,-1.32503903,-0.56281573,-0.19863223,0.00000000,0.00000000,-0.08457420,2.17000008,1.28992283,0.47430116,0.20295319,0.00000000,0.00000000
0.13233341,-2.17000008,-1.33025002,-0.56343502,-0.20366929,0.00000000,0.00000000,-0.08630461,2.17000008,1.29380906,0.47485510,0.21227241,0.00000000,0.00000000
