l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
0.43208233,-2.17000008,-1.58190632,-1.91473985,-0.00725011,0.00000000,0.00000000,-3.00999999,-0.58499515,1.33565664,-1.50439894,0.08935117,0.00000000,0.00000000
0.42538139,-2.17000008,-1.58272517,-1.91952956,-0.01086389,0.00000000,0.00000000,-3.00999999,-0.58417988,1.33737516,-1.51011753,0.10642697,0.00000000,0.00000000
0.41407731,-2.17000008,-1.58381104,-1.92657566,-0.01000449,0.00000000,0.00000000,-3.00999999,-0.58263779,1.34049284,-1.52049506,0.12561113,0.00000000,0.00000000
0.39976388,-2.17000008,-1.58472085,-1.93382263,-0.00703452,0.00000000,0.00000000,-3.00999999,-0.58037490,1.34476221,-1.53460765,0.14590453,0.00000000,0.00000000
0.38320440,-2.17000008,-1.58531308,-1.94032991,-0.00253170,0.00000000,0.00000000,-3.00999999,-0.57736027,1.35000432,-1.55160475,0.16729443,0.00000000,0.00000000
0.36462250,-2.17000008,-1.58562601,-1.94583333,0.00611372,0.00000000,0.00000000,-3.00999999,-0.57355088,1.35614491,-1.57083547,0.18450597,0.00000000,0.00000000
0.34413829,-2.17000008,-1.58577192,-1.95018542,0.01519541,0.00000000,0.00000000,-3.00999999,-0.56890696,1.36320865,-1.59182060,0.20106836,0.00000000,0.00000000
0.32190934,-2.17000008,-1.58586693,-1.95318580,0.02959546,0.00000000,0.00000000,-3.00999999,-0.56340748,1.37127829,-1.61417890,0.21974161,0.00000000,0.00000000
0.29805464,-2.17000008,-1.58570266,-1.95475209,0.04034606,0.00000000,0.00000000,-3.00999999,-0.55713248,1.38035452,-1.63756406,0.23445624,0.00000000,0.00000000
0.27262902,-2.17000008,-1.58433855,-1.95505428,0.04790215,0.00000000,0.00000000,-3.00999999,-0.55035686,1.39018834,-1.66164267,0.25185943,0.00000000,0.00000000
0.24565272,-2.17000008,-1.58071887,-1.95429873,0.04851807,0.00000000,0.00000000,-3.00999999,-0.54341048,1.40043879,-1.68609595,0.27024275,0.00000000,0.00000000
0.21703520,-2.16997838,-1.57497954,-1.95240867,0.05126853,0.00000000,0.00000000,-3.00999999,-0.53639436,1.41108441,-1.71065629,0.28234714,0.00000000,0.00000000
0.18668163,-2.16961813,-1.56784356,-1.94911766,0.05336746,0.00000000,0.00000000,-3.00999999,-0.52923924,1.42230368,-1.73516285,0.28594309,0.00000000,0.00000000
0.15452933,-2.16809297,-1.55953956,-1.94422185,0.05451793,0.00000000,0.00000000,-3.00999999,-0.52188528,1.43415475,-1.75948930,0.28004152,0.00000000,0.00000000
0.12045737,-2.16504169,-1.54986465,-1.93759739,0.05362126,0.00000000,0.00000000,-3.00999999,-0.51428497,1.44657815,-1.78347266,0.27649656,0.00000000,0.00000000
0.08428679,-2.16077924,-1.53853846,-1.92905450,0.05010075,0.00000000,0.00000000,-3.00999999,-0.50636345,1.45949554,-1.80691671,0.27468091,0.00000000,0.00000000
0.04581697,-2.15568900,-1.52531826,-1.91826916,0.05228625,0.00000000,0.00000000,-3.00999665,-0.49801403,1.47283232,-1.82960141,0.27565810,0.00000000,0.00000000
0.00481999,-2.15001345,-1.50998962,-1.90479636,0.05497672,0.00000000,0.00000000,-3.00985646,-0.48913255,1.48647821,-1.85124373,0.27855200,0.00000000,0.00000000
-0.03893113,-2.14390206,-1.49231255,-1.88802612,0.05372072,0.00000000,0.00000000,-3.00826621,-0.47964337,1.50025105,-1.87142098,0.28726977,0.00000000,0.00000000
-0.08560714,-2.13749027,-1.47194088,-1.86711478,0.05892280,0.00000000,0.00000000,-3.00256062,-0.46948886,1.51391196,-1.88965774,0.28673792,0.00000000,0.00000000
-0.13529922,-2.13093257,-1.44835877,-1.84097230,0.06034993,0.00000000,0.00000000,-2.99244785,-0.45863375,1.52717638,-1.90572309,0.28432462,0.00000000,0.00000000
-0.18798049,-2.12437868,-1.42088842,-1.80823660,0.06044905,0.00000000,0.00000000,-2.97850084,-0.44707265,1.53969836,-1.91967690,0.28740340,0.00000000,0.00000000
-0.24344030,-2.11795092,-1.38873065,-1.76726902,0.05140698,0.00000000,0.00000000,-2.96103263,-0.43483108,1.55109179,-1.93170214,0.28998068,0.00000000,0.00000000
-0.30121726,-2.11172628,-1.35098779,-1.71621573,0.03790000,0.00000000,0.00000000,-2.94024348,-0.42199352,1.56094992,-1.94197261,0.29465699,0.00000000,0.00000000
-0.36053836,-2.10571671,-1.30668068,-1.65312016,0.02388088,0.00000000,0.00000000,-2.91630387,-0.40873832,1.56886816,-1.95059311,0.29453421,0.00000000,0.00000000
-0.42031848,-2.09987688,-1.25480914,-1.57609844,0.00520728,0.00000000,0.00000000,-2.88936329,-0.39532346,1.57449675,-1.95758820,0.30393016,0.00000000,0.00000000
-0.47919825,-2.09410405,-1.19445169,-1.48352766,-0.01517883,0.00000000,0.00000000,-2.85955739,-0.38205296,1.57757759,-1.96291983,0.31123888,0.00000000,0.00000000
-0.53558755,-2.08824468,-1.12486219,-1.37419367,-0.03930542,0.00000000,0.00000000,-2.82703471,-0.36927882,1.57793999,-1.96654212,0.31617880,0.00000000,0.00000000
-0.58776087,-2.08211517,-1.04554844,-1.24738371,-0.05700171,0.00000000,0.00000000,-2.79201794,-0.35742271,1.57545209,-1.96844101,0.32788590,0.00000000,0.00000000
-0.63397521,-2.07547975,-0.95634133,-1.10292077,-0.07601535,0.00000000,0.00000000,-2.75482726,-0.34696814,1.57001698,-1.96866941,0.33874777,0.00000000,0.00000000
-0.67256343,-2.06797481,-0.85746062,-0.94115925,-0.08695554,0.00000000,0.00000000,-2.71585631,-0.33843687,1.56159616,-1.96739852,0.34504852,0.00000000,0.00000000
