l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
0.29391041,-2.00987911,-1.43810201,-0.69637483,-0.00500394,0.00000000,0.00000000,-0.29470623,2.10263181,1.88430834,0.78602606,0.04033820,0.00000000,0.00000000
0.29331380,-2.01161861,-1.43784583,-0.69683468,-0.01907879,0.00000000,0.00000000,-0.29466057,2.10345030,1.88371241,0.78578752,0.08080908,0.00000000,0.00000000
0.29265067,-2.01396871,-1.43761683,-0.69724017,-0.04080528,0.00000000,0.00000000,-0.29458323,2.10436797,1.88292038,0.78542215,0.11456700,0.00000000,0.00000000
0.29233649,-2.01616526,-1.43759894,-0.69722438,-0.06520575,0.00000000,0.00000000,-0.29452413,2.10501122,1.88217485,0.78505075,0.14588095,0.00000000,0.00000000
0.29250643,-2.01780152,-1.43790829,-0.69667667,-0.08831605,0.00000000,0.00000000,-0.29448795,2.10527706,1.88158262,0.78477067,0.17570339,0.00000000,0.00000000
0.29313263,-2.01871228,-1.43862092,-0.69560814,-0.10775850,0.00000000,0.00000000,-0.29445499,2.10517812,1.88118994,0.78457409,0.16938347,0.00000000,0.00000000
0.29411554,-2.01885724,-1.43978775,-0.69407731,-0.11876158,0.00000000,0.00000000,-0.29438853,2.10474300,1.88102067,0.78437108,0.16737445,0.00000000,0.00000000
0.29529130,-2.01827741,-1.44142509,-0.69219428,-0.12775876,0.00000000,0.00000000,-0.29422507,2.10398245,1.88107276,0.78406709,0.13766822,0.00000000,0.00000000
0.29650855,-2.01709986,-1.44348955,-0.69006360,-0.10232150,0.00000000,0.00000000,-0.29392564,2.10292602,1.88130283,0.78360701,0.12631020,0.00000000,0.00000000
0.29771742,-2.01550198,-1.44587255,-0.68773013,-0.05377150,0.00000000,0.00000000,-0.29347214,2.10163021,1.88164115,0.78301340,0.11578636,0.00000000,0.00000000
0.29894173,-2.01368976,-1.44840181,-0.68523866,-0.00343581,0.00000000,0.00000000,-0.29279742,2.10017991,1.88200700,0.78239220,0.11307159,0.00000000,0.00000000
0.30018452,-2.01188970,-1.45086646,-0.68269420,0.05592357,0.00000000,0.00000000,-0.29180512,2.09871697,1.88231313,0.78185952,0.14393465,0.00000000,0.00000000
0.30141485,-2.01029754,-1.45308483,-0.68020236,0.09359722,0.00000000,0.00000000,-0.29048553,2.09742117,1.88246298,0.78145790,0.15744695,0.00000000,0.00000000
