l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
0.35995907,-2.17000008,-1.67908192,-0.71276057,-0.01753550,0.00000000,0.00000000,-0.25344500,2.15233517,1.85327983,0.71593285,-0.01855281,0.00000000,0.00000000
0.36010671,-2.17000008,-1.67923784,-0.71269655,-0.03302194,0.00000000,0.00000000,-0.25333905,2.15282035,1.85301602,0.71597511,-0.01669370,0.00000000,0.00000000
0.36030176,-2.17000008,-1.67952454,-0.71263307,-0.04160547,0.00000000,0.00000000,-0.25315991,2.15325117,1.85273802,0.71596831,-0.02844970,0.00000000,0.00000000
0.36047104,-2.17000008,-1.67985153,-0.71262664,-0.04768387,0.00000000,0.00000000,-0.25288960,2.15359211,1.85245931,0.71589792,-0.03996844,0.00000000,0.00000000
0.36059919,-2.17000008,-1.68011951,-0.71270877,-0.04969170,0.00000000,0.00000000,-0.25253937,2.15383148,1.85218394,0.71575618,-0.04335625,0.00000000,0.00000000
0.36067718,-2.17000008,-1.68025017,-0.71290779,-0.05092604,0.00000000,0.00000000,-0.25212118,2.15392399,1.85193455,0.71553671,-0.04725064,0.00000000,0.00000000
0.36077216,-2.17000008,-1.68019700,-0.71319324,-0.05174793,0.00000000,0.00000000,-0.25167185,2.15380073,1.85175002,0.71523046,-0.04821708,0.00000000,0.00000000
0.36096573,-2.17000008,-1.68002701,-0.71350569,-0.05276253,0.00000000,0.00000000,-0.25122175,2.15350986,1.85162055,0.71485227,-0.04387939,0.00000000,0.00000000
0.36125490,-2.17000008,-1.67991710,-0.71383011,-0.04574626,0.00000000,0.00000000,-0.25073016,2.15304589,1.85155296,0.71444237,-0.03793705,0.00000000,0.00000000
0.36164615,-2.17000008,-1.68007112,-0.71415150,-0.04090866,0.00000000,0.00000000,-0.25019324,2.15231514,1.85159802,0.71402907,-0.03487490,0.00000000,0.00000000
0.36213127,-2.17000008,-1.68061543,-0.71446979,-0.04076194,0.00000000,0.00000000,-0.24964091,2.15138912,1.85173070,0.71364754,-0.02844251,0.00000000,0.00000000
0.36264014,-2.17000008,-1.68156779,-0.71481746,-0.03970875,0.00000000,0.00000000,-0.24908125,2.15050220,1.85184312,0.71334708,-0.00654036,0.00000000,0.00000000
0.36312276,-2.17000008,-1.68292868,-0.71520323,-0.02124534,0.00000000,0.00000000,-0.24856356,2.14953685,1.85198867,0.71310341,0.02463401,0.00000000,0.00000000
0.36352345,-2.17000008,-1.68459570,-0.71562636,-0.00908220,0.00000000,0.00000000,-0.24811079,2.14842582,1.85219717,0.71287394,0.05185079,0.00000000,0.00000000
0.36372194,-2.17000008,-1.68627083,-0.71612203,0.00780950,0.00000000,0.00000000,-0.24759267,2.14759278,1.85226440,0.71269453,0.07977460,0.00000000,0.00000000
0.36372313,-2.17000008,-1.68776274,-0.71666640,0.01419513,0.00000000,0.00000000,-0.24697983,2.14701867,1.85219312,0.71253806,0.12347654,0.00000000,0.00000000
0.36356118,-2.17000008,-1.68898654,-0.71722496,0.01393793,0.00000000,0.00000000,-0.24626702,2.14660764,1.85202157,0.71239448,0.16881989,0.00000000,0.00000000
0.36324582,-2.17000008,-1.68993056,-0.71778083,0.01375746,0.00000000,0.00000000,-0.24545401,2.14632940,1.85176098,0.71227759,0.19876200,0.00000000,0.00000000
0.36276993,-2.17000008,-1.69062710,-0.71833217,0.00740146,0.00000000,0.00000000,-0.24457017,2.14614892,1.85142887,0.71219546,0.23618770,0.00000000,0.00000000
0.36214781,-2.17000008,-1.69109237,-0.71886939,-0.00151587,0.00000000,0.00000000,-0.24365664,2.14606094,1.85103416,0.71214801,0.26681346,0.00000000,0.00000000
0.36144799,-2.17000008,-1.69131279,-0.71935487,-0.00541953,0.00000000,0.00000000,-0.24274623,2.14605141,1.85059702,0.71211880,0.29074812,0.00000000,0.00000000
0.36075249,-2.17000008,-1.69128859,-0.71974432,-0.00391351,0.00000000,0.00000000,-0.24186569,2.14604211,1.85017359,0.71207094,0.31060416,0.00000000,0.00000000
0.36010611,-2.17000008,-1.69107616,-0.72000897,-0.00969397,0.00000000,0.00000000,-0.24103861,2.14595795,1.84981799,0.71196926,0.32978249,0.00000000,0.00000000
0.35953203,-2.17000008,-1.69077039,-0.72013050,-0.00835440,0.00000000,0.00000000,-0.24029550,2.14579415,1.84954894,0.71179342,0.35029432,0.00000000,0.00000000
0.35904893,-2.17000008,-1.69044518,-0.72009969,0.00358634,0.00000000,0.00000000,-0.23966424,2.14558816,1.84936559,0.71153480,0.35921147,0.00000000,0.00000000
0.35866135,-2.17000008,-1.69013500,-0.71992344,0.00371984,0.00000000,0.00000000,-0.23915552,2.14537311,1.84927189,0.71118724,0.37168148,0.00000000,0.00000000
0.35836923,-2.17000008,-1.68985188,-0.71961606,0.01341378,0.00000000,0.00000000,-0.23876958,2.14515901,1.84928370,0.71074039,0.38120112,0.00000000,0.00000000
0.35814661,-2.17000008,-1.68960166,-0.71920747,0.02028516,0.00000000,0.00000000,-0.23847108,2.14497375,1.84940004,0.71019268,0.38021711,0.00000000,0.00000000
0.35795608,-2.17000008,-1.68940485,-0.71873170,0.03213386,0.00000000,0.00000000,-0.23820110,2.14486480,1.84959817,0.70955247,0.37608057,0.00000000,0.00000000
0.35774300,-2.17000008,-1.68930423,-0.71823537,0.04864642,0.00000000,0.00000000,-0.23787747,2.14483762,1.84985685,0.70883447,0.36322007,0.00000000,0.00000000
0.35743207,-2.17000008,-1.68933988,-0.71778297,0.06508411,0.00000000,0.00000000,-0.23739195,2.14494634,1.85011673,0.70807344,0.35383704,0.00000000,0.00000000
0.35696238,-2.17000008,-1.68953490,-0.71742982,0.08237313,0.00000000,0.00000000,-0.23665571,2.14521646,1.85032654,0.70730060,0.34222472,0.00000000,0.00000000
