l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
0.07096146,-1.67610478,0.56252497,0.48038408,0.01697502,0.00000000,0.00000000,-3.00999999,-0.07576511,-0.19548988,0.35180825,-0.03467333,0.00000000,0.00000000
0.07056093,-1.67951071,0.56368649,0.48226020,0.02941450,0.00000000,0.00000000,-3.00999999,-0.07954179,-0.19619660,0.35334855,-0.03744037,0.00000000,0.00000000
0.06974366,-1.68669438,0.56611222,0.48570341,0.04610300,0.00000000,0.00000000,-3.00999999,-0.08731978,-0.19752879,0.35602173,-0.03595891,0.00000000,0.00000000
0.06842102,-1.69828439,0.57004130,0.49051359,0.06277721,0.00000000,0.00000000,-3.00999999,-0.09940022,-0.19933514,0.35937503,-0.03475003,0.00000000,0.00000000
0.06642983,-1.71451533,0.57568341,0.49657544,0.08238816,0.00000000,0.00000000,-3.00999999,-0.11548170,-0.20129080,0.36286414,-0.04187667,0.00000000,0.00000000
0.06332833,-1.73520947,0.58324200,0.50386840,0.10972212,0.00000000,0.00000000,-3.00999999,-0.13529181,-0.20294173,0.36544734,-0.05034595,0.00000000,0.00000000
0.05810839,-1.76016259,0.59300202,0.51230955,0.12909743,0.00000000,0.00000000,-3.00999999,-0.15959360,-0.20380633,0.36518991,-0.05953129,0.00000000,0.00000000
0.04920012,-1.78977025,0.60532463,0.52130872,0.14202835,0.00000000,0.00000000,-3.00999999,-0.18897653,-0.20341572,0.36024979,-0.06174640,0.00000000,0.00000000
0.03562613,-1.82509387,0.62010700,0.52900606,0.16104338,0.00000000,0.00000000,-3.00991225,-0.22336869,-0.20125441,0.34919396,-0.05671679,0.00000000,0.00000000
0.01831678,-1.86641324,0.63597089,0.53226411,0.18827774,0.00000000,0.00000000,-3.00838184,-0.26297611,-0.19695811,0.33064646,-0.04309829,0.00000000,0.00000000
0.00056103,-1.91265547,0.65018940,0.52710915,0.21520454,0.00000000,0.00000000,-3.00105882,-0.30785787,-0.19030240,0.30373022,-0.03087348,0.00000000,0.00000000
-0.01464066,-1.96183109,0.66013724,0.51046622,0.24991229,0.00000000,0.00000000,-2.98417783,-0.35751304,-0.18097506,0.26832822,-0.02078179,0.00000000,0.00000000
-0.02621890,-2.01139331,0.66427630,0.48117530,0.28042412,0.00000000,0.00000000,-2.95858932,-0.41094607,-0.16868986,0.22508737,-0.02353782,0.00000000,0.00000000
-0.03408607,-2.05812860,0.66188896,0.43972102,0.30012515,0.00000000,0.00000000,-2.92686343,-0.46678704,-0.15343189,0.17532505,-0.00698085,0.00000000,0.00000000
-0.03846326,-2.09906697,0.65293705,0.38747683,0.32346404,0.00000000,0.00000000,-2.89128017,-0.52332681,-0.13552508,0.12095562,0.00933675,0.00000000,0.00000000
-0.04002099,-2.13162255,0.63801485,0.32643944,0.34335276,0.00000000,0.00000000,-2.85386157,-0.57916421,-0.11559495,0.06421949,0.02026566,0.00000000,0.00000000
-0.04019585,-2.15266991,0.61800343,0.25981674,0.35915816,0.00000000,0.00000000,-2.81745148,-0.63336831,-0.09441064,0.00763874,0.03103357,0.00000000,0.00000000
-0.04041230,-2.16322136,0.59400153,0.19121237,0.36447448,0.00000000,0.00000000,-2.78395319,-0.68494874,-0.07288624,-0.04586715,0.05312155,0.00000000,0.00000000
-0.03838102,-2.16846037,0.56682396,0.12439029,0.37700048,0.00000000,0.00000000,-2.75503016,-0.73243386,-0.05192732,-0.09290411,0.07421165,0.00000000,0.00000000
