l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
0.00535094,-1.61479962,-0.24232776,-0.02456186,0.17742793,0.00000000,0.00000000,0.06586069,1.63986409,0.36534122,-0.08150581,0.08962657,0.00000000,0.00000000
0.00533461,-1.61539662,-0.24299921,-0.02611185,0.19058950,0.00000000,0.00000000,0.06720471,1.64081776,0.36577663,-0.08082449,0.09426911,0.00000000,0.00000000
0.00534933,-1.61669815,-0.24429627,-0.02918893,0.20279603,0.00000000,0.00000000,0.06977321,1.64272916,0.36662328,-0.07947122,0.09642611,0.00000000,0.00000000
0.00543919,-1.61900568,-0.24621256,-0.03395593,0.21665870,0.00000000,0.00000000,0.07354890,1.64582908,0.36788672,-0.07730416,0.09855456,0.00000000,0.00000000
0.00563211,-1.62277424,-0.24873452,-0.04065989,0.22916478,0.00000000,0.00000000,0.07853633,1.65054941,0.36957175,-0.07404798,0.09999597,0.00000000,0.00000000
0.00594948,-1.62854040,-0.25184309,-0.04959602,0.24219957,0.00000000,0.00000000,0.08471225,1.65752137,0.37168550,-0.06930833,0.09818564,0.00000000,0.00000000
0.00644186,-1.63683820,-0.25551113,-0.06104210,0.25591171,0.00000000,0.00000000,0.09182163,1.66773438,0.37424558,-0.06253387,0.09339151,0.00000000,0.00000000
0.00725443,-1.64808631,-0.25969857,-0.07517306,0.27064502,0.00000000,0.00000000,0.09989440,1.68267417,0.37725553,-0.05274795,0.08810368,0.00000000,0.00000000
0.00858437,-1.66249526,-0.26435333,-0.09201634,0.28581160,0.00000000,0.00000000,0.10961618,1.70290601,0.38067001,-0.03922362,0.08192427,0.00000000,0.00000000
0.01047293,-1.68004560,-0.26942539,-0.11149162,0.30054808,0.00000000,0.00000000,0.11971228,1.72718108,0.38447994,-0.02289814,0.07653744,0.00000000,0.00000000
0.01274091,-1.70059752,-0.27487686,-0.13349631,0.31623039,0.00000000,0.00000000,0.12983030,1.75511491,0.38863164,-0.00407945,0.07132699,0.00000000,0.00000000
0.01515078,-1.72385800,-0.28067479,-0.15784678,0.32986718,0.00000000,0.00000000,0.13990262,1.78628540,0.39304739,0.01692841,0.06621510,0.00000000,0.00000000
0.01784916,-1.74927580,-0.28675240,-0.18413119,0.34294701,0.00000000,0.00000000,0.14946720,1.81987166,0.39764315,0.03946284,0.06081751,0.00000000,0.00000000
0.02141702,-1.77613866,-0.29299217,-0.21175814,0.35756999,0.00000000,0.00000000,0.15805726,1.85510790,0.40232682,0.06286599,0.05475445,0.00000000,0.00000000
0.02660299,-1.80366278,-0.29924336,-0.24004903,0.37200645,0.00000000,0.00000000,0.16549098,1.89106750,0.40701538,0.08643362,0.04890094,0.00000000,0.00000000
0.03407459,-1.83105934,-0.30535147,-0.26832068,0.38662529,0.00000000,0.00000000,0.17184581,1.92667937,0.41164839,0.10941020,0.04182020,0.00000000,0.00000000
0.04406669,-1.85768044,-0.31121722,-0.29603663,0.40210831,0.00000000,0.00000000,0.17715943,1.96123660,0.41617024,0.13121293,0.03271541,0.00000000,0.00000000
0.05601827,-1.88290536,-0.31688386,-0.32279858,0.41652557,0.00000000,0.00000000,0.18146574,1.99444318,0.42052999,0.15150940,0.02551149,0.00000000,0.00000000
0.06867764,-1.90586245,-0.32256091,-0.34817338,0.42784429,0.00000000,0.00000000,0.18575494,2.02563667,0.42479193,0.17010202,0.01690835,0.00000000,0.00000000
0.08086903,-1.92541051,-0.32849905,-0.37157762,0.43821239,0.00000000,0.00000000,0.19169161,2.05340719,0.42914665,0.18671380,0.00784654,0.00000000,0.00000000
0.09193650,-1.94063163,-0.33486646,-0.39249986,0.44804811,0.00000000,0.00000000,0.19931780,2.07688498,0.43363118,0.20101546,-0.00035534,0.00000000,0.00000000
0.10139544,-1.95124900,-0.34177700,-0.41080052,0.45849058,0.00000000,0.00000000,0.20781788,2.09610844,0.43815148,0.21288714,-0.00823614,0.00000000,0.00000000
0.10872256,-1.95738649,-0.34933895,-0.42660391,0.47156435,0.00000000,0.00000000,0.21609072,2.11119008,0.44256589,0.22211303,-0.01612096,0.00000000,0.00000000
0.11348557,-1.95919466,-0.35764587,-0.44004765,0.48722267,0.00000000,0.00000000,0.22243096,2.12202787,0.44666377,0.22815019,-0.02111557,0.00000000,0.00000000
