l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
0.05338962,-1.59246004,0.54581189,0.24291660,-0.05250007,0.00000000,0.00000000,0.00539804,1.62299693,-0.08489538,-0.40202335,0.06462929,0.00000000,0.00000000
0.05291928,-1.59317017,0.54574573,0.24235424,-0.06320985,0.00000000,0.00000000,0.00573426,1.62400877,-0.08498186,-0.40189818,0.07706198,0.00000000,0.00000000
0.05221007,-1.59413731,0.54555243,0.24148513,-0.08037724,0.00000000,0.00000000,0.00615015,1.62558091,-0.08507101,-0.40180278,0.09409802,0.00000000,0.00000000
0.05145388,-1.59511733,0.54518342,0.24042192,-0.10074495,0.00000000,0.00000000,0.00649194,1.62734520,-0.08511466,-0.40186012,0.11441376,0.00000000,0.00000000
0.05072919,-1.59600389,0.54462361,0.23923022,-0.12746111,0.00000000,0.00000000,0.00670526,1.62913322,-0.08510152,-0.40209296,0.13193479,0.00000000,0.00000000
0.05004114,-1.59672523,0.54387641,0.23798415,-0.15364130,0.00000000,0.00000000,0.00678753,1.63090897,-0.08503142,-0.40246755,0.15128733,0.00000000,0.00000000
0.04934272,-1.59729004,0.54296321,0.23673581,-0.17832936,0.00000000,0.00000000,0.00677786,1.63266504,-0.08490554,-0.40295008,0.16975936,0.00000000,0.00000000
0.04854997,-1.59774566,0.54191643,0.23552692,-0.20703292,0.00000000,0.00000000,0.00674246,1.63437307,-0.08472786,-0.40353030,0.18587960,0.00000000,0.00000000
0.04757725,-1.59811676,0.54076463,0.23440033,-0.23080023,0.00000000,0.00000000,0.00674676,1.63599682,-0.08450831,-0.40420678,0.19797935,0.00000000,0.00000000
0.04637576,-1.59841275,0.53952563,0.23337725,-0.25387418,0.00000000,0.00000000,0.00683250,1.63753867,-0.08425891,-0.40495721,0.21060500,0.00000000,0.00000000
0.04493044,-1.59865820,0.53820968,0.23244721,-0.27692640,0.00000000,0.00000000,0.00702062,1.63904881,-0.08398596,-0.40573379,0.22282815,0.00000000,0.00000000
0.04321949,-1.59892893,0.53683227,0.23157945,-0.30123019,0.00000000,0.00000000,0.00733723,1.64060271,-0.08369159,-0.40648752,0.23577175,0.00000000,0.00000000
0.04120206,-1.59930706,0.53541416,0.23075584,-0.32024145,0.00000000,0.00000000,0.00781820,1.64225185,-0.08337741,-0.40720183,0.24847092,0.00000000,0.00000000
0.03886661,-1.59980237,0.53396583,0.22998437,-0.34030017,0.00000000,0.00000000,0.00846930,1.64401066,-0.08303681,-0.40789700,0.25843260,0.00000000,0.00000000
0.03625267,-1.60039246,0.53248656,0.22926785,-0.36638346,0.00000000,0.00000000,0.00925032,1.64586902,-0.08264989,-0.40860647,0.26915586,0.00000000,0.00000000
0.03344476,-1.60106242,0.53096753,0.22858676,-0.38875794,0.00000000,0.00000000,0.01008250,1.64780700,-0.08218288,-0.40935233,0.28133875,0.00000000,0.00000000
0.03057056,-1.60177350,0.52938849,0.22791617,-0.40845692,0.00000000,0.00000000,0.01085062,1.64979255,-0.08158797,-0.41014424,0.29515281,0.00000000,0.00000000
0.02775770,-1.60245788,0.52772617,0.22724974,-0.42942947,0.00000000,0.00000000,0.01143378,1.65177119,-0.08081314,-0.41099855,0.30104989,0.00000000,0.00000000
0.02507054,-1.60304236,0.52596968,0.22662044,-0.45308277,0.00000000,0.00000000,0.01175374,1.65367305,-0.07981715,-0.41195500,0.31395805,0.00000000,0.00000000
0.02249348,-1.60347366,0.52412546,0.22609431,-0.47744185,0.00000000,0.00000000,0.01179148,1.65545297,-0.07857589,-0.41306546,0.32177207,0.00000000,0.00000000
0.01996163,-1.60375643,0.52221346,0.22573426,-0.50222492,0.00000000,0.00000000,0.01157095,1.65713573,-0.07707998,-0.41436341,0.33079153,0.00000000,0.00000000
0.01739792,-1.60398304,0.52026069,0.22556286,-0.52435523,0.00000000,0.00000000,0.01113510,1.65882874,-0.07532687,-0.41583556,0.33169284,0.00000000,0.00000000
0.01473978,-1.60431504,0.51829380,0.22555676,-0.54498500,0.00000000,0.00000000,0.01052593,1.66070068,-0.07330821,-0.41741583,0.32811138,0.00000000,0.00000000
0.01193496,-1.60492694,0.51633686,0.22567692,-0.57114387,0.00000000,0.00000000,0.00978483,1.66291857,-0.07100030,-0.41901305,0.32334244,0.00000000,0.00000000
0.00891623,-1.60597730,0.51441467,0.22589783,-0.58964407,0.00000000,0.00000000,0.00897326,1.66557503,-0.06836712,-0.42055693,0.31559592,0.00000000,0.00000000
0.00559816,-1.60758555,0.51255155,0.22622724,-0.60694408,0.00000000,0.00000000,0.00817996,1.66865599,-0.06537086,-0.42203385,0.30257136,0.00000000,0.00000000
0.00191644,-1.60977423,0.51075929,0.22672261,-0.63338649,0.00000000,0.00000000,0.00750026,1.67207086,-0.06197779,-0.42348859,0.29299611,0.00000000,0.00000000
-0.00213218,-1.61243153,0.50902629,0.22749451,-0.65521193,0.00000000,0.00000000,0.00703286,1.67573833,-0.05816222,-0.42498296,0.27669695,0.00000000,0.00000000
