l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
0.02778099,-2.02575016,-0.55918360,0.03622878,-0.17474401,0.00000000,0.00000000,0.07031171,2.05506039,0.15094930,-0.19363265,0.02218754,0.00000000,0.00000000
0.02948519,-2.03857136,-0.56222212,0.02844552,-0.19962862,0.00000000,0.00000000,0.06808919,2.07222533,0.15300789,-0.18178864,0.00959198,0.00000000,0.00000000
0.03263324,-2.05852699,-0.56797200,0.01571183,-0.22173056,0.00000000,0.00000000,0.06311666,2.09773660,0.15685935,-0.16320772,-0.00503423,0.00000000,0.00000000
0.03667004,-2.08056045,-0.57626528,0.00037997,-0.24104950,0.00000000,0.00000000,0.05668769,2.12188363,0.16207251,-0.14297880,-0.02154688,0.00000000,0.00000000
0.04101019,-2.10160351,-0.58694291,-0.01612459,-0.25775108,0.00000000,0.00000000,0.05012083,2.14092112,0.16832173,-0.12259721,-0.04218540,0.00000000,0.00000000
0.04533156,-2.12022305,-0.59987074,-0.03305208,-0.27315441,0.00000000,0.00000000,0.04266105,2.15502715,0.17552960,-0.10152933,-0.06107781,0.00000000,0.00000000
0.04936523,-2.13557482,-0.61493421,-0.04988185,-0.28636101,0.00000000,0.00000000,0.03347290,2.16458750,0.18359093,-0.07913288,-0.07725324,0.00000000,0.00000000
0.05270878,-2.14706540,-0.63204086,-0.06623863,-0.29548395,0.00000000,0.00000000,0.02281794,2.16898966,0.19228932,-0.05584745,-0.09272544,0.00000000,0.00000000
0.05513523,-2.15438390,-0.65111184,-0.08186033,-0.30203387,0.00000000,0.00000000,0.01041480,2.16994476,0.20144571,-0.03291728,-0.10951734,0.00000000,0.00000000
0.05624270,-2.15819550,-0.67206949,-0.09714787,-0.31378737,0.00000000,0.00000000,-0.00379282,2.17000008,0.21090776,-0.01158604,-0.12713319,0.00000000,0.00000000
0.05493974,-2.16042614,-0.69483495,-0.11357068,-0.32594916,0.00000000,0.00000000,-0.01917477,2.17000008,0.22054872,0.00730330,-0.14462206,0.00000000,0.00000000
0.05050863,-2.16228175,-0.71933591,-0.13226974,-0.33748636,0.00000000,0.00000000,-0.03461583,2.17000008,0.23028116,0.02278981,-0.16195932,0.00000000,0.00000000
0.04332697,-2.16348553,-0.74549931,-0.15319809,-0.35225838,0.00000000,0.00000000,-0.04869057,2.17000008,0.24006040,0.03459604,-0.17644237,0.00000000,0.00000000
0.03432387,-2.16365743,-0.77321965,-0.17585963,-0.36975977,0.00000000,0.00000000,-0.06027490,2.17000008,0.24987072,0.04315257,-0.19234134,0.00000000,0.00000000
0.02450178,-2.16271687,-0.80234367,-0.19986165,-0.38406706,0.00000000,0.00000000,-0.06904811,2.17000008,0.25970280,0.04887135,-0.20940378,0.00000000,0.00000000
0.01467458,-2.16048670,-0.83268654,-0.22502959,-0.39792007,0.00000000,0.00000000,-0.07536880,2.17000008,0.26954362,0.05194722,-0.22722267,0.00000000,0.00000000
