l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-2.39828467,0.05986731,1.32394874,-0.81487155,-0.00815668,0.00000000,0.00000000,-2.63009048,-0.28711122,1.85074246,-0.15409496,-0.10072955,0.00000000,0.00000000
-2.34133029,-0.00474198,1.29137945,-0.77669322,-0.02359026,0.00000000,0.00000000,-2.56643939,-0.24682613,1.85134947,-0.18760282,-0.12882178,0.00000000,0.00000000
-2.23322630,-0.10737296,1.24147105,-0.69706386,-0.03414955,0.00000000,0.00000000,-2.46278524,-0.18911965,1.85069156,-0.23643777,-0.15704483,0.00000000,0.00000000
-2.07979965,-0.21943660,1.18980944,-0.57745874,-0.04094381,0.00000000,0.00000000,-2.33164191,-0.12939548,1.84664416,-0.29039481,-0.18121433,0.00000000,0.00000000
-1.88902247,-0.31941018,1.14524972,-0.42427427,-0.05882819,0.00000000,0.00000000,-2.17579842,-0.07277858,1.83754027,-0.34787729,-0.19424824,0.00000000,0.00000000
-1.67060578,-0.39183611,1.11044419,-0.24649492,-0.07214875,0.00000000,0.00000000,-1.99677789,-0.02279263,1.82159698,-0.40910885,-0.21223296,0.00000000,0.00000000
-1.43636417,-0.42627820,1.08340120,-0.05586829,-0.09108301,0.00000000,0.00000000,-1.79859221,0.01467275,1.79657292,-0.47319177,-0.20720078,0.00000000,0.00000000
-1.19941592,-0.41895792,1.05840218,0.13451515,-0.11690605,0.00000000,0.00000000,-1.58871424,0.03134334,1.75987184,-0.53760499,-0.18620610,0.00000000,0.00000000
-0.97285140,-0.37302953,1.02805376,0.31244668,-0.13492979,0.00000000,0.00000000,-1.37891626,0.01874518,1.70924318,-0.59777874,-0.17986752,0.00000000,0.00000000
-0.76926988,-0.29772848,0.98563355,0.46852422,-0.15482041,0.00000000,0.00000000,-1.18244171,-0.02421279,1.64542866,-0.64756000,-0.17656919,0.00000000,0.00000000
-0.60087121,-0.20709887,0.92694139,0.59753746,-0.17148106,0.00000000,0.00000000,-1.00807834,-0.08908730,1.57251263,-0.68354446,-0.17528436,0.00000000,0.00000000
-0.47436365,-0.11409126,0.85187310,0.69980943,-0.19040543,0.00000000,0.00000000,-0.86333013,-0.17043231,1.49295640,-0.70663404,-0.16848800,0.00000000,0.00000000
-0.38455647,-0.02528199,0.76505351,0.78066653,-0.20798679,0.00000000,0.00000000,-0.74540925,-0.25521979,1.41270781,-0.72316033,-0.17479593,0.00000000,0.00000000
-0.31871644,0.05771761,0.67377472,0.84679365,-0.20926811,0.00000000,0.00000000,-0.65151805,-0.33768761,1.33464038,-0.73728734,-0.19150032,0.00000000,0.00000000
-0.26496118,0.13365084,0.58527768,0.90263849,-0.22822393,0.00000000,0.00000000,-0.58665973,-0.41819888,1.25811160,-0.74691254,-0.21000269,0.00000000,0.00000000
-0.21700339,0.19917521,0.50495780,0.94984704,-0.26366252,0.00000000,0.00000000,-0.55228239,-0.49936551,1.18172812,-0.75322020,-0.22527735,0.00000000,0.00000000
-0.17485297,0.25236732,0.43478721,0.98914051,-0.28732306,0.00000000,0.00000000,-0.53037536,-0.57780296,1.11031544,-0.76653951,-0.23871355,0.00000000,0.00000000
-0.13972904,0.29147851,0.37559786,1.01973033,-0.33287835,0.00000000,0.00000000,-0.51654506,-0.64609766,1.04840493,-0.78443241,-0.24264953,0.00000000,0.00000000
