l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-0.12849262,-1.88996077,-0.64290357,0.16157392,-0.11161486,0.00000000,0.00000000,0.02324038,1.97078061,-0.57521594,-0.22597134,0.03049561,0.00000000,0.00000000
-0.12834199,-1.88777518,-0.64408588,0.15937670,-0.13465470,0.00000000,0.00000000,0.02208212,1.97165573,-0.57762909,-0.22754906,0.02893766,0.00000000,0.00000000
-0.12772782,-1.88430202,-0.64640921,0.15515573,-0.14596681,0.00000000,0.00000000,0.02008839,1.97358930,-0.58239311,-0.23052958,0.02692865,0.00000000,0.00000000
-0.12589626,-1.87993264,-0.64991719,0.14935638,-0.15809873,0.00000000,0.00000000,0.01732061,1.97675157,-0.58959109,-0.23474763,0.03198378,0.00000000,0.00000000
-0.12342591,-1.87394297,-0.65446734,0.14234199,-0.16368861,0.00000000,0.00000000,0.01360843,1.98114014,-0.59926516,-0.24004455,0.04161228,0.00000000,0.00000000
-0.12308411,-1.86554694,-0.65974581,0.13356234,-0.17261162,0.00000000,0.00000000,0.00870148,1.98662531,-0.61145341,-0.24639085,0.05019314,0.00000000,0.00000000
-0.12448238,-1.85572553,-0.66582954,0.12287947,-0.17633842,0.00000000,0.00000000,0.00246059,1.99293315,-0.62621641,-0.25401089,0.05973558,0.00000000,0.00000000
-0.12519243,-1.84525549,-0.67292851,0.11082037,-0.17634858,0.00000000,0.00000000,-0.00528013,1.99979472,-0.64362919,-0.26325852,0.07205661,0.00000000,0.00000000
-0.12510845,-1.83415926,-0.68101478,0.09705509,-0.16559264,0.00000000,0.00000000,-0.01486114,2.00735760,-0.66379946,-0.27432629,0.08470733,0.00000000,0.00000000
-0.12486310,-1.82206476,-0.68999934,0.08100231,-0.14336057,0.00000000,0.00000000,-0.02687823,2.01621723,-0.68686604,-0.28719300,0.09362324,0.00000000,0.00000000
-0.12479889,-1.80809867,-0.69981581,0.06232660,-0.10828120,0.00000000,0.00000000,-0.04200070,2.02725649,-0.71301764,-0.30180234,0.10622109,0.00000000,0.00000000
-0.12523514,-1.79144752,-0.71043050,0.04062324,-0.07300200,0.00000000,0.00000000,-0.06076145,2.04146743,-0.74251151,-0.31814542,0.12199904,0.00000000,0.00000000
-0.12666039,-1.77328658,-0.72186846,0.01453663,-0.03606258,0.00000000,0.00000000,-0.08356606,2.05956531,-0.77563334,-0.33632588,0.13945511,0.00000000,0.00000000
-0.12936148,-1.75594139,-0.73412788,-0.01772100,-0.01032680,0.00000000,0.00000000,-0.11038952,2.08133912,-0.81265312,-0.35710138,0.17431486,0.00000000,0.00000000
-0.13251145,-1.74009204,-0.74708182,-0.05675101,0.02652117,0.00000000,0.00000000,-0.14084500,2.10577416,-0.85380745,-0.38195494,0.20756654,0.00000000,0.00000000
-0.13459213,-1.72495437,-0.76046467,-0.10246319,0.07070182,0.00000000,0.00000000,-0.17478676,2.13114572,-0.89918226,-0.41301805,0.24496020,0.00000000,0.00000000
-0.13406877,-1.71003306,-0.77385706,-0.15541877,0.11104331,0.00000000,0.00000000,-0.21224093,2.15348148,-0.94830644,-0.45376855,0.27879885,0.00000000,0.00000000
-0.13065968,-1.69669330,-0.78670716,-0.21813469,0.14040007,0.00000000,0.00000000,-0.25173888,2.16638041,-0.99951208,-0.50983870,0.32126981,0.00000000,0.00000000
-0.12574875,-1.68825150,-0.79831761,-0.29500040,0.17586917,0.00000000,0.00000000,-0.29163182,2.16776037,-1.05019546,-0.58613956,0.35997522,0.00000000,0.00000000
-0.11867125,-1.68894982,-0.80726814,-0.38890082,0.20295665,0.00000000,0.00000000,-0.33280176,2.15691948,-1.09875834,-0.68350261,0.39181623,0.00000000,0.00000000
-0.10745132,-1.70219243,-0.81129837,-0.49960622,0.22697687,0.00000000,0.00000000,-0.37858617,2.12691140,-1.14495063,-0.79993111,0.42244390,0.00000000,0.00000000
-0.09235496,-1.72625017,-0.80913341,-0.62358981,0.24512376,0.00000000,0.00000000,-0.43454522,2.07553816,-1.18809330,-0.93206745,0.44871128,0.00000000,0.00000000
-0.07748560,-1.75118625,-0.80329609,-0.75391656,0.26814356,0.00000000,0.00000000,-0.50622791,1.99686432,-1.22228730,-1.07468450,0.47698027,0.00000000,0.00000000
-0.06428324,-1.76614082,-0.79857481,-0.88363212,0.28772265,0.00000000,0.00000000,-0.59827095,1.87751591,-1.23392761,-1.21668708,0.50850767,0.00000000,0.00000000
-0.05344168,-1.76925552,-0.80009300,-1.00998104,0.30164605,0.00000000,0.00000000,-0.72087586,1.72025132,-1.21695232,-1.34032845,0.55116981,0.00000000,0.00000000
-0.04612647,-1.76635849,-0.81136620,-1.13104653,0.30663794,0.00000000,0.00000000,-0.87344784,1.53432488,-1.17250407,-1.43892682,0.59642297,0.00000000,0.00000000
-0.04265070,-1.76408076,-0.83304358,-1.24408841,0.32157421,0.00000000,0.00000000,-1.04832840,1.32901204,-1.10303080,-1.51154530,0.62498075,0.00000000,0.00000000
-0.04237370,-1.76683855,-0.86405897,-1.34677148,0.33363560,0.00000000,0.00000000,-1.23656774,1.11509585,-1.01206219,-1.55769515,0.65325493,0.00000000,0.00000000
-0.04453159,-1.77685356,-0.90311927,-1.43746865,0.35157663,0.00000000,0.00000000,-1.42902410,0.90451801,-0.90437764,-1.57764757,0.66527247,0.00000000,0.00000000
-0.04849209,-1.79537523,-0.94908518,-1.51551449,0.36366439,0.00000000,0.00000000,-1.61746836,0.70886320,-0.78530145,-1.57310367,0.67563969,0.00000000,0.00000000
-0.05276845,-1.82269788,-1.00058019,-1.58117938,0.36975247,0.00000000,0.00000000,-1.79592907,0.53777421,-0.66005135,-1.54759777,0.68272489,0.00000000,0.00000000
-0.05352142,-1.85719538,-1.05507731,-1.63591480,0.38047045,0.00000000,0.00000000,-1.96231377,0.39828017,-0.53396171,-1.50593495,0.69668835,0.00000000,0.00000000
-0.04738763,-1.89461374,-1.10980821,-1.68174958,0.38965899,0.00000000,0.00000000,-2.11719561,0.29308850,-0.41108277,-1.45449197,0.69697195,0.00000000,0.00000000
-0.03552166,-1.93107998,-1.16343081,-1.71875954,0.39105043,0.00000000,0.00000000,-2.26045990,0.21826927,-0.29184088,-1.40225303,0.70319152,0.00000000,0.00000000
