l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-3.00067377,0.44079408,0.68006837,-0.15691726,-0.00482999,0.00000000,0.00000000,-3.00999999,-0.52072310,0.15680180,0.24889639,0.01484508,0.00000000,0.00000000
-2.99893141,0.42723566,0.68024242,-0.15834720,-0.02459802,0.00000000,0.00000000,-3.00999999,-0.51019943,0.15552084,0.25201678,0.01093529,0.00000000,0.00000000
-2.99437284,0.40144771,0.68071061,-0.16115256,-0.04711148,0.00000000,0.00000000,-3.00999999,-0.48835617,0.15300843,0.25891444,-0.00017849,0.00000000,0.00000000
-2.98625469,0.36586657,0.68188560,-0.16538805,-0.07120185,0.00000000,0.00000000,-3.00999999,-0.45702854,0.14937335,0.26808324,-0.00614099,0.00000000,0.00000000
-2.97412014,0.32177520,0.68406028,-0.17113307,-0.09939563,0.00000000,0.00000000,-3.00997806,-0.41739264,0.14494154,0.27846047,-0.01020968,0.00000000,0.00000000
-2.95807433,0.26954138,0.68744993,-0.17875817,-0.12847510,0.00000000,0.00000000,-3.00949812,-0.37067807,0.14047746,0.28961435,-0.02498699,0.00000000,0.00000000
-2.93635869,0.20893908,0.69199705,-0.18772689,-0.14869945,0.00000000,0.00000000,-3.00611234,-0.31825036,0.13730191,0.30095091,-0.03637226,0.00000000,0.00000000
-2.90564156,0.14021838,0.69753820,-0.19612835,-0.16872536,0.00000000,0.00000000,-2.99603558,-0.26092443,0.13697213,0.31184399,-0.02807867,0.00000000,0.00000000
-2.86441755,0.06584895,0.70436102,-0.20187715,-0.16177416,0.00000000,0.00000000,-2.97963881,-0.20105951,0.14058837,0.32079148,-0.02576292,0.00000000,0.00000000
-2.81188369,-0.01005403,0.71291643,-0.20241925,-0.14747810,0.00000000,0.00000000,-2.95892096,-0.14023083,0.14906177,0.32627147,-0.00536966,0.00000000,0.00000000
-2.74819827,-0.08520959,0.72353852,-0.19663034,-0.12570395,0.00000000,0.00000000,-2.93550873,-0.07649501,0.16329458,0.32863078,0.01734704,0.00000000,0.00000000
-2.67577910,-0.15782385,0.73684800,-0.18559957,-0.11025733,0.00000000,0.00000000,-2.90988398,-0.00913421,0.18409185,0.32853001,0.04040545,0.00000000,0.00000000
-2.59747887,-0.22511737,0.75340801,-0.17055514,-0.08554808,0.00000000,0.00000000,-2.88224626,0.06085774,0.21227163,0.32672265,0.05854994,0.00000000,0.00000000
-2.51634216,-0.28342032,0.77377027,-0.15271662,-0.05646819,0.00000000,0.00000000,-2.85182142,0.12951919,0.24828491,0.32239395,0.07194614,0.00000000,0.00000000
-2.43572879,-0.32951257,0.79847366,-0.13409610,-0.04598372,0.00000000,0.00000000,-2.81676626,0.19217984,0.29207888,0.31380796,0.08489114,0.00000000,0.00000000
-2.35784435,-0.36282223,0.82764024,-0.11687338,-0.01899996,0.00000000,0.00000000,-2.77508068,0.24631064,0.34320706,0.29963937,0.11380436,0.00000000,0.00000000
-2.28285217,-0.38558808,0.86087781,-0.10221851,-0.00213445,0.00000000,0.00000000,-2.72522378,0.29233935,0.40099236,0.27938703,0.13398254,0.00000000,0.00000000
-2.20922613,-0.40138382,0.89753067,-0.08952080,-0.00186266,0.00000000,0.00000000,-2.66609669,0.33297935,0.46456939,0.25311300,0.14760029,0.00000000,0.00000000
-2.13443780,-0.41471252,0.93687814,-0.07690248,-0.00063467,0.00000000,0.00000000,-2.59662390,0.37176245,0.53276438,0.22045745,0.15700799,0.00000000,0.00000000
-2.05467606,-0.43065313,0.97814167,-0.06076939,-0.00323764,0.00000000,0.00000000,-2.51525116,0.41300571,0.60397530,0.18009648,0.19090120,0.00000000,0.00000000
-1.96483004,-0.45285863,1.02060652,-0.03431474,-0.01250954,0.00000000,0.00000000,-2.41973138,0.46175501,0.67643422,0.12900765,0.21521696,0.00000000,0.00000000
-1.86054802,-0.48389548,1.06378281,0.01032597,0.01070781,0.00000000,0.00000000,-2.30796790,0.52067029,0.74895930,0.06177065,0.21684949,0.00000000,0.00000000
-1.74013412,-0.52094901,1.10723853,0.07977784,0.00469905,0.00000000,0.00000000,-2.18012857,0.58663464,0.82130235,-0.02735119,0.21031114,0.00000000,0.00000000
-1.60562372,-0.55511439,1.14981139,0.17752567,-0.01242968,0.00000000,0.00000000,-2.03991127,0.65216947,0.89324552,-0.14122009,0.19899549,0.00000000,0.00000000
-1.46224523,-0.57875663,1.18883574,0.30094540,-0.04086376,0.00000000,0.00000000,-1.89336765,0.70836198,0.96314669,-0.27919459,0.20562202,0.00000000,0.00000000
-1.31708717,-0.58629477,1.21985662,0.44368896,-0.06884669,0.00000000,0.00000000,-1.74812984,0.74789852,1.02715969,-0.43672892,0.21353413,0.00000000,0.00000000
-1.17788315,-0.57442439,1.23708081,0.59771550,-0.08828638,0.00000000,0.00000000,-1.61254811,0.76590538,1.07937980,-0.60670465,0.23226845,0.00000000,0.00000000
-1.05316198,-0.54236847,1.23410773,0.75397521,-0.10985938,0.00000000,0.00000000,-1.49487460,0.76034659,1.11274886,-0.78080547,0.24456112,0.00000000,0.00000000
-0.95091242,-0.49494156,1.20682621,0.90265435,-0.12840721,0.00000000,0.00000000,-1.40021753,0.73435277,1.12294650,-0.95031583,0.27971181,0.00000000,0.00000000
-0.87249398,-0.44451651,1.15822136,1.03618729,-0.13229480,0.00000000,0.00000000,-1.32699203,0.69429457,1.11294150,-1.10817838,0.31830844,0.00000000,0.00000000
-0.81161976,-0.40127015,1.09657872,1.15299511,-0.11417809,0.00000000,0.00000000,-1.27081609,0.64607602,1.08913720,-1.24765718,0.34764758,0.00000000,0.00000000
-0.75923318,-0.36951390,1.03130352,1.25514650,-0.07585536,0.00000000,0.00000000,-1.22683358,0.59694380,1.05873656,-1.36446190,0.36576247,0.00000000,0.00000000
-0.70962471,-0.34956664,0.96869045,1.34599483,-0.03848241,0.00000000,0.00000000,-1.19115114,0.55419254,1.02832103,-1.46109521,0.37253395,0.00000000,0.00000000
-0.66358107,-0.33933687,0.90919107,1.43108189,-0.01305195,0.00000000,0.00000000,-1.16488075,0.52128285,0.99963117,-1.54384577,0.36938679,0.00000000,0.00000000
-0.62074798,-0.33927482,0.85385275,1.51324141,0.01312492,0.00000000,0.00000000,-1.15040660,0.49916551,0.97231537,-1.61648512,0.39157212,0.00000000,0.00000000
-0.57857794,-0.34995544,0.80492085,1.58952177,0.02762627,0.00000000,0.00000000,-1.14752400,0.48662490,0.94704193,-1.67916691,0.41327891,0.00000000,0.00000000
-0.53424555,-0.36968306,0.76410204,1.65631247,0.02539927,0.00000000,0.00000000,-1.15386510,0.48046628,0.92529398,-1.73143423,0.44619286,0.00000000,0.00000000
-0.48626861,-0.39594012,0.73176742,1.71249187,0.01417141,0.00000000,0.00000000,-1.16687763,0.47677079,0.90824425,-1.77349699,0.50344104,0.00000000,0.00000000
-0.43539128,-0.42628899,0.70641536,1.75918746,0.00728307,0.00000000,0.00000000,-1.18522012,0.47144803,0.89588279,-1.80591011,0.56145495,0.00000000,0.00000000
-0.38288620,-0.45880324,0.68644440,1.79807687,0.01326622,0.00000000,0.00000000,-1.20847249,0.46104720,0.88742751,-1.82969558,0.62489879,0.00000000,0.00000000
-0.33127025,-0.49200618,0.66964662,1.82996082,0.01101099,0.00000000,0.00000000,-1.23602462,0.44369170,0.88237166,-1.84662795,0.66568321,0.00000000,0.00000000
-0.28212786,-0.52452230,0.65469772,1.85544968,0.01143637,0.00000000,0.00000000,-1.26882291,0.41905984,0.87902826,-1.85561824,0.70338994,0.00000000,0.00000000
-0.23590976,-0.55523616,0.64138490,1.87378109,0.00874992,0.00000000,0.00000000,-1.30603540,0.38823208,0.87714225,-1.85658634,0.72445792,0.00000000,0.00000000
-0.19179177,-0.58280581,0.63034695,1.88517773,0.00650642,0.00000000,0.00000000,-1.34614384,0.35291743,0.87700284,-1.85043645,0.72158974,0.00000000,0.00000000
-0.14903668,-0.60614330,0.62187606,1.89151239,-0.00013549,0.00000000,0.00000000,-1.38747740,0.31483147,0.87897706,-1.83895528,0.71059978,0.00000000,0.00000000
-0.10798552,-0.62528509,0.61526346,1.89509475,-0.01242736,0.00000000,0.00000000,-1.42877865,0.27569470,0.88315850,-1.82405472,0.69007623,0.00000000,0.00000000
-0.06914071,-0.64165765,0.60983098,1.89692307,-0.02928971,0.00000000,0.00000000,-1.46925449,0.23720062,0.88936073,-1.80728662,0.68122619,0.00000000,0.00000000
-0.03304449,-0.65659714,0.60492879,1.89711356,-0.04827008,0.00000000,0.00000000,-1.50838804,0.20066065,0.89706814,-1.78951359,0.67594200,0.00000000,0.00000000
-0.00014120,-0.67051190,0.59995079,1.89597857,-0.09453559,0.00000000,0.00000000,-1.54559112,0.16646779,0.90551376,-1.77153063,0.67272621,0.00000000,0.00000000
0.02970434,-0.68328249,0.59480369,1.89421308,-0.14183679,0.00000000,0.00000000,-1.58052909,0.13423821,0.91349643,-1.75440705,0.68304425,0.00000000,0.00000000
0.05655047,-0.69488049,0.58934057,1.89276421,-0.18055800,0.00000000,0.00000000,-1.61280704,0.10389020,0.92040348,-1.73925495,0.72282863,0.00000000,0.00000000
0.08023351,-0.70578372,0.58326125,1.89259279,-0.20159061,0.00000000,0.00000000,-1.64215612,0.07620043,0.92659181,-1.72673941,0.74995124,0.00000000,0.00000000
