l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-3.00999999,0.01905234,0.54208463,-0.17249264,-0.02961393,0.00000000,0.00000000,-2.85640311,-0.00253275,0.46078125,0.19620897,0.01465154,0.00000000,0.00000000
-3.00999999,0.01938097,0.54220045,-0.17240180,-0.05124927,0.00000000,0.00000000,-2.85638905,-0.00226018,0.46109635,0.19637190,-0.00013227,0.00000000,0.00000000
-3.00999999,0.01998827,0.54241717,-0.17222294,-0.08130110,0.00000000,0.00000000,-2.85643077,-0.00191146,0.46172765,0.19663160,-0.01336779,0.00000000,0.00000000
-3.00999999,0.02081905,0.54272670,-0.17196915,-0.11459958,0.00000000,0.00000000,-2.85658765,-0.00160870,0.46269193,0.19695190,-0.03912952,0.00000000,0.00000000
-3.00999999,0.02176085,0.54312766,-0.17171493,-0.13335639,0.00000000,0.00000000,-2.85685134,-0.00138577,0.46398610,0.19729188,-0.08276822,0.00000000,0.00000000
-3.00999999,0.02274044,0.54362613,-0.17152627,-0.14880763,0.00000000,0.00000000,-2.85714817,-0.00120588,0.46559000,0.19762048,-0.13141046,0.00000000,0.00000000
-3.00999999,0.02363063,0.54422945,-0.17149320,-0.14875717,0.00000000,0.00000000,-2.85735226,-0.00094723,0.46746635,0.19794360,-0.18408027,0.00000000,0.00000000
-3.00999999,0.02431019,0.54493910,-0.17169017,-0.13829330,0.00000000,0.00000000,-2.85735321,-0.00053519,0.46957812,0.19825886,-0.25085625,0.00000000,0.00000000
-3.00999999,0.02473112,0.54574287,-0.17213653,-0.13585003,0.00000000,0.00000000,-2.85710645,-0.00000626,0.47190693,0.19854777,-0.31534982,0.00000000,0.00000000
-3.00999999,0.02505769,0.54661566,-0.17270333,-0.12671098,0.00000000,0.00000000,-2.85671186,0.00050067,0.47446471,0.19880351,-0.35909384,0.00000000,0.00000000
-3.00999999,0.02540072,0.54753548,-0.17330085,-0.10066911,0.00000000,0.00000000,-2.85621452,0.00092110,0.47725376,0.19901782,-0.41087708,0.00000000,0.00000000
-3.00999999,0.02580619,0.54848522,-0.17387822,-0.09009422,0.00000000,0.00000000,-2.85561180,0.00123643,0.48027477,0.19918920,-0.44297239,0.00000000,0.00000000
-3.00999999,0.02628984,0.54945278,-0.17439806,-0.12156051,0.00000000,0.00000000,-2.85492635,0.00141359,0.48354042,0.19931334,-0.45619091,0.00000000,0.00000000
-3.00999999,0.02680652,0.55042481,-0.17485429,-0.13808627,0.00000000,0.00000000,-2.85419059,0.00145900,0.48707616,0.19939831,-0.46804002,0.00000000,0.00000000
-3.00999999,0.02734014,0.55139214,-0.17522547,-0.15306179,0.00000000,0.00000000,-2.85344720,0.00137283,0.49091387,0.19945838,-0.50142545,0.00000000,0.00000000
-3.00999999,0.02790514,0.55235702,-0.17546798,-0.17411281,0.00000000,0.00000000,-2.85271430,0.00118438,0.49508360,0.19950812,-0.52689981,0.00000000,0.00000000
-3.00999999,0.02845357,0.55330968,-0.17553675,-0.19518107,0.00000000,0.00000000,-2.85198760,0.00095370,0.49960664,0.19955035,-0.54975730,0.00000000,0.00000000
-3.00999999,0.02884904,0.55422926,-0.17541149,-0.20454870,0.00000000,0.00000000,-2.85123229,0.00080783,0.50449139,0.19961160,-0.57983446,0.00000000,0.00000000
-3.00999999,0.02904753,0.55511379,-0.17505574,-0.23935306,0.00000000,0.00000000,-2.85039282,0.00074541,0.50976491,0.19964322,-0.60848218,0.00000000,0.00000000
-3.00999999,0.02907961,0.55598599,-0.17442973,-0.26266870,0.00000000,0.00000000,-2.84937525,0.00070356,0.51546454,0.19956595,-0.66215855,0.00000000,0.00000000
-3.00999999,0.02891671,0.55688101,-0.17356320,-0.27395970,0.00000000,0.00000000,-2.84810090,0.00077156,0.52161264,0.19938159,-0.72207689,0.00000000,0.00000000
-3.00999999,0.02859198,0.55784088,-0.17246757,-0.30788070,0.00000000,0.00000000,-2.84661055,0.00101246,0.52825731,0.19913997,-0.79792202,0.00000000,0.00000000
-3.00999999,0.02817374,0.55891699,-0.17113461,-0.33664659,0.00000000,0.00000000,-2.84502101,0.00136349,0.53548580,0.19888823,-0.86785305,0.00000000,0.00000000
-3.00999999,0.02771646,0.56016618,-0.16956931,-0.36893973,0.00000000,0.00000000,-2.84338880,0.00175509,0.54337829,0.19865453,-0.92427301,0.00000000,0.00000000
-3.00999999,0.02713275,0.56163228,-0.16782793,-0.40482384,0.00000000,0.00000000,-2.84169245,0.00224776,0.55198258,0.19850248,-0.97645694,0.00000000,0.00000000
-3.00999999,0.02634545,0.56335837,-0.16595431,-0.44325623,0.00000000,0.00000000,-2.83988237,0.00286099,0.56134593,0.19847979,-1.03143370,0.00000000,0.00000000
-3.00999999,0.02537801,0.56538391,-0.16388349,-0.47157004,0.00000000,0.00000000,-2.83789110,0.00353488,0.57152873,0.19858342,-1.08122814,0.00000000,0.00000000
-3.00999999,0.02421737,0.56773001,-0.16148454,-0.49209714,0.00000000,0.00000000,-2.83564138,0.00425992,0.58258224,0.19884360,-1.11012125,0.00000000,0.00000000
-3.00999999,0.02281490,0.57040817,-0.15864058,-0.48749846,0.00000000,0.00000000,-2.83300495,0.00497280,0.59454292,0.19930094,-1.11178386,0.00000000,0.00000000
-3.00999999,0.02101626,0.57341260,-0.15526098,-0.48608583,0.00000000,0.00000000,-2.82977462,0.00572331,0.60742557,0.20000950,-1.09339666,0.00000000,0.00000000
-3.00999999,0.01859916,0.57670945,-0.15116990,-0.49154505,0.00000000,0.00000000,-2.82572293,0.00662597,0.62122881,0.20102029,-1.05627072,0.00000000,0.00000000
