l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-0.03225557,-2.09300375,0.45084170,0.23081155,-0.02848929,0.00000000,0.00000000,-0.04253976,2.15731263,-0.22416364,-0.19187346,-0.05224936,0.00000000,0.00000000
-0.03240337,-2.09306765,0.45056230,0.23075023,-0.03719012,0.00000000,0.00000000,-0.04257363,2.15737391,-0.22460176,-0.19186391,-0.05238283,0.00000000,0.00000000
-0.03270728,-2.09322834,0.45002228,0.23062031,-0.04700003,0.00000000,0.00000000,-0.04260363,2.15751719,-0.22545527,-0.19183879,-0.05353481,0.00000000,0.00000000
-0.03311183,-2.09344602,0.44920748,0.23042896,-0.04254525,0.00000000,0.00000000,-0.04266592,2.15772367,-0.22671880,-0.19180109,-0.06757573,0.00000000,0.00000000
-0.03354184,-2.09363556,0.44809893,0.23019786,-0.04605510,0.00000000,0.00000000,-0.04282182,2.15792942,-0.22838190,-0.19176713,-0.07457995,0.00000000,0.00000000
-0.03393810,-2.09372139,0.44667912,0.22994061,-0.06089775,0.00000000,0.00000000,-0.04312585,2.15808225,-0.23043750,-0.19175056,-0.08046953,0.00000000,0.00000000
-0.03438972,-2.09376669,0.44495562,0.22963846,-0.08879366,0.00000000,0.00000000,-0.04349566,2.15824795,-0.23290059,-0.19173352,-0.08691802,0.00000000,0.00000000
-0.03494978,-2.09379673,0.44292718,0.22927737,-0.12595442,0.00000000,0.00000000,-0.04388386,2.15846157,-0.23578326,-0.19170399,-0.07604431,0.00000000,0.00000000
-0.03551498,-2.09369969,0.44056296,0.22886245,-0.14887723,0.00000000,0.00000000,-0.04438617,2.15862823,-0.23907925,-0.19168290,-0.06687006,0.00000000,0.00000000
-0.03612203,-2.09344959,0.43785408,0.22839607,-0.17563707,0.00000000,0.00000000,-0.04497842,2.15874887,-0.24280164,-0.19166541,-0.05264292,0.00000000,0.00000000
-0.03673719,-2.09310699,0.43478760,0.22782040,-0.20139782,0.00000000,0.00000000,-0.04568999,2.15876698,-0.24695912,-0.19166534,-0.04836376,0.00000000,0.00000000
-0.03737271,-2.09271431,0.43135574,0.22709619,-0.23894438,0.00000000,0.00000000,-0.04651964,2.15868306,-0.25156629,-0.19168319,-0.04554104,0.00000000,0.00000000
-0.03804177,-2.09227753,0.42754981,0.22619580,-0.28568393,0.00000000,0.00000000,-0.04746265,2.15852332,-0.25664052,-0.19171678,-0.04268899,0.00000000,0.00000000
-0.03874227,-2.09178638,0.42335859,0.22508867,-0.34615025,0.00000000,0.00000000,-0.04852922,2.15830183,-0.26220030,-0.19177198,-0.03049954,0.00000000,0.00000000
-0.03946916,-2.09120917,0.41876850,0.22373986,-0.40766564,0.00000000,0.00000000,-0.04973342,2.15801573,-0.26826596,-0.19186385,-0.01701083,0.00000000,0.00000000
-0.04022865,-2.09049726,0.41376543,0.22210546,-0.45411465,0.00000000,0.00000000,-0.05106890,2.15766430,-0.27486169,-0.19201252,-0.00952450,0.00000000,0.00000000
-0.04104218,-2.08957410,0.40833515,0.22013144,-0.49143726,0.00000000,0.00000000,-0.05250982,2.15727520,-0.28201404,-0.19223584,0.00679816,0.00000000,0.00000000
-0.04192556,-2.08837390,0.40246317,0.21772254,-0.52517241,0.00000000,0.00000000,-0.05407391,2.15686131,-0.28974107,-0.19255711,0.01220756,0.00000000,0.00000000
-0.04290752,-2.08683801,0.39613694,0.21474361,-0.57324612,0.00000000,0.00000000,-0.05579910,2.15642309,-0.29805458,-0.19300416,0.02267718,0.00000000,0.00000000
-0.04405870,-2.08492851,0.38935015,0.21101420,-0.60659021,0.00000000,0.00000000,-0.05768406,2.15597320,-0.30697072,-0.19360776,0.03645787,0.00000000,0.00000000
-0.04541410,-2.08260894,0.38209158,0.20628941,-0.63092208,0.00000000,0.00000000,-0.05974327,2.15551949,-0.31650609,-0.19440974,0.04368019,0.00000000,0.00000000
-0.04699891,-2.07971811,0.37434283,0.20032658,-0.64834553,0.00000000,0.00000000,-0.06199608,2.15508723,-0.32668069,-0.19546120,0.04435709,0.00000000,0.00000000
