l_joint1,l_joint2,l_joint3,l_joint4,l_joint5,l_joint6,l_joint7,r_joint1,r_joint2,r_joint3,r_joint4,r_joint5,r_joint6,r_joint7
-0.17051487,-2.17000008,0.37102324,-0.01188308,-0.06983715,0.00000000,0.00000000,0.08220555,2.14748955,-0.05830643,-0.03223317,-0.00794556,0.00000000,0.00000000
-0.17071351,-2.17000008,0.37167332,-0.01177736,-0.08883990,0.00000000,0.00000000,0.08230317,2.14746594,-0.06024745,-0.03236931,-0.00402529,0.00000000,0.00000000
-0.17094637,-2.17000008,0.37293339,-0.01151699,-0.11119614,0.00000000,0.00000000,0.08250885,2.14742899,-0.06401099,-0.03261645,-0.00488706,0.00000000,0.00000000
-0.17090125,-2.17000008,0.37480432,-0.01122588,-0.11947306,0.00000000,0.00000000,0.08296130,2.14741516,-0.06960742,-0.03294656,-0.01181936,0.00000000,0.00000000
-0.17056699,-2.17000008,0.37728128,-0.01090868,-0.12534732,0.00000000,0.00000000,0.08367130,2.14742827,-0.07704128,-0.03333291,-0.00333729,0.00000000,0.00000000
-0.16999216,-2.17000008,0.38035813,-0.01056461,-0.15996280,0.00000000,0.00000000,0.08459883,2.14746118,-0.08632094,-0.03375583,0.00083008,0.00000000,0.00000000
-0.16921739,-2.17000008,0.38402757,-0.01022696,-0.17487249,0.00000000,0.00000000,0.08573657,2.14752078,-0.09745856,-0.03420156,0.00694953,0.00000000,0.00000000
-0.16830519,-2.17000008,0.38828149,-0.00990813,-0.18188271,0.00000000,0.00000000,0.08702885,2.14761114,-0.11046924,-0.03467133,0.02397063,0.00000000,0.00000000
-0.16731775,-2.17000008,0.39311147,-0.00965153,-0.19222137,0.00000000,0.00000000,0.08842582,2.14773226,-0.12537219,-0.03518048,0.04063136,0.00000000,0.00000000
-0.16635163,-2.17000008,0.39850906,-0.00950745,-0.19985195,0.00000000,0.00000000,0.08989495,2.14788818,-0.14219081,-0.03575479,0.05997610,0.00000000,0.00000000
-0.16548635,-2.17000008,0.40446663,-0.00957735,-0.20675936,0.00000000,0.00000000,0.09140965,2.14809132,-0.16095191,-0.03642763,0.06988525,0.00000000,0.00000000
-0.16482414,-2.17000008,0.41097862,-0.01014470,-0.19734019,0.00000000,0.00000000,0.09295131,2.14835739,-0.18168601,-0.03724592,0.09485510,0.00000000,0.00000000
-0.16456066,-2.17000008,0.41804478,-0.01187113,-0.18471211,0.00000000,0.00000000,0.09458306,2.14873266,-0.20442884,-0.03827200,0.12008338,0.00000000,0.00000000
-0.16506350,-2.17000008,0.42567286,-0.01556798,-0.18206894,0.00000000,0.00000000,0.09632690,2.14928579,-0.22921917,-0.03960360,0.14046001,0.00000000,0.00000000
-0.16689940,-2.17000008,0.43387562,-0.02166614,-0.14847966,0.00000000,0.00000000,0.09802992,2.15007925,-0.25609568,-0.04140516,0.15483333,0.00000000,0.00000000
-0.17056274,-2.16987109,0.44266054,-0.03073436,-0.14420353,0.00000000,0.00000000,0.09939588,2.15120029,-0.28509516,-0.04392831,0.16466655,0.00000000,0.00000000
-0.17629349,-2.16773629,0.45202568,-0.04442704,-0.11759990,0.00000000,0.00000000,0.10029010,2.15290070,-0.31625500,-0.04750769,0.17632934,0.00000000,0.00000000
-0.18417083,-2.15880275,0.46198601,-0.06534052,-0.08828882,0.00000000,0.00000000,0.10065041,2.15557456,-0.34960622,-0.05260931,0.19392075,0.00000000,0.00000000
-0.19464436,-2.14091039,0.47261599,-0.09573269,-0.06330103,0.00000000,0.00000000,0.10021344,2.15953302,-0.38515115,-0.05984765,0.21230242,0.00000000,0.00000000
-0.20868355,-2.11473989,0.48406735,-0.13672972,-0.02378559,0.00000000,0.00000000,0.09843504,2.16449308,-0.42282215,-0.06976614,0.23226833,0.00000000,0.00000000
-0.22741342,-2.08099127,0.49655417,-0.18882519,0.00289682,0.00000000,0.00000000,0.09398538,2.16863823,-0.46238273,-0.08238640,0.25622284,0.00000000,0.00000000
-0.25147542,-2.04018378,0.51039344,-0.25220972,0.02374955,0.00000000,0.00000000,0.08475218,2.16991711,-0.50330079,-0.09771764,0.29498124,0.00000000,0.00000000
-0.28107190,-1.99205053,0.52608478,-0.32622182,0.05558042,0.00000000,0.00000000,0.07061354,2.17000008,-0.54480362,-0.11749014,0.31225276,0.00000000,0.00000000
-0.31620395,-1.93622589,0.54427433,-0.40961480,0.08655792,0.00000000,0.00000000,0.05290262,2.17000008,-0.58597183,-0.14379020,0.34363949,0.00000000,0.00000000
-0.35656777,-1.87297225,0.56567824,-0.50105333,0.14242144,0.00000000,0.00000000,0.03078989,2.17000008,-0.62560540,-0.17649166,0.36647904,0.00000000,0.00000000
-0.40173665,-1.80307496,0.59094852,-0.59916359,0.16287947,0.00000000,0.00000000,0.00337330,2.17000008,-0.66227478,-0.21441577,0.36768997,0.00000000,0.00000000
-0.45160604,-1.72734725,0.62050766,-0.70235926,0.18793820,0.00000000,0.00000000,-0.02890621,2.17000008,-0.69443786,-0.25636289,0.36966148,0.00000000,0.00000000
-0.50628090,-1.64564455,0.65470594,-0.80882490,0.22933894,0.00000000,0.00000000,-0.06514937,2.17000008,-0.72048450,-0.30096689,0.36640617,0.00000000,0.00000000
-0.56539434,-1.55637681,0.69432122,-0.91742051,0.25037566,0.00000000,0.00000000,-0.10476965,2.17000008,-0.73877186,-0.34654731,0.36326727,0.00000000,0.00000000
