type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,260,"[0.957743,-0.009057,0.017080,0.286976]","[0.004278,0.004244,-0.005037]","[-0.272939,-0.107739,9.789890]",not_valid,not_valid
StateB,5051,"[0.957740,-0.009066,0.017083,0.286985]","[-0.006366,0.006417,0.009916]","[-0.351948,-0.093374,9.818622]",not_valid,not_valid
StateB,5744,"[0.957742,-0.009059,0.017087,0.286976]","[0.005369,0.010631,0.009003]","[-0.294487,0.021548,9.739613]",not_valid,not_valid
StateB,6007,"[0.957736,-0.009070,0.017089,0.286996]","[-0.015927,0.012848,0.015253]","[-0.366313,-0.043096,9.746795]",not_valid,not_valid
StateB,6955,"[0.957730,-0.009063,0.017089,0.287017]","[0.004218,-0.010670,0.002238]","[-0.272939,-0.050278,9.718064]",not_valid,not_valid
StateB,7185,"[0.957730,-0.009060,0.017087,0.287017]","[-0.003152,0.010666,0.000107]","[-0.165200,-0.035913,9.667787]",not_valid,not_valid
StateB,7327,"[0.957734,-0.009071,0.017093,0.287005]","[0.001130,0.015975,0.003412]","[-0.545878,-0.014365,9.782708]",not_valid,not_valid
StateB,8379,"[0.957733,-0.009057,0.017094,0.287006]","[-0.001065,0.000004,-0.000946]","[-0.517148,-0.028730,9.753978]",not_valid,not_valid
StateB,10355,"[0.957732,-0.009054,0.017098,0.287010]","[0.006439,0.011692,0.006436]","[-0.402226,-0.093374,9.718064]",not_valid,not_valid
StateB,11457,"[0.957735,-0.009044,0.017092,0.287003]","[0.010644,-0.002174,-0.009000]","[-0.409408,-0.014365,9.689334]",not_valid,not_valid
StateB,13365,"[0.957734,-0.009051,0.017097,0.287005]","[-0.005322,0.001087,0.010669]","[-0.402226,-0.086191,9.696517]",not_valid,not_valid
StateB,15423,"[0.957732,-0.009040,0.017095,0.287010]","[0.001113,0.011713,-0.002212]","[-0.301669,-0.093374,9.696517]",not_valid,not_valid
StateB,17355,"[0.957735,-0.009039,0.017092,0.287000]","[-0.001109,-0.010648,-0.013930]","[-0.538695,-0.050278,9.595961]",not_valid,not_valid
StateB,19384,"[0.957737,-0.009026,0.017096,0.286993]","[0.018157,0.011645,0.014241]","[-0.366313,-0.021548,9.725247]",not_valid,not_valid
StateB,21328,"[0.957741,-0.009029,0.017086,0.286981]","[-0.012813,-0.007405,-0.010171]","[-0.201113,-0.100556,9.789890]",not_valid,not_valid
StateB,23392,"[0.957736,-0.009025,0.017091,0.286998]","[-0.009527,0.014952,0.008951]","[-0.114922,0.007183,9.753978]",not_valid,not_valid
StateB,25355,"[0.957735,-0.009019,0.017097,0.287001]","[0.010683,0.007414,0.007907]","[-0.237026,-0.079009,9.674969]",not_valid,not_valid
StateB,27300,"[0.957735,-0.009019,0.017099,0.287003]","[-0.005270,0.013870,-0.020529]","[0.014365,-0.071826,9.847352]",not_valid,not_valid
StateB,29311,"[0.957741,-0.009031,0.017099,0.286981]","[-0.011696,0.005373,0.005146]","[-0.718261,-0.035913,9.739613]",not_valid,not_valid
StateB,31522,"[0.957739,-0.009028,0.017105,0.286989]","[0.006409,0.004235,0.020573]","[-0.768539,-0.050278,9.832987]",not_valid,not_valid
StateB,33359,"[0.957735,-0.009026,0.017095,0.287000]","[-0.011744,-0.006344,-0.010607]","[-0.667982,-0.079009,9.818622]",not_valid,not_valid
StateB,36224,"[0.957740,-0.009036,0.017101,0.286983]","[-0.014858,0.013908,0.009048]","[-0.574608,-0.079009,9.689334]",not_valid,not_valid
StateB,37319,"[0.957739,-0.009036,0.017096,0.286987]","[-0.002139,-0.002122,-0.002670]","[-0.840365,-0.100556,9.631873]",not_valid,not_valid
StateB,39714,"[0.957739,-0.009024,0.017099,0.286989]","[-0.002114,0.004270,-0.002155]","[-0.854730,-0.136469,9.775525]",not_valid,not_valid
StateB,41496,"[0.957735,-0.009030,0.017096,0.287001]","[0.006430,0.009562,0.004519]","[-0.272939,-0.057461,9.840169]",not_valid,not_valid
StateB,43534,"[0.957736,-0.009032,0.017096,0.286998]","[-0.015936,0.010716,0.014226]","[-0.287304,-0.114922,9.782708]",not_valid,not_valid
StateB,45464,"[0.957733,-0.009029,0.017100,0.287009]","[0.014948,0.008463,0.007066]","[-0.179565,-0.150835,9.811439]",not_valid,not_valid
StateB,47525,"[0.957733,-0.009022,0.017101,0.287008]","[0.011752,0.008475,-0.003463]","[-0.201113,-0.179565,9.861717]",not_valid,not_valid
StateB,49613,"[0.957735,-0.009023,0.017107,0.287003]","[0.002186,0.013840,-0.000397]","[-0.344765,-0.079009,9.761160]",not_valid,not_valid
StateB,51629,"[0.957733,-0.009029,0.017099,0.287009]","[-0.008505,0.004295,0.003864]","[-0.280122,-0.035913,9.847352]",not_valid,not_valid
StateB,53399,"[0.957735,-0.009027,0.017103,0.287000]","[-0.001031,0.008526,-0.020654]","[-0.366313,0.014365,9.789890]",not_valid,not_valid
StateB,55640,"[0.957730,-0.009032,0.017108,0.287016]","[0.002156,0.006383,0.017427]","[-0.308852,0.043096,9.782708]",not_valid,not_valid
StateB,57437,"[0.957732,-0.009021,0.017098,0.287013]","[-0.004244,0.004278,0.000164]","[-0.395043,-0.050278,9.818622]",not_valid,not_valid
StateB,59397,"[0.957737,-0.009019,0.017098,0.286994]","[-0.003183,0.003208,0.005409]","[-0.402226,-0.043096,9.854534]",not_valid,not_valid
StateB,61362,"[0.957733,-0.009036,0.017107,0.287008]","[-0.003098,0.024514,0.004835]","[-0.409408,-0.114922,9.804255]",not_valid,not_valid
StateB,63581,"[0.957732,-0.009032,0.017116,0.287009]","[0.000021,0.005326,-0.002258]","[-0.495600,-0.028730,9.883265]",not_valid,not_valid
StateB,65566,"[0.957736,-0.009037,0.017105,0.286996]","[-0.005331,-0.001044,0.000205]","[-0.093374,-0.150835,9.782708]",not_valid,not_valid
StateB,67729,"[0.957727,-0.009032,0.017109,0.287027]","[-0.002092,0.009596,0.020636]","[-0.093374,-0.050278,9.832987]",not_valid,not_valid
StateB,69614,"[0.957724,-0.009030,0.017106,0.287038]","[0.001070,0.001061,0.027942]","[-0.071826,-0.021548,9.761160]",not_valid,not_valid
StateB,71712,"[0.957723,-0.009027,0.017108,0.287042]","[0.001091,0.006387,0.001768]","[-0.086191,0.043096,9.639056]",not_valid,not_valid
StateB,73642,"[0.957721,-0.009022,0.017111,0.287046]","[0.009600,0.003158,0.011355]","[-0.143652,-0.079009,9.804255]",not_valid,not_valid
StateB,75719,"[0.957716,-0.009018,0.017109,0.287065]","[0.010631,-0.005369,0.007295]","[-0.632069,0.007183,9.696517]",not_valid,not_valid
StateB,77627,"[0.957717,-0.009017,0.017113,0.287061]","[0.000017,0.004261,-0.000635]","[-0.538695,-0.014365,9.725247]",not_valid,not_valid
