type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,1085,"[0.967807,-0.007346,0.014389,0.251176]","[0.009555,0.002271,0.003759]","[-0.316035,-0.107739,9.818622]",not_valid,not_valid
StateB,2258,"[0.967806,-0.007356,0.014390,0.251179]","[-0.010745,0.006235,-0.003744]","[-0.373495,-0.035913,9.832987]",not_valid,not_valid
StateB,2786,"[0.967809,-0.007352,0.014379,0.251169]","[0.006547,-0.010558,-0.006940]","[-0.222661,-0.107739,9.739613]",not_valid,not_valid
StateB,3014,"[0.967806,-0.007348,0.014385,0.251178]","[0.013691,0.010854,0.020101]","[-0.064643,-0.179565,9.739613]",not_valid,not_valid
StateB,3157,"[0.967801,-0.007352,0.014389,0.251198]","[-0.026815,0.012393,0.001383]","[-0.086191,-0.136469,9.718064]",not_valid,not_valid
StateB,3894,"[0.967799,-0.007367,0.014388,0.251203]","[-0.001158,0.006375,0.005665]","[-0.064643,-0.086191,9.811439]",not_valid,not_valid
StateB,5452,"[0.967804,-0.007367,0.014384,0.251184]","[-0.004292,0.002068,-0.009069]","[0.050278,-0.079009,9.818622]",not_valid,not_valid
StateB,7561,"[0.967805,-0.007368,0.014382,0.251183]","[0.004229,0.002193,-0.001118]","[-0.653617,-0.079009,9.789890]",not_valid,not_valid
StateB,9477,"[0.967802,-0.007377,0.014376,0.251195]","[-0.007518,0.004152,0.016391]","[-0.588974,-0.201113,9.811439]",not_valid,not_valid
StateB,11552,"[0.967796,-0.007379,0.014376,0.251215]","[0.004307,-0.003133,0.020652]","[-0.596156,-0.150835,9.840169]",not_valid,not_valid
StateB,13606,"[0.967801,-0.007366,0.014376,0.251200]","[0.007456,0.000109,-0.013868]","[-0.603339,-0.114922,9.775525]",not_valid,not_valid
StateB,15352,"[0.967798,-0.007372,0.014376,0.251209]","[-0.005699,0.025486,0.001428]","[-0.509965,-0.086191,9.847352]",not_valid,not_valid
StateB,17835,"[0.967797,-0.007384,0.014371,0.251211]","[-0.018061,-0.003460,0.000418]","[-0.588974,-0.064643,9.768343]",not_valid,not_valid
StateB,19536,"[0.967799,-0.007384,0.014380,0.251206]","[-0.005575,0.016965,-0.007192]","[-0.294487,-0.057461,9.797073]",not_valid,not_valid
StateB,21607,"[0.967802,-0.007380,0.014387,0.251194]","[0.001912,0.014943,0.019771]","[-0.272939,-0.035913,9.804255]",not_valid,not_valid
StateB,23724,"[0.967799,-0.007373,0.014366,0.251208]","[0.007768,-0.021194,-0.004730]","[-0.337582,-0.093374,9.739613]",not_valid,not_valid
StateB,25842,"[0.967801,-0.007374,0.014364,0.251199]","[-0.010807,0.010496,0.004159]","[-0.237026,-0.028730,9.732430]",not_valid,not_valid
StateB,27580,"[0.967797,-0.007383,0.014374,0.251214]","[-0.007674,0.014803,-0.000822]","[-0.395043,-0.064643,9.739613]",not_valid,not_valid
StateB,29560,"[0.967800,-0.007377,0.014358,0.251202]","[0.005388,-0.004183,-0.013535]","[-0.215478,0.028730,9.746795]",not_valid,not_valid
StateB,31410,"[0.967798,-0.007368,0.014365,0.251209]","[0.007425,0.002239,0.020195]","[-0.071826,-0.043096,9.782708]",not_valid,not_valid
StateB,33573,"[0.967798,-0.007369,0.014362,0.251208]","[-0.001158,0.006375,-0.003236]","[-0.323217,-0.114922,9.825804]",not_valid,not_valid
StateB,35506,"[0.967797,-0.007371,0.014349,0.251214]","[-0.014741,-0.011934,-0.002910]","[-0.344765,-0.129287,9.761160]",not_valid,not_valid
StateB,37574,"[0.967799,-0.007377,0.014355,0.251205]","[-0.002332,0.013816,-0.001845]","[-0.316035,-0.107739,9.782708]",not_valid,not_valid
StateB,39427,"[0.967797,-0.007384,0.014357,0.251213]","[-0.012968,0.012595,-0.001877]","[-0.323217,-0.057461,9.739613]",not_valid,not_valid
StateB,41423,"[0.967801,-0.007368,0.014357,0.251200]","[0.009524,0.004401,-0.003636]","[-0.402226,-0.014365,9.768343]",not_valid,not_valid
StateB,43431,"[0.967797,-0.007374,0.014359,0.251215]","[-0.003304,0.007409,0.029648]","[-0.323217,-0.014365,9.825804]",not_valid,not_valid
StateB,45580,"[0.967797,-0.007369,0.014355,0.251214]","[-0.001143,0.005310,-0.007151]","[-0.459687,-0.028730,9.876082]",not_valid,not_valid
StateB,47551,"[0.967794,-0.007371,0.014361,0.251225]","[0.001929,0.013878,-0.005058]","[-0.624887,-0.007183,9.710882]",not_valid,not_valid
StateB,49605,"[0.967803,-0.007374,0.014359,0.251192]","[-0.009555,-0.002271,0.000960]","[-0.524330,-0.007183,9.782708]",not_valid,not_valid
StateB,51614,"[0.967796,-0.007371,0.014357,0.251219]","[0.002037,0.006422,0.015263]","[-0.459687,-0.086191,9.761160]",not_valid,not_valid
StateB,53592,"[0.967799,-0.007369,0.014369,0.251207]","[0.004089,0.011779,0.002681]","[-0.509965,-0.122104,9.746795]",not_valid,not_valid
StateB,55524,"[0.967792,-0.007365,0.014361,0.251233]","[-0.004152,-0.007518,0.012045]","[0.035913,-0.093374,9.775525]",not_valid,not_valid
StateB,57541,"[0.967790,-0.007372,0.014351,0.251241]","[-0.021381,0.005015,0.012045]","[-0.014365,0.035913,9.624691]",not_valid,not_valid
StateB,59509,"[0.967790,-0.007373,0.014362,0.251241]","[0.016902,0.009835,-0.007545]","[-0.143652,-0.086191,9.797073]",not_valid,not_valid
StateB,61554,"[0.967792,-0.007359,0.014360,0.251235]","[-0.001003,-0.004276,-0.006012]","[-0.165200,0.000000,9.832987]",not_valid,not_valid
StateB,63550,"[0.967791,-0.007364,0.014368,0.251236]","[0.006080,0.021396,0.002459]","[-0.222661,0.050278,9.854534]",not_valid,not_valid
StateB,65587,"[0.967790,-0.007379,0.014370,0.251241]","[-0.019453,0.018893,0.014266]","[-0.301669,-0.093374,9.682152]",not_valid,not_valid
StateB,67533,"[0.967785,-0.007372,0.014371,0.251259]","[0.008739,-0.014788,0.007728]","[-0.323217,-0.193930,9.710882]",not_valid,not_valid
StateB,69681,"[0.967785,-0.007359,0.014374,0.251260]","[0.006111,0.019266,0.010924]","[-0.229843,-0.193930,9.689334]",not_valid,not_valid
StateB,71529,"[0.967787,-0.007375,0.014377,0.251250]","[-0.026815,0.012393,0.001014]","[-0.344765,-0.057461,9.753978]",not_valid,not_valid
StateB,73585,"[0.967787,-0.007387,0.014367,0.251251]","[-0.016918,-0.008770,-0.012015]","[-0.215478,-0.114922,9.667787]",not_valid,not_valid
StateB,75478,"[0.967785,-0.007391,0.014356,0.251261]","[-0.020347,0.007161,0.025307]","[-0.035913,-0.028730,9.689334]",not_valid,not_valid
StateB,77524,"[0.967785,-0.007393,0.014366,0.251257]","[0.007316,0.009695,-0.009008]","[-0.100556,-0.021548,9.761160]",not_valid,not_valid
StateB,79500,"[0.967783,-0.007391,0.014374,0.251267]","[0.004012,0.017105,0.018517]","[-0.459687,-0.079009,9.782708]",not_valid,not_valid
StateB,81553,"[0.967783,-0.007393,0.014377,0.251266]","[-0.016024,0.002962,-0.007225]","[-0.445322,-0.100556,9.940725]",not_valid,not_valid
StateB,83417,"[0.967784,-0.007394,0.014369,0.251264]","[0.007409,0.003304,0.003201]","[-0.466869,-0.071826,9.746795]",not_valid,not_valid
StateB,85486,"[0.967785,-0.007387,0.014375,0.251260]","[0.013769,0.005528,0.004049]","[-0.445322,-0.086191,9.753978]",not_valid,not_valid
StateB,87493,"[0.967783,-0.007393,0.014373,0.251267]","[-0.020347,0.007161,0.009375]","[-0.172383,0.028730,9.775525]",not_valid,not_valid
StateB,89510,"[0.967785,-0.007404,0.014380,0.251257]","[-0.006671,0.019079,-0.006743]","[-0.380678,-0.093374,9.696517]",not_valid,not_valid
StateB,91317,"[0.967784,-0.007406,0.014379,0.251264]","[0.002084,0.003227,0.001782]","[-0.409408,-0.129287,9.854534]",not_valid,not_valid
StateB,93470,"[0.967784,-0.007403,0.014380,0.251262]","[-0.011732,0.000894,0.001932]","[-0.287304,-0.093374,9.710882]",not_valid,not_valid
StateB,95488,"[0.967781,-0.007404,0.014377,0.251273]","[0.010527,0.008677,0.014289]","[-0.344765,-0.079009,9.768343]",not_valid,not_valid
StateB,97402,"[0.967784,-0.007406,0.014379,0.251262]","[-0.009649,0.004121,-0.005210]","[-0.280122,-0.143652,9.804255]",not_valid,not_valid
StateB,99488,"[0.967782,-0.007400,0.014374,0.251270]","[0.001112,-0.003180,-0.005467]","[-0.244209,-0.129287,9.832987]",not_valid,not_valid
StateB,101408,"[0.967779,-0.007392,0.014371,0.251281]","[0.002161,-0.002099,0.016407]","[-0.222661,-0.086191,9.667787]",not_valid,not_valid
StateB,103409,"[0.967780,-0.007399,0.014383,0.251276]","[-0.007845,0.026520,0.012152]","[-0.359130,-0.043096,9.804255]",not_valid,not_valid
StateB,105337,"[0.967779,-0.007403,0.014366,0.251281]","[-0.014694,-0.015130,-0.012763]","[-0.474052,-0.014365,9.811439]",not_valid,not_valid
StateB,107343,"[0.967777,-0.007378,0.014362,0.251291]","[0.023418,0.001407,0.018129]","[-0.438139,-0.265756,9.775525]",not_valid,not_valid
StateB,109362,"[0.967778,-0.007383,0.014367,0.251287]","[-0.006686,0.020145,-0.001804]","[-0.524330,-0.136469,9.761160]",not_valid,not_valid
StateB,111375,"[0.967777,-0.007383,0.014365,0.251291]","[0.011608,0.007627,0.002065]","[-0.409408,-0.107739,9.768343]",not_valid,not_valid
StateB,113381,"[0.967777,-0.007378,0.014363,0.251291]","[0.008599,-0.005201,0.008282]","[-0.481235,-0.064643,9.890448]",not_valid,not_valid
StateB,115497,"[0.967778,-0.007389,0.014361,0.251288]","[-0.027725,0.001726,-0.012124]","[-0.423774,-0.028730,9.689334]",not_valid,not_valid
StateB,118467,"[0.967779,-0.007376,0.014361,0.251281]","[0.014679,0.016195,0.000535]","[-0.416591,0.071826,9.818622]",not_valid,not_valid
StateB,119441,"[0.967775,-0.007375,0.014365,0.251297]","[0.007441,0.001174,0.009388]","[-0.502782,0.000000,9.789890]",not_valid,not_valid
StateB,121495,"[0.967777,-0.007382,0.014360,0.251291]","[0.000956,0.007472,-0.007656]","[-0.380678,0.057461,9.646238]",not_valid,not_valid
StateB,123481,"[0.967781,-0.007385,0.014365,0.251273]","[0.009446,0.009726,0.002580]","[-0.488417,-0.165200,9.789890]",not_valid,not_valid
StateB,125357,"[0.967785,-0.007376,0.014368,0.251259]","[0.002084,0.003227,-0.025619]","[-0.359130,-0.136469,9.682152]",not_valid,not_valid
StateB,127437,"[0.967783,-0.007390,0.014355,0.251266]","[-0.032032,0.004860,-0.002535]","[-0.150835,-0.021548,9.710882]",not_valid,not_valid
StateB,129369,"[0.967786,-0.007389,0.014358,0.251257]","[0.012596,0.012968,-0.007924]","[-0.158017,-0.093374,9.696517]",not_valid,not_valid
StateB,131525,"[0.967789,-0.007394,0.014373,0.251243]","[0.000785,0.019188,-0.001310]","[-0.014365,-0.122104,9.725247]",not_valid,not_valid
StateB,133463,"[0.967784,-0.007391,0.014360,0.251264]","[-0.007270,-0.012890,0.020518]","[-0.021548,-0.100556,9.725247]",not_valid,not_valid
StateB,135640,"[0.967784,-0.007392,0.014353,0.251265]","[0.010372,0.019328,0.000418]","[-0.064643,-0.043096,9.775525]",not_valid,not_valid
StateB,137380,"[0.967782,-0.007382,0.014367,0.251272]","[0.004058,0.013909,0.006691]","[0.050278,-0.107739,9.753978]",not_valid,not_valid
StateB,139500,"[0.967785,-0.007378,0.014367,0.251261]","[0.005186,0.009664,-0.012731]","[-0.114922,-0.114922,9.660604]",not_valid,not_valid
StateB,141425,"[0.967781,-0.007380,0.014364,0.251275]","[-0.000078,0.005326,0.011770]","[-0.258574,-0.114922,9.797073]",not_valid,not_valid
StateB,143513,"[0.967779,-0.007384,0.014381,0.251280]","[0.000770,0.020253,0.007138]","[-0.208296,-0.028730,9.876082]",not_valid,not_valid
StateB,145398,"[0.967782,-0.007389,0.014384,0.251271]","[-0.004385,0.008459,0.017668]","[-0.330400,-0.007183,9.818622]",not_valid,not_valid
StateB,147518,"[0.967778,-0.007381,0.014387,0.251287]","[0.004167,0.006453,0.006932]","[-0.201113,0.021548,9.768343]",not_valid,not_valid
StateB,149435,"[0.967776,-0.007374,0.014385,0.251295]","[0.000078,-0.005326,0.008004]","[-0.165200,-0.107739,9.732430]",not_valid,not_valid
StateB,151621,"[0.967778,-0.007370,0.014381,0.251285]","[-0.004448,0.012719,-0.008686]","[-0.366313,-0.057461,9.746795]",not_valid,not_valid
StateB,153523,"[0.967773,-0.007379,0.014387,0.251306]","[-0.013031,0.016856,0.012073]","[-0.387861,-0.107739,9.789890]",not_valid,not_valid
StateB,155557,"[0.967771,-0.007362,0.014388,0.251312]","[0.022384,-0.000739,0.009943]","[-0.258574,-0.114922,9.639056]",not_valid,not_valid
StateB,157523,"[0.967769,-0.007366,0.014393,0.251318]","[0.010309,0.023589,0.013804]","[-0.308852,0.014365,9.718064]",not_valid,not_valid
StateB,159637,"[0.967766,-0.007370,0.014387,0.251333]","[-0.006360,-0.002224,0.010680]","[-0.409408,0.014365,9.653421]",not_valid,not_valid
StateB,161531,"[0.967764,-0.007356,0.014392,0.251341]","[0.021287,0.001377,0.020047]","[-0.351948,-0.021548,9.725247]",not_valid,not_valid
StateB,163543,"[0.967757,-0.007364,0.014397,0.251366]","[-0.021505,0.013536,0.013315]","[-0.387861,-0.014365,9.768343]",not_valid,not_valid
StateB,165318,"[0.967755,-0.007358,0.014406,0.251375]","[0.017999,0.007720,0.004648]","[-0.351948,-0.186748,9.732430]",not_valid,not_valid
StateB,167580,"[0.967756,-0.007355,0.014404,0.251370]","[0.002084,0.003227,0.008297]","[-0.459687,-0.114922,9.890448]",not_valid,not_valid
StateB,169575,"[0.967753,-0.007352,0.014397,0.251380]","[-0.004261,-0.000062,0.026407]","[-0.517148,-0.079009,9.746795]",not_valid,not_valid
StateB,171491,"[0.967747,-0.007358,0.014396,0.251404]","[-0.004447,0.012720,0.014604]","[-0.301669,-0.114922,9.811439]",not_valid,not_valid
StateB,173458,"[0.967748,-0.007372,0.014396,0.251401]","[-0.011826,0.007285,-0.010644]","[-0.323217,-0.043096,9.746795]",not_valid,not_valid
StateB,175513,"[0.967746,-0.007368,0.014396,0.251408]","[0.003242,-0.003149,0.003571]","[-0.574608,-0.086191,9.696517]",not_valid,not_valid
