type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,976,"[0.964373,-0.007334,0.015243,0.264003]","[-0.004188,0.019191,-0.003150]","[-0.639252,-0.193930,9.782708]",not_valid,not_valid
StateB,2728,"[0.964368,-0.007323,0.015246,0.264022]","[0.005302,-0.006412,0.002656]","[-0.574608,-0.014365,9.825804]",not_valid,not_valid
StateB,4691,"[0.964376,-0.007331,0.015241,0.263994]","[-0.003164,0.008534,-0.015730]","[-0.581791,-0.079009,9.739613]",not_valid,not_valid
StateB,6572,"[0.964373,-0.007331,0.015257,0.264003]","[-0.010584,0.018150,0.001970]","[-0.646434,-0.150835,9.818622]",not_valid,not_valid
StateB,8726,"[0.964372,-0.007341,0.015265,0.264008]","[-0.010604,0.012823,0.015427]","[-0.014365,-0.057461,9.818622]",not_valid,not_valid
StateB,10700,"[0.964370,-0.007335,0.015262,0.264016]","[0.007428,-0.007485,-0.015777]","[-0.143652,-0.043096,9.753978]",not_valid,not_valid
StateB,12698,"[0.964372,-0.007329,0.015255,0.264009]","[0.003188,-0.002143,0.007573]","[-0.215478,-0.150835,9.782708]",not_valid,not_valid
StateB,14675,"[0.964372,-0.007330,0.015262,0.264006]","[0.003264,0.018097,0.017160]","[-0.179565,-0.071826,9.746795]",not_valid,not_valid
StateB,17020,"[0.964367,-0.007332,0.015268,0.264027]","[-0.006315,0.020264,0.007181]","[-0.158017,-0.186748,9.861717]",not_valid,not_valid
StateB,18590,"[0.964366,-0.007347,0.015254,0.264029]","[-0.019203,-0.007384,-0.012370]","[-0.208296,-0.035913,9.775525]",not_valid,not_valid
StateB,20844,"[0.964370,-0.007349,0.015264,0.264016]","[0.004293,0.008506,-0.010134]","[-0.337582,-0.064643,9.703699]",not_valid,not_valid
StateB,22715,"[0.964363,-0.007347,0.015251,0.264040]","[-0.002110,0.005334,0.013732]","[-0.323217,-0.079009,9.768343]",not_valid,not_valid
StateB,24816,"[0.964364,-0.007340,0.015246,0.264037]","[0.008555,0.008490,0.013403]","[-0.337582,-0.071826,9.775525]",not_valid,not_valid
StateB,26659,"[0.964367,-0.007338,0.015253,0.264025]","[-0.005318,0.002151,0.006152]","[-0.186748,-0.129287,9.811439]",not_valid,not_valid
StateB,28621,"[0.964363,-0.007344,0.015261,0.264040]","[0.016032,0.013787,0.001621]","[-0.380678,-0.050278,9.797073]",not_valid,not_valid
StateB,30580,"[0.964364,-0.007343,0.015254,0.264039]","[-0.010653,0.000041,0.010144]","[-0.402226,-0.043096,9.818622]",not_valid,not_valid
StateB,32736,"[0.964361,-0.007343,0.015252,0.264048]","[0.014881,-0.008579,0.013332]","[-0.316035,-0.007183,9.703699]",not_valid,not_valid
StateB,34636,"[0.964363,-0.007341,0.015253,0.264041]","[-0.006363,0.007481,-0.006940]","[-0.093374,-0.071826,9.718064]",not_valid,not_valid
StateB,36728,"[0.964360,-0.007333,0.015245,0.264051]","[-0.002126,0.001073,0.016533]","[-0.265756,-0.150835,9.847352]",not_valid,not_valid
StateB,38627,"[0.964360,-0.007336,0.015242,0.264051]","[-0.008526,-0.001033,-0.002937]","[-0.251391,0.007183,9.667787]",not_valid,not_valid
StateB,40766,"[0.964364,-0.007327,0.015235,0.264039]","[0.004245,-0.004277,-0.017466]","[-0.201113,-0.136469,9.746795]",not_valid,not_valid
StateB,42732,"[0.964366,-0.007340,0.015239,0.264029]","[-0.010544,0.028802,0.004486]","[-0.337582,-0.122104,9.883265]",not_valid,not_valid
StateB,45003,"[0.964367,-0.007331,0.015239,0.264026]","[0.002126,-0.001073,-0.008999]","[-0.438139,-0.122104,9.753978]",not_valid,not_valid
StateB,46815,"[0.964363,-0.007335,0.015234,0.264041]","[-0.007461,-0.001037,0.020828]","[-0.459687,-0.086191,9.840169]",not_valid,not_valid
StateB,48968,"[0.964361,-0.007326,0.015232,0.264048]","[0.007489,0.008494,0.010030]","[-0.294487,-0.150835,9.789890]",not_valid,not_valid
StateB,50744,"[0.964364,-0.007324,0.015239,0.264040]","[0.001098,0.008518,-0.001202]","[-0.280122,-0.007183,9.775525]",not_valid,not_valid
StateB,52826,"[0.964361,-0.007327,0.015239,0.264048]","[-0.009571,0.004297,0.005630]","[-0.294487,-0.021548,9.840169]",not_valid,not_valid
StateB,54832,"[0.964365,-0.007338,0.015229,0.264036]","[-0.011686,0.008566,-0.005112]","[-0.445322,-0.050278,9.775525]",not_valid,not_valid
StateB,56824,"[0.964360,-0.007334,0.015236,0.264054]","[0.000008,0.002131,0.024694]","[-0.423774,-0.086191,9.768343]",not_valid,not_valid
StateB,58824,"[0.964357,-0.007326,0.015240,0.264064]","[0.003268,0.019163,0.006279]","[-0.466869,-0.043096,9.739613]",not_valid,not_valid
StateB,60897,"[0.964357,-0.007336,0.015237,0.264063]","[0.002131,-0.000008,0.005733]","[-0.344765,-0.057461,9.725247]",not_valid,not_valid
StateB,62659,"[0.964356,-0.007315,0.015242,0.264069]","[0.012827,0.011670,0.012124]","[-0.423774,-0.122104,9.797073]",not_valid,not_valid
StateB,64682,"[0.964351,-0.007335,0.015235,0.264086]","[-0.017068,-0.006327,0.018735]","[-0.301669,-0.093374,9.674969]",not_valid,not_valid
StateB,66656,"[0.964357,-0.007335,0.015230,0.264063]","[-0.006340,0.013872,0.007427]","[-0.459687,-0.136469,9.761160]",not_valid,not_valid
StateB,68618,"[0.964351,-0.007323,0.015237,0.264088]","[0.020244,0.000989,0.001698]","[-0.387861,-0.014365,9.854534]",not_valid,not_valid
StateB,70627,"[0.964352,-0.007320,0.015236,0.264083]","[-0.003184,0.003208,0.003617]","[-0.538695,0.007183,9.746795]",not_valid,not_valid
StateB,72608,"[0.964350,-0.007320,0.015235,0.264089]","[-0.002127,0.001073,-0.011686]","[-0.445322,-0.035913,9.761160]",not_valid,not_valid
StateB,74508,"[0.964357,-0.007318,0.015238,0.264063]","[0.005338,0.003176,-0.011110]","[-0.553061,-0.093374,9.825804]",not_valid,not_valid
StateB,76699,"[0.964361,-0.007319,0.015238,0.264050]","[-0.019175,0.000071,0.004526]","[-0.553061,-0.114922,9.854534]",not_valid,not_valid
StateB,78846,"[0.964362,-0.007303,0.015235,0.264045]","[0.013821,-0.007508,-0.008257]","[-0.244209,-0.050278,9.761160]",not_valid,not_valid
StateB,80918,"[0.964360,-0.007301,0.015235,0.264055]","[0.002154,0.006384,-0.008455]","[-0.201113,-0.136469,9.818622]",not_valid,not_valid
