type,timestamp,positions
Control,2039,"[0.000435,-0.004355,-0.004397,-0.011761,-0.034290,0.008085,-0.000383,0.000656,-0.000077,-0.010929,-0.020243,0.014743,-0.003375,0.070989,0.109296,0.069931,1.218390,-0.000795,0.055786,-0.086951,-0.440672,1.033221,0.000615]"
Control,22052,"[0.000433,-0.004363,-0.004380,-0.011698,-0.034180,0.008053,-0.000407,0.000654,-0.000076,-0.010886,-0.020182,0.014692,-0.003361,0.069973,0.109113,0.069249,1.217751,-0.000792,0.055893,-0.086198,-0.438748,1.031532,0.000625]"
Control,42044,"[0.000431,-0.004295,-0.004362,-0.011682,-0.034172,0.007998,-0.000406,0.000651,-0.000025,-0.010874,-0.020230,0.014486,-0.003348,0.068950,0.107867,0.068872,1.217037,-0.000789,0.056033,-0.085206,-0.436588,1.030121,0.000610]"
Control,62086,"[0.000429,-0.004303,-0.004370,-0.011619,-0.034149,0.007928,-0.000379,0.000648,-0.000051,-0.010972,-0.020209,0.014359,-0.003309,0.067923,0.106741,0.069272,1.216311,-0.000785,0.056123,-0.084084,-0.433908,1.030617,0.000620]"
Control,82012,"[0.000428,-0.004285,-0.004327,-0.011557,-0.034133,0.007912,-0.000377,0.000671,-0.000076,-0.011100,-0.020168,0.014240,-0.003271,0.066895,0.106237,0.068494,1.215557,-0.000794,0.056263,-0.083508,-0.430639,1.030869,0.000629]"
Control,102067,"[0.000451,-0.004268,-0.004309,-0.011525,-0.034121,0.007888,-0.000376,0.000718,-0.000100,-0.011071,-0.020221,0.014196,-0.003282,0.065843,0.104745,0.067805,1.214806,-0.000779,0.056395,-0.082366,-0.426673,1.032549,0.000626]"
Control,122044,"[0.000424,-0.004225,-0.004317,-0.011494,-0.034069,0.007833,-0.000399,0.000690,-0.000050,-0.011026,-0.020279,0.014115,-0.003219,0.064712,0.103257,0.067078,1.214075,-0.000787,0.056510,-0.081482,-0.421816,1.037940,0.000624]"
Control,142100,"[0.000422,-0.004208,-0.004299,-0.011416,-0.034016,0.007809,-0.000373,0.000712,-0.000075,-0.010980,-0.020363,0.014019,-0.003106,0.063595,0.101145,0.066271,1.213291,-0.000784,0.056608,-0.080703,-0.416507,1.040312,0.000656]"
Control,162148,"[0.000421,-0.004240,-0.004281,-0.011353,-0.033942,0.007792,-0.000396,0.000734,-0.000050,-0.010935,-0.020412,0.013976,-0.003094,0.062306,0.099456,0.065543,1.212565,-0.000769,0.056715,-0.078948,-0.408440,1.039536,0.000642]"
Control,182142,"[0.000394,-0.004198,-0.004239,-0.011352,-0.033841,0.007760,-0.000419,0.000756,-0.000074,-0.010890,-0.020459,0.013829,-0.003130,0.060923,0.097108,0.064778,1.211792,-0.000778,0.056879,-0.076976,-0.401591,1.037193,0.000628]"
Control,202049,"[0.000417,-0.004181,-0.004221,-0.011290,-0.033708,0.007691,-0.000368,0.000679,-0.000025,-0.010845,-0.020493,0.013726,-0.003191,0.059810,0.095165,0.064056,1.211047,-0.000763,0.057696,-0.073744,-0.393648,1.034934,0.000613]"
Control,222049,"[0.000415,-0.004139,-0.004179,-0.011213,-0.033613,0.007622,-0.000342,0.000701,-0.000025,-0.010800,-0.020434,0.013639,-0.003275,0.058546,0.092588,0.063241,1.210315,-0.000760,0.058085,-0.071090,-0.388217,1.032657,0.000611]"
Control,242043,"[0.000389,-0.004097,-0.004138,-0.011211,-0.033570,0.007554,-0.000389,0.000673,0.000024,-0.010755,-0.020355,0.013590,-0.003286,0.057268,0.090788,0.062465,1.209526,-0.000745,0.058236,-0.067177,-0.380842,1.030339,0.000608]"
Control,262055,"[0.000412,-0.004080,-0.004047,-0.011119,-0.033552,0.007442,-0.000266,0.000646,0.000048,-0.010725,-0.020243,0.013489,-0.003272,0.055539,0.088949,0.061752,1.208762,-0.000754,0.058345,-0.063868,-0.374489,1.027972,0.000640]"
Control,282011,"[0.000410,-0.004039,-0.004006,-0.011072,-0.033572,0.007301,-0.000289,0.000644,0.000072,-0.010664,-0.020184,0.013402,-0.003258,0.053312,0.086177,0.060954,1.208024,-0.000750,0.058455,-0.061062,-0.362757,1.025564,0.000603]"
Control,302075,"[0.000408,-0.004045,-0.003989,-0.011055,-0.033545,0.007183,-0.000288,0.000641,0.000120,-0.010634,-0.020104,0.013309,-0.003196,0.051291,0.084464,0.060240,1.207265,-0.000747,0.058549,-0.057444,-0.350496,1.023120,0.000589]"
Control,322059,"[0.000407,-0.004004,-0.003948,-0.010963,-0.033518,0.007095,-0.000359,0.000662,0.000144,-0.010559,-0.020032,0.013209,-0.003207,0.049098,0.081698,0.059417,1.206494,-0.000744,0.058651,-0.054935,-0.338444,1.020599,0.000587]"
Control,342203,"[0.000405,-0.004011,-0.003908,-0.010931,-0.033405,0.006999,-0.000310,0.000635,0.000191,-0.010543,-0.019945,0.013123,-0.003193,0.046749,0.079691,0.058726,1.205749,-0.000752,0.058738,-0.051429,-0.324184,1.017761,0.000584]"
