type,timestamp,positions
Control,2128,"[0.000792,0.014897,-0.004653,-0.011681,-0.059444,0.007760,-0.007900,-0.006681,-0.033824,-0.010578,-0.014907,0.043714,0.014828,-0.013925,0.028132,0.430012,1.186049,-0.000879,0.026998,-0.069702,0.055872,1.158922,0.000531]"
Control,22155,"[0.000789,0.014814,-0.004660,-0.011635,-0.059214,0.007715,-0.007895,-0.006655,-0.033668,-0.010537,-0.014856,0.043553,0.014771,-0.013908,0.027965,0.428488,1.183122,-0.000852,0.026482,-0.069330,0.055616,1.155743,0.000529]"
Control,42809,"[0.000812,0.014752,-0.004616,-0.011603,-0.058941,0.007590,-0.007862,-0.006552,-0.033554,-0.010509,-0.014754,0.043373,0.014684,-0.013957,0.027798,0.426791,1.179941,-0.000884,0.025938,-0.068396,0.055356,1.152897,0.000551]"
Control,62921,"[0.000783,0.014718,-0.004622,-0.011524,-0.058675,0.007559,-0.007830,-0.006500,-0.033367,-0.010530,-0.014734,0.043197,0.014650,-0.013955,0.027651,0.425151,1.177227,-0.000868,0.025384,-0.067442,0.055090,1.150550,0.000537]"
Control,83159,"[0.000780,0.014632,-0.004553,-0.011493,-0.058455,0.007505,-0.007773,-0.006473,-0.033281,-0.010486,-0.014674,0.043035,0.014590,-0.013937,0.027487,0.423409,1.174077,-0.000865,0.024843,-0.066844,0.054836,1.147310,0.000558]"
Control,102492,"[0.000777,0.014600,-0.004560,-0.011448,-0.058231,0.007453,-0.007742,-0.006448,-0.033125,-0.010445,-0.014630,0.042851,0.014508,-0.013894,0.027312,0.421648,1.170827,-0.000861,0.024335,-0.065611,0.054567,1.143890,0.000556]"
Control,122817,"[0.000773,0.014539,-0.004541,-0.011416,-0.057963,0.007422,-0.007735,-0.006421,-0.032963,-0.010402,-0.014529,0.042658,0.014448,-0.013867,0.027098,0.419614,1.167300,-0.000858,0.023800,-0.064170,0.054298,1.140281,0.000542]"
Control,142916,"[0.000770,0.014454,-0.004547,-0.011353,-0.057724,0.007361,-0.007654,-0.006395,-0.032777,-0.010375,-0.014468,0.042467,0.014388,-0.013865,0.026951,0.417549,1.163803,-0.000854,0.023271,-0.062651,0.054032,1.136629,0.000539]"
Control,162661,"[0.000767,0.014396,-0.004504,-0.011307,-0.057457,0.007308,-0.007647,-0.006369,-0.032619,-0.010332,-0.014396,0.042280,0.014305,-0.013864,0.026783,0.415180,1.160145,-0.000851,0.022718,-0.061271,0.053771,1.133074,0.000561]"
Control,182082,"[0.000764,0.014363,-0.004511,-0.011262,-0.057213,0.007279,-0.007617,-0.006343,-0.032489,-0.010291,-0.014338,0.042110,0.014272,-0.013846,0.026617,0.412713,1.156420,-0.000847,0.022174,-0.059805,0.053501,1.129427,0.000559]"
Control,202486,"[0.000761,0.014302,-0.004467,-0.011199,-0.056977,0.007225,-0.007584,-0.006267,-0.032302,-0.010247,-0.014278,0.041932,0.014187,-0.013811,0.026370,0.409688,1.152237,-0.000844,0.021636,-0.057894,0.053231,1.125456,0.000556]"
Control,223005,"[0.000758,0.014216,-0.004424,-0.011166,-0.056714,0.007157,-0.007552,-0.006240,-0.032164,-0.010219,-0.014196,0.041715,0.014151,-0.013792,0.026172,0.405513,1.147846,-0.000840,0.021087,-0.056532,0.052972,1.121548,0.000565]"
Control,242212,"[0.000755,0.014159,-0.004406,-0.011106,-0.056460,0.007113,-0.007546,-0.006215,-0.032035,-0.010163,-0.014132,0.041540,0.014094,-0.013767,0.026009,0.401131,1.143570,-0.000837,0.020550,-0.055068,0.052731,1.117654,0.000540]"
Control,262250,"[0.000727,0.014099,-0.004412,-0.011075,-0.056222,0.007098,-0.007538,-0.006238,-0.031900,-0.010135,-0.014092,0.041343,0.014059,-0.013724,0.025807,0.395451,1.138662,-0.000833,0.019998,-0.053554,0.052428,1.113425,0.000549]"
Control,282352,"[0.000748,0.014016,-0.004369,-0.011028,-0.055951,0.007046,-0.007482,-0.006163,-0.031740,-0.010077,-0.013986,0.041132,0.013999,-0.013698,0.025645,0.388801,1.133342,-0.000830,0.019460,-0.052508,0.052162,1.109310,0.000558]"
Control,302087,"[0.000721,0.013933,-0.004375,-0.010982,-0.055718,0.007031,-0.007427,-0.006161,-0.031632,-0.010065,-0.013940,0.040945,0.013917,-0.013680,0.025470,0.384327,1.127456,-0.000826,0.018916,-0.051129,0.051888,1.104908,0.000556]"
Control,322184,"[0.000742,0.013873,-0.004356,-0.010920,-0.055466,0.006957,-0.007395,-0.006159,-0.031496,-0.010007,-0.013875,0.040792,0.013881,-0.013566,0.025157,0.379311,1.120667,-0.000823,0.018386,-0.050417,0.051610,1.100169,0.000542]"
Control,342174,"[0.000739,0.013790,-0.004313,-0.010888,-0.055204,0.006942,-0.007411,-0.006109,-0.031362,-0.010054,-0.013815,0.040589,0.013798,-0.013350,0.024679,0.374195,1.110986,-0.000819,0.017828,-0.049671,0.051346,1.095531,0.000517]"
Control,362176,"[0.000736,0.013707,-0.004295,-0.010841,-0.054961,0.006890,-0.007356,-0.006082,-0.031251,-0.010010,-0.013749,0.040407,0.013739,-0.013128,0.024149,0.372044,1.101784,-0.000827,0.017285,-0.049007,0.051032,1.090608,0.000515]"
Control,382215,"[0.000732,0.013648,-0.004300,-0.010809,-0.054679,0.006868,-0.007348,-0.006056,-0.031116,-0.009982,-0.013676,0.040218,0.013680,-0.013056,0.023369,0.368744,1.090225,-0.000812,0.016733,-0.048686,0.050792,1.086149,0.000524]"
Control,402079,"[0.000706,0.013613,-0.004281,-0.010719,-0.054438,0.006816,-0.007293,-0.006054,-0.031029,-0.009924,-0.013630,0.040031,0.013644,-0.012939,0.023122,0.365177,1.078789,-0.000831,0.016201,-0.048391,0.050492,1.081225,0.000511]"
Control,422593,"[0.000726,0.013505,-0.004262,-0.010671,-0.054151,0.006764,-0.007283,-0.006050,-0.030868,-0.009895,-0.013569,0.039839,0.013607,-0.012486,0.022730,0.358945,1.063955,-0.000816,0.015636,-0.048150,0.050221,1.075375,0.000476]"
Control,442350,"[0.000723,0.013401,-0.004244,-0.010639,-0.053893,0.006749,-0.007252,-0.006024,-0.030758,-0.009852,-0.013498,0.039667,0.013525,-0.011952,0.022602,0.350291,1.049304,-0.000802,0.015092,-0.047927,0.049936,1.069404,0.000474]"
Control,462703,"[0.000696,0.013294,-0.004202,-0.010577,-0.053596,0.006712,-0.007196,-0.005997,-0.030621,-0.009794,-0.013412,0.039476,0.013418,-0.011415,0.022478,0.338596,1.033461,-0.000820,0.014570,-0.047727,0.049619,1.061867,0.000439]"
Control,482545,"[0.000716,0.013213,-0.004207,-0.010560,-0.053337,0.006668,-0.007096,-0.006017,-0.030510,-0.009751,-0.013328,0.039247,0.013336,-0.010682,0.022319,0.329144,1.018494,-0.000794,0.014417,-0.047494,0.049345,1.051934,0.000469]"
Control,502204,"[0.000690,0.013041,-0.004165,-0.010514,-0.053081,0.006639,-0.007111,-0.006014,-0.030377,-0.009737,-0.013206,0.039021,0.013278,-0.010070,0.022176,0.319246,1.003560,-0.000791,0.015500,-0.047272,0.049049,1.035270,0.000478]"
Control,522997,"[0.000687,0.013003,-0.004169,-0.010465,-0.052799,0.006622,-0.007055,-0.005963,-0.030237,-0.009678,-0.013145,0.038827,0.013171,-0.009579,0.021957,0.309112,0.985946,-0.000787,0.015491,-0.047004,0.048775,1.022530,0.000455]"
