type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,1174,"[0.973581,-0.007120,0.014736,0.227756]","[0.021382,-0.005009,0.004034]","[-0.222661,-0.086191,9.718064]",not_valid,not_valid
StateB,1583,"[0.973576,-0.007129,0.014740,0.227776]","[-0.020427,0.012482,0.012997]","[-0.373495,-0.035913,9.696517]",not_valid,not_valid
StateB,2961,"[0.973575,-0.007124,0.014733,0.227779]","[0.010620,0.002288,-0.007195]","[-0.531513,-0.093374,9.732430]",not_valid,not_valid
StateB,5445,"[0.973582,-0.007138,0.014736,0.227752]","[-0.009650,0.004118,-0.023992]","[-0.481235,-0.093374,9.775525]",not_valid,not_valid
StateB,6414,"[0.973576,-0.007137,0.014731,0.227775]","[-0.009618,0.001988,0.033355]","[-0.553061,-0.035913,9.775525]",not_valid,not_valid
StateB,8509,"[0.973574,-0.007139,0.014726,0.227786]","[0.003369,-0.011669,0.018442]","[-0.624887,-0.079009,9.761160]",not_valid,not_valid
StateB,10363,"[0.973576,-0.007133,0.014728,0.227776]","[0.002974,0.014959,-0.013859]","[-0.237026,-0.136469,9.725247]",not_valid,not_valid
StateB,13176,"[0.973576,-0.007127,0.014723,0.227776]","[-0.009523,-0.004403,0.017500]","[-0.272939,-0.007183,9.761160]",not_valid,not_valid
StateB,14471,"[0.973576,-0.007131,0.014725,0.227777]","[-0.000032,0.002130,0.008856]","[-0.229843,-0.007183,9.775525]",not_valid,not_valid
StateB,16519,"[0.973575,-0.007134,0.014738,0.227782]","[0.000686,0.025579,-0.000763]","[-0.280122,-0.071826,9.854534]",not_valid,not_valid
StateB,18522,"[0.973580,-0.007125,0.014728,0.227760]","[-0.002099,-0.002162,-0.000178]","[-0.222661,-0.071826,9.797073]",not_valid,not_valid
StateB,20587,"[0.973575,-0.007130,0.014721,0.227779]","[0.001065,0.000016,0.011935]","[-0.316035,-0.114922,9.775525]",not_valid,not_valid
StateB,23005,"[0.973575,-0.007113,0.014725,0.227783]","[0.009507,0.005468,0.004478]","[-0.093374,-0.114922,9.804255]",not_valid,not_valid
StateB,24605,"[0.973573,-0.007128,0.014724,0.227789]","[-0.022510,0.009255,-0.002967]","[-0.028730,-0.114922,9.775525]",not_valid,not_valid
StateB,26535,"[0.973578,-0.007122,0.014731,0.227769]","[0.021097,0.014163,-0.002769]","[0.014365,-0.057461,9.797073]",not_valid,not_valid
StateB,28660,"[0.973576,-0.007120,0.014737,0.227778]","[-0.009776,0.012639,0.019546]","[0.107739,-0.064643,9.811439]",not_valid,not_valid
StateB,30514,"[0.973576,-0.007119,0.014726,0.227777]","[-0.004118,-0.009650,-0.018447]","[0.000000,0.014365,9.739613]",not_valid,not_valid
StateB,32615,"[0.973576,-0.007121,0.014736,0.227775]","[0.008332,0.012908,0.001166]","[0.071826,-0.050278,9.639056]",not_valid,not_valid
StateB,34470,"[0.973571,-0.007112,0.014727,0.227798]","[0.005436,-0.007377,0.028930]","[-0.632069,-0.143652,9.718064]",not_valid,not_valid
StateB,36451,"[0.973569,-0.007122,0.014732,0.227807]","[-0.018265,0.010383,0.014405]","[-0.538695,-0.035913,9.782708]",not_valid,not_valid
StateB,38322,"[0.973572,-0.007125,0.014734,0.227794]","[-0.009602,0.000923,-0.027140]","[-0.517148,-0.179565,9.768343]",not_valid,not_valid
StateB,40442,"[0.973575,-0.007126,0.014717,0.227781]","[-0.003085,-0.007503,0.007029]","[-0.517148,-0.150835,9.847352]",not_valid,not_valid
StateB,42338,"[0.973572,-0.007127,0.014730,0.227791]","[0.005152,0.011795,0.005456]","[-0.567426,-0.071826,9.689334]",not_valid,not_valid
StateB,44379,"[0.973572,-0.007136,0.014738,0.227794]","[-0.008600,0.005200,0.001285]","[-0.316035,-0.107739,9.725247]",not_valid,not_valid
StateB,46568,"[0.973577,-0.007138,0.014742,0.227770]","[0.001925,0.013879,0.002954]","[-0.294487,-0.114922,9.761160]",not_valid,not_valid
StateB,48523,"[0.973575,-0.007136,0.014752,0.227779]","[0.009302,0.019315,-0.008929]","[-0.459687,-0.107739,9.761160]",not_valid,not_valid
StateB,50353,"[0.973578,-0.007136,0.014750,0.227767]","[-0.003275,0.005278,0.011460]","[-0.280122,-0.129287,9.840169]",not_valid,not_valid
StateB,52316,"[0.973578,-0.007137,0.014747,0.227767]","[-0.003053,-0.009634,-0.009846]","[-0.380678,-0.079009,9.660604]",not_valid,not_valid
StateB,54319,"[0.973578,-0.007136,0.014741,0.227768]","[0.008347,0.011843,-0.000770]","[-0.316035,-0.129287,9.725247]",not_valid,not_valid
StateB,56370,"[0.973577,-0.007142,0.014731,0.227769]","[-0.015835,-0.009823,-0.013708]","[-0.308852,-0.114922,9.768343]",not_valid,not_valid
StateB,58312,"[0.973576,-0.007151,0.014748,0.227775]","[-0.004687,0.028696,0.011677]","[-0.359130,-0.122104,9.782708]",not_valid,not_valid
StateB,60336,"[0.973578,-0.007142,0.014736,0.227766]","[0.001160,-0.006375,-0.012006]","[-0.387861,-0.129287,9.804255]",not_valid,not_valid
StateB,62333,"[0.973577,-0.007159,0.014735,0.227769]","[-0.007630,0.011606,0.015639]","[-0.172383,-0.165200,9.854534]",not_valid,not_valid
StateB,64284,"[0.973577,-0.007150,0.014737,0.227769]","[0.003195,0.000047,-0.003547]","[-0.272939,-0.193930,9.919178]",not_valid,not_valid
