type,timestamp,positions
Control,2950,"[0.000204,-0.005556,-0.003579,-0.011601,-0.032319,0.006629,-0.000102,-0.001185,0.000665,-0.010354,-0.019848,0.012991,-0.003682,0.005514,0.034992,0.430816,1.271789,-0.000795,-0.016039,-0.022362,-0.498673,1.212075,0.000663]"
Control,23072,"[0.000229,-0.005587,-0.003566,-0.011574,-0.032207,0.006597,-0.000127,-0.001180,0.000662,-0.010316,-0.019782,0.012936,-0.003668,0.005698,0.035367,0.429226,1.271186,-0.000792,-0.015846,-0.022896,-0.497798,1.211244,0.000661]"
Control,42937,"[0.000203,-0.005565,-0.003577,-0.011575,-0.032154,0.006640,-0.000101,-0.001175,0.000660,-0.010307,-0.019900,0.012645,-0.003653,0.006048,0.035752,0.427413,1.270499,-0.000789,-0.015637,-0.023572,-0.496628,1.210598,0.000658]"
Control,63809,"[0.000253,-0.005516,-0.003562,-0.011479,-0.032053,0.006605,-0.000126,-0.001120,0.000657,-0.010358,-0.019823,0.012569,-0.003613,0.006273,0.036068,0.425554,1.269779,-0.000797,-0.015427,-0.024288,-0.495520,1.210680,0.000655]"
Control,83062,"[0.000176,-0.005495,-0.003548,-0.011450,-0.032070,0.006542,-0.000126,-0.001090,0.000654,-0.010365,-0.019739,0.012512,-0.003574,0.006490,0.036356,0.423756,1.269138,-0.000794,-0.015241,-0.024985,-0.494461,1.212917,0.000665]"
Control,103159,"[0.000225,-0.005472,-0.003534,-0.011388,-0.031992,0.006470,-0.000125,-0.001011,0.000677,-0.010338,-0.019665,0.012454,-0.003484,0.006740,0.036674,0.421519,1.268436,-0.000779,-0.015064,-0.025734,-0.493325,1.216019,0.000674]"
Control,123164,"[0.000200,-0.005475,-0.003519,-0.011357,-0.031962,0.006451,-0.000125,-0.000882,0.000649,-0.010312,-0.019605,0.012425,-0.003370,0.006930,0.036999,0.419529,1.267771,-0.000788,-0.014845,-0.026362,-0.491921,1.220158,0.000636]"
Control,143097,"[0.000199,-0.005477,-0.003505,-0.011326,-0.031885,0.006410,-0.000124,-0.000779,0.000671,-0.010254,-0.019552,0.012435,-0.003381,0.007195,0.037216,0.416871,1.267074,-0.000773,-0.014578,-0.026971,-0.490888,1.222410,0.000645]"
Control,163035,"[0.000247,-0.005455,-0.003466,-0.011264,-0.031813,0.006362,-0.000099,-0.000726,0.000668,-0.010212,-0.019551,0.012383,-0.003441,0.007377,0.037503,0.414225,1.266375,-0.000770,-0.013675,-0.027485,-0.489113,1.223449,0.000654]"
Control,182937,"[0.000173,-0.005408,-0.003452,-0.011187,-0.031723,0.006336,-0.000123,-0.000723,0.000666,-0.010201,-0.019478,0.012340,-0.003427,0.007615,0.037737,0.410998,1.265699,-0.000767,-0.012689,-0.028017,-0.487252,1.223595,0.000651]"
Control,203002,"[0.000245,-0.005385,-0.003437,-0.011156,-0.031663,0.006332,-0.000123,-0.000720,0.000663,-0.010158,-0.019370,0.012289,-0.003462,0.007814,0.037995,0.407363,1.264999,-0.000775,-0.011510,-0.028649,-0.485335,1.222505,0.000671]"
Control,222942,"[0.000196,-0.005363,-0.003447,-0.011125,-0.031591,0.006328,-0.000073,-0.000717,0.000660,-0.010131,-0.019297,0.012245,-0.003496,0.008020,0.038383,0.403460,1.264336,-0.000772,-0.010920,-0.029301,-0.483087,1.221382,0.000623]"
Control,242955,"[0.000219,-0.005340,-0.003433,-0.011063,-0.031544,0.006369,-0.000122,-0.000714,0.000633,-0.010089,-0.019203,0.012194,-0.003506,0.008219,0.038708,0.396611,1.263589,-0.000768,-0.010503,-0.030003,-0.481102,1.220263,0.000586]"
Control,263089,"[0.000242,-0.005294,-0.003418,-0.011016,-0.031482,0.006350,-0.000073,-0.000711,0.000630,-0.010046,-0.019141,0.012150,-0.003467,0.008427,0.039062,0.389833,1.262856,-0.000754,-0.010207,-0.030798,-0.479260,1.219112,0.000663]"
Control,282986,"[0.000217,-0.005271,-0.003428,-0.010955,-0.031493,0.006412,-0.000072,-0.000708,0.000628,-0.010004,-0.019067,0.012077,-0.003525,0.008624,0.039499,0.384357,1.262195,-0.000751,-0.009971,-0.031633,-0.476817,1.217984,0.000626]"
Control,303033,"[0.000240,-0.005225,-0.003414,-0.010924,-0.031443,0.006392,-0.000072,-0.000705,0.000601,-0.009962,-0.018986,0.012040,-0.003486,0.008823,0.039820,0.377881,1.261512,-0.000747,-0.009774,-0.032414,-0.474255,1.216815,0.000612]"
