type,timestamp,imu_quat,imu_gyro,imu_accel,imu_rpy,foot_force
StateB,289,"[0.966734,-0.008591,0.015433,0.255174]","[-0.006403,-0.003172,0.004209]","[-0.423774,0.014365,9.768343]",not_valid,not_valid
StateB,2147,"[0.966730,-0.008597,0.015427,0.255189]","[-0.005263,0.017064,0.002866]","[-0.474052,-0.179565,9.710882]",not_valid,not_valid
StateB,3282,"[0.966736,-0.008596,0.015423,0.255168]","[-0.007465,-0.002103,-0.002305]","[-0.452504,-0.150835,9.667787]",not_valid,not_valid
StateB,3682,"[0.966736,-0.008600,0.015434,0.255165]","[-0.004167,0.025582,0.000572]","[-0.409408,-0.028730,9.789890]",not_valid,not_valid
StateB,4360,"[0.966734,-0.008593,0.015434,0.255173]","[0.005307,-0.005346,0.006174]","[-0.445322,-0.028730,9.768343]",not_valid,not_valid
StateB,6576,"[0.966731,-0.008596,0.015429,0.255184]","[-0.012748,0.009634,0.014775]","[-0.366313,-0.064643,9.775525]",not_valid,not_valid
StateB,8278,"[0.966732,-0.008594,0.015438,0.255180]","[0.005393,0.018090,-0.013987]","[-0.409408,-0.136469,9.703699]",not_valid,not_valid
StateB,10234,"[0.966736,-0.008589,0.015436,0.255166]","[0.003262,0.018098,-0.022042]","[-0.373495,0.000000,9.732430]",not_valid,not_valid
StateB,12279,"[0.966734,-0.008595,0.015440,0.255174]","[-0.010598,0.014953,0.010564]","[-0.531513,-0.093374,9.768343]",not_valid,not_valid
StateB,14254,"[0.966737,-0.008610,0.015435,0.255161]","[-0.019175,0.000070,0.001285]","[-0.373495,-0.014365,9.797073]",not_valid,not_valid
StateB,16236,"[0.966735,-0.008605,0.015432,0.255170]","[0.011714,-0.001108,-0.004230]","[-0.452504,-0.050278,9.739613]",not_valid,not_valid
StateB,18271,"[0.966734,-0.008598,0.015435,0.255172]","[0.011718,-0.000043,0.001074]","[-0.373495,-0.150835,9.890448]",not_valid,not_valid
StateB,20222,"[0.966734,-0.008612,0.015446,0.255172]","[-0.016938,0.028825,-0.003187]","[-0.495600,-0.122104,9.768343]",not_valid,not_valid
StateB,22441,"[0.966733,-0.008611,0.015442,0.255177]","[0.003160,-0.009599,0.014933]","[-0.438139,-0.165200,9.854534]",not_valid,not_valid
StateB,24245,"[0.966733,-0.008607,0.015442,0.255175]","[0.001120,0.014910,0.001042]","[-0.603339,-0.071826,9.725247]",not_valid,not_valid
StateB,26375,"[0.966734,-0.008611,0.015434,0.255171]","[-0.004292,-0.008506,-0.013973]","[-0.474052,-0.035913,9.710882]",not_valid,not_valid
StateB,28301,"[0.966739,-0.008614,0.015444,0.255152]","[0.000093,0.025566,-0.004134]","[-0.495600,-0.107739,9.797073]",not_valid,not_valid
StateB,30347,"[0.966739,-0.008608,0.015440,0.255155]","[0.002107,-0.006399,0.004229]","[-0.581791,-0.035913,9.761160]",not_valid,not_valid
StateB,32412,"[0.966735,-0.008608,0.015439,0.255168]","[0.005299,-0.007476,0.011773]","[-0.143652,-0.122104,9.818622]",not_valid,not_valid
StateB,34350,"[0.966736,-0.008605,0.015420,0.255166]","[-0.006411,-0.005303,-0.010661]","[-0.244209,-0.021548,9.710882]",not_valid,not_valid
StateB,36299,"[0.966741,-0.008596,0.015424,0.255147]","[0.011733,0.004218,0.009214]","[-0.502782,-0.079009,9.739613]",not_valid,not_valid
StateB,38326,"[0.966741,-0.008587,0.015415,0.255150]","[-0.019214,-0.010582,0.011344]","[-0.438139,0.000000,9.739613]",not_valid,not_valid
StateB,40259,"[0.966738,-0.008597,0.015412,0.255158]","[0.002162,0.008514,-0.010694]","[-0.251391,-0.136469,9.725247]",not_valid,not_valid
StateB,42376,"[0.966739,-0.008601,0.015414,0.255156]","[-0.004261,0.000016,0.000894]","[-0.423774,-0.093374,9.768343]",not_valid,not_valid
StateB,44360,"[0.966745,-0.008603,0.015416,0.255134]","[0.006407,0.004238,-0.005325]","[-0.186748,-0.136469,9.768343]",not_valid,not_valid
StateB,46449,"[0.966745,-0.008598,0.015425,0.255133]","[0.007523,0.018082,-0.008104]","[-0.237026,-0.050278,9.797073]",not_valid,not_valid
StateB,48260,"[0.966743,-0.008602,0.015420,0.255141]","[-0.027677,0.005428,0.001378]","[-0.193930,-0.136469,9.753978]",not_valid,not_valid
StateB,50277,"[0.966744,-0.008599,0.015417,0.255134]","[-0.004245,0.004277,-0.008843]","[-0.316035,-0.050278,9.761160]",not_valid,not_valid
